Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.106	COMP2748/COMP2756	
Aldehyde oxidase substrate	0.208	COMP2749	(0.161 COMP2748) (0.159 COMP2759) (0.146 COMP2750) (0.139 COMP2756)
CYP1A2 inhibitor	0.556	COMP2752	(0.443 COMP2758) (0.246 COMP2747) (0.239 COMP2755)
CYP1A2 substrate	0.684	COMP2756	(0.648 COMP2748) (0.601 COMP2759) (0.570 COMP2747) (0.537 COMP2755) (0.430 COMP2749) (0.389 COMP2753) (0.386 COMP2758) (0.379 COMP2752) (0.308 COMP332) (0.298 COMP2751) (0.242 COMP2760) (0.229 COMP2750)
CYP2A6 inhibitor	0.126	COMP2758	
CYP2B6 inhibitor	0.282	COMP2752	(0.268 COMP2758) (0.162 COMP2756) (0.159 COMP2749) (0.156 COMP2755) (0.154 COMP2748)
CYP2C19 inhibitor	0.594	COMP2751	(0.581 COMP2752) (0.571 COMP2748) (0.567 COMP2756) (0.536 COMP2759) (0.530 COMP2758) (0.509 COMP2755) (0.479 COMP2749) (0.461 COMP2753) (0.441 COMP332) (0.412 COMP2760) (0.404 COMP2747) (0.322 COMP2750)
CYP2C19 substrate	0.548	COMP2749	(0.399 COMP332) (0.374 COMP2748) (0.373 COMP2756) (0.354 COMP2753) (0.294 COMP2760) (0.279 COMP2759) (0.274 COMP2750) (0.189 COMP2751) (0.176 COMP2754) (0.174 COMP2755)
CYP2C9 inhibitor	0.361	COMP2752	(0.329 COMP2758) (0.257 COMP2755)
CYP2C9 substrate	0.652	COMP2756	(0.617 COMP2748) (0.547 COMP2759) (0.468 COMP2749) (0.459 COMP2747) (0.417 COMP2755) (0.394 COMP2753) (0.378 COMP2752) (0.373 COMP2758) (0.339 COMP332) (0.278 COMP2751) (0.252 COMP2760) (0.246 COMP2750) (0.226 COMP2754) (0.218 COMP2757)
CYP2D6 inhibitor	0.643	COMP2759	(0.586 COMP2756) (0.548 COMP2748) (0.502 COMP2751) (0.478 COMP2755) (0.455 COMP2749) (0.351 COMP2758) (0.340 COMP2752) (0.250 COMP2760) (0.243 COMP2753) (0.225 COMP332) (0.204 COMP2747) (0.179 COMP2750)
