Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake inhibitor	0.113	COMP2751	(0.097 COMP2759) (0.094 COMP2755) (0.055 COMP2756)
5 Hydroxytryptamine uptake stimulant	0.325	COMP2749	(0.255 COMP2750) (0.243 COMP2753) (0.235 COMP2760) (0.223 COMP332) (0.201 COMP2748) (0.191 COMP2759) (0.186 COMP2754)
Dopamine transporter inhibitor	0.100	COMP2759	(0.074 COMP2756) (0.069 COMP2760) (0.062 COMP2751) (0.061 COMP2748) (0.060 COMP2749) (0.057 COMP2753) (0.050 COMP332) (0.042 COMP2755)
Dopamine uptake inhibitor	0.220	COMP2759	(0.156 COMP2756) (0.116 COMP2751) (0.110 COMP2760) (0.107 COMP2748) (0.087 COMP2749/COMP2753) (0.069 COMP2755/COMP332) (0.056 COMP2750)
Electron transport complex I inhibitor	0.273	COMP2753	(0.253 COMP2760) (0.242 COMP332) (0.162 COMP2751) (0.124 COMP2749) (0.114 COMP2750) (0.102 COMP2754) (0.096 COMP2757)
GABA uptake inhibitor	0.046	COMP2755	
Multidrug resistance-associated protein 1 inhibitor	0.149	COMP2760	(0.142 COMP2753) (0.131 COMP332) (0.108 COMP2749)
P-glycoprotein inhibitor	0.586	COMP2751/COMP2760	(0.555 COMP2753) (0.547 COMP332) (0.406 COMP2748) (0.359 COMP2749) (0.354 COMP2759) (0.336 COMP2756) (0.325 COMP2755) (0.245 COMP2752) (0.221 COMP2750) (0.202 COMP2758) (0.180 COMP2747) (0.144 COMP2754)
Sodium/bile acid cotransporter inhibitor	0.345	COMP2749	(0.235 COMP2750) (0.230 COMP2754) (0.221 COMP2757)
Vesicle monoamine transporter inhibitor	0.048	COMP2748/COMP2759	(0.047 COMP2751/COMP2756) (0.044 COMP2749) (0.043 COMP2755) (0.041 COMP2760) (0.040 COMP2753) (0.038 COMP332) (0.037 COMP2750)
Vesicular acetylcholine transporter inhibitor	0.017	COMP2759	
