Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.210	COMP732	(0.182 COMP683) (0.166 COMP1448) (0.148 COMP504) (0.118 COMP1237) (0.113 COMP868) (0.112 COMP1449/COMP1453) (0.107 COMP1450) (0.100 COMP1441) (0.090 COMP1438)
AR expression inhibitor	0.845	COMP732	(0.807 COMP504) (0.793 COMP46) (0.631 COMP683) (0.624 COMP1444) (0.610 COMP1438) (0.582 COMP1440) (0.570 COMP731) (0.568 COMP908) (0.565 COMP1237) (0.562 COMP1453) (0.557 COMP1437) (0.532 COMP1446) (0.519 COMP1447/COMP1452) (0.517 COMP868) (0.496 COMP1435) (0.492 COMP1448) (0.473 COMP1449) (0.468 COMP1439/COMP1443/COMP1450) (0.467 COMP1442) (0.458 COMP2295) (0.453 COMP1445) (0.439 COMP1441) (0.420 COMP1451) (0.416 COMP1454) (0.255 COMP1436)
CTGF expression inhibitor	0.850	COMP1438	(0.833 COMP1453) (0.815 COMP1237) (0.812 COMP732) (0.768 COMP1449) (0.743 COMP1450) (0.737 COMP1448) (0.686 COMP868) (0.665 COMP1441) (0.662 COMP504) (0.652 COMP683) (0.608 COMP46) (0.540 COMP1445) (0.435 COMP1437) (0.432 COMP731) (0.330 COMP1447/COMP1452) (0.321 COMP1436) (0.302 COMP1444) (0.296 COMP908) (0.285 COMP1439/COMP1443) (0.274 COMP1440) (0.271 COMP1435) (0.265 COMP1442) (0.256 COMP1446)
GRP78 expression inhibitor	0.057	COMP1436	(0.045 COMP1444) (0.035 COMP1446) (0.034 COMP1439/COMP1443/COMP731) (0.033 COMP1435/COMP683) (0.031 COMP1440) (0.029 COMP1447/COMP1452) (0.028 COMP1442) (0.026 COMP1437) (0.025 COMP1454) (0.024 COMP868) (0.023 COMP908) (0.022 COMP1441) (0.021 COMP1448) (0.020 COMP1449/COMP1451)
ICAM1 expression inhibitor	0.611	COMP46	(0.609 COMP731) (0.584 COMP1444) (0.583 COMP1437) (0.540 COMP1440) (0.531 COMP1447/COMP1452) (0.520 COMP1439/COMP1443) (0.514 COMP908) (0.510 COMP1442) (0.509 COMP1435) (0.505 COMP1454) (0.503 COMP1446) (0.497 COMP1451) (0.490 COMP2295) (0.483 COMP1438) (0.454 COMP732) (0.446 COMP683) (0.412 COMP504) (0.384 COMP868) (0.381 COMP1237) (0.358 COMP1453) (0.353 COMP1448) (0.340 COMP1450) (0.333 COMP1449) (0.331 COMP1441) (0.231 COMP1445) (0.223 COMP1436)
LDLR expression enhancer	0.616	COMP732	(0.393 COMP504) (0.379 COMP1438) (0.272 COMP683) (0.269 COMP868) (0.251 COMP1450) (0.227 COMP1237) (0.225 COMP1453) (0.215 COMP1448) (0.203 COMP1449) (0.187 COMP1441) (0.164 COMP1437)
NOS2 expression inhibitor	0.967	COMP46	(0.919 COMP1437) (0.882 COMP731) (0.879 COMP1447/COMP1452) (0.876 COMP1442) (0.812 COMP1439/COMP1443) (0.746 COMP1438) (0.742 COMP732) (0.721 COMP1445) (0.713 COMP1444/COMP1450) (0.709 COMP1237) (0.701 COMP1453) (0.690 COMP504) (0.687 COMP1435) (0.673 COMP1451) (0.654 COMP1441) (0.636 COMP1449) (0.598 COMP1440) (0.596 COMP1454) (0.516 COMP1446) (0.515 COMP1448) (0.510 COMP2295) (0.504 COMP908) (0.431 COMP868) (0.411 COMP683) (0.324 COMP1436)
NOS3 expression enhancer	0.722	COMP46	(0.707 COMP732) (0.686 COMP1446) (0.674 COMP504) (0.667 COMP731) (0.622 COMP1437) (0.614 COMP1444) (0.587 COMP1435) (0.552 COMP1447/COMP1452) (0.526 COMP1440) (0.503 COMP1439/COMP1443) (0.488 COMP1453) (0.461 COMP1442/COMP908) (0.454 COMP1438) (0.435 COMP683) (0.434 COMP1454) (0.399 COMP1451) (0.387 COMP868) (0.367 COMP1237) (0.314 COMP1448) (0.290 COMP1449) (0.244 COMP1450) (0.218 COMP1441) (0.130 COMP1445)
NOS3 expression inhibitor	0.836	COMP1446	(0.821 COMP731) (0.773 COMP1437) (0.757 COMP46) (0.741 COMP1447/COMP1452) (0.728 COMP1444) (0.694 COMP1439/COMP1443) (0.682 COMP1442) (0.668 COMP1435) (0.664 COMP732) (0.650 COMP1440) (0.644 COMP1454) (0.637 COMP1451) (0.627 COMP908) (0.623 COMP504) (0.599 COMP1438) (0.537 COMP1237) (0.514 COMP1436) (0.491 COMP1453) (0.446 COMP1441) (0.439 COMP1450) (0.435 COMP1448/COMP868) (0.433 COMP683) (0.424 COMP1449) (0.376 COMP1445) (0.279 COMP2295)
TNF expression inhibitor	0.944	COMP1437	(0.920 COMP731) (0.869 COMP46) (0.859 COMP1447/COMP1452) (0.844 COMP1442) (0.819 COMP732) (0.801 COMP1438) (0.796 COMP1439/COMP1443) (0.783 COMP1451) (0.768 COMP1444) (0.766 COMP1435) (0.726 COMP1454) (0.660 COMP504) (0.651 COMP1237) (0.636 COMP1453) (0.632 COMP1450) (0.610 COMP1436) (0.605 COMP1440) (0.586 COMP1449) (0.585 COMP908) (0.584 COMP683) (0.583 COMP1448) (0.580 COMP1446) (0.570 COMP1441) (0.568 COMP868) (0.486 COMP1445) (0.388 COMP2295)
VCAM1 expression inhibitor	0.846	COMP1437	(0.793 COMP731) (0.644 COMP1442) (0.622 COMP1451) (0.600 COMP1447/COMP1452) (0.574 COMP1444) (0.571 COMP1435) (0.567 COMP1438) (0.556 COMP46) (0.541 COMP1439/COMP1443) (0.517 COMP1454) (0.472 COMP2295) (0.398 COMP1440) (0.389 COMP683) (0.376 COMP1446) (0.367 COMP1450) (0.334 COMP1448) (0.324 COMP1237/COMP1441) (0.318 COMP908) (0.310 COMP868) (0.290 COMP1453) (0.282 COMP732) (0.279 COMP1449) (0.203 COMP1436) (0.201 COMP504) (0.191 COMP1445)
VEGF expression inhibitor	0.322	COMP868	(0.307 COMP1237) (0.302 COMP1450) (0.298 COMP1438) (0.279 COMP1449) (0.264 COMP1448) (0.261 COMP1453) (0.252 COMP732) (0.251 COMP1441) (0.248 COMP683) (0.225 COMP504) (0.220 COMP1445) (0.207 COMP1436) (0.166 COMP46)
