Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.344	COMP1445	(0.249 COMP1441) (0.143 COMP683) (0.140 COMP1438) (0.138 COMP1444) (0.134 COMP731) (0.130 COMP1437) (0.127 COMP1446) (0.125 COMP868) (0.120 COMP1453) (0.113 COMP1435) (0.112 COMP1447/COMP1452) (0.111 COMP1439/COMP1443) (0.110 COMP1436) (0.108 COMP1442/COMP1454) (0.106 COMP1237/COMP908) (0.105 COMP1448/COMP1449/COMP1451) (0.104 COMP732)
Aldehyde dehydrogenase substrate	0.206	COMP683	(0.179 COMP1438) (0.158 COMP868) (0.157 COMP1446) (0.149 COMP1444) (0.147 COMP1441) (0.146 COMP1437) (0.138 COMP731) (0.121 COMP1448) (0.120 COMP1436) (0.116 COMP1440) (0.109 COMP908) (0.106 COMP1435) (0.098 COMP1442)
Aldehyde oxidase substrate	0.295	COMP683	(0.227 COMP1438) (0.210 COMP868) (0.185 COMP1448) (0.182 COMP1436) (0.161 COMP1449) (0.140 COMP1441)
Aldose reductase substrate	0.881	COMP1446	(0.660 COMP1444) (0.595 COMP1439/COMP1443) (0.592 COMP731) (0.551 COMP1454) (0.542 COMP1447/COMP1452) (0.495 COMP1442) (0.480 COMP1435) (0.474 COMP1437) (0.468 COMP1451) (0.466 COMP1440) (0.379 COMP46) (0.368 COMP908) (0.287 COMP1441) (0.235 COMP1448) (0.228 COMP1449) (0.188 COMP1450) (0.187 COMP1237) (0.158 COMP1436) (0.152 COMP683) (0.150 COMP1453)
Arylamine N-Acetyltransferase substrate	0.543	COMP1436	(0.332 COMP683) (0.326 COMP1448) (0.222 COMP1449) (0.190 COMP1237) (0.167 COMP868) (0.140 COMP1441) (0.122 COMP1453) (0.118 COMP1439/COMP1443) (0.102 COMP1435/COMP1450) (0.098 COMP1438) (0.093 COMP1447/COMP1452) (0.085 COMP731) (0.078 COMP1446) (0.073 COMP1444)
CYP1A2 inhibitor	0.746	COMP1445	(0.593 COMP1438) (0.587 COMP1450) (0.519 COMP1237) (0.467 COMP1449) (0.453 COMP1453) (0.404 COMP1441) (0.331 COMP1448) (0.280 COMP46) (0.230 COMP1437) (0.216 COMP868) (0.209 COMP732) (0.205 COMP683) (0.186 COMP1442) (0.175 COMP731)
CYP1A2 substrate	0.762	COMP732	(0.679 COMP1453) (0.669 COMP504) (0.640 COMP1438) (0.618 COMP1237) (0.612 COMP1449) (0.602 COMP1441) (0.594 COMP1450) (0.557 COMP46) (0.483 COMP1448) (0.445 COMP868) (0.439 COMP1445) (0.397 COMP683) (0.357 COMP1437) (0.342 COMP731) (0.315 COMP1447/COMP1452) (0.310 COMP1439/COMP1443) (0.301 COMP1442) (0.242 COMP1435) (0.224 COMP1454) (0.218 COMP1451) (0.213 COMP1446) (0.212 COMP1444) (0.197 COMP1436)
CYP24 inhibitor	0.081	COMP1438	(0.027 COMP731) (0.026 COMP1450) (0.025 COMP1237/COMP1437)
CYP2A6 inhibitor	0.139	COMP1449	(0.109 COMP1237/COMP1445) (0.071 COMP1450)
CYP2B6 inhibitor	0.343	COMP1445	(0.335 COMP1438) (0.264 COMP1453) (0.250 COMP1449) (0.232 COMP868) (0.228 COMP1237) (0.225 COMP1450) (0.210 COMP683) (0.186 COMP1441) (0.174 COMP1448) (0.164 COMP1436) (0.146 COMP732)
