Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.042	COMP1436	(0.040 COMP683) (0.032 COMP1448)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.015	COMP1438	(0.014 COMP683) (0.012 COMP1436)
1.3-Beta-glucan synthase inhibitor	0.035	COMP731	(0.034 COMP1446) (0.033 COMP1436/COMP1437) (0.032 COMP1444) (0.031 COMP1440/COMP1447/COMP1452) (0.030 COMP1439/COMP1443/COMP908) (0.029 COMP1435/COMP1442) (0.028 COMP1454/COMP46) (0.027 COMP1451)
12-Lipoxygenase inhibitor	0.691	COMP1438	(0.687 COMP1450) (0.673 COMP1237) (0.645 COMP1449) (0.590 COMP1453) (0.539 COMP1448) (0.514 COMP1441) (0.493 COMP868) (0.459 COMP1445) (0.450 COMP683) (0.435 COMP732) (0.304 COMP504) (0.214 COMP908) (0.183 COMP1440)
15-Lipoxygenase inhibitor	0.870	COMP732	(0.868 COMP504) (0.662 COMP868) (0.645 COMP1445) (0.626 COMP1237) (0.623 COMP1450) (0.609 COMP1453) (0.587 COMP1449) (0.572 COMP1438) (0.536 COMP1448) (0.516 COMP683) (0.435 COMP1441) (0.246 COMP908) (0.211 COMP1440)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.216	COMP1453	(0.206 COMP1449) (0.204 COMP1237) (0.189 COMP1448) (0.156 COMP1441) (0.131 COMP1450) (0.129 COMP683) (0.074 COMP868) (0.073 COMP1438)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.212	COMP683	(0.095 COMP1448) (0.093 COMP868) (0.062 COMP1438) (0.060 COMP1237) (0.058 COMP1436) (0.055 COMP1449) (0.053 COMP1450) (0.045 COMP1441) (0.038 COMP1453)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.812	COMP732	(0.457 COMP504) (0.264 COMP1448) (0.258 COMP683) (0.251 COMP1447/COMP1452) (0.225 COMP1439/COMP1443) (0.206 COMP1237) (0.204 COMP731) (0.200 COMP1435) (0.198 COMP1442/COMP1444) (0.195 COMP46) (0.186 COMP1449) (0.179 COMP1437) (0.168 COMP1450) (0.163 COMP1441) (0.157 COMP868) (0.154 COMP1438) (0.147 COMP1453) (0.143 COMP1440) (0.134 COMP1446) (0.133 COMP908) (0.084 COMP1454) (0.070 COMP1451)
3C-Like protease (SARS coronavirus) inhibitor	0.109	COMP683	(0.094 COMP1448) (0.089 COMP1436) (0.087 COMP868) (0.082 COMP1445)
3C-like protease (Human coronavirus) inhibitor	0.246	COMP683	(0.201 COMP1448) (0.194 COMP868) (0.191 COMP1445) (0.158 COMP1449) (0.150 COMP1436) (0.147 COMP1438) (0.137 COMP1441/COMP1450)
4-Hydroxyphenylpyruvate dioxygenase inhibitor	0.014	COMP1237/COMP1449	
5 Hydroxytryptamine 1E antagonist	0.274	COMP868	(0.272 COMP1438) (0.259 COMP1449) (0.250 COMP1237) (0.247 COMP1450) (0.243 COMP1453) (0.177 COMP683)
