Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.407	COMP683	(0.382 COMP1448) (0.372 COMP868) (0.366 COMP2295) (0.352 COMP1436) (0.346 COMP732) (0.343 COMP1237) (0.325 COMP1450) (0.322 COMP1438) (0.285 COMP1449) (0.284 COMP1453) (0.272 COMP1441) (0.246 COMP504) (0.226 COMP1444) (0.187 COMP1446) (0.185 COMP908) (0.176 COMP731) (0.174 COMP1445) (0.170 COMP1440) (0.159 COMP1435/COMP1447/COMP1452) (0.150 COMP1442) (0.149 COMP1437)
Carcinogenic	0.940	COMP46	(0.829 COMP1444) (0.822 COMP1447/COMP1452) (0.814 COMP1440) (0.808 COMP908) (0.807 COMP1439/COMP1443) (0.781 COMP1435) (0.739 COMP732) (0.722 COMP1446) (0.720 COMP731) (0.699 COMP1442) (0.638 COMP1237) (0.633 COMP1453) (0.624 COMP1437) (0.608 COMP1449) (0.593 COMP1448/COMP1454) (0.591 COMP1441/COMP2295) (0.570 COMP504) (0.522 COMP683) (0.520 COMP1445) (0.435 COMP1450) (0.422 COMP1451) (0.396 COMP868) (0.368 COMP1436) (0.299 COMP1438)
Carcinogenic. group 1	0.440	COMP1444	(0.428 COMP731) (0.389 COMP1446) (0.347 COMP1437) (0.343 COMP868) (0.315 COMP683) (0.282 COMP1440) (0.271 COMP1435) (0.270 COMP1436/COMP1454) (0.265 COMP1438) (0.261 COMP1439/COMP1443) (0.230 COMP1447/COMP1452) (0.224 COMP1441) (0.215 COMP908) (0.209 COMP1453) (0.208 COMP1451) (0.201 COMP1442) (0.200 COMP1449) (0.193 COMP46) (0.182 COMP1448) (0.179 COMP1237) (0.162 COMP1450)
Carcinogenic. group 2A	0.326	COMP1444	(0.308 COMP1439/COMP1443) (0.270 COMP731) (0.264 COMP1446) (0.259 COMP1435) (0.255 COMP1454) (0.246 COMP1442) (0.241 COMP1447/COMP1452) (0.228 COMP1437) (0.211 COMP1451) (0.198 COMP1441) (0.195 COMP1440) (0.193 COMP868) (0.176 COMP1449/COMP683) (0.150 COMP1453) (0.144 COMP1450/COMP908) (0.140 COMP1237) (0.132 COMP1448) (0.131 COMP1438) (0.115 COMP1436) (0.083 COMP46)
Carcinogenic. group 2B	0.578	COMP1449	(0.479 COMP1237) (0.454 COMP1439/COMP1443) (0.403 COMP1441) (0.395 COMP1450) (0.359 COMP1453) (0.351 COMP1448) (0.346 COMP1447/COMP1452) (0.286 COMP1442) (0.267 COMP1454) (0.264 COMP46) (0.258 COMP731) (0.226 COMP1444) (0.212 COMP1438) (0.205 COMP683) (0.195 COMP1435) (0.194 COMP1437) (0.182 COMP1451) (0.167 COMP1436) (0.143 COMP868) (0.130 COMP1440) (0.113 COMP1446)
Carcinogenic. group 3	0.746	COMP1449	(0.721 COMP1237) (0.677 COMP1448) (0.668 COMP1441) (0.555 COMP1453) (0.462 COMP1450) (0.448 COMP1439/COMP1443) (0.416 COMP1447/COMP1452) (0.379 COMP683) (0.339 COMP1446) (0.312 COMP868) (0.286 COMP46) (0.264 COMP1435) (0.254 COMP1442) (0.240 COMP731) (0.235 COMP1438) (0.232 COMP1440) (0.194 COMP2295) (0.188 COMP908) (0.185 COMP1444/COMP1454) (0.179 COMP1445) (0.157 COMP1436) (0.123 COMP1437) (0.113 COMP732)
Cardiodepressant	0.453	COMP1438	(0.415 COMP1448) (0.409 COMP868) (0.393 COMP683) (0.385 COMP1449) (0.368 COMP1450) (0.355 COMP1237) (0.354 COMP1441) (0.296 COMP1445) (0.275 COMP1453) (0.228 COMP1436/COMP1437) (0.227 COMP732) (0.219 COMP1444) (0.197 COMP731) (0.152 COMP1439/COMP1443) (0.135 COMP908) (0.131 COMP1442)
Cytotoxic	0.735	COMP2295	(0.658 COMP46) (0.638 COMP1447/COMP1452) (0.616 COMP1442) (0.612 COMP1439/COMP1443) (0.610 COMP1435) (0.583 COMP1437) (0.575 COMP1444/COMP731) (0.570 COMP1446) (0.566 COMP908) (0.553 COMP1440) (0.550 COMP1451) (0.547 COMP1454) (0.518 COMP504) (0.500 COMP732) (0.465 COMP1453) (0.451 COMP1441) (0.447 COMP1237) (0.408 COMP1450) (0.400 COMP1449) (0.378 COMP1448) (0.332 COMP1438) (0.314 COMP868) (0.304 COMP1436) (0.295 COMP683) (0.251 COMP1445)
DNA damaging	0.876	COMP46	(0.680 COMP1442/COMP1446) (0.675 COMP1435) (0.674 COMP1447/COMP1452) (0.664 COMP1437) (0.646 COMP908) (0.644 COMP1439/COMP1443) (0.631 COMP1444) (0.617 COMP1440) (0.607 COMP731) (0.485 COMP1451) (0.469 COMP1441) (0.468 COMP1453) (0.455 COMP732) (0.445 COMP1454) (0.431 COMP1450) (0.425 COMP1237) (0.401 COMP1438) (0.396 COMP1449) (0.382 COMP504) (0.376 COMP1448) (0.354 COMP868) (0.315 COMP2295) (0.294 COMP683) (0.233 COMP1436)
Embryotoxic	0.843	COMP1444	(0.831 COMP1446) (0.815 COMP1440) (0.808 COMP1435) (0.797 COMP46) (0.763 COMP1447/COMP1452/COMP908) (0.745 COMP1439/COMP1443) (0.731 COMP731) (0.694 COMP1454) (0.682 COMP1442) (0.665 COMP1437) (0.610 COMP1451) (0.608 COMP732) (0.539 COMP1436) (0.516 COMP683) (0.481 COMP1448) (0.466 COMP868) (0.463 COMP1441) (0.445 COMP504) (0.441 COMP1453) (0.416 COMP1237) (0.380 COMP1449) (0.375 COMP2295) (0.281 COMP1450) (0.232 COMP1438) (0.178 COMP1445)
Eye irritation. high	0.324	COMP1237	(0.302 COMP683) (0.295 COMP1441) (0.293 COMP1436) (0.292 COMP1449) (0.261 COMP731) (0.252 COMP1448) (0.250 COMP1447/COMP1452) (0.229 COMP1439/COMP1443) (0.224 COMP868) (0.222 COMP1453) (0.211 COMP1438/COMP1444/COMP1450) (0.202 COMP1445) (0.179 COMP908) (0.175 COMP1437) (0.168 COMP1454) (0.167 COMP1442) (0.157 COMP1440) (0.152 COMP1446) (0.148 COMP1435) (0.143 COMP46) (0.128 COMP1451)
Genotoxic	0.974	COMP732	(0.970 COMP46) (0.957 COMP1435) (0.956 COMP1447/COMP1452) (0.945 COMP504) (0.944 COMP1439/COMP1443) (0.935 COMP1442) (0.881 COMP1440) (0.879 COMP1446) (0.875 COMP1453) (0.844 COMP1444) (0.837 COMP1441) (0.833 COMP1448) (0.817 COMP1237) (0.815 COMP908) (0.808 COMP1437) (0.778 COMP731) (0.767 COMP1449) (0.741 COMP1450) (0.731 COMP1454) (0.708 COMP1451) (0.637 COMP683) (0.559 COMP868) (0.554 COMP1438) (0.168 COMP1445) (0.151 COMP1436) (0.141 COMP2295)
Hypoglycemic	0.790	COMP731	(0.788 COMP46) (0.737 COMP1437) (0.735 COMP1444) (0.720 COMP1447/COMP1452) (0.703 COMP1439/COMP1443) (0.700 COMP1454) (0.692 COMP1435) (0.685 COMP1442) (0.683 COMP1440) (0.682 COMP1451) (0.642 COMP1446) (0.624 COMP908) (0.617 COMP732) (0.605 COMP504) (0.492 COMP683) (0.417 COMP1441) (0.400 COMP1448) (0.386 COMP1438) (0.364 COMP1237) (0.345 COMP868) (0.326 COMP1450) (0.308 COMP1453) (0.299 COMP1449) (0.293 COMP1436) (0.200 COMP1445)
Mutagenic	0.976	COMP46	(0.912 COMP1447/COMP1452) (0.904 COMP1439/COMP1443) (0.848 COMP1442) (0.836 COMP1435) (0.814 COMP1446) (0.808 COMP1444/COMP1454/COMP731) (0.783 COMP1440) (0.765 COMP1437) (0.755 COMP2295) (0.737 COMP1451) (0.718 COMP908) (0.669 COMP1441) (0.658 COMP1237) (0.641 COMP1449) (0.637 COMP504) (0.634 COMP1448) (0.583 COMP1453) (0.554 COMP732) (0.538 COMP1450) (0.457 COMP683) (0.384 COMP868) (0.349 COMP1438) (0.265 COMP1436) (0.254 COMP1445)
Pneumotoxic	0.615	COMP1438	(0.564 COMP868) (0.522 COMP1449) (0.509 COMP683) (0.491 COMP1237) (0.473 COMP732) (0.446 COMP1453) (0.403 COMP1450) (0.380 COMP1448) (0.310 COMP1441) (0.308 COMP2295) (0.300 COMP504) (0.294 COMP1445) (0.196 COMP1437) (0.194 COMP731) (0.192 COMP1444) (0.191 COMP908) (0.177 COMP1440) (0.164 COMP1446)
