Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.098	COMP153	
AR expression inhibitor	0.866	COMP358	(0.793 COMP350) (0.338 COMP153)
CTGF expression inhibitor	0.817	COMP350	(0.813 COMP358) (0.228 COMP153)
ICAM1 expression inhibitor	0.498	COMP153/COMP358	(0.402 COMP350)
LDLR expression enhancer	0.294	COMP350	(0.279 COMP358) (0.208 COMP153)
NOS2 expression inhibitor	0.819	COMP358	(0.757 COMP350) (0.578 COMP153)
NOS3 expression enhancer	0.382	COMP358	(0.312 COMP350)
NOS3 expression inhibitor	0.559	COMP358	(0.495 COMP350)
TNF expression inhibitor	0.698	COMP350	(0.683 COMP358) (0.634 COMP153)
VCAM1 expression inhibitor	0.367	COMP350	(0.313 COMP358) (0.275 COMP153)
VEGF expression inhibitor	0.357	COMP350	(0.314 COMP358)
