Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.797	COMP2027	(0.362 COMP77) (0.346 COMP697/COMP889) (0.324 COMP389/COMP390) (0.240 COMP285) (0.225 COMP887) (0.212 COMP2034) (0.186 COMP2030) (0.185 COMP290) (0.182 COMP683) (0.171 COMP60) (0.169 COMP12) (0.163 COMP121/COMP16/COMP18/COMP266) (0.162 COMP34/COMP36) (0.151 COMP864) (0.147 COMP724) (0.143 COMP2033) (0.142 COMP2031) (0.141 COMP48) (0.137 COMP2042/COMP282) (0.136 COMP122) (0.135 COMP1116/COMP1261) (0.134 COMP2059) (0.124 COMP2041/COMP2043/COMP2045) (0.123 COMP187) (0.119 COMP322/COMP40) (0.117 COMP2039) (0.108 COMP2044) (0.103 COMP27) (0.102 COMP191/COMP198) (0.101 COMP2052) (0.097 COMP2038) (0.096 COMP2048) (0.093 COMP2040) (0.092 COMP1880) (0.089 COMP20) (0.087 COMP308) (0.086 COMP185/COMP1943/COMP463/COMP774/COMP891)
AR expression inhibitor	0.953	COMP2026/COMP724	(0.937 COMP48) (0.928 COMP2027) (0.927 COMP34/COMP36) (0.913 COMP2033) (0.894 COMP463/COMP774/COMP891) (0.881 COMP185/COMP1943) (0.870 COMP191/COMP282) (0.862 COMP198) (0.854 COMP360) (0.806 COMP308) (0.796 COMP363) (0.793 COMP46) (0.788 COMP2040) (0.776 COMP290) (0.771 COMP1262/COMP1270/COMP301/COMP56) (0.735 COMP920) (0.730 COMP337) (0.672 COMP1880) (0.659 COMP389/COMP390) (0.656 COMP2039) (0.655 COMP2034) (0.652 COMP697/COMP889) (0.651 COMP1116/COMP1261) (0.642 COMP2038/COMP2057) (0.640 COMP1238/COMP335) (0.638 COMP2058) (0.631 COMP683) (0.630 COMP2049) (0.622 COMP215) (0.618 COMP2056) (0.612 COMP755) (0.611 COMP2047) (0.605 COMP1829) (0.602 COMP2051/COMP2052/COMP2059) (0.599 COMP2053) (0.587 COMP887) (0.578 COMP2030) (0.571 COMP2048) (0.570 COMP2046) (0.567 COMP2055) (0.556 COMP40) (0.540 COMP60) (0.524 COMP27) (0.521 COMP1167/COMP1731) (0.519 COMP2042) (0.513 COMP2050) (0.504 COMP121/COMP16/COMP18/COMP266) (0.503 COMP2041/COMP2043/COMP2045) (0.499 COMP122) (0.497 COMP1095/COMP2035) (0.496 COMP187) (0.495 COMP2054) (0.485 COMP77) (0.484 COMP20) (0.472 COMP2044) (0.471 COMP317) (0.461 COMP2031) (0.457 COMP285) (0.441 COMP12) (0.422 COMP1940) (0.420 COMP1143/COMP819) (0.363 COMP322) (0.342 COMP2037) (0.338 COMP864) (0.337 COMP2029) (0.334 COMP821/COMP835) (0.312 COMP804/COMP813/COMP833)
CTGF expression inhibitor	0.928	COMP48	(0.916 COMP724) (0.912 COMP191) (0.905 COMP308) (0.902 COMP198) (0.899 COMP2039) (0.884 COMP2040) (0.873 COMP317) (0.868 COMP34/COMP36) (0.862 COMP1143) (0.821 COMP389/COMP390) (0.816 COMP360) (0.811 COMP77) (0.807 COMP697/COMP889) (0.802 COMP887) (0.798 COMP2031) (0.777 COMP40) (0.771 COMP1880) (0.767 COMP285) (0.766 COMP121/COMP16/COMP18/COMP266) (0.759 COMP215) (0.758 COMP2038) (0.742 COMP27) (0.727 COMP363) (0.724 COMP2030) (0.704 COMP187/COMP60) (0.700 COMP2041/COMP2043/COMP2045) (0.678 COMP20) (0.673 COMP12) (0.664 COMP1262/COMP1270/COMP301/COMP56) (0.652 COMP683) (0.649 COMP2026) (0.640 COMP337) (0.628 COMP920) (0.616 COMP2044) (0.610 COMP322) (0.608 COMP46) (0.581 COMP122) (0.551 COMP185/COMP1943/COMP463/COMP774/COMP891) (0.535 COMP2042) (0.458 COMP819) (0.450 COMP864) (0.423 COMP804/COMP813/COMP833) (0.422 COMP821/COMP835) (0.387 COMP1116/COMP1261) (0.370 COMP2037) (0.333 COMP2029) (0.254 COMP1238/COMP335) (0.253 COMP2028/COMP2032/COMP2036) (0.236 COMP2034) (0.233 COMP1167/COMP1731) (0.230 COMP290) (0.227 COMP356/COMP805/COMP827) (0.222 COMP1095/COMP2033/COMP2035) (0.197 COMP282)
GRP78 expression inhibitor	0.072	COMP1167/COMP1731	(0.060 COMP804/COMP813/COMP833) (0.058 COMP819) (0.055 COMP1940) (0.050 COMP821/COMP835) (0.049 COMP356/COMP805/COMP827) (0.041 COMP12) (0.033 COMP121/COMP16/COMP18/COMP2030/COMP266/COMP683) (0.032 COMP864) (0.031 COMP122) (0.030 COMP322/COMP60) (0.029 COMP2031) (0.028 COMP1095/COMP2035) (0.027 COMP2029) (0.025 COMP337) (0.023 COMP40/COMP920) (0.022 COMP215) (0.021 COMP20/COMP27/COMP697/COMP889) (0.020 COMP1262/COMP1270/COMP2053/COMP2055/COMP301/COMP56)
ICAM1 expression inhibitor	0.702	COMP2056	(0.698 COMP290) (0.669 COMP2051/COMP755) (0.661 COMP2048) (0.659 COMP2047) (0.652 COMP1829) (0.647 COMP2059) (0.646 COMP2057) (0.640 COMP2055) (0.637 COMP2052/COMP2058) (0.635 COMP2049) (0.633 COMP34/COMP36) (0.631 COMP2046) (0.611 COMP46) (0.605 COMP1167/COMP1731) (0.602 COMP2053) (0.578 COMP1262/COMP1270/COMP301/COMP56) (0.571 COMP1238/COMP335) (0.569 COMP337) (0.568 COMP2050) (0.561 COMP2054/COMP282) (0.560 COMP48) (0.556 COMP724/COMP920) (0.554 COMP1940) (0.520 COMP2034) (0.517 COMP2033) (0.516 COMP215) (0.511 COMP27) (0.502 COMP363) (0.500 COMP20) (0.489 COMP360) (0.480 COMP389/COMP390) (0.477 COMP40) (0.476 COMP2030/COMP697/COMP889) (0.470 COMP463/COMP774/COMP891) (0.467 COMP187) (0.463 COMP60) (0.457 COMP2031) (0.456 COMP191) (0.452 COMP198/COMP887) (0.451 COMP1095/COMP2035) (0.447 COMP185/COMP1943) (0.446 COMP683) (0.436 COMP121/COMP16/COMP18/COMP266) (0.435 COMP2038) (0.434 COMP1880) (0.432 COMP308) (0.429 COMP2041/COMP2043/COMP2045) (0.428 COMP2026) (0.425 COMP2027) (0.423 COMP2040) (0.413 COMP77) (0.410 COMP2044) (0.405 COMP285) (0.403 COMP2037) (0.401 COMP12) (0.399 COMP122) (0.397 COMP2042) (0.392 COMP1116/COMP1261) (0.388 COMP2039) (0.372 COMP322) (0.354 COMP317) (0.333 COMP1143) (0.326 COMP864) (0.318 COMP819) (0.313 COMP821/COMP835) (0.300 COMP804/COMP813/COMP833)
LDLR expression enhancer	0.593	COMP2033	(0.375 COMP308) (0.365 COMP724/COMP77) (0.362 COMP2034) (0.351 COMP2027) (0.349 COMP48) (0.327 COMP1880/COMP2040) (0.315 COMP191) (0.312 COMP887) (0.301 COMP122) (0.286 COMP198) (0.280 COMP360) (0.272 COMP683) (0.266 COMP389/COMP390) (0.262 COMP2030/COMP60) (0.256 COMP285) (0.252 COMP215) (0.251 COMP34/COMP36) (0.249 COMP697/COMP889) (0.233 COMP2039) (0.226 COMP27) (0.225 COMP2038) (0.222 COMP290) (0.218 COMP2031) (0.214 COMP1143) (0.211 COMP20) (0.210 COMP40) (0.209 COMP187) (0.208 COMP322) (0.203 COMP1116/COMP1261) (0.192 COMP2042) (0.184 COMP363) (0.183 COMP282) (0.182 COMP2026) (0.180 COMP2041/COMP2043/COMP2045) (0.178 COMP12/COMP121/COMP16/COMP18/COMP266) (0.176 COMP864) (0.172 COMP317) (0.165 COMP819) (0.157 COMP2044) (0.137 COMP185/COMP1943/COMP463/COMP774/COMP891)
NOS2 expression inhibitor	0.972	COMP1238/COMP335	(0.967 COMP46) (0.958 COMP1262/COMP1270/COMP301/COMP56) (0.952 COMP920) (0.943 COMP337) (0.941 COMP363) (0.932 COMP1880) (0.915 COMP2056) (0.909 COMP2058) (0.903 COMP48) (0.893 COMP308) (0.874 COMP2049) (0.869 COMP724) (0.861 COMP191/COMP2052) (0.847 COMP2047/COMP282) (0.836 COMP2040) (0.826 COMP360) (0.807 COMP198) (0.805 COMP2053) (0.773 COMP2034) (0.767 COMP2048) (0.751 COMP2057) (0.743 COMP2026) (0.733 COMP215) (0.722 COMP290) (0.720 COMP2046) (0.683 COMP2059) (0.668 COMP755) (0.667 COMP2033) (0.649 COMP887) (0.642 COMP1829) (0.640 COMP2038) (0.603 COMP77) (0.597 COMP2051) (0.585 COMP389/COMP390) (0.583 COMP1167/COMP1731) (0.580 COMP187) (0.578 COMP2039) (0.568 COMP1116/COMP1261) (0.561 COMP34/COMP36) (0.558 COMP697/COMP889) (0.542 COMP27) (0.526 COMP2055) (0.523 COMP2031) (0.521 COMP2041/COMP2043/COMP2045) (0.515 COMP285/COMP40) (0.502 COMP20) (0.494 COMP2044) (0.477 COMP1143) (0.476 COMP2027) (0.471 COMP2030) (0.466 COMP463/COMP774/COMP891) (0.463 COMP12) (0.460 COMP1940) (0.457 COMP60) (0.445 COMP121/COMP16/COMP18/COMP2037/COMP266) (0.430 COMP122) (0.427 COMP2050/COMP317) (0.419 COMP2042) (0.412 COMP185/COMP1943) (0.411 COMP683) (0.379 COMP1095/COMP2035) (0.377 COMP2054) (0.373 COMP821/COMP835) (0.364 COMP864) (0.361 COMP322) (0.356 COMP804/COMP813/COMP833) (0.341 COMP819) (0.226 COMP356/COMP805/COMP827) (0.220 COMP2029) (0.208 COMP2028/COMP2032/COMP2036)
NOS3 expression enhancer	0.767	COMP463/COMP774/COMP891	(0.756 COMP1167/COMP1731) (0.755 COMP185/COMP1943) (0.722 COMP46) (0.721 COMP1262/COMP1270/COMP301/COMP34/COMP36/COMP56) (0.717 COMP724) (0.703 COMP48) (0.673 COMP389/COMP390) (0.672 COMP697/COMP889) (0.662 COMP920) (0.661 COMP337) (0.604 COMP363) (0.599 COMP191) (0.588 COMP1238/COMP335) (0.562 COMP198) (0.550 COMP887) (0.520 COMP2038) (0.501 COMP2026) (0.474 COMP308) (0.444 COMP1940) (0.435 COMP683) (0.430 COMP2030) (0.429 COMP2040) (0.423 COMP1880) (0.402 COMP187) (0.381 COMP60) (0.366 COMP2041/COMP2043/COMP2045) (0.349 COMP360) (0.329 COMP2044) (0.324 COMP285) (0.290 COMP2058) (0.275 COMP2047) (0.271 COMP1095/COMP2035/COMP215) (0.265 COMP1829) (0.263 COMP77) (0.261 COMP122) (0.254 COMP2039) (0.245 COMP2031) (0.239 COMP2053) (0.236 COMP2052) (0.234 COMP2049) (0.227 COMP2057) (0.224 COMP2046) (0.220 COMP2048/COMP2056) (0.212 COMP755) (0.199 COMP322) (0.191 COMP317) (0.170 COMP2059/COMP40) (0.164 COMP2055) (0.160 COMP2050) (0.158 COMP2051) (0.155 COMP2034) (0.141 COMP20/COMP27) (0.139 COMP864) (0.137 COMP1143) (0.134 COMP1116/COMP1261) (0.121 COMP2054)
NOS3 expression inhibitor	0.943	COMP1167/COMP1731	(0.910 COMP77) (0.862 COMP285) (0.842 COMP27) (0.837 COMP1262/COMP1270/COMP301/COMP56) (0.831 COMP724) (0.827 COMP48) (0.823 COMP20) (0.811 COMP920) (0.806 COMP337) (0.764 COMP40) (0.757 COMP1940/COMP46) (0.735 COMP2034) (0.718 COMP2042) (0.703 COMP191) (0.702 COMP198) (0.683 COMP1829) (0.678 COMP2057) (0.668 COMP363) (0.667 COMP215/COMP755) (0.664 COMP121/COMP16/COMP18/COMP266) (0.638 COMP1238/COMP335) (0.636 COMP2058) (0.632 COMP2031) (0.631 COMP308) (0.630 COMP2050) (0.629 COMP2026) (0.626 COMP2047) (0.612 COMP2040) (0.606 COMP2059) (0.605 COMP2055) (0.589 COMP2051) (0.581 COMP1880) (0.576 COMP2053) (0.568 COMP12/COMP864) (0.566 COMP2046) (0.565 COMP2052/COMP360) (0.564 COMP463/COMP774/COMP891) (0.560 COMP2049) (0.555 COMP2048/COMP2056) (0.554 COMP2054) (0.544 COMP2030) (0.526 COMP697/COMP889) (0.524 COMP185/COMP1943) (0.507 COMP2038) (0.506 COMP389/COMP390) (0.499 COMP282) (0.497 COMP290) (0.480 COMP821/COMP835) (0.466 COMP1095/COMP2035) (0.459 COMP2044) (0.458 COMP2041/COMP2043/COMP2045) (0.455 COMP804/COMP813/COMP833) (0.454 COMP887) (0.451 COMP60) (0.439 COMP819) (0.433 COMP683) (0.430 COMP187) (0.395 COMP1116/COMP1261) (0.368 COMP2039/COMP322) (0.366 COMP317/COMP34/COMP36) (0.362 COMP122) (0.336 COMP2028/COMP2032/COMP2036) (0.328 COMP1143) (0.284 COMP2033) (0.208 COMP2027) (0.196 COMP2037) (0.183 COMP356/COMP805/COMP827)
TNF expression inhibitor	0.967	COMP2034	(0.958 COMP2027) (0.951 COMP1262/COMP1270/COMP301/COMP56) (0.949 COMP34/COMP36) (0.947 COMP337) (0.944 COMP920) (0.927 COMP1238/COMP335) (0.922 COMP1880) (0.917 COMP2042) (0.899 COMP77) (0.892 COMP20) (0.890 COMP1116/COMP1261) (0.884 COMP290) (0.881 COMP27) (0.877 COMP48) (0.869 COMP46) (0.860 COMP308) (0.858 COMP2041/COMP2043/COMP2045) (0.857 COMP40) (0.849 COMP724) (0.840 COMP2044) (0.838 COMP2057) (0.836 COMP191) (0.833 COMP887) (0.811 COMP2028/COMP2032/COMP2036/COMP282) (0.801 COMP389/COMP390) (0.799 COMP2040) (0.792 COMP198) (0.783 COMP187) (0.772 COMP697/COMP889) (0.763 COMP121/COMP16/COMP18/COMP266) (0.755 COMP285) (0.745 COMP2038/COMP2058) (0.737 COMP215) (0.733 COMP864) (0.729 COMP755) (0.723 COMP2056) (0.722 COMP363) (0.716 COMP2059) (0.697 COMP2049) (0.694 COMP360) (0.681 COMP2051) (0.662 COMP1167/COMP1731) (0.646 COMP12/COMP185/COMP1943) (0.637 COMP1829) (0.636 COMP2030/COMP463/COMP774/COMP891) (0.633 COMP2047) (0.632 COMP2031) (0.627 COMP804/COMP813/COMP833) (0.622 COMP2052) (0.619 COMP60) (0.615 COMP2033) (0.604 COMP2039) (0.597 COMP1940) (0.588 COMP821/COMP835) (0.586 COMP122/COMP2026) (0.584 COMP683) (0.549 COMP2053) (0.537 COMP819) (0.536 COMP2055) (0.532 COMP2050) (0.530 COMP2048) (0.526 COMP1143) (0.517 COMP322) (0.495 COMP317) (0.492 COMP2054) (0.451 COMP2046) (0.416 COMP1095/COMP2035) (0.387 COMP2029) (0.355 COMP356/COMP805/COMP827) (0.340 COMP2037)
