Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.164	COMP27	(0.150 COMP40) (0.133 COMP121/COMP16/COMP18/COMP266) (0.123 COMP20) (0.094 COMP2031) (0.087 COMP12) (0.059 COMP2042) (0.049 COMP60) (0.046 COMP2030/COMP864) (0.041 COMP322) (0.040 COMP683) (0.038 COMP697/COMP889) (0.037 COMP389/COMP390) (0.035 COMP122/COMP2028/COMP2032/COMP2036) (0.031 COMP2029/COMP2041/COMP2043/COMP2045)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.020	COMP121/COMP16/COMP18/COMP266	(0.019 COMP12/COMP322) (0.016 COMP317/COMP60) (0.015 COMP2031/COMP40) (0.014 COMP683) (0.013 COMP1143/COMP2030/COMP27/COMP389/COMP390)
1.3-Beta-glucan synthase inhibitor	0.040	COMP1116/COMP1167/COMP1261/COMP1731	(0.036 COMP2034/COMP2042/COMP2056) (0.035 COMP285/COMP77) (0.034 COMP1940) (0.032 COMP1262/COMP1270/COMP301/COMP337/COMP56/COMP920) (0.031 COMP185/COMP1943/COMP2052/COMP2053/COMP27/COMP290/COMP34/COMP36) (0.030 COMP2046/COMP2048/COMP2049/COMP2058/COMP2059/COMP363/COMP40/COMP463/COMP774/COMP891) (0.029 COMP2047/COMP2050/COMP2054/COMP2057) (0.028 COMP121/COMP16/COMP18/COMP20/COMP2055/COMP266/COMP46/COMP821/COMP835) (0.027 COMP1095/COMP1829/COMP2035/COMP2051/COMP755)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.300	COMP290	(0.173 COMP2034) (0.169 COMP282) (0.137 COMP2033) (0.058 COMP2057) (0.045 COMP755) (0.042 COMP77)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.827	COMP290	(0.214 COMP2034) (0.205 COMP282) (0.202 COMP2033) (0.102 COMP77) (0.083 COMP2056) (0.068 COMP2059) (0.050 COMP2057) (0.044 COMP285) (0.039 COMP755) (0.038 COMP2051) (0.034 COMP2055) (0.033 COMP2052) (0.028 COMP322) (0.026 COMP2048) (0.025 COMP2058) (0.024 COMP2049)
12-Lipoxygenase inhibitor	0.883	COMP724	(0.869 COMP48) (0.829 COMP308) (0.798 COMP360) (0.796 COMP191) (0.767 COMP2026) (0.766 COMP2040) (0.740 COMP198) (0.635 COMP2033) (0.537 COMP1880) (0.507 COMP187) (0.503 COMP1143) (0.492 COMP215) (0.451 COMP122) (0.450 COMP317/COMP683) (0.446 COMP887) (0.432 COMP60) (0.426 COMP2038) (0.417 COMP2039) (0.410 COMP2031) (0.405 COMP2030) (0.399 COMP389/COMP390) (0.357 COMP20) (0.356 COMP697/COMP889) (0.343 COMP27) (0.308 COMP40) (0.289 COMP322) (0.268 COMP2041/COMP2043/COMP2045) (0.260 COMP121/COMP16/COMP18/COMP266) (0.220 COMP920) (0.218 COMP12) (0.205 COMP2044) (0.202 COMP2029) (0.199 COMP363) (0.194 COMP1262/COMP1270/COMP301/COMP56) (0.185 COMP337)
15-Lipoxygenase inhibitor	0.886	COMP724	(0.869 COMP48) (0.812 COMP308) (0.801 COMP191) (0.752 COMP2040) (0.738 COMP198) (0.723 COMP215) (0.718 COMP1880) (0.699 COMP2027) (0.668 COMP360) (0.588 COMP187) (0.569 COMP1143) (0.561 COMP2033) (0.541 COMP317) (0.526 COMP2026) (0.516 COMP683) (0.511 COMP887) (0.486 COMP389/COMP390) (0.476 COMP122) (0.467 COMP60) (0.466 COMP1116/COMP1261) (0.461 COMP20/COMP2038) (0.459 COMP2031) (0.447 COMP2030) (0.439 COMP27) (0.435 COMP697/COMP889) (0.392 COMP40) (0.383 COMP322) (0.362 COMP2029) (0.319 COMP2039) (0.317 COMP121/COMP16/COMP18/COMP266) (0.301 COMP34/COMP36) (0.238 COMP920) (0.230 COMP12) (0.224 COMP2041/COMP2043/COMP2045/COMP363)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.511	COMP2034	(0.275 COMP1116/COMP1261) (0.236 COMP282) (0.203 COMP77) (0.094 COMP290) (0.082 COMP285) (0.054 COMP27) (0.048 COMP40) (0.045 COMP20) (0.044 COMP34/COMP36) (0.041 COMP317) (0.037 COMP121/COMP16/COMP18/COMP2042/COMP266) (0.034 COMP2027) (0.033 COMP2038)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.021	COMP77	(0.018 COMP285) (0.013 COMP2034/COMP282)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.207	COMP317	(0.169 COMP2030) (0.155 COMP60) (0.143 COMP1143) (0.129 COMP683) (0.110 COMP322) (0.102 COMP122) (0.100 COMP2038) (0.095 COMP2031) (0.092 COMP198) (0.087 COMP191) (0.071 COMP2040) (0.069 COMP697/COMP77/COMP889) (0.068 COMP215) (0.067 COMP48) (0.065 COMP308) (0.064 COMP12) (0.063 COMP285) (0.058 COMP121/COMP16/COMP18/COMP266/COMP864) (0.057 COMP2029) (0.056 COMP2026) (0.055 COMP389/COMP390/COMP724) (0.053 COMP1880/COMP282) (0.050 COMP2033) (0.049 COMP187/COMP290)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.265	COMP2030	(0.224 COMP60) (0.212 COMP683) (0.161 COMP122) (0.119 COMP322) (0.082 COMP2031) (0.078 COMP804/COMP813/COMP833) (0.076 COMP12) (0.074 COMP317) (0.069 COMP121/COMP16/COMP18/COMP266) (0.068 COMP819) (0.065 COMP389/COMP390/COMP697/COMP889) (0.060 COMP821/COMP835) (0.059 COMP2038) (0.058 COMP1143) (0.057 COMP215) (0.055 COMP2029/COMP40) (0.053 COMP864) (0.051 COMP198/COMP20/COMP27/COMP356/COMP805/COMP827/COMP887) (0.047 COMP187) (0.045 COMP2026) (0.044 COMP191/COMP2040) (0.042 COMP2039) (0.041 COMP2041/COMP2043/COMP2045) (0.040 COMP724) (0.039 COMP2028/COMP2032/COMP2036)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.635	COMP724	(0.603 COMP48) (0.499 COMP337) (0.471 COMP1262/COMP1270/COMP301/COMP56) (0.419 COMP191) (0.381 COMP920) (0.343 COMP198) (0.289 COMP187/COMP2041/COMP2043/COMP2045) (0.281 COMP308) (0.259 COMP2040) (0.258 COMP683) (0.251 COMP60) (0.250 COMP2030) (0.234 COMP2044) (0.228 COMP389/COMP390) (0.223 COMP363) (0.210 COMP697/COMP889) (0.197 COMP122) (0.195 COMP46) (0.190 COMP887) (0.179 COMP1880) (0.178 COMP27) (0.171 COMP360) (0.162 COMP40) (0.153 COMP20) (0.145 COMP2031) (0.137 COMP121/COMP16/COMP18/COMP266) (0.132 COMP2038) (0.124 COMP322) (0.119 COMP215) (0.112 COMP463/COMP774/COMP891) (0.104 COMP12) (0.099 COMP1167/COMP1238/COMP1731/COMP335) (0.095 COMP2042) (0.091 COMP185/COMP1943) (0.086 COMP2039) (0.082 COMP317) (0.077 COMP2029) (0.075 COMP2026/COMP864) (0.063 COMP1143) (0.055 COMP1940) (0.052 COMP1116/COMP1261)
3C-like protease (Human coronavirus) inhibitor	0.330	COMP215	(0.310 COMP2029/COMP322) (0.294 COMP1143) (0.293 COMP282) (0.292 COMP317) (0.271 COMP122) (0.269 COMP60) (0.263 COMP2030) (0.246 COMP683) (0.240 COMP2026) (0.206 COMP2039) (0.197 COMP187) (0.189 COMP360) (0.180 COMP821/COMP835) (0.168 COMP198) (0.166 COMP2040) (0.151 COMP12) (0.150 COMP819) (0.149 COMP2038) (0.146 COMP191/COMP356/COMP805/COMP827) (0.145 COMP308) (0.144 COMP804/COMP813/COMP833) (0.143 COMP697/COMP889) (0.142 COMP48)
5 Hydroxytryptamine 1E antagonist	0.296	COMP2029	(0.285 COMP191/COMP308) (0.281 COMP2040) (0.276 COMP198) (0.271 COMP322) (0.241 COMP2038) (0.240 COMP2039/COMP356/COMP805/COMP827) (0.235 COMP697/COMP889) (0.218 COMP389/COMP390) (0.216 COMP887) (0.210 COMP48/COMP60) (0.207 COMP317) (0.205 COMP1143) (0.194 COMP215) (0.188 COMP2031) (0.182 COMP2030) (0.177 COMP683) (0.176 COMP724) (0.172 COMP12) (0.171 COMP122) (0.169 COMP121/COMP16/COMP18/COMP266)
5 Hydroxytryptamine 2A agonist	0.111	COMP819	(0.085 COMP804/COMP813/COMP833) (0.057 COMP356/COMP805/COMP827)
5 Hydroxytryptamine 2B agonist	0.051	COMP819	(0.039 COMP804/COMP813/COMP833)
5 Hydroxytryptamine 2C agonist	0.049	COMP356/COMP805/COMP827	
5 Hydroxytryptamine 3 agonist	0.065	COMP317/COMP322	(0.060 COMP356/COMP805/COMP827)
5 Hydroxytryptamine 3A agonist	0.157	COMP322	(0.101 COMP198) (0.099 COMP2029) (0.097 COMP2030) (0.096 COMP356/COMP805/COMP827) (0.091 COMP215) (0.090 COMP191)
5 Hydroxytryptamine 3E antagonist	0.256	COMP322	(0.226 COMP2038) (0.213 COMP804/COMP813/COMP833) (0.208 COMP2029) (0.205 COMP317) (0.198 COMP356/COMP805/COMP827) (0.192 COMP819) (0.190 COMP12) (0.189 COMP697/COMP889) (0.183 COMP215) (0.181 COMP60) (0.180 COMP389/COMP390) (0.179 COMP187) (0.177 COMP198) (0.173 COMP821/COMP835) (0.172 COMP121/COMP16/COMP18/COMP2030/COMP266/COMP683) (0.169 COMP191) (0.164 COMP2031)
5 Hydroxytryptamine 4 agonist	0.024	COMP356/COMP805/COMP827	
5 Hydroxytryptamine 4 antagonist	0.047	COMP322	
5 Hydroxytryptamine 6 agonist	0.031	COMP356/COMP805/COMP827	
5 Hydroxytryptamine 7 agonist	0.053	COMP322	
5 Hydroxytryptamine release inhibitor	0.923	COMP2029	(0.704 COMP2026) (0.697 COMP2030) (0.683 COMP198) (0.659 COMP2040/COMP819) (0.653 COMP60) (0.649 COMP191) (0.631 COMP2031) (0.630 COMP122) (0.626 COMP121/COMP16/COMP18/COMP266/COMP308) (0.621 COMP215) (0.617 COMP804/COMP813/COMP833) (0.615 COMP683) (0.610 COMP12) (0.602 COMP322) (0.584 COMP920) (0.574 COMP337) (0.573 COMP48) (0.562 COMP821/COMP835) (0.541 COMP1262/COMP1270/COMP301/COMP56) (0.539 COMP864) (0.538 COMP360/COMP724) (0.527 COMP40) (0.507 COMP356/COMP805/COMP827) (0.492 COMP27) (0.489 COMP34/COMP36) (0.483 COMP1116/COMP1261) (0.480 COMP46) (0.478 COMP187) (0.462 COMP2038) (0.458 COMP697/COMP889) (0.450 COMP1167/COMP1731) (0.442 COMP20) (0.409 COMP2042) (0.406 COMP1880) (0.404 COMP317) (0.400 COMP2037) (0.397 COMP389/COMP390) (0.384 COMP1143) (0.378 COMP887) (0.370 COMP2028/COMP2032/COMP2036) (0.334 COMP1940) (0.322 COMP2033/COMP363) (0.310 COMP2041/COMP2043/COMP2045) (0.291 COMP2044) (0.272 COMP1238/COMP335) (0.253 COMP2039)
