Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.833	COMP2039	(0.825 COMP2027) (0.716 COMP2042) (0.702 COMP317) (0.695 COMP1116/COMP1261) (0.563 COMP2038) (0.525 COMP1143) (0.488 COMP20) (0.421 COMP40) (0.400 COMP27) (0.352 COMP121/COMP16/COMP18/COMP266) (0.332 COMP77) (0.312 COMP285) (0.307 COMP697/COMP889) (0.306 COMP389/COMP390) (0.305 COMP12) (0.302 COMP864) (0.283 COMP2034) (0.260 COMP282) (0.254 COMP887) (0.228 COMP187) (0.221 COMP1167/COMP1731) (0.219 COMP2044) (0.205 COMP2041/COMP2043/COMP2045) (0.172 COMP2031) (0.161 COMP2028/COMP2032/COMP2036) (0.155 COMP804/COMP813/COMP833) (0.152 COMP60) (0.146 COMP821/COMP835) (0.145 COMP2051) (0.143 COMP683) (0.140 COMP2049) (0.137 COMP1095/COMP185/COMP1943/COMP2035/COMP463/COMP774/COMP891) (0.136 COMP2030) (0.132 COMP34/COMP36) (0.125 COMP290) (0.123 COMP2054) (0.122 COMP122/COMP819) (0.120 COMP2033) (0.118 COMP2059) (0.117 COMP322) (0.115 COMP1940) (0.113 COMP2052) (0.111 COMP2057) (0.110 COMP1829/COMP2048/COMP2056) (0.109 COMP2055/COMP755) (0.107 COMP2053/COMP2058/COMP920) (0.106 COMP337) (0.105 COMP2047) (0.104 COMP2046)
Aldehyde dehydrogenase substrate	0.598	COMP2039	(0.566 COMP317) (0.491 COMP1143) (0.395 COMP2042) (0.379 COMP2027) (0.336 COMP20) (0.311 COMP40) (0.301 COMP27) (0.294 COMP121/COMP16/COMP18/COMP266) (0.256 COMP12) (0.226 COMP2038) (0.224 COMP2031) (0.223 COMP1116/COMP1261) (0.219 COMP389/COMP390) (0.217 COMP60) (0.215 COMP864) (0.211 COMP697/COMP889) (0.206 COMP683/COMP887) (0.203 COMP187) (0.201 COMP1167/COMP1731) (0.196 COMP2030) (0.181 COMP2041/COMP2043/COMP2045) (0.180 COMP804/COMP813/COMP833) (0.179 COMP122) (0.176 COMP2044) (0.149 COMP322) (0.148 COMP819) (0.141 COMP821/COMP835) (0.125 COMP282) (0.118 COMP185/COMP1943/COMP463/COMP774/COMP891) (0.115 COMP2028/COMP2032/COMP2036) (0.108 COMP34/COMP36) (0.105 COMP215) (0.099 COMP308/COMP920)
Aldehyde oxidase substrate	0.698	COMP317	(0.648 COMP1143) (0.322 COMP60) (0.295 COMP683/COMP804/COMP813/COMP833) (0.289 COMP864) (0.283 COMP12) (0.279 COMP322) (0.277 COMP819) (0.275 COMP2039) (0.259 COMP122) (0.255 COMP121/COMP16/COMP18/COMP266) (0.253 COMP2031) (0.248 COMP2030) (0.219 COMP389/COMP390) (0.212 COMP821/COMP835) (0.207 COMP2041/COMP2043/COMP2045) (0.205 COMP887) (0.193 COMP215) (0.186 COMP40) (0.183 COMP2038) (0.180 COMP697/COMP889) (0.173 COMP191) (0.170 COMP2029) (0.166 COMP20/COMP2044/COMP27) (0.165 COMP187) (0.164 COMP2028/COMP2032/COMP2036/COMP308) (0.162 COMP198/COMP356/COMP805/COMP827) (0.143 COMP2040) (0.139 COMP48) (0.137 COMP360) (0.134 COMP2026)
Aldose reductase substrate	0.954	COMP1167/COMP1731	(0.792 COMP1940) (0.528 COMP2039) (0.482 COMP337) (0.461 COMP920) (0.442 COMP1262/COMP1270/COMP301/COMP56) (0.379 COMP46) (0.358 COMP864) (0.357 COMP363) (0.338 COMP1116/COMP1261) (0.336 COMP1238/COMP335) (0.302 COMP2059) (0.297 COMP12) (0.290 COMP1095/COMP2035) (0.289 COMP2052) (0.288 COMP2057) (0.287 COMP2051) (0.282 COMP2048/COMP2049/COMP2056) (0.281 COMP755) (0.277 COMP2058) (0.275 COMP1829) (0.274 COMP2055) (0.272 COMP2047) (0.270 COMP2053) (0.267 COMP463/COMP774/COMP891) (0.265 COMP2046) (0.262 COMP2054) (0.258 COMP2050) (0.250 COMP821/COMP835) (0.248 COMP121/COMP16/COMP18/COMP266) (0.240 COMP2028/COMP2032/COMP2036) (0.231 COMP2031) (0.226 COMP185/COMP1943) (0.206 COMP804/COMP813/COMP833) (0.204 COMP697/COMP889) (0.200 COMP2042) (0.197 COMP2044) (0.194 COMP40) (0.193 COMP819) (0.190 COMP389/COMP390) (0.187 COMP34/COMP36) (0.183 COMP2041/COMP2043/COMP2045) (0.180 COMP317/COMP887) (0.179 COMP20/COMP27) (0.176 COMP2038) (0.170 COMP1143) (0.165 COMP60) (0.161 COMP322) (0.160 COMP122) (0.152 COMP2030/COMP683) (0.138 COMP215) (0.130 COMP198/COMP2040) (0.126 COMP187)
Arylamine N-Acetyltransferase substrate	0.466	COMP804/COMP813/COMP833	(0.418 COMP27) (0.390 COMP20) (0.381 COMP40) (0.378 COMP819) (0.350 COMP60) (0.348 COMP2030) (0.345 COMP821/COMP835) (0.332 COMP683) (0.318 COMP121/COMP16/COMP18/COMP266) (0.295 COMP2031) (0.274 COMP12) (0.263 COMP864) (0.253 COMP2042) (0.234 COMP322) (0.219 COMP697/COMP889) (0.214 COMP122) (0.206 COMP198) (0.194 COMP191) (0.185 COMP389/COMP390) (0.184 COMP2029) (0.151 COMP215) (0.142 COMP2038) (0.140 COMP2040) (0.135 COMP308/COMP317) (0.115 COMP887) (0.114 COMP337/COMP48) (0.112 COMP920) (0.110 COMP1167/COMP1731) (0.105 COMP2026/COMP2041/COMP2043/COMP2045) (0.087 COMP2044) (0.084 COMP724) (0.082 COMP2028/COMP2032/COMP2036) (0.071 COMP360)
CYP1A2 inhibitor	0.945	COMP48	(0.921 COMP360) (0.919 COMP724) (0.908 COMP308) (0.883 COMP2040) (0.843 COMP191) (0.823 COMP1880) (0.796 COMP198) (0.781 COMP2026) (0.613 COMP215) (0.430 COMP887) (0.397 COMP1262/COMP1270/COMP301/COMP56) (0.395 COMP2039) (0.377 COMP337) (0.375 COMP920) (0.362 COMP389/COMP390) (0.352 COMP697/COMP889) (0.342 COMP1143) (0.337 COMP187) (0.284 COMP2027) (0.281 COMP2038) (0.280 COMP46) (0.275 COMP317) (0.267 COMP1238/COMP335) (0.240 COMP122) (0.239 COMP2030) (0.227 COMP2029) (0.217 COMP60) (0.216 COMP2041/COMP2043/COMP2045) (0.211 COMP2037) (0.205 COMP683) (0.194 COMP2031) (0.180 COMP363) (0.178 COMP27/COMP322)
CYP1A2 substrate	0.965	COMP2027	(0.931 COMP1880) (0.919 COMP724) (0.912 COMP48) (0.798 COMP215) (0.786 COMP2042) (0.776 COMP2038) (0.759 COMP2040) (0.758 COMP191) (0.755 COMP308) (0.746 COMP198) (0.739 COMP317) (0.733 COMP1143) (0.713 COMP2039) (0.665 COMP360) (0.659 COMP1238/COMP335) (0.600 COMP27) (0.574 COMP697/COMP889) (0.572 COMP1262/COMP1270/COMP301/COMP56) (0.569 COMP389/COMP390) (0.564 COMP887) (0.561 COMP2026) (0.557 COMP46) (0.532 COMP40) (0.521 COMP920) (0.513 COMP20) (0.504 COMP2031) (0.497 COMP12) (0.432 COMP337) (0.430 COMP864) (0.428 COMP121/COMP16/COMP18/COMP266) (0.407 COMP363) (0.397 COMP683) (0.393 COMP2030) (0.373 COMP122) (0.359 COMP60) (0.354 COMP185/COMP1943) (0.340 COMP2041/COMP2043/COMP2045) (0.336 COMP804/COMP813/COMP833) (0.335 COMP187) (0.332 COMP819) (0.308 COMP1116/COMP1261) (0.299 COMP2044) (0.290 COMP2037) (0.275 COMP322) (0.269 COMP77) (0.264 COMP463/COMP774/COMP891) (0.252 COMP821/COMP835) (0.251 COMP1167/COMP1731) (0.243 COMP2028/COMP2032/COMP2036) (0.236 COMP285) (0.230 COMP34/COMP356/COMP36/COMP805/COMP827)
CYP24 inhibitor	0.060	COMP285/COMP77	(0.045 COMP2034) (0.022 COMP2038) (0.020 COMP2039)
CYP2A6 inhibitor	0.258	COMP2026	(0.255 COMP215) (0.237 COMP317) (0.171 COMP1143) (0.143 COMP198) (0.136 COMP2037) (0.122 COMP322) (0.109 COMP191) (0.097 COMP2040) (0.093 COMP48) (0.080 COMP724/COMP819) (0.078 COMP12) (0.075 COMP804/COMP813/COMP833) (0.073 COMP121/COMP16/COMP18/COMP266) (0.067 COMP2031) (0.066 COMP308/COMP40)
CYP2B6 inhibitor	0.732	COMP2027	(0.533 COMP308) (0.528 COMP191) (0.518 COMP2040) (0.506 COMP198) (0.443 COMP215) (0.440 COMP2026) (0.436 COMP2042) (0.430 COMP27) (0.427 COMP1116/COMP1261) (0.391 COMP40) (0.375 COMP20) (0.374 COMP48) (0.367 COMP2038) (0.330 COMP121/COMP16/COMP18/COMP266) (0.329 COMP724) (0.320 COMP887) (0.317 COMP697/COMP889) (0.315 COMP2031/COMP389/COMP390) (0.307 COMP360) (0.287 COMP12) (0.261 COMP1143) (0.260 COMP2039) (0.256 COMP317) (0.255 COMP187) (0.253 COMP1880) (0.252 COMP804/COMP813/COMP833) (0.246 COMP819) (0.239 COMP322) (0.238 COMP60) (0.215 COMP2030/COMP821/COMP835) (0.210 COMP683/COMP864) (0.207 COMP122) (0.190 COMP2041/COMP2043/COMP2045) (0.185 COMP2034) (0.171 COMP2044) (0.162 COMP282) (0.152 COMP77) (0.147 COMP2029)
