Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.594	COMP2042	(0.581 COMP77) (0.566 COMP285) (0.544 COMP40) (0.532 COMP282) (0.530 COMP27) (0.528 COMP1116/COMP1261) (0.507 COMP121/COMP16/COMP18/COMP266) (0.506 COMP20) (0.500 COMP2034) (0.489 COMP12) (0.456 COMP34/COMP36) (0.455 COMP2038) (0.453 COMP2030) (0.444 COMP290) (0.441 COMP2027/COMP864) (0.431 COMP2031) (0.429 COMP697/COMP889) (0.419 COMP60) (0.413 COMP122) (0.407 COMP683) (0.392 COMP389/COMP390) (0.385 COMP322) (0.375 COMP887) (0.359 COMP2033) (0.349 COMP356/COMP805/COMP827) (0.343 COMP187/COMP2041/COMP2043/COMP2045) (0.337 COMP2044) (0.335 COMP821/COMP835) (0.334 COMP2057) (0.326 COMP2028/COMP2032/COMP2036) (0.322 COMP804/COMP813/COMP833) (0.300 COMP755) (0.299 COMP1167/COMP1731) (0.295 COMP185/COMP1943/COMP463/COMP774/COMP891) (0.284 COMP819) (0.267 COMP198) (0.261 COMP2040) (0.252 COMP191) (0.244 COMP317) (0.241 COMP2029) (0.231 COMP215) (0.230 COMP308) (0.228 COMP1095/COMP2035) (0.224 COMP1143) (0.223 COMP1829/COMP2059) (0.221 COMP2055) (0.215 COMP1880) (0.210 COMP2039) (0.203 COMP360) (0.201 COMP2051/COMP48) (0.190 COMP2058) (0.187 COMP724) (0.184 COMP2026) (0.172 COMP2047) (0.167 COMP2050) (0.149 COMP2053) (0.142 COMP1940)
Carcinogenic	0.944	COMP285	(0.940 COMP46) (0.925 COMP77) (0.923 COMP2027) (0.912 COMP1262/COMP1270/COMP301/COMP56) (0.886 COMP1940) (0.866 COMP920) (0.853 COMP337) (0.849 COMP2042) (0.828 COMP1116/COMP1261) (0.807 COMP363) (0.790 COMP185/COMP1943/COMP724) (0.789 COMP463/COMP774/COMP891) (0.778 COMP1238/COMP335) (0.775 COMP20) (0.753 COMP48) (0.748 COMP27) (0.739 COMP2049) (0.735 COMP34/COMP36) (0.725 COMP2058) (0.715 COMP2044) (0.708 COMP40) (0.697 COMP2034) (0.694 COMP2057) (0.677 COMP2056) (0.676 COMP215) (0.675 COMP191) (0.666 COMP2026) (0.665 COMP1829/COMP2054) (0.663 COMP2047) (0.652 COMP2039) (0.650 COMP187) (0.648 COMP2050) (0.640 COMP2051) (0.639 COMP198) (0.624 COMP2041/COMP2043/COMP2045) (0.622 COMP755) (0.619 COMP1167/COMP1731) (0.616 COMP2038) (0.614 COMP317) (0.607 COMP389/COMP390) (0.605 COMP864) (0.602 COMP121/COMP16/COMP18/COMP266) (0.597 COMP697/COMP889) (0.559 COMP2052) (0.536 COMP12) (0.522 COMP683) (0.515 COMP2028/COMP2032/COMP2036) (0.512 COMP308) (0.508 COMP2059) (0.493 COMP282) (0.468 COMP2040) (0.466 COMP2048) (0.462 COMP2030) (0.445 COMP60) (0.440 COMP1143) (0.436 COMP821/COMP835) (0.433 COMP887) (0.422 COMP819) (0.419 COMP1880) (0.405 COMP804/COMP813/COMP833) (0.404 COMP2031) (0.393 COMP360) (0.384 COMP2053) (0.365 COMP322) (0.351 COMP1095/COMP2035) (0.342 COMP290) (0.323 COMP122) (0.313 COMP2046) (0.283 COMP2055) (0.274 COMP2037) (0.239 COMP2033) (0.142 COMP2029) (0.137 COMP356/COMP805/COMP827)
Carcinogenic. group 1	0.822	COMP1167/COMP1731	(0.658 COMP819) (0.593 COMP215) (0.527 COMP2031) (0.486 COMP12) (0.476 COMP1940) (0.461 COMP121/COMP16/COMP18/COMP266) (0.460 COMP864) (0.441 COMP40) (0.424 COMP804/COMP813/COMP833) (0.393 COMP1262/COMP1270/COMP20/COMP27/COMP301/COMP56) (0.382 COMP821/COMP835) (0.361 COMP322) (0.358 COMP920) (0.341 COMP337) (0.340 COMP2026) (0.329 COMP122) (0.318 COMP198) (0.315 COMP683) (0.313 COMP2042) (0.305 COMP2028/COMP2032/COMP2036) (0.304 COMP697/COMP889) (0.302 COMP2030) (0.294 COMP724) (0.292 COMP2038) (0.290 COMP363) (0.287 COMP2040) (0.274 COMP317) (0.273 COMP191) (0.268 COMP48) (0.266 COMP60) (0.260 COMP360) (0.258 COMP1143) (0.250 COMP308) (0.237 COMP1095/COMP2035) (0.236 COMP389/COMP390) (0.223 COMP887) (0.193 COMP46) (0.190 COMP2041/COMP2043/COMP2045) (0.187 COMP2039) (0.182 COMP2044) (0.177 COMP356/COMP805/COMP827) (0.174 COMP187) (0.173 COMP1116/COMP1261) (0.169 COMP2029) (0.148 COMP1880) (0.138 COMP2037)
Carcinogenic. group 2A	0.824	COMP1167/COMP1731	(0.467 COMP1940) (0.280 COMP215) (0.225 COMP322) (0.197 COMP804/COMP813/COMP833) (0.195 COMP337) (0.185 COMP122) (0.179 COMP363) (0.176 COMP2038/COMP683/COMP920) (0.170 COMP1095/COMP2035) (0.160 COMP317) (0.158 COMP12/COMP1262/COMP1270/COMP301/COMP56) (0.150 COMP1143) (0.147 COMP60) (0.143 COMP819) (0.142 COMP2030) (0.129 COMP2026) (0.128 COMP821/COMP835) (0.122 COMP121/COMP16/COMP18/COMP266) (0.121 COMP697/COMP889) (0.117 COMP864) (0.110 COMP198) (0.106 COMP2039) (0.104 COMP2028/COMP2032/COMP2036) (0.102 COMP389/COMP390) (0.099 COMP40) (0.095 COMP2040) (0.094 COMP1238/COMP335) (0.093 COMP187/COMP887) (0.086 COMP191) (0.083 COMP46) (0.082 COMP20/COMP2031/COMP27) (0.079 COMP724) (0.078 COMP308/COMP360) (0.075 COMP1116/COMP1261)
Carcinogenic. group 2B	0.550	COMP187	(0.546 COMP2041/COMP2043/COMP2045) (0.509 COMP389/COMP390) (0.495 COMP697/COMP889) (0.426 COMP2044) (0.393 COMP317) (0.383 COMP819) (0.364 COMP804/COMP813/COMP833) (0.348 COMP887) (0.338 COMP198) (0.328 COMP191/COMP337) (0.323 COMP1167/COMP1731) (0.298 COMP2038) (0.289 COMP2039) (0.264 COMP1143/COMP46) (0.263 COMP215) (0.251 COMP2040) (0.248 COMP12) (0.239 COMP920) (0.234 COMP60) (0.229 COMP864) (0.228 COMP2026) (0.226 COMP48) (0.223 COMP308/COMP322) (0.215 COMP821/COMP835) (0.210 COMP2031) (0.205 COMP2030/COMP683) (0.203 COMP121/COMP16/COMP18/COMP266) (0.202 COMP1262/COMP1270/COMP301/COMP56) (0.191 COMP1238/COMP335/COMP724) (0.187 COMP363) (0.161 COMP40) (0.155 COMP1880) (0.150 COMP1940) (0.146 COMP1116/COMP1261) (0.139 COMP122) (0.138 COMP185/COMP1943) (0.136 COMP463/COMP774/COMP891) (0.135 COMP27) (0.119 COMP20) (0.104 COMP360) (0.096 COMP2028/COMP2029/COMP2032/COMP2036) (0.088 COMP356/COMP805/COMP827) (0.085 COMP2042)
Carcinogenic. group 3	0.782	COMP2026	(0.751 COMP48) (0.720 COMP215) (0.672 COMP724) (0.608 COMP198) (0.533 COMP191) (0.527 COMP2038) (0.519 COMP697/COMP889) (0.508 COMP2030) (0.454 COMP40) (0.451 COMP187) (0.439 COMP389/COMP390) (0.432 COMP60) (0.431 COMP121/COMP16/COMP18/COMP266) (0.406 COMP363) (0.403 COMP2039) (0.395 COMP1262/COMP1270/COMP301/COMP56) (0.394 COMP2040) (0.381 COMP27) (0.379 COMP683) (0.359 COMP317) (0.346 COMP2041/COMP2043/COMP2045) (0.337 COMP322) (0.330 COMP12) (0.327 COMP308) (0.324 COMP1167/COMP1731) (0.317 COMP20) (0.305 COMP804/COMP813/COMP833) (0.302 COMP337) (0.298 COMP864) (0.297 COMP920) (0.292 COMP819) (0.290 COMP2044) (0.287 COMP2031) (0.286 COMP46) (0.277 COMP887) (0.242 COMP2037) (0.241 COMP122/COMP360) (0.240 COMP77) (0.227 COMP463/COMP774/COMP891) (0.216 COMP2042) (0.214 COMP1143) (0.198 COMP821/COMP835) (0.174 COMP185/COMP1943) (0.164 COMP1116/COMP1261) (0.119 COMP2029) (0.114 COMP285) (0.113 COMP1880) (0.110 COMP356/COMP805/COMP827) (0.102 COMP2028/COMP2032/COMP2036) (0.096 COMP1940)
Cardiodepressant	0.788	COMP2028/COMP2032/COMP2036	(0.638 COMP290) (0.497 COMP360) (0.465 COMP60) (0.438 COMP2031) (0.414 COMP864) (0.412 COMP121/COMP16/COMP18/COMP266) (0.409 COMP804/COMP813/COMP833) (0.406 COMP2030) (0.398 COMP122) (0.393 COMP683) (0.366 COMP2033) (0.363 COMP12) (0.360 COMP282) (0.357 COMP77) (0.356 COMP308) (0.345 COMP322) (0.342 COMP191) (0.341 COMP187/COMP821/COMP835) (0.334 COMP2038) (0.332 COMP2040/COMP356/COMP805/COMP827) (0.329 COMP48) (0.328 COMP198) (0.326 COMP819) (0.317 COMP887) (0.316 COMP40) (0.295 COMP2041/COMP2043/COMP2045/COMP389/COMP390) (0.285 COMP2044) (0.270 COMP285/COMP724) (0.269 COMP1143) (0.264 COMP27) (0.257 COMP1116/COMP1261) (0.255 COMP1880) (0.250 COMP697/COMP889) (0.249 COMP215) (0.247 COMP317) (0.239 COMP34/COMP36) (0.222 COMP2042) (0.221 COMP2039) (0.213 COMP363) (0.205 COMP1167/COMP1731/COMP185/COMP1943/COMP463/COMP774/COMP891) (0.200 COMP20) (0.199 COMP2029) (0.167 COMP920) (0.135 COMP1262/COMP1270/COMP301/COMP56)
Cytotoxic	0.813	COMP2047	(0.807 COMP2058) (0.803 COMP2056) (0.776 COMP2048) (0.775 COMP2046) (0.766 COMP2052/COMP2053) (0.763 COMP2050) (0.759 COMP2049) (0.738 COMP755) (0.725 COMP2057) (0.709 COMP1829) (0.700 COMP1238/COMP335) (0.696 COMP2054) (0.684 COMP2055) (0.678 COMP2051) (0.675 COMP2059) (0.658 COMP46) (0.644 COMP2034) (0.640 COMP920) (0.628 COMP363) (0.626 COMP1262/COMP1270/COMP301/COMP56) (0.620 COMP337) (0.607 COMP77) (0.605 COMP2033) (0.602 COMP290) (0.586 COMP285) (0.572 COMP1167/COMP1731) (0.550 COMP34/COMP36) (0.548 COMP282) (0.546 COMP2042) (0.521 COMP1940) (0.513 COMP1880) (0.486 COMP185/COMP1943) (0.480 COMP463/COMP774/COMP891) (0.477 COMP20) (0.475 COMP2027) (0.467 COMP2039) (0.461 COMP2037) (0.456 COMP27/COMP724) (0.454 COMP48) (0.447 COMP1143) (0.446 COMP317) (0.433 COMP40) (0.428 COMP191) (0.427 COMP308) (0.421 COMP821/COMP835) (0.403 COMP360) (0.402 COMP215) (0.398 COMP198) (0.390 COMP864) (0.383 COMP2040) (0.366 COMP1116/COMP1261) (0.364 COMP1095/COMP2035) (0.360 COMP121/COMP16/COMP18/COMP266) (0.334 COMP2041/COMP2043/COMP2045) (0.322 COMP819) (0.318 COMP12) (0.308 COMP2044) (0.303 COMP2030) (0.302 COMP2026) (0.301 COMP187) (0.297 COMP804/COMP813/COMP833) (0.295 COMP683) (0.291 COMP887) (0.290 COMP389/COMP390) (0.288 COMP697/COMP889) (0.284 COMP60) (0.275 COMP2031) (0.273 COMP122) (0.242 COMP2038) (0.205 COMP2028/COMP2032/COMP2036) (0.199 COMP322) (0.172 COMP356/COMP805/COMP827) (0.168 COMP2029)
DNA damaging	0.876	COMP46	(0.824 COMP1262/COMP1270/COMP301/COMP56) (0.758 COMP1238/COMP335) (0.743 COMP337) (0.735 COMP920) (0.644 COMP363) (0.642 COMP1167/COMP1731) (0.585 COMP360) (0.542 COMP308) (0.519 COMP724) (0.500 COMP191) (0.479 COMP48) (0.472 COMP2040) (0.468 COMP215) (0.463 COMP198) (0.437 COMP887) (0.430 COMP1880) (0.425 COMP2026) (0.422 COMP2038) (0.409 COMP187) (0.403 COMP389/COMP390) (0.397 COMP697/COMP889) (0.382 COMP1143) (0.354 COMP804/COMP813/COMP833) (0.344 COMP317) (0.334 COMP121/COMP16/COMP18/COMP266) (0.328 COMP2028/COMP2032/COMP2036) (0.326 COMP819) (0.321 COMP12/COMP185/COMP1943) (0.319 COMP1940) (0.316 COMP2041/COMP2043/COMP2045) (0.313 COMP122) (0.307 COMP463/COMP774/COMP891) (0.298 COMP2029) (0.294 COMP683) (0.291 COMP2031) (0.275 COMP40) (0.259 COMP2044) (0.250 COMP2030) (0.246 COMP2034) (0.242 COMP60) (0.235 COMP34/COMP36) (0.230 COMP322) (0.226 COMP27) (0.207 COMP1116/COMP1261) (0.194 COMP77) (0.186 COMP2056) (0.183 COMP2042) (0.182 COMP821/COMP835) (0.181 COMP2037/COMP2039) (0.180 COMP20) (0.175 COMP2049) (0.165 COMP864) (0.159 COMP1095/COMP2035)
Embryotoxic	0.908	COMP77	(0.902 COMP1940) (0.899 COMP285) (0.887 COMP2027) (0.834 COMP1167/COMP1731) (0.806 COMP463/COMP774/COMP891) (0.802 COMP185/COMP1943) (0.797 COMP46) (0.788 COMP920) (0.784 COMP2047) (0.771 COMP2058) (0.770 COMP2042) (0.768 COMP1262/COMP1270/COMP301/COMP56) (0.763 COMP337) (0.740 COMP2056) (0.737 COMP1238/COMP335) (0.731 COMP1116/COMP1261) (0.720 COMP1829) (0.714 COMP2049) (0.708 COMP2048) (0.705 COMP1095/COMP2035) (0.702 COMP40) (0.695 COMP2052) (0.674 COMP755) (0.671 COMP121/COMP16/COMP18/COMP266) (0.658 COMP2057) (0.649 COMP2046) (0.644 COMP27) (0.642 COMP12) (0.632 COMP2053) (0.626 COMP20) (0.599 COMP2026) (0.596 COMP187) (0.586 COMP819) (0.580 COMP2051) (0.573 COMP804/COMP813/COMP833) (0.552 COMP363) (0.536 COMP2034) (0.533 COMP2039) (0.529 COMP2059) (0.516 COMP683) (0.513 COMP697/COMP889) (0.502 COMP389/COMP390) (0.501 COMP2041/COMP2043/COMP2045) (0.500 COMP724) (0.484 COMP2030) (0.477 COMP2031) (0.471 COMP60) (0.465 COMP2055) (0.461 COMP48) (0.460 COMP2050) (0.452 COMP2038) (0.448 COMP821/COMP835) (0.437 COMP2044) (0.436 COMP864) (0.406 COMP215) (0.391 COMP191) (0.386 COMP282) (0.377 COMP887) (0.376 COMP122) (0.365 COMP198) (0.348 COMP2054) (0.321 COMP317) (0.313 COMP1880) (0.281 COMP308) (0.276 COMP322) (0.261 COMP2040) (0.233 COMP356/COMP805/COMP827) (0.229 COMP1143) (0.218 COMP360) (0.211 COMP2028/COMP2032/COMP2036) (0.170 COMP290) (0.163 COMP2029) (0.160 COMP34/COMP36)
