Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.843	COMP178	(0.725 COMP2061) (0.400 COMP860) (0.205 COMP2783) (0.045 COMP2777)
5 Hydroxytryptamine 1A agonist	0.059	COMP2779	(0.046 COMP2777) (0.045 COMP2780)
5 Hydroxytryptamine 2A agonist	0.131	COMP2777	(0.082 COMP2780) (0.072 COMP2778)
5 Hydroxytryptamine 2B agonist	0.109	COMP2777	(0.045 COMP2778) (0.044 COMP2780)
5 Hydroxytryptamine 2C antagonist	0.095	COMP2777	
5 Hydroxytryptamine 3 agonist	0.298	COMP2780	(0.186 COMP2778) (0.170 COMP2777) (0.124 COMP2779)
5 Hydroxytryptamine 3A agonist	0.279	COMP2777	(0.207 COMP2778) (0.176 COMP2780)
5 Hydroxytryptamine 4 agonist	0.050	COMP2777	(0.027 COMP2778)
5 Hydroxytryptamine uptake inhibitor	0.292	COMP2777	(0.072 COMP2780)
ATPase inhibitor	0.327	COMP1444	(0.226 COMP1487) (0.167 COMP2777) (0.158 COMP877) (0.155 COMP854)
Acetylcholine M1 receptor agonist	0.450	COMP2777	(0.243 COMP2778) (0.068 COMP2780) (0.058 COMP2779)
Acetylcholine M1 receptor antagonist	0.425	COMP2777	(0.312 COMP2778) (0.212 COMP2780)
Acetylcholine M2 receptor agonist	0.472	COMP2777	(0.223 COMP2778) (0.098 COMP2780) (0.062 COMP2779)
Acetylcholine M2 receptor antagonist	0.315	COMP2777	(0.173 COMP2778) (0.116 COMP2779) (0.081 COMP2780)
Acetylcholine M3 receptor agonist	0.295	COMP2777	(0.219 COMP2778) (0.183 COMP2780) (0.108 COMP2779)
Acetylcholine M3 receptor antagonist	0.272	COMP2777	(0.100 COMP2778) (0.078 COMP2779)
Acetylcholinesterase inhibitor	0.236	COMP2781	(0.144 COMP877) (0.131 COMP2061) (0.113 COMP178/COMP860)
Acyl-CoA dehydrogenase inhibitor	0.082	COMP1444	
Adenosine A1 receptor agonist	0.033	COMP1444	
Adenosine deaminase inhibitor	0.092	COMP1444	
Adenylate cyclase inhibitor	0.295	COMP1444	
Adenylate kinase inhibitor	0.244	COMP1444	(0.091 COMP2777)
Adrenaline uptake inhibitor	0.237	COMP2777	(0.096 COMP2780) (0.079 COMP2778)
Alcohol dehydrogenase inhibitor	0.206	COMP1444	
Aldosterone antagonist	0.311	COMP860	(0.215 COMP2783) (0.128 COMP2061) (0.117 COMP178) (0.071 COMP2777)
Alkaline phosphatase inhibitor	0.179	COMP1444	
Alpha 1a adrenoreceptor antagonist	0.218	COMP2777	(0.110 COMP2778)
Alpha 1b adrenoreceptor antagonist	0.101	COMP2777	
Alpha 2a adrenoreceptor antagonist	0.299	COMP2777	(0.123 COMP2778) (0.084 COMP2780)
Alpha-mannosidase inhibitor	0.367	COMP1444	(0.089 COMP2777) (0.049 COMP877)
Androgen agonist	0.166	COMP860	(0.155 COMP2783) (0.130 COMP178) (0.117 COMP2061) (0.087 COMP2777) (0.075 COMP2779) (0.057 COMP2780) (0.055 COMP2778)
Androgen antagonist	0.254	COMP860	(0.188 COMP2783) (0.119 COMP178) (0.108 COMP2061)
Arginase inhibitor	0.084	COMP1444	(0.052 COMP2777)
Argininosuccinate synthase inhibitor	0.100	COMP1444	(0.050 COMP2777)
Beta 2 adrenoreceptor antagonist	0.045	COMP2781	
Butyrylcholinesterase inhibitor	0.160	COMP2781	
CYP1A2 inhibitor	0.190	COMP2781	
CYP2D6 inhibitor	0.383	COMP2777	(0.221 COMP2781)
CYP3A4 inhibitor	0.210	COMP2785	(0.200 COMP2777)
Ca2+-transporting ATPase inhibitor	0.182	COMP1444	(0.162 COMP2777/COMP877) (0.157 COMP1487/COMP854) (0.151 COMP2782) (0.137 COMP2780) (0.129 COMP2779)
Calcium channel L-type blocker	0.075	COMP2777	
Carbonic anhydrase II inhibitor	0.049	COMP1444	
Carbonic anhydrase inhibitor	0.090	COMP1444	
Cyclooxygenase 1 inhibitor	0.123	COMP1444	(0.120 COMP1487)
Cyclooxygenase 2 inhibitor	0.125	COMP1487	
Cyclooxygenase inhibitor	0.142	COMP1487	
Cystathionine beta-synthase inhibitor	0.355	COMP1487	(0.318 COMP877) (0.295 COMP854) (0.288 COMP1444) (0.269 COMP2782)
DNA polymerase beta inhibitor	0.391	COMP877	(0.351 COMP2782) (0.268 COMP854)
DOPA decarboxylase inhibitor	0.099	COMP1444	
Dipeptidyl peptidase IV inhibitor	0.171	COMP2777	(0.145 COMP2778) (0.066 COMP2779) (0.059 COMP2780)
Dopamine D2 antagonist	0.150	COMP2777	(0.104 COMP2781) (0.061 COMP2778)
Dopamine uptake inhibitor	0.275	COMP2777	(0.130 COMP2778) (0.078 COMP2780)
Electron transport complex I inhibitor	0.116	COMP2781	(0.112 COMP2782) (0.105 COMP877) (0.100 COMP1487/COMP854)
Estrogen agonist	0.128	COMP2783	(0.113 COMP860) (0.066 COMP178) (0.056 COMP1444) (0.055 COMP2061) (0.050 COMP1487) (0.046 COMP877) (0.044 COMP854)
Fumarate hydratase inhibitor	0.044	COMP1444	
GABA A receptor agonist	0.096	COMP860	
GABA aminotransferase inhibitor	0.207	COMP1444	
GRP78 expression inhibitor	0.045	COMP1444	(0.022 COMP860) (0.021 COMP2777)
Glucocorticoid agonist	0.028	COMP860	(0.015 COMP2783)
Glucocorticoid antagonist	0.098	COMP2785	(0.064 COMP860) (0.044 COMP2783)
Glucose-6-phosphate isomerase inhibitor	0.223	COMP1444	(0.044 COMP2777) (0.043 COMP877)
Glutamate dehydrogenase inhibitor	0.133	COMP1444	(0.070 COMP2777)
HERG channel blocker	0.690	COMP2777	(0.365 COMP2778) (0.198 COMP2780)
HMG CoA reductase inhibitor	0.045	COMP178	(0.042 COMP2061) (0.033 COMP2783)
Heat shock protein 70 antagonist	0.175	COMP1444	(0.133 COMP2779) (0.132 COMP2777)
Hexokinase inhibitor	0.430	COMP1444	
Histamine H1 receptor antagonist	0.123	COMP2777	(0.101 COMP2779) (0.076 COMP2778)
Histamine H2 receptor antagonist	0.130	COMP2777	
Histamine H3 receptor agonist	0.026	COMP2777	
Hypoxanthine phosphoribosyltransferase inhibitor	0.035	COMP1444	
MAO A inhibitor	0.125	COMP2781	
MAO inhibitor	0.264	COMP2781	
Na+ K+ transporting ATPase inhibitor	0.213	COMP2783	(0.154 COMP860) (0.151 COMP178) (0.149 COMP2061) (0.145 COMP1444) (0.117 COMP2785) (0.108 COMP1487) (0.100 COMP877) (0.089 COMP854) (0.074 COMP2777)
Nav1.5 sodium channel blocker	0.100	COMP2777	
Neuropeptide Y1 antagonist	0.144	COMP2777	
Nicotinic alpha4 receptor agonist	0.271	COMP2780	(0.185 COMP2778) (0.167 COMP2777) (0.108 COMP2779)
Opioid delta receptor antagonist	0.089	COMP2777	
Opioid kappa receptor agonist	0.299	COMP2785	(0.176 COMP2777) (0.150 COMP860) (0.040 COMP2778)
Opioid mu receptor agonist	0.051	COMP2777	
Ornithine carbamoyltransferase inhibitor	0.053	COMP1444	
Peroxidase inhibitor	0.227	COMP1444	
Phenylalanine 4-hydroxylase inhibitor	0.065	COMP1444	
Phosphodiesterase 4D inhibitor	0.144	COMP2779	
Phosphodiesterase inhibitor	0.239	COMP2779	
Phosphofructokinase-1 inhibitor	0.451	COMP1444	(0.082 COMP1487) (0.059 COMP877)
Phosphoglycerate kinase inhibitor	0.094	COMP1444	
Phospholipase A2 inhibitor	0.259	COMP178	(0.225 COMP2061) (0.191 COMP2782) (0.128 COMP877) (0.124 COMP1444/COMP1487/COMP854)
Phospholipase C inhibitor	0.866	COMP178	(0.732 COMP2061) (0.544 COMP2783) (0.341 COMP860) (0.248 COMP1444) (0.170 COMP2777)
Phosphorylase inhibitor	0.853	COMP178	(0.740 COMP2061) (0.441 COMP1444) (0.208 COMP2783) (0.043 COMP860)
Pyruvate kinase inhibitor	0.149	COMP1444	
Retinoic acid alpha receptor agonist	0.037	COMP860	
S-adenosyl-L-homocysteine hydrolase inhibitor	0.013	COMP1444	
Sodium channel blocker	0.110	COMP2777	
Succinate dehydrogenase inhibitor	0.172	COMP1444	(0.149 COMP1487/COMP854/COMP877) (0.148 COMP2782) (0.144 COMP2777) (0.139 COMP2780)
Superoxide dismutase inhibitor	0.288	COMP2777	(0.184 COMP2780)
Topoisomerase I inhibitor	0.600	COMP1487	(0.579 COMP877) (0.522 COMP854) (0.511 COMP2782) (0.438 COMP1444) (0.214 COMP2779) (0.181 COMP2781) (0.168 COMP2783) (0.138 COMP2778) (0.090 COMP2780)
Topoisomerase II alpha inhibitor	0.436	COMP1487	(0.340 COMP877) (0.319 COMP854) (0.270 COMP2782) (0.249 COMP1444) (0.142 COMP2781) (0.113 COMP2783) (0.073 COMP860)
Triose-phosphate isomerase inhibitor	0.626	COMP1444	(0.114 COMP2777)
Tyrosine 3 hydroxylase inhibitor	0.271	COMP2777	(0.235 COMP2780) (0.199 COMP2781)
UDP-glucose 4-epimerase inhibitor	0.567	COMP1444	(0.101 COMP877) (0.090 COMP2780) (0.089 COMP2777)
