Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.295	COMP1444	
Acetylcholine release stimulant	0.246	COMP2777	(0.183 COMP2778) (0.165 COMP2781) (0.123 COMP2780) (0.106 COMP2779)
Actinic keratosis treatment	0.213	COMP1444	(0.181 COMP860) (0.160 COMP2783) (0.149 COMP178) (0.126 COMP1487) (0.108 COMP2061) (0.099 COMP2782) (0.096 COMP854) (0.095 COMP2777) (0.092 COMP877)
Acute neurologic disorders treatment	0.210	COMP2781	(0.190 COMP2780)
Acute respiratory distress syndrome (ARDS) treatment	0.472	COMP2783	(0.380 COMP1444) (0.317 COMP178) (0.281 COMP2061) (0.271 COMP860)
Alzheimer's disease treatment	0.649	COMP2777	(0.555 COMP877) (0.532 COMP2778) (0.512 COMP2780) (0.501 COMP2782) (0.372 COMP2783) (0.354 COMP1444) (0.313 COMP1487) (0.237 COMP178)
Amyotrophic lateral sclerosis treatment	0.281	COMP2777	(0.272 COMP2783) (0.254 COMP860)
Anabolic	0.192	COMP860	(0.186 COMP2783) (0.177 COMP178) (0.162 COMP2061) (0.126 COMP1444) (0.113 COMP2785) (0.109 COMP2777) (0.100 COMP1487/COMP854) (0.099 COMP877)
Analeptic	0.814	COMP1444	(0.659 COMP2780) (0.630 COMP2778) (0.521 COMP2777) (0.431 COMP860) (0.370 COMP2783) (0.367 COMP2779) (0.347 COMP1487/COMP854) (0.342 COMP877) (0.276 COMP2782) (0.173 COMP2061) (0.163 COMP2781)
Analgesic	0.794	COMP2777	(0.632 COMP2778) (0.536 COMP2780)
Analgesic. non-opioid	0.770	COMP2777	(0.568 COMP2778) (0.518 COMP2780)
Analgesic. opioid	0.151	COMP2777	(0.086 COMP2785)
Andropause treatment	0.075	COMP1444	(0.067 COMP2783)
Anesthetic	0.294	COMP2061	(0.199 COMP2783) (0.191 COMP860) (0.174 COMP2777) (0.169 COMP178) (0.102 COMP1444)
Anesthetic general	0.533	COMP1444	(0.397 COMP2777) (0.325 COMP860) (0.315 COMP2783) (0.167 COMP2778) (0.160 COMP2061)
