Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.532	COMP2783	(0.506 COMP860) (0.473 COMP178) (0.467 COMP2061) (0.248 COMP2777) (0.226 COMP1444)
Carcinogenic	0.905	COMP1487	(0.829 COMP1444) (0.790 COMP877) (0.771 COMP854) (0.708 COMP2782) (0.493 COMP2783) (0.416 COMP178) (0.306 COMP2061) (0.225 COMP860) (0.195 COMP2781) (0.188 COMP2785)
Carcinogenic. group 1	0.440	COMP1444	(0.259 COMP1487) (0.199 COMP877) (0.183 COMP2781) (0.179 COMP854) (0.154 COMP2777)
Carcinogenic. group 2A	0.326	COMP1444	(0.155 COMP1487) (0.109 COMP877) (0.085 COMP854)
Carcinogenic. group 2B	0.226	COMP1444	(0.138 COMP1487) (0.099 COMP877) (0.086 COMP854)
Carcinogenic. group 3	0.185	COMP1444	(0.111 COMP1487) (0.097 COMP2785) (0.095 COMP2777)
Cardiodepressant	0.628	COMP2777	(0.360 COMP2783) (0.313 COMP860) (0.304 COMP2061) (0.300 COMP2778) (0.299 COMP178) (0.219 COMP1444) (0.181 COMP2781)
Cytotoxic	0.602	COMP1487	(0.575 COMP1444) (0.551 COMP2061) (0.548 COMP2783) (0.543 COMP178) (0.504 COMP877) (0.503 COMP860) (0.498 COMP854) (0.377 COMP2781) (0.364 COMP2782) (0.162 COMP2785)
DNA damaging	0.783	COMP1487	(0.631 COMP1444) (0.491 COMP854) (0.485 COMP877) (0.271 COMP2781) (0.231 COMP2782) (0.160 COMP2777)
Embryotoxic	0.843	COMP1444	(0.698 COMP1487) (0.517 COMP877) (0.497 COMP854) (0.494 COMP2782) (0.386 COMP2783) (0.302 COMP860) (0.202 COMP2781) (0.184 COMP2061) (0.163 COMP2777) (0.154 COMP178)
Eye irritation. high	0.211	COMP1444	(0.194 COMP2777) (0.147 COMP1487) (0.127 COMP877) (0.123 COMP854)
Genotoxic	0.963	COMP1487	(0.868 COMP877) (0.864 COMP854) (0.844 COMP1444) (0.669 COMP2782) (0.231 COMP2781)
Hypoglycemic	0.735	COMP1444	(0.605 COMP178) (0.551 COMP2061) (0.495 COMP1487) (0.473 COMP877) (0.471 COMP2782) (0.381 COMP2783) (0.365 COMP854) (0.288 COMP860)
Mutagenic	0.884	COMP1487	(0.808 COMP1444) (0.630 COMP877) (0.566 COMP854) (0.563 COMP2782) (0.241 COMP2781)
Pneumotoxic	0.358	COMP1487/COMP854	(0.297 COMP877) (0.263 COMP2777) (0.231 COMP2782) (0.196 COMP2778) (0.192 COMP1444) (0.185 COMP2785) (0.169 COMP2783) (0.168 COMP2780) (0.151 COMP860)
Sedative	0.349	COMP2777	(0.244 COMP1444) (0.196 COMP860) (0.165 COMP2778) (0.156 COMP2783)
Sensitization	0.751	COMP1444	(0.744 COMP1487) (0.656 COMP854) (0.654 COMP877) (0.609 COMP2782) (0.570 COMP2783) (0.544 COMP860) (0.485 COMP2061) (0.391 COMP178) (0.217 COMP2785)
Skin irritative effect	0.208	COMP1487	(0.166 COMP1444) (0.109 COMP854) (0.104 COMP877)
Teratogen	0.800	COMP1444	(0.439 COMP1487) (0.413 COMP2783) (0.332 COMP860) (0.317 COMP877) (0.302 COMP2782) (0.294 COMP854) (0.257 COMP2781) (0.231 COMP2061) (0.193 COMP178) (0.180 COMP2777)
Toxic. respiratory center	0.212	COMP2061	(0.192 COMP2777) (0.181 COMP860) (0.172 COMP2783) (0.161 COMP178)
Ulceration	0.574	COMP1444	(0.366 COMP2777) (0.293 COMP1487/COMP854) (0.252 COMP877) (0.243 COMP2780) (0.233 COMP2782) (0.222 COMP2778) (0.214 COMP860)
