Name	Activation_Prob	Compound	Another_Probs
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.015	COMP179	
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.145	COMP19	
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.035	COMP19	
12-Lipoxygenase inhibitor	0.866	COMP180	(0.740 COMP198) (0.492 COMP179)
15-Lipoxygenase inhibitor	0.777	COMP180	(0.738 COMP198) (0.451 COMP179)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.051	COMP19	
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.114	COMP179	(0.092 COMP198) (0.055 COMP19)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.067	COMP179	(0.051 COMP198)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.343	COMP198	(0.197 COMP180) (0.133 COMP179)
3C-like protease (Human coronavirus) inhibitor	0.169	COMP179	(0.168 COMP198)
5 Hydroxytryptamine 1E antagonist	0.276	COMP198	(0.198 COMP179) (0.185 COMP180)
5 Hydroxytryptamine 3A agonist	0.101	COMP198	
5 Hydroxytryptamine 3E antagonist	0.178	COMP179	(0.177 COMP198) (0.163 COMP19)
5 Hydroxytryptamine 7 agonist	0.077	COMP179	
5 Hydroxytryptamine release inhibitor	0.683	COMP198	(0.535 COMP180) (0.418 COMP179) (0.323 COMP19)
5 Hydroxytryptamine release stimulant	0.469	COMP198	(0.367 COMP180) (0.317 COMP179) (0.210 COMP19)
5 Hydroxytryptamine uptake stimulant	0.450	COMP180	(0.445 COMP198) (0.424 COMP179) (0.307 COMP19)
5-Alpha-reductase 1 inhibitor	0.044	COMP19	
5-Alpha-reductase 2 inhibitor	0.025	COMP19	(0.021 COMP179)
5-Alpha-reductase inhibitor	0.186	COMP19	(0.060 COMP179)
5-Lipoxygenase inhibitor	0.406	COMP198	(0.391 COMP180) (0.257 COMP179)
ABCA1 expression enhancer	0.139	COMP179/COMP19	(0.102 COMP198)
AICAR transformylase inhibitor	0.040	COMP179	
ALK inhibitor	0.106	COMP19	
AMP-activated protein kinase stimulant	0.198	COMP198	(0.184 COMP180) (0.098 COMP179)
ATP citrate lysase inhibitor	0.125	COMP198	(0.060 COMP179) (0.037 COMP19) (0.029 COMP180)
ATPase (Vacuolar H+) inhibitor	0.168	COMP19	(0.134 COMP179) (0.086 COMP180)
ATPase inhibitor	0.296	COMP179	(0.291 COMP19) (0.200 COMP198) (0.149 COMP180)
Acetyl-CoA transferase 1 inhibitor	0.145	COMP179	
Acetyl-CoA transferase 2 inhibitor	0.068	COMP179	(0.061 COMP19)
Acetyl-CoA transferase inhibitor	0.266	COMP179	
Acetylcholine M1 receptor antagonist	0.141	COMP19	
Acetylcholine antagonist	0.123	COMP19	
Acetylcholine muscarinic antagonist	0.100	COMP19	
Acetylcholine nicotinic antagonist	0.091	COMP19	
Acetylcholine release stimulant	0.103	COMP179	(0.097 COMP198)
Acetylcholinesterase inhibitor	0.483	COMP180	(0.482 COMP198)
Aconitate hydratase inhibitor	0.111	COMP19	(0.064 COMP179) (0.057 COMP198)
Acyl-CoA dehydrogenase inhibitor	0.061	COMP179	
Adenine nucleotide translocase inhibitor	0.068	COMP179	
Adenosine A1 receptor antagonist	0.050	COMP198	
Adenosine A3 receptor antagonist	0.080	COMP198	
Adenosine deaminase inhibitor	0.052	COMP198	
Adenosine uptake inhibitor	0.035	COMP19	(0.033 COMP179)
Adenylate cyclase inhibitor	0.136	COMP179	(0.120 COMP198)
Adenylate cyclase stimulant	0.197	COMP179	(0.177 COMP198) (0.169 COMP19) (0.156 COMP180)
Adenylate kinase inhibitor	0.126	COMP179	(0.114 COMP198) (0.093 COMP19)
Adrenaline agonist	0.089	COMP179	
Alcohol dehydrogenase inhibitor	0.304	COMP198	(0.115 COMP180) (0.101 COMP179)
Alcohol oxidase inhibitor	0.194	COMP198	(0.111 COMP179) (0.052 COMP19)
Aldehyde dehydrogenase inhibitor	0.567	COMP198	(0.172 COMP179) (0.137 COMP180)
Aldehyde oxidase inhibitor	0.932	COMP198	(0.789 COMP180) (0.555 COMP179) (0.183 COMP19)
Aldose reductase inhibitor	0.420	COMP180	(0.387 COMP198)
Alkaline phosphatase inhibitor	0.341	COMP198	(0.338 COMP180) (0.168 COMP179)
Alkylator	0.234	COMP180	(0.233 COMP198) (0.121 COMP179) (0.104 COMP19)
Alpha 1L adrenoreceptor agonist	0.076	COMP179	
Alpha 1L adrenoreceptor antagonist	0.087	COMP179	
Alpha 1d adrenoreceptor agonist	0.047	COMP179	
Alpha 2b adrenoreceptor agonist	0.019	COMP179	
Alpha 2c adrenoreceptor antagonist	0.087	COMP180	
Alpha tubulin antagonist	0.530	COMP180	(0.222 COMP198) (0.068 COMP179)
Alpha-N-acetylglucosaminidase inhibitor	0.305	COMP179	(0.231 COMP19) (0.225 COMP198)
Alpha-mannosidase inhibitor	0.053	COMP19	(0.052 COMP179)
Aminoacyl-tRNA synthetase inhibitor	0.142	COMP198	
Aminopeptidase B inhibitor	0.130	COMP179	(0.099 COMP19) (0.092 COMP198)
Aminopeptidase I inhibitor	0.099	COMP179	(0.074 COMP19) (0.064 COMP198)
Amylase inhibitor	0.620	COMP180	(0.617 COMP198) (0.317 COMP179)
Amyloid beta aggregation inhibitor	0.785	COMP180	(0.773 COMP198) (0.336 COMP179)
Amyloid beta precursor protein antagonist	0.320	COMP180	(0.289 COMP198) (0.198 COMP179)
Anabolic	0.171	COMP19	(0.149 COMP198) (0.147 COMP179)
Analgesic	0.410	COMP19	
Analgesic. opioid	0.072	COMP19	
Androgen agonist	0.117	COMP19	(0.090 COMP179) (0.083 COMP198)
Androgen antagonist	0.204	COMP198	(0.172 COMP19) (0.148 COMP179) (0.097 COMP180)
Anesthetic general	0.620	COMP179	(0.245 COMP19) (0.162 COMP180) (0.149 COMP198)
Anesthetic local	0.282	COMP179	(0.101 COMP19)
Angiogenesis inhibitor	0.252	COMP180	(0.209 COMP198)
Angiogenesis stimulant	0.354	COMP198	(0.315 COMP180) (0.308 COMP19) (0.285 COMP179)
Antiamyloidogenic	0.604	COMP180	(0.511 COMP198) (0.323 COMP179) (0.152 COMP19)
Antibacterial	0.479	COMP198	(0.423 COMP180) (0.398 COMP19) (0.363 COMP179)
Antibiotic Anthracycline-like	0.022	COMP198	(0.020 COMP179)
Antibiotic Tetracycline-like	0.017	COMP198	
Anticonvulsant	0.361	COMP19	
Antiinflammatory	0.820	COMP19	(0.666 COMP198) (0.653 COMP180) (0.542 COMP179)
Antimitotic	0.619	COMP180	(0.191 COMP198)
Antineoplastic antibiotic	0.184	COMP19	(0.172 COMP198) (0.145 COMP180) (0.086 COMP179)
Antiobesity	0.433	COMP19	
Antioxidant	0.872	COMP180	(0.830 COMP198) (0.501 COMP179) (0.211 COMP19)
Antipruritic	0.188	COMP19	(0.160 COMP179)
Antithrombotic	0.401	COMP19	(0.329 COMP180) (0.291 COMP198) (0.252 COMP179)
Apoptosis agonist	0.888	COMP180	(0.821 COMP198) (0.616 COMP19) (0.527 COMP179)
Apoptosis antagonist	0.534	COMP198	(0.531 COMP180) (0.408 COMP179)
Arachidonic acid antagonist	0.231	COMP179	(0.204 COMP19) (0.201 COMP198) (0.182 COMP180)
Arginase inhibitor	0.082	COMP198	(0.039 COMP180)
