Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.412	COMP1254	(0.392 COMP1966) (0.366 COMP501) (0.346 COMP697/COMP889) (0.325 COMP621) (0.324 COMP389/COMP390) (0.231 COMP1119) (0.226 COMP1265) (0.225 COMP887) (0.216 COMP971) (0.212 COMP2790) (0.194 COMP1934/COMP2140) (0.186 COMP2412) (0.182 COMP683) (0.181 COMP2793) (0.180 COMP155) (0.174 COMP9) (0.171 COMP60) (0.168 COMP112/COMP134) (0.167 COMP2798) (0.163 COMP18) (0.160 COMP2805) (0.157 COMP525) (0.154 COMP1192/COMP474/COMP543/COMP905) (0.149 COMP2819) (0.148 COMP875/COMP974) (0.147 COMP724) (0.146 COMP114/COMP131) (0.145 COMP49) (0.144 COMP124/COMP512/COMP715/COMP810/COMP882) (0.143 COMP2792) (0.142 COMP546) (0.141 COMP48) (0.140 COMP475) (0.139 COMP144/COMP179/COMP19/COMP2801) (0.138 COMP725) (0.136 COMP122) (0.135 COMP1116/COMP1261) (0.133 COMP109/COMP136/COMP145) (0.128 COMP271) (0.127 COMP505) (0.126 COMP1431/COMP616) (0.123 COMP113/COMP132/COMP142) (0.122 COMP158/COMP172) (0.120 COMP1244) (0.119 COMP322/COMP638) (0.114 COMP1241) (0.112 COMP2787/COMP872) (0.107 COMP1166/COMP502) (0.106 COMP1881/COMP2171/COMP338) (0.104 COMP11/COMP8) (0.102 COMP191/COMP198) (0.101 COMP737/COMP775/COMP776/COMP777/COMP778) (0.099 COMP6) (0.098 COMP1181/COMP153) (0.095 COMP2799) (0.094 COMP544) (0.092 COMP1880) (0.091 COMP2794) (0.090 COMP141/COMP264/COMP547) (0.087 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.086 COMP2803/COMP774/COMP891) (0.085 COMP2808)
AR expression inhibitor	0.953	COMP724	(0.937 COMP48/COMP49) (0.901 COMP1119) (0.894 COMP774/COMP891) (0.870 COMP180/COMP191) (0.862 COMP198) (0.859 COMP971) (0.856 COMP1254) (0.843 COMP875/COMP974) (0.819 COMP2819) (0.810 COMP737/COMP775/COMP776/COMP777/COMP778) (0.805 COMP512/COMP715/COMP781/COMP810/COMP882) (0.793 COMP1577/COMP46) (0.784 COMP2816/COMP2817/COMP348) (0.775 COMP857) (0.771 COMP56) (0.758 COMP305) (0.731 COMP302/COMP338) (0.725 COMP1272/COMP310) (0.711 COMP2786) (0.708 COMP361) (0.707 COMP1881/COMP2171) (0.706 COMP296/COMP524) (0.680 COMP1892) (0.676 COMP2805) (0.672 COMP1880) (0.659 COMP389/COMP390) (0.658 COMP11/COMP8) (0.653 COMP299) (0.652 COMP697/COMP889) (0.651 COMP1116/COMP1261) (0.650 COMP621) (0.640 COMP1192/COMP1238/COMP335/COMP474/COMP543/COMP905) (0.631 COMP683) (0.596 COMP112/COMP134/COMP1431) (0.587 COMP2789/COMP887) (0.577 COMP150/COMP151/COMP163) (0.557 COMP101) (0.549 COMP2791) (0.540 COMP60) (0.536 COMP109/COMP136/COMP145) (0.529 COMP1668/COMP523) (0.523 COMP725) (0.521 COMP2818) (0.515 COMP1184) (0.512 COMP2798) (0.507 COMP2412) (0.504 COMP18) (0.499 COMP122) (0.498 COMP2787) (0.491 COMP1966) (0.484 COMP2788) (0.474 COMP271) (0.471 COMP141/COMP264/COMP2803/COMP547) (0.463 COMP133/COMP170) (0.461 COMP1934/COMP2140) (0.458 COMP1265) (0.455 COMP118) (0.445 COMP110/COMP1166/COMP123/COMP161/COMP502) (0.440 COMP1240/COMP1247/COMP295) (0.431 COMP2793) (0.417 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.408 COMP166) (0.387 COMP179/COMP505) (0.378 COMP2790) (0.367 COMP2797/COMP2814/COMP2815) (0.363 COMP322) (0.347 COMP475) (0.343 COMP124) (0.338 COMP1181/COMP153) (0.337 COMP4) (0.334 COMP1658/COMP2792) (0.327 COMP638) (0.320 COMP113/COMP132/COMP142) (0.319 COMP2808) (0.313 COMP312) (0.300 COMP943/COMP947/COMP952) (0.299 COMP2801) (0.278 COMP616) (0.268 COMP6) (0.264 COMP501) (0.261 COMP144/COMP19) (0.255 COMP114/COMP131) (0.254 COMP2794/COMP2799) (0.243 COMP872) (0.235 COMP525/COMP546) (0.230 COMP2810) (0.225 COMP1244/COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.222 COMP2795/COMP9) (0.211 COMP2806) (0.197 COMP2809) (0.188 COMP2800) (0.185 COMP2807) (0.181 COMP155)
CTGF expression inhibitor	0.928	COMP48	(0.919 COMP49) (0.916 COMP724) (0.912 COMP191) (0.902 COMP198) (0.842 COMP2786) (0.840 COMP1577) (0.836 COMP2793) (0.821 COMP389/COMP390) (0.819 COMP737/COMP775/COMP776/COMP777/COMP778) (0.811 COMP180) (0.807 COMP697/COMP889) (0.803 COMP971) (0.802 COMP887) (0.796 COMP338) (0.783 COMP512/COMP715/COMP810/COMP882) (0.771 COMP1880) (0.766 COMP18) (0.761 COMP1881/COMP2171) (0.751 COMP781) (0.738 COMP875/COMP974) (0.711 COMP2805) (0.710 COMP505) (0.704 COMP2798/COMP60/COMP857) (0.686 COMP475) (0.683 COMP725) (0.677 COMP271) (0.672 COMP1934/COMP2140) (0.671 COMP361) (0.664 COMP56) (0.660 COMP2819) (0.652 COMP683) (0.635 COMP179) (0.629 COMP1272/COMP310) (0.618 COMP305) (0.611 COMP501) (0.610 COMP322) (0.608 COMP46) (0.586 COMP2787) (0.585 COMP1658) (0.581 COMP122) (0.563 COMP123/COMP161) (0.562 COMP2799) (0.561 COMP101/COMP2801) (0.555 COMP2816/COMP2817/COMP348) (0.551 COMP144/COMP19/COMP774/COMP891) (0.493 COMP638) (0.467 COMP546) (0.454 COMP2792) (0.451 COMP1892) (0.449 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.436 COMP9) (0.413 COMP544) (0.411 COMP1265) (0.410 COMP2808) (0.408 COMP1192/COMP474/COMP543/COMP905) (0.393 COMP872) (0.387 COMP1116/COMP1261) (0.386 COMP943/COMP947/COMP952) (0.383 COMP621) (0.380 COMP525) (0.378 COMP1166/COMP502) (0.376 COMP616) (0.374 COMP1241) (0.368 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.353 COMP109/COMP114/COMP131/COMP136/COMP145) (0.347 COMP2800) (0.346 COMP118) (0.342 COMP6) (0.340 COMP2790) (0.337 COMP2794) (0.325 COMP2797/COMP2814/COMP2815) (0.322 COMP110) (0.309 COMP2810) (0.308 COMP1240/COMP1247/COMP295) (0.305 COMP155) (0.303 COMP1966) (0.302 COMP296/COMP524) (0.294 COMP2806) (0.290 COMP2812) (0.287 COMP2795) (0.283 COMP158/COMP172) (0.278 COMP112/COMP134) (0.267 COMP11/COMP8) (0.266 COMP1244) (0.264 COMP141/COMP264/COMP547) (0.259 COMP2807) (0.258 COMP133/COMP170) (0.257 COMP1254) (0.254 COMP1238/COMP335) (0.247 COMP2809) (0.235 COMP1184) (0.233 COMP2818) (0.228 COMP1181/COMP153) (0.223 COMP113/COMP132/COMP142/COMP299) (0.220 COMP1431) (0.215 COMP2412/COMP2791) (0.213 COMP302) (0.203 COMP4) (0.202 COMP124) (0.194 COMP1119) (0.193 COMP1668/COMP523) (0.192 COMP2803)
GRP78 expression inhibitor	0.072	COMP2818	(0.039 COMP1192/COMP2791/COMP474/COMP543/COMP905) (0.037 COMP2794/COMP2812) (0.035 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.034 COMP943/COMP947/COMP952) (0.033 COMP18/COMP683) (0.031 COMP122) (0.030 COMP109/COMP136/COMP145/COMP322/COMP60/COMP725) (0.029 COMP2798) (0.028 COMP1184/COMP1272/COMP2796/COMP2802/COMP2804/COMP2806/COMP2811/COMP2813/COMP310/COMP857) (0.027 COMP2797/COMP2814/COMP2815/COMP475/COMP501) (0.026 COMP2799) (0.025 COMP114/COMP131/COMP144/COMP19/COMP271/COMP2789/COMP305/COMP781) (0.024 COMP2792/COMP2807/COMP2810/COMP361) (0.023 COMP112/COMP134/COMP2788/COMP2793/COMP872) (0.022 COMP638/COMP9) (0.021 COMP110/COMP2808/COMP2809/COMP2816/COMP2817/COMP348/COMP697/COMP889) (0.020 COMP1658/COMP179/COMP2787/COMP2801/COMP505/COMP544/COMP56/COMP616)
ICAM1 expression inhibitor	0.785	COMP155	(0.615 COMP2816/COMP2817/COMP348) (0.611 COMP46) (0.605 COMP2818) (0.581 COMP305) (0.580 COMP2791) (0.578 COMP56) (0.572 COMP1272/COMP310) (0.571 COMP1238/COMP335) (0.569 COMP857) (0.567 COMP361) (0.564 COMP49) (0.560 COMP48) (0.558 COMP781) (0.556 COMP724) (0.553 COMP2789) (0.539 COMP1184) (0.519 COMP2788) (0.502 COMP112/COMP134) (0.498 COMP1181/COMP153/COMP2801) (0.497 COMP2790) (0.496 COMP158/COMP172) (0.493 COMP1192/COMP474/COMP543/COMP725/COMP905) (0.488 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.481 COMP872) (0.480 COMP389/COMP390) (0.476 COMP697/COMP889) (0.470 COMP166/COMP774/COMP891) (0.463 COMP180/COMP60) (0.458 COMP971) (0.457 COMP737/COMP775/COMP776/COMP777/COMP778) (0.456 COMP191) (0.455 COMP338) (0.453 COMP1241) (0.452 COMP198/COMP887) (0.451 COMP1881/COMP2171) (0.449 COMP123/COMP161) (0.448 COMP2798) (0.446 COMP683) (0.441 COMP1244/COMP2793) (0.436 COMP18) (0.434 COMP1880) (0.432 COMP271) (0.429 COMP512/COMP715/COMP810/COMP882) (0.427 COMP6) (0.426 COMP2819/COMP505) (0.418 COMP875/COMP974) (0.412 COMP616) (0.409 COMP1934/COMP2140/COMP2799) (0.405 COMP150/COMP151/COMP163/COMP2412/COMP544) (0.400 COMP1577) (0.399 COMP122) (0.395 COMP179/COMP2808) (0.392 COMP1116/COMP1261) (0.388 COMP299) (0.386 COMP114/COMP131) (0.383 COMP1966/COMP943/COMP947/COMP952) (0.381 COMP144/COMP19) (0.379 COMP2786) (0.376 COMP101/COMP1668/COMP523) (0.372 COMP322) (0.371 COMP109/COMP136/COMP145) (0.369 COMP546) (0.366 COMP1254) (0.360 COMP9) (0.356 COMP1265) (0.354 COMP475) (0.353 COMP141/COMP264/COMP547) (0.347 COMP2797/COMP2814/COMP2815) (0.340 COMP296/COMP524) (0.339 COMP133/COMP170) (0.337 COMP124) (0.333 COMP1119) (0.325 COMP525) (0.319 COMP2787) (0.318 COMP2800) (0.311 COMP113/COMP132/COMP142) (0.306 COMP1431) (0.296 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.281 COMP118) (0.274 COMP501) (0.259 COMP638) (0.257 COMP1892/COMP312) (0.249 COMP2792) (0.246 COMP11/COMP8) (0.240 COMP1240/COMP1247/COMP295) (0.238 COMP621) (0.237 COMP2807) (0.236 COMP2809/COMP2812) (0.235 COMP2810) (0.226 COMP2806) (0.218 COMP4) (0.214 COMP1166/COMP502) (0.201 COMP302)
LDLR expression enhancer	0.597	COMP971	(0.414 COMP875/COMP974) (0.393 COMP512/COMP715/COMP810/COMP882) (0.386 COMP2819) (0.365 COMP724) (0.349 COMP48) (0.335 COMP1119) (0.327 COMP1880) (0.315 COMP180/COMP191/COMP737/COMP775/COMP776/COMP777/COMP778) (0.314 COMP1577/COMP49) (0.312 COMP887) (0.306 COMP271) (0.301 COMP101/COMP122) (0.298 COMP1966/COMP2793) (0.297 COMP2786) (0.286 COMP198) (0.285 COMP2787) (0.280 COMP525) (0.278 COMP338) (0.275 COMP1254) (0.273 COMP296/COMP524) (0.272 COMP546/COMP683) (0.266 COMP389/COMP390) (0.262 COMP179/COMP60) (0.255 COMP1881/COMP2171/COMP505) (0.254 COMP118/COMP2798) (0.249 COMP697/COMP889) (0.248 COMP4) (0.247 COMP2801/COMP725) (0.246 COMP2790) (0.242 COMP857) (0.237 COMP299) (0.235 COMP302) (0.229 COMP616) (0.228 COMP1192/COMP474/COMP543/COMP905) (0.227 COMP2412/COMP475) (0.225 COMP312/COMP544) (0.223 COMP9) (0.220 COMP112/COMP134) (0.217 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.215 COMP638) (0.214 COMP11/COMP8) (0.208 COMP1181/COMP153/COMP322) (0.206 COMP1244) (0.203 COMP1116/COMP1261) (0.198 COMP2799) (0.196 COMP1658) (0.194 COMP158/COMP172) (0.193 COMP2808) (0.192 COMP501) (0.189 COMP124) (0.188 COMP1431) (0.187 COMP123/COMP161) (0.182 COMP1166/COMP502) (0.178 COMP18) (0.176 COMP155) (0.175 COMP2810) (0.173 COMP1668/COMP523) (0.172 COMP621) (0.168 COMP2795) (0.166 COMP6) (0.165 COMP2792/COMP2806) (0.163 COMP1241) (0.160 COMP1934/COMP2140) (0.158 COMP109/COMP136/COMP145) (0.155 COMP2809) (0.154 COMP133/COMP170) (0.152 COMP166) (0.147 COMP113/COMP132/COMP142) (0.146 COMP2803) (0.145 COMP150/COMP151/COMP163) (0.141 COMP144/COMP19) (0.138 COMP872) (0.137 COMP774/COMP891) (0.136 COMP943/COMP947/COMP952)
NOS2 expression inhibitor	0.972	COMP1238/COMP335	(0.967 COMP46) (0.960 COMP2816/COMP2817/COMP348) (0.958 COMP56) (0.949 COMP305) (0.938 COMP1272/COMP310/COMP781) (0.932 COMP1880) (0.917 COMP338) (0.903 COMP48) (0.894 COMP1881/COMP2171) (0.890 COMP361) (0.875 COMP1184) (0.871 COMP49) (0.869 COMP724) (0.861 COMP191/COMP2788) (0.857 COMP737/COMP775/COMP776/COMP777/COMP778) (0.823 COMP180) (0.822 COMP512/COMP715/COMP810/COMP882) (0.807 COMP198) (0.805 COMP2786) (0.794 COMP1577) (0.790 COMP2789) (0.767 COMP875/COMP974) (0.725 COMP971) (0.714 COMP2791) (0.694 COMP101) (0.689 COMP2819) (0.679 COMP1119) (0.650 COMP299) (0.649 COMP887) (0.640 COMP296/COMP524) (0.625 COMP1668/COMP523) (0.613 COMP155) (0.604 COMP1240/COMP1247/COMP141/COMP264/COMP295/COMP547) (0.602 COMP857) (0.597 COMP2793) (0.594 COMP4) (0.585 COMP389/COMP390) (0.583 COMP2818) (0.578 COMP1181/COMP153) (0.576 COMP1254) (0.568 COMP1116/COMP1261) (0.563 COMP302) (0.558 COMP697/COMP889) (0.537 COMP1892) (0.527 COMP725) (0.522 COMP1192/COMP474/COMP543/COMP905) (0.519 COMP118) (0.510 COMP1431) (0.509 COMP123/COMP161) (0.508 COMP271) (0.498 COMP1934/COMP2140) (0.495 COMP505) (0.491 COMP312) (0.488 COMP11/COMP8) (0.485 COMP179) (0.466 COMP2790/COMP774/COMP891) (0.459 COMP2787) (0.457 COMP158/COMP172/COMP60) (0.452 COMP2801) (0.448 COMP2798) (0.445 COMP18) (0.442 COMP546) (0.438 COMP1166/COMP502) (0.432 COMP525) (0.430 COMP122) (0.426 COMP2808) (0.420 COMP638) (0.419 COMP150/COMP151/COMP163) (0.413 COMP872) (0.411 COMP683) (0.410 COMP112/COMP134) (0.402 COMP6) (0.400 COMP1966/COMP2797/COMP2814/COMP2815) (0.397 COMP616) (0.392 COMP1658) (0.391 COMP133/COMP170) (0.384 COMP166) (0.377 COMP2810) (0.376 COMP144/COMP19/COMP475) (0.374 COMP1244) (0.372 COMP124) (0.369 COMP544) (0.364 COMP2806) (0.361 COMP322) (0.358 COMP109/COMP136/COMP145/COMP9) (0.356 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.355 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.351 COMP113/COMP132/COMP142) (0.349 COMP2805) (0.337 COMP501) (0.334 COMP2803) (0.325 COMP2812) (0.321 COMP1241/COMP2799) (0.319 COMP1265) (0.311 COMP2807) (0.309 COMP2412) (0.301 COMP2809/COMP943/COMP947/COMP952) (0.277 COMP110) (0.271 COMP114/COMP131) (0.267 COMP621) (0.263 COMP2794) (0.262 COMP2800) (0.247 COMP2792) (0.208 COMP2795)
NOS3 expression enhancer	0.767	COMP774/COMP891	(0.756 COMP2818) (0.723 COMP781) (0.722 COMP46) (0.721 COMP56) (0.720 COMP2816/COMP2817/COMP348) (0.718 COMP305) (0.717 COMP724) (0.715 COMP971) (0.703 COMP48) (0.697 COMP49) (0.682 COMP875/COMP974) (0.681 COMP2819) (0.673 COMP389/COMP390) (0.672 COMP697/COMP889) (0.668 COMP512/COMP715/COMP810/COMP882) (0.660 COMP1272/COMP310) (0.641 COMP737/COMP775/COMP776/COMP777/COMP778) (0.599 COMP191) (0.594 COMP361) (0.588 COMP1238/COMP335) (0.573 COMP1184) (0.562 COMP198) (0.550 COMP887) (0.547 COMP2788) (0.521 COMP338) (0.509 COMP2791) (0.485 COMP1881/COMP2171) (0.435 COMP683) (0.423 COMP1880) (0.419 COMP2789) (0.409 COMP101) (0.381 COMP60) (0.358 COMP2798) (0.348 COMP118) (0.332 COMP180) (0.324 COMP2786) (0.319 COMP857) (0.316 COMP1577/COMP1934/COMP2140) (0.294 COMP1192/COMP474/COMP543/COMP905) (0.288 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.283 COMP271) (0.275 COMP725) (0.261 COMP122) (0.253 COMP1254) (0.203 COMP302) (0.199 COMP322) (0.183 COMP4) (0.178 COMP1966) (0.171 COMP11/COMP8) (0.167 COMP2793) (0.164 COMP1119) (0.160 COMP179) (0.137 COMP2787) (0.134 COMP1116/COMP1261/COMP1265) (0.132 COMP505) (0.131 COMP616) (0.129 COMP9) (0.128 COMP1166/COMP502/COMP943/COMP947/COMP952) (0.123 COMP312) (0.121 COMP2808) (0.120 COMP1431) (0.119 COMP1241)
NOS3 expression inhibitor	0.943	COMP2818	(0.841 COMP305) (0.837 COMP56) (0.834 COMP49) (0.831 COMP724) (0.827 COMP48) (0.815 COMP1272/COMP310) (0.803 COMP781) (0.759 COMP2816/COMP2817/COMP348) (0.757 COMP46) (0.747 COMP361) (0.728 COMP2791) (0.703 COMP191) (0.702 COMP198) (0.697 COMP1184) (0.682 COMP971) (0.674 COMP512/COMP715/COMP810/COMP875/COMP882/COMP974) (0.671 COMP737/COMP775/COMP776/COMP777/COMP778) (0.664 COMP18) (0.663 COMP2794) (0.654 COMP2788) (0.647 COMP2819) (0.638 COMP1238/COMP335) (0.635 COMP338) (0.634 COMP1192/COMP474/COMP543/COMP905) (0.628 COMP1881/COMP2171/COMP2789) (0.594 COMP638) (0.591 COMP857) (0.587 COMP1265) (0.582 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.581 COMP1880) (0.564 COMP774/COMP891) (0.556 COMP11/COMP8) (0.549 COMP1166/COMP502) (0.534 COMP943/COMP947/COMP952) (0.526 COMP697/COMP889) (0.523 COMP112/COMP134) (0.513 COMP1577) (0.507 COMP2786) (0.506 COMP389/COMP390) (0.499 COMP180) (0.492 COMP1966) (0.486 COMP475) (0.477 COMP725) (0.471 COMP1119) (0.465 COMP1431) (0.460 COMP179/COMP505) (0.459 COMP2798) (0.454 COMP887) (0.451 COMP60) (0.449 COMP1254) (0.439 COMP2799) (0.437 COMP109/COMP136/COMP145/COMP1934/COMP2140) (0.433 COMP683) (0.432 COMP2793) (0.426 COMP123/COMP161) (0.422 COMP1892) (0.420 COMP2787) (0.417 COMP1244) (0.410 COMP1241) (0.405 COMP1658) (0.400 COMP271) (0.395 COMP1116/COMP1261) (0.384 COMP296/COMP524) (0.376 COMP101) (0.375 COMP2808) (0.368 COMP322) (0.365 COMP2801) (0.362 COMP122) (0.361 COMP2412) (0.360 COMP2790) (0.349 COMP2805) (0.344 COMP872/COMP9) (0.343 COMP158/COMP172) (0.325 COMP133/COMP170) (0.318 COMP2803) (0.315 COMP110/COMP616) (0.314 COMP114/COMP131) (0.294 COMP299) (0.293 COMP525/COMP546) (0.287 COMP544) (0.273 COMP501) (0.270 COMP144/COMP19) (0.266 COMP302) (0.264 COMP1668/COMP523) (0.263 COMP2797/COMP2814/COMP2815) (0.259 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.255 COMP150/COMP151/COMP163/COMP2812) (0.252 COMP2810) (0.248 COMP2806) (0.243 COMP118) (0.239 COMP166) (0.238 COMP2809) (0.226 COMP113/COMP132/COMP142) (0.218 COMP2807) (0.205 COMP155) (0.202 COMP124) (0.200 COMP1240/COMP1247/COMP141/COMP264/COMP295/COMP547) (0.181 COMP2800) (0.180 COMP2792)
TNF expression inhibitor	0.951	COMP56	(0.941 COMP1272/COMP310) (0.937 COMP305/COMP361) (0.927 COMP1238/COMP335) (0.922 COMP1880) (0.913 COMP781) (0.907 COMP338) (0.904 COMP1184) (0.890 COMP1116/COMP1261) (0.887 COMP296/COMP524) (0.882 COMP1881/COMP2171) (0.877 COMP48) (0.870 COMP11/COMP8) (0.869 COMP46) (0.861 COMP1431) (0.858 COMP299) (0.849 COMP724) (0.847 COMP49) (0.845 COMP1119) (0.836 COMP191/COMP2816/COMP2817/COMP348) (0.833 COMP887) (0.815 COMP971) (0.801 COMP389/COMP390) (0.797 COMP737/COMP775/COMP776/COMP777/COMP778) (0.796 COMP1166/COMP2788/COMP502) (0.794 COMP1934/COMP2140) (0.792 COMP198) (0.772 COMP697/COMP889) (0.763 COMP18) (0.756 COMP2791) (0.749 COMP1254) (0.744 COMP1577) (0.733 COMP1658) (0.721 COMP2794) (0.718 COMP2786) (0.705 COMP638) (0.704 COMP2789) (0.695 COMP512/COMP715/COMP810/COMP882) (0.688 COMP180) (0.679 COMP2819) (0.662 COMP2818) (0.659 COMP857) (0.658 COMP302) (0.657 COMP1192/COMP474/COMP543/COMP905) (0.651 COMP271/COMP875/COMP974) (0.636 COMP774/COMP891) (0.634 COMP1181/COMP153/COMP2793) (0.633 COMP101) (0.629 COMP112/COMP134/COMP1966) (0.627 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.619 COMP60) (0.607 COMP505) (0.606 COMP2798) (0.605 COMP1668/COMP523) (0.599 COMP725) (0.598 COMP2803) (0.591 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.590 COMP475) (0.587 COMP123/COMP161) (0.586 COMP122/COMP2787) (0.584 COMP2801/COMP683) (0.583 COMP179) (0.582 COMP158/COMP172) (0.580 COMP2790) (0.579 COMP2800) (0.544 COMP1892) (0.541 COMP546) (0.539 COMP2412) (0.535 COMP1244/COMP2808/COMP616) (0.527 COMP109/COMP136/COMP145) (0.522 COMP2799) (0.517 COMP322) (0.515 COMP525) (0.507 COMP943/COMP947/COMP952) (0.505 COMP621) (0.503 COMP133/COMP170/COMP2805) (0.499 COMP544) (0.497 COMP2810) (0.496 COMP6) (0.494 COMP118) (0.493 COMP141/COMP264/COMP547) (0.486 COMP2806) (0.484 COMP150/COMP151/COMP163) (0.475 COMP144/COMP19) (0.471 COMP2797/COMP2814/COMP2815) (0.469 COMP9) (0.457 COMP1241) (0.456 COMP124) (0.448 COMP2807) (0.447 COMP155) (0.446 COMP4) (0.441 COMP872) (0.437 COMP2812) (0.426 COMP113/COMP132/COMP142) (0.421 COMP1265) (0.420 COMP2809) (0.407 COMP1240/COMP1247/COMP295) (0.406 COMP501) (0.393 COMP312) (0.391 COMP166) (0.376 COMP2792) (0.368 COMP2795) (0.342 COMP114/COMP131) (0.338 COMP110)
