Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.880	COMP110	(0.792 COMP296/COMP524) (0.790 COMP1166/COMP502) (0.734 COMP2805) (0.714 COMP621) (0.695 COMP1116/COMP1261) (0.654 COMP1658) (0.638 COMP475) (0.580 COMP141/COMP264/COMP547) (0.563 COMP638) (0.500 COMP1668/COMP523) (0.493 COMP2799) (0.481 COMP1240/COMP1247/COMP295) (0.472 COMP1119) (0.471 COMP1892) (0.399 COMP1254) (0.387 COMP299) (0.371 COMP302) (0.352 COMP18) (0.340 COMP1184) (0.325 COMP11/COMP8) (0.315 COMP2791) (0.307 COMP697/COMP889) (0.306 COMP389/COMP390) (0.277 COMP144/COMP19) (0.254 COMP887) (0.248 COMP1431) (0.246 COMP1241) (0.224 COMP2789) (0.221 COMP2818) (0.213 COMP1192/COMP474/COMP543/COMP905) (0.212 COMP6) (0.197 COMP109/COMP136/COMP145) (0.186 COMP123/COMP161) (0.179 COMP1934/COMP2140) (0.176 COMP4) (0.161 COMP101) (0.152 COMP150/COMP151/COMP163/COMP2787/COMP2803/COMP60) (0.148 COMP1966) (0.147 COMP2793) (0.146 COMP1244) (0.144 COMP158/COMP172/COMP2797/COMP2814/COMP2815/COMP725) (0.143 COMP312/COMP683) (0.141 COMP112/COMP134/COMP2798) (0.140 COMP872) (0.138 COMP118/COMP2788) (0.137 COMP774/COMP891) (0.136 COMP1265) (0.135 COMP271) (0.132 COMP179/COMP505) (0.131 COMP133/COMP170/COMP501/COMP616) (0.130 COMP114/COMP131) (0.127 COMP1181/COMP153) (0.125 COMP2412) (0.124 COMP124/COMP155/COMP2808) (0.123 COMP2794) (0.122 COMP122/COMP544) (0.117 COMP1411/COMP2212/COMP2231/COMP2253/COMP322/COMP568) (0.109 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.108 COMP2809/COMP512/COMP715/COMP810/COMP882) (0.106 COMP971) (0.104 COMP2786/COMP857/COMP875/COMP974)
Aldehyde dehydrogenase substrate	0.906	COMP2805	(0.729 COMP110) (0.497 COMP621) (0.351 COMP141/COMP264/COMP547) (0.327 COMP475) (0.321 COMP1166/COMP502) (0.318 COMP2799) (0.314 COMP1240/COMP1247/COMP295) (0.297 COMP1668/COMP523) (0.296 COMP1892) (0.294 COMP18) (0.289 COMP638) (0.246 COMP2791) (0.223 COMP1116/COMP1261) (0.219 COMP389/COMP390) (0.217 COMP60) (0.211 COMP144/COMP19/COMP697/COMP889) (0.210 COMP1254) (0.207 COMP1241) (0.206 COMP683/COMP887) (0.205 COMP2798) (0.203 COMP1119/COMP2789/COMP296/COMP524) (0.202 COMP271) (0.201 COMP2818) (0.199 COMP725) (0.198 COMP1658) (0.190 COMP2793) (0.185 COMP6) (0.179 COMP122) (0.173 COMP1934/COMP2140) (0.172 COMP101) (0.162 COMP1184) (0.149 COMP322) (0.146 COMP11/COMP8) (0.138 COMP2794) (0.135 COMP2788) (0.134 COMP2792) (0.132 COMP150/COMP151/COMP163) (0.130 COMP118) (0.129 COMP302) (0.126 COMP2810) (0.125 COMP2809) (0.123 COMP299) (0.122 COMP1244/COMP2806) (0.118 COMP774/COMP891) (0.116 COMP123/COMP161) (0.115 COMP158/COMP172) (0.111 COMP179/COMP2786/COMP505) (0.110 COMP1431/COMP2797/COMP2814/COMP2815) (0.101 COMP2796/COMP2802/COMP2804/COMP2807/COMP2811/COMP2813) (0.099 COMP857)
Aldehyde oxidase substrate	0.322	COMP60	(0.321 COMP2800) (0.303 COMP271) (0.295 COMP683) (0.294 COMP2793) (0.279 COMP322) (0.273 COMP2798) (0.268 COMP2795) (0.259 COMP122) (0.255 COMP18) (0.250 COMP101) (0.248 COMP2792) (0.239 COMP9) (0.233 COMP2810) (0.229 COMP2806) (0.228 COMP2786) (0.224 COMP2799) (0.219 COMP389/COMP390) (0.218 COMP725) (0.216 COMP505) (0.214 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.212 COMP475) (0.208 COMP118/COMP2805/COMP2812) (0.206 COMP2787) (0.205 COMP887) (0.195 COMP2807) (0.190 COMP546) (0.189 COMP1934/COMP2140) (0.188 COMP2809) (0.184 COMP179) (0.183 COMP1577) (0.181 COMP1892) (0.180 COMP501/COMP638/COMP697/COMP889) (0.178 COMP621) (0.176 COMP616) (0.173 COMP191) (0.171 COMP857) (0.170 COMP2801) (0.169 COMP2794) (0.162 COMP198/COMP525) (0.158 COMP1658) (0.156 COMP1166/COMP502/COMP544) (0.152 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.149 COMP1254) (0.146 COMP2790) (0.142 COMP123/COMP1244/COMP161) (0.139 COMP48/COMP512/COMP715/COMP810/COMP882) (0.138 COMP737/COMP775/COMP776/COMP777/COMP778) (0.137 COMP1241) (0.136 COMP299) (0.134 COMP2808)
Aldose reductase substrate	0.954	COMP2818	(0.884 COMP2805) (0.670 COMP2791) (0.522 COMP1184) (0.507 COMP1272/COMP310) (0.482 COMP305) (0.447 COMP2788) (0.442 COMP56) (0.416 COMP2789) (0.404 COMP2816/COMP2817/COMP348) (0.393 COMP781) (0.379 COMP46) (0.348 COMP361) (0.338 COMP1116/COMP1261) (0.336 COMP1238/COMP335) (0.270 COMP2793) (0.267 COMP774/COMP891) (0.248 COMP18) (0.230 COMP638) (0.214 COMP475) (0.204 COMP697/COMP889) (0.190 COMP389/COMP390) (0.180 COMP887) (0.167 COMP1934/COMP2140/COMP2798) (0.165 COMP1166/COMP502/COMP60) (0.161 COMP322) (0.160 COMP122) (0.159 COMP271) (0.152 COMP296/COMP524/COMP683) (0.151 COMP725) (0.142 COMP2792) (0.141 COMP2787) (0.140 COMP2786) (0.136 COMP501) (0.131 COMP737/COMP775/COMP776/COMP777/COMP778) (0.130 COMP198) (0.125 COMP1411/COMP2212/COMP2231/COMP2253/COMP568)
Arylamine N-Acetyltransferase substrate	0.541	COMP2792	(0.442 COMP725) (0.364 COMP2798) (0.350 COMP60) (0.338 COMP361) (0.337 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.332 COMP683) (0.318 COMP18) (0.238 COMP271) (0.234 COMP322) (0.219 COMP697/COMP889) (0.214 COMP122) (0.206 COMP198) (0.194 COMP191) (0.185 COMP389/COMP390) (0.182 COMP2793) (0.179 COMP1166/COMP502) (0.176 COMP2812) (0.170 COMP2794) (0.168 COMP2786) (0.158 COMP1577) (0.155 COMP2800) (0.148 COMP638) (0.145 COMP2809) (0.135 COMP1272/COMP310) (0.133 COMP179) (0.131 COMP475) (0.129 COMP1254) (0.125 COMP2806) (0.123 COMP49/COMP505) (0.121 COMP101) (0.116 COMP2787) (0.115 COMP887) (0.114 COMP48) (0.110 COMP2810/COMP2818) (0.100 COMP2803) (0.097 COMP2807/COMP501) (0.094 COMP1119/COMP857/COMP9) (0.084 COMP118/COMP180/COMP724) (0.077 COMP1658) (0.066 COMP302) (0.064 COMP2799) (0.062 COMP781)
CYP1A2 inhibitor	0.945	COMP48	(0.929 COMP180) (0.919 COMP724) (0.914 COMP49) (0.843 COMP191) (0.837 COMP1577) (0.823 COMP1880) (0.807 COMP2786) (0.796 COMP198) (0.753 COMP338) (0.701 COMP1881/COMP2171) (0.478 COMP4) (0.430 COMP887) (0.413 COMP101) (0.397 COMP56) (0.394 COMP781) (0.381 COMP857) (0.380 COMP118) (0.378 COMP737/COMP775/COMP776/COMP777/COMP778) (0.362 COMP1272/COMP310/COMP389/COMP390) (0.355 COMP305) (0.352 COMP697/COMP889) (0.345 COMP312) (0.299 COMP512/COMP715/COMP810/COMP882) (0.282 COMP2810) (0.280 COMP46) (0.277 COMP361) (0.270 COMP875/COMP974) (0.267 COMP1238/COMP335) (0.265 COMP525) (0.263 COMP2806) (0.261 COMP546) (0.260 COMP271) (0.257 COMP2807) (0.252 COMP2816/COMP2817/COMP348) (0.247 COMP1658) (0.240 COMP122) (0.228 COMP2798) (0.227 COMP6) (0.226 COMP2793) (0.223 COMP1119) (0.221 COMP1254) (0.219 COMP179/COMP2799) (0.217 COMP60) (0.216 COMP2809) (0.215 COMP505) (0.213 COMP725) (0.205 COMP683) (0.197 COMP475) (0.196 COMP296/COMP524) (0.194 COMP2801) (0.189 COMP971) (0.187 COMP2787) (0.180 COMP2812) (0.178 COMP322) (0.174 COMP1934/COMP2140/COMP616) (0.173 COMP9)
CYP1A2 substrate	0.947	COMP737/COMP775/COMP776/COMP777/COMP778	(0.932 COMP338) (0.931 COMP1880) (0.928 COMP1881/COMP2171) (0.919 COMP724) (0.912 COMP48) (0.905 COMP49) (0.881 COMP2795) (0.792 COMP4) (0.781 COMP781) (0.764 COMP1166/COMP502) (0.761 COMP857) (0.758 COMP191) (0.746 COMP198/COMP2797/COMP2814/COMP2815) (0.741 COMP971) (0.727 COMP875/COMP974) (0.707 COMP101) (0.706 COMP512/COMP715/COMP810/COMP882) (0.672 COMP2819) (0.664 COMP621) (0.663 COMP2786) (0.659 COMP1238/COMP335) (0.627 COMP2800) (0.625 COMP118) (0.624 COMP1577) (0.615 COMP180) (0.602 COMP312) (0.574 COMP697/COMP889) (0.572 COMP56) (0.569 COMP389/COMP390) (0.564 COMP887) (0.561 COMP2793) (0.559 COMP305) (0.557 COMP46) (0.544 COMP2816/COMP2817/COMP348) (0.530 COMP2787) (0.527 COMP2792) (0.488 COMP475) (0.479 COMP1934/COMP2140) (0.477 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.473 COMP179) (0.458 COMP2789/COMP525) (0.453 COMP1272/COMP310) (0.447 COMP505) (0.439 COMP2788) (0.438 COMP1254) (0.431 COMP546) (0.430 COMP1658) (0.428 COMP18) (0.427 COMP2801) (0.424 COMP638) (0.413 COMP2809) (0.410 COMP616) (0.402 COMP1184) (0.397 COMP683) (0.391 COMP2810) (0.390 COMP2798) (0.389 COMP9) (0.376 COMP2790) (0.374 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.373 COMP122) (0.365 COMP2806) (0.360 COMP6) (0.359 COMP60) (0.354 COMP271) (0.348 COMP943/COMP947/COMP952) (0.340 COMP296/COMP524) (0.339 COMP361) (0.332 COMP2812) (0.328 COMP501) (0.320 COMP725) (0.317 COMP1119) (0.315 COMP1192/COMP474/COMP543/COMP905) (0.308 COMP1116/COMP1261) (0.293 COMP2799) (0.291 COMP2808) (0.288 COMP123/COMP161) (0.283 COMP2805) (0.282 COMP1966) (0.275 COMP322) (0.272 COMP1892) (0.266 COMP1240/COMP1247/COMP295/COMP544) (0.264 COMP774/COMP891) (0.262 COMP2807) (0.260 COMP872) (0.258 COMP2803) (0.251 COMP2818) (0.240 COMP11/COMP8) (0.235 COMP141/COMP264/COMP547) (0.225 COMP1265/COMP2791) (0.221 COMP109/COMP136/COMP145) (0.217 COMP112/COMP134/COMP144/COMP19) (0.208 COMP302) (0.205 COMP155/COMP2794) (0.201 COMP299) (0.199 COMP2412) (0.195 COMP1241) (0.193 COMP1244) (0.181 COMP158/COMP172)
CYP24 inhibitor	0.089	COMP1244	(0.070 COMP158/COMP172) (0.068 COMP124) (0.053 COMP1181/COMP153) (0.052 COMP166) (0.049 COMP113/COMP132/COMP142) (0.036 COMP2808) (0.034 COMP616) (0.033 COMP133/COMP170) (0.027 COMP150/COMP151/COMP163) (0.025 COMP141/COMP264/COMP547) (0.024 COMP525/COMP9) (0.023 COMP123/COMP1241/COMP161/COMP1966) (0.022 COMP179) (0.021 COMP1192/COMP474/COMP543/COMP546/COMP6/COMP905)
CYP2A6 inhibitor	0.252	COMP141/COMP264/COMP547	(0.250 COMP2812) (0.229 COMP1240/COMP1247/COMP295) (0.200 COMP1119) (0.192 COMP4) (0.182 COMP1668/COMP302/COMP523) (0.171 COMP118) (0.167 COMP1411/COMP2212/COMP2231/COMP2253/COMP296/COMP524/COMP568) (0.164 COMP9) (0.161 COMP312) (0.159 COMP299) (0.156 COMP1254) (0.154 COMP2797/COMP2814/COMP2815/COMP943/COMP947/COMP952) (0.152 COMP6) (0.151 COMP616) (0.150 COMP2806/COMP621) (0.145 COMP2808) (0.143 COMP198) (0.142 COMP2810) (0.140 COMP1658) (0.130 COMP857) (0.127 COMP49) (0.124 COMP2801) (0.122 COMP322) (0.121 COMP2786) (0.119 COMP1241) (0.114 COMP1892) (0.113 COMP544) (0.111 COMP2795/COMP525) (0.110 COMP2809) (0.109 COMP191) (0.107 COMP546) (0.104 COMP2807) (0.098 COMP501) (0.093 COMP101/COMP179/COMP48) (0.089 COMP2799/COMP505) (0.082 COMP872) (0.081 COMP155) (0.080 COMP724) (0.079 COMP1244) (0.074 COMP11/COMP8) (0.073 COMP18) (0.072 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.068 COMP2790) (0.067 COMP158/COMP172)
CYP2B6 inhibitor	0.556	COMP296/COMP524	(0.548 COMP2786) (0.528 COMP191) (0.522 COMP1119) (0.506 COMP198) (0.451 COMP1577) (0.449 COMP1254) (0.427 COMP1116/COMP1261) (0.409 COMP1166/COMP502) (0.374 COMP48) (0.367 COMP475) (0.362 COMP638) (0.356 COMP49) (0.349 COMP141/COMP264/COMP302/COMP547) (0.338 COMP299) (0.337 COMP180/COMP2793) (0.333 COMP2810) (0.330 COMP101/COMP18) (0.329 COMP724) (0.327 COMP2806) (0.325 COMP1668/COMP523) (0.321 COMP1658) (0.320 COMP887) (0.317 COMP697/COMP889) (0.316 COMP2809) (0.315 COMP389/COMP390) (0.314 COMP1892) (0.309 COMP118) (0.308 COMP2799) (0.298 COMP616) (0.285 COMP2787/COMP505) (0.282 COMP2808) (0.279 COMP11/COMP2796/COMP2802/COMP2804/COMP2811/COMP2813/COMP8) (0.278 COMP2807/COMP621) (0.276 COMP2812) (0.269 COMP1244) (0.268 COMP546) (0.267 COMP179/COMP6) (0.261 COMP123/COMP161) (0.260 COMP9) (0.255 COMP4) (0.253 COMP1880) (0.252 COMP725) (0.250 COMP338) (0.249 COMP525) (0.246 COMP2798) (0.244 COMP124) (0.243 COMP271) (0.239 COMP144/COMP19/COMP322) (0.238 COMP60) (0.237 COMP2795) (0.236 COMP1881/COMP2171) (0.234 COMP544) (0.232 COMP2800/COMP312) (0.229 COMP1240/COMP1247/COMP295) (0.227 COMP737/COMP775/COMP776/COMP777/COMP778) (0.226 COMP113/COMP132/COMP142/COMP158/COMP172) (0.222 COMP501) (0.220 COMP2805) (0.219 COMP943/COMP947/COMP952) (0.218 COMP2801) (0.216 COMP166) (0.215 COMP2794) (0.212 COMP2797/COMP2814/COMP2815) (0.210 COMP683) (0.207 COMP122) (0.204 COMP872) (0.202 COMP857) (0.199 COMP1431) (0.197 COMP1181/COMP153) (0.196 COMP512/COMP715/COMP810/COMP882) (0.193 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.172 COMP109/COMP136/COMP145) (0.170 COMP155) (0.168 COMP1241/COMP2792) (0.166 COMP1934/COMP2140) (0.165 COMP875/COMP974) (0.164 COMP133/COMP170) (0.161 COMP114/COMP131) (0.159 COMP1966/COMP2803) (0.157 COMP1192/COMP474/COMP543/COMP905) (0.153 COMP2790) (0.148 COMP110)
