Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.707	COMP2799	(0.691 COMP179) (0.652 COMP725) (0.637 COMP9) (0.631 COMP505) (0.629 COMP2798) (0.628 COMP60) (0.623 COMP544) (0.604 COMP1241) (0.592 COMP616) (0.578 COMP475) (0.567 COMP683) (0.552 COMP322) (0.551 COMP872) (0.535 COMP525) (0.526 COMP2801) (0.498 COMP2808) (0.494 COMP271) (0.488 COMP1658) (0.481 COMP2787) (0.480 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.477 COMP122) (0.475 COMP2790) (0.469 COMP2791) (0.466 COMP6) (0.462 COMP18) (0.453 COMP546) (0.428 COMP501) (0.412 COMP123/COMP161) (0.409 COMP144/COMP19) (0.399 COMP114/COMP131/COMP638) (0.398 COMP2792) (0.379 COMP155/COMP158/COMP172) (0.374 COMP943/COMP947/COMP952) (0.369 COMP141/COMP264/COMP547) (0.339 COMP2800) (0.335 COMP2797/COMP2814/COMP2815) (0.325 COMP1244) (0.312 COMP2818/COMP389/COMP390) (0.301 COMP1166/COMP502) (0.296 COMP697/COMP889) (0.272 COMP857) (0.271 COMP2805) (0.255 COMP1240/COMP1247/COMP295) (0.253 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.250 COMP198) (0.245 COMP1934/COMP2140) (0.244 COMP1192/COMP474/COMP543/COMP905) (0.236 COMP110) (0.230 COMP1892) (0.229 COMP109/COMP136/COMP145) (0.222 COMP887) (0.216 COMP2793) (0.214 COMP1181/COMP153) (0.202 COMP2812) (0.200 COMP296/COMP524) (0.199 COMP113/COMP132/COMP142/COMP4) (0.193 COMP2786) (0.192 COMP299) (0.189 COMP1116/COMP1261) (0.187 COMP2795) (0.180 COMP1668/COMP191/COMP49/COMP523) (0.177 COMP774/COMP891) (0.171 COMP1254) (0.168 COMP118) (0.167 COMP621) (0.166 COMP112/COMP124/COMP134) (0.160 COMP361) (0.150 COMP1881/COMP2171) (0.147 COMP1966) (0.146 COMP101/COMP312) (0.143 COMP166/COMP2412) (0.138 COMP1272/COMP2789/COMP310) (0.137 COMP2809) (0.132 COMP1577) (0.129 COMP781) (0.123 COMP48) (0.121 COMP2810) (0.117 COMP302) (0.114 COMP2794) (0.113 COMP737/COMP775/COMP776/COMP777/COMP778) (0.111 COMP2806/COMP724) (0.109 COMP11/COMP8)
Acetylcholine release stimulant	0.261	COMP2799	(0.192 COMP475) (0.184 COMP1658) (0.153 COMP118) (0.149 COMP18/COMP546) (0.146 COMP322) (0.145 COMP9) (0.138 COMP2810/COMP525/COMP638) (0.136 COMP2806) (0.125 COMP114/COMP131/COMP2795) (0.119 COMP101/COMP122) (0.118 COMP271/COMP2793) (0.117 COMP2786/COMP872) (0.116 COMP2798/COMP2807/COMP299/COMP616/COMP943/COMP947/COMP952) (0.115 COMP2792) (0.113 COMP2809/COMP2812/COMP505) (0.112 COMP113/COMP132/COMP142) (0.111 COMP2801) (0.110 COMP725) (0.109 COMP60/COMP887) (0.106 COMP2790) (0.105 COMP1966/COMP544/COMP697/COMP889) (0.104 COMP1577/COMP2791/COMP2796/COMP2797/COMP2800/COMP2802/COMP2804/COMP2811/COMP2813/COMP2814/COMP2815) (0.103 COMP109/COMP136/COMP145/COMP179) (0.102 COMP1166/COMP502) (0.100 COMP124/COMP2805/COMP389/COMP390) (0.099 COMP2787) (0.098 COMP683) (0.097 COMP198/COMP501)
Actinic keratosis treatment	0.408	COMP971	(0.362 COMP2819) (0.291 COMP621) (0.289 COMP872) (0.284 COMP141/COMP264/COMP547) (0.273 COMP501) (0.265 COMP2790) (0.261 COMP875/COMP974) (0.256 COMP166) (0.255 COMP683) (0.254 COMP179) (0.251 COMP144/COMP19) (0.249 COMP18) (0.248 COMP512/COMP715/COMP810/COMP882) (0.242 COMP60) (0.241 COMP1240/COMP1247/COMP295) (0.240 COMP725) (0.231 COMP114/COMP131) (0.230 COMP2798) (0.229 COMP124) (0.225 COMP389/COMP390) (0.224 COMP697/COMP889) (0.221 COMP133/COMP170) (0.218 COMP112/COMP134/COMP9) (0.217 COMP1192/COMP1892/COMP1966/COMP474/COMP543/COMP905) (0.212 COMP505) (0.203 COMP2792/COMP2801) (0.202 COMP616) (0.200 COMP1241) (0.195 COMP2412) (0.193 COMP2799) (0.192 COMP122) (0.189 COMP2787/COMP737/COMP775/COMP776/COMP777/COMP778) (0.187 COMP525) (0.185 COMP322) (0.184 COMP1668/COMP2793/COMP523) (0.181 COMP271/COMP544) (0.180 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.178 COMP1181/COMP153) (0.177 COMP1658) (0.176 COMP943/COMP947/COMP952) (0.175 COMP475) (0.174 COMP113/COMP132/COMP142) (0.172 COMP123/COMP161) (0.171 COMP638) (0.169 COMP2808) (0.167 COMP198) (0.164 COMP1934/COMP2140) (0.163 COMP887) (0.162 COMP191) (0.160 COMP6) (0.159 COMP2791/COMP2797/COMP2814/COMP2815) (0.157 COMP1244/COMP724) (0.156 COMP2789) (0.155 COMP109/COMP136/COMP145/COMP155) (0.151 COMP2818) (0.150 COMP1166/COMP502) (0.148 COMP158/COMP172/COMP49) (0.145 COMP1881/COMP2171) (0.143 COMP1272/COMP310/COMP48/COMP546) (0.142 COMP774/COMP891) (0.140 COMP338) (0.121 COMP781) (0.118 COMP2812) (0.117 COMP1265) (0.116 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.115 COMP305) (0.113 COMP1254) (0.112 COMP1116/COMP1261/COMP299) (0.111 COMP56) (0.110 COMP2794) (0.109 COMP361) (0.106 COMP150/COMP151/COMP163) (0.105 COMP110) (0.100 COMP2805) (0.099 COMP857) (0.098 COMP2786) (0.096 COMP11/COMP8) (0.094 COMP1431) (0.089 COMP1880) (0.087 COMP2809/COMP296/COMP524) (0.084 COMP2816/COMP2817/COMP348) (0.082 COMP46) (0.081 COMP2800/COMP2803)
Acute neurologic disorders treatment	0.430	COMP299	(0.410 COMP2792) (0.407 COMP1116/COMP1261) (0.406 COMP2794) (0.396 COMP18) (0.372 COMP296/COMP524) (0.367 COMP2805) (0.341 COMP6) (0.309 COMP725) (0.290 COMP124) (0.277 COMP2808) (0.272 COMP1966) (0.269 COMP2798) (0.262 COMP114/COMP131) (0.254 COMP11/COMP8) (0.251 COMP60) (0.240 COMP1192/COMP474/COMP543/COMP905) (0.225 COMP683) (0.220 COMP943/COMP947/COMP952) (0.218 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.199 COMP2791) (0.198 COMP475) (0.193 COMP112/COMP134) (0.189 COMP2812) (0.177 COMP2793) (0.174 COMP109/COMP136/COMP145) (0.161 COMP638) (0.154 COMP2795)
Acute respiratory distress syndrome (ARDS) treatment	0.526	COMP2818	(0.524 COMP1431) (0.464 COMP2791) (0.402 COMP11/COMP8) (0.400 COMP2803) (0.366 COMP2816/COMP2817/COMP348/COMP781) (0.349 COMP46) (0.347 COMP1272/COMP310) (0.331 COMP2788) (0.323 COMP361) (0.318 COMP305) (0.311 COMP1184) (0.306 COMP2789) (0.298 COMP56) (0.267 COMP1238/COMP335) (0.234 COMP1658) (0.233 COMP774/COMP891) (0.225 COMP2799) (0.221 COMP2794) (0.209 COMP18) (0.196 COMP1166/COMP502) (0.179 COMP1934/COMP2140) (0.177 COMP475/COMP638) (0.176 COMP1892) (0.172 COMP697/COMP889) (0.169 COMP389/COMP390) (0.168 COMP1966) (0.166 COMP9) (0.138 COMP2412) (0.137 COMP2790) (0.133 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.132 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.131 COMP505) (0.127 COMP683)
Age-related macular degeneration treatment	0.373	COMP2792	(0.263 COMP9) (0.256 COMP621) (0.239 COMP18) (0.236 COMP2793) (0.228 COMP60) (0.227 COMP271) (0.225 COMP2812) (0.221 COMP525) (0.217 COMP546) (0.216 COMP2798) (0.211 COMP122/COMP179/COMP683) (0.207 COMP2810/COMP505) (0.201 COMP2806) (0.198 COMP887) (0.197 COMP616) (0.195 COMP2790) (0.190 COMP2803/COMP389/COMP390) (0.186 COMP725) (0.182 COMP475) (0.178 COMP2801) (0.174 COMP1192/COMP474/COMP543/COMP905) (0.169 COMP1966) (0.168 COMP2807) (0.165 COMP697/COMP889)
Allergic rhinitis treatment	0.477	COMP2793	(0.330 COMP18) (0.188 COMP2799) (0.131 COMP501) (0.113 COMP475)
Alzheimer's disease treatment	0.688	COMP621	(0.663 COMP737/COMP775/COMP776/COMP777/COMP778) (0.610 COMP2808) (0.584 COMP781) (0.575 COMP46) (0.574 COMP338) (0.561 COMP875/COMP974) (0.557 COMP2816/COMP2817/COMP348) (0.551 COMP155) (0.547 COMP724) (0.545 COMP1881/COMP2171) (0.535 COMP1238/COMP335/COMP943/COMP947/COMP952) (0.528 COMP1880) (0.526 COMP56) (0.524 COMP512/COMP715/COMP810/COMP882) (0.504 COMP191) (0.502 COMP48) (0.499 COMP305) (0.476 COMP872) (0.467 COMP361) (0.466 COMP971) (0.451 COMP49) (0.449 COMP198) (0.429 COMP857) (0.425 COMP6) (0.421 COMP1272/COMP310/COMP544) (0.420 COMP296/COMP524) (0.419 COMP2819) (0.417 COMP2786) (0.407 COMP1116/COMP1261) (0.395 COMP2797/COMP2814/COMP2815) (0.388 COMP774/COMP891) (0.385 COMP1241) (0.381 COMP180) (0.375 COMP1577) (0.364 COMP2791) (0.352 COMP1184) (0.344 COMP1119) (0.326 COMP1181/COMP153) (0.312 COMP2412) (0.308 COMP141/COMP264/COMP547) (0.297 COMP1934/COMP2140) (0.287 COMP1411/COMP144/COMP19/COMP2212/COMP2231/COMP2253/COMP568) (0.284 COMP299) (0.273 COMP389/COMP390) (0.260 COMP1966) (0.258 COMP2787) (0.247 COMP158/COMP172) (0.241 COMP887) (0.236 COMP1658)
Amyotrophic lateral sclerosis treatment	0.322	COMP109/COMP136/COMP145	(0.307 COMP1658) (0.302 COMP872) (0.252 COMP299) (0.232 COMP2799) (0.219 COMP501) (0.217 COMP322) (0.216 COMP1192/COMP474/COMP543/COMP905) (0.210 COMP1116/COMP1261) (0.208 COMP1119) (0.197 COMP112/COMP134) (0.194 COMP141/COMP264/COMP547) (0.190 COMP9) (0.189 COMP18) (0.184 COMP1966) (0.183 COMP475) (0.182 COMP616) (0.180 COMP49) (0.179 COMP11/COMP724/COMP8) (0.178 COMP2790) (0.174 COMP389/COMP390) (0.172 COMP48) (0.171 COMP2794/COMP302)
Anabolic	0.217	COMP112/COMP134	(0.211 COMP1192/COMP474/COMP543/COMP905) (0.198 COMP109/COMP133/COMP136/COMP145/COMP170) (0.196 COMP166) (0.190 COMP11/COMP1892/COMP8) (0.189 COMP1658) (0.186 COMP124) (0.185 COMP2794) (0.183 COMP1181/COMP153) (0.182 COMP18) (0.180 COMP1431/COMP2797/COMP2814/COMP2815) (0.177 COMP872) (0.176 COMP1240/COMP1247/COMP295) (0.175 COMP1166/COMP502) (0.174 COMP113/COMP1254/COMP132/COMP142/COMP725) (0.172 COMP123/COMP161/COMP943/COMP947/COMP952) (0.171 COMP144/COMP1668/COMP19/COMP523/COMP638) (0.170 COMP110) (0.169 COMP302) (0.167 COMP2798/COMP475) (0.166 COMP1119/COMP621) (0.164 COMP1411/COMP2212/COMP2231/COMP2253/COMP2799/COMP2801/COMP568/COMP60) (0.163 COMP1265/COMP141/COMP1966/COMP264/COMP322/COMP547/COMP683) (0.162 COMP2808) (0.160 COMP2819) (0.159 COMP155/COMP971) (0.158 COMP501) (0.157 COMP2412/COMP616) (0.156 COMP114/COMP131/COMP505) (0.155 COMP158/COMP172/COMP774/COMP891) (0.154 COMP2787/COMP512/COMP697/COMP715/COMP810/COMP882/COMP889) (0.152 COMP296/COMP524/COMP875/COMP974) (0.151 COMP1244/COMP150/COMP151/COMP163/COMP6/COMP857) (0.150 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.149 COMP198/COMP299) (0.148 COMP1881/COMP2171) (0.147 COMP179/COMP191) (0.146 COMP338/COMP544) (0.145 COMP389/COMP390) (0.143 COMP118/COMP122) (0.142 COMP2803/COMP737/COMP775/COMP776/COMP777/COMP778) (0.141 COMP101/COMP2790) (0.138 COMP271/COMP2805/COMP9) (0.136 COMP2791) (0.135 COMP2800/COMP49) (0.133 COMP48) (0.131 COMP724) (0.130 COMP2812/COMP2818) (0.127 COMP2789/COMP2792) (0.125 COMP2793) (0.122 COMP1241) (0.118 COMP546) (0.117 COMP2809) (0.115 COMP1880) (0.114 COMP1116/COMP1261/COMP1934/COMP2140) (0.113 COMP887) (0.110 COMP2786/COMP2806) (0.109 COMP1577) (0.108 COMP2795) (0.106 COMP525) (0.104 COMP2810) (0.096 COMP4) (0.094 COMP781) (0.091 COMP312) (0.089 COMP1272/COMP310) (0.087 COMP2788/COMP2807)
