Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.563	COMP2797/COMP2814/COMP2815	(0.541 COMP11/COMP8) (0.532 COMP296/COMP524) (0.528 COMP1116/COMP1261) (0.519 COMP1166/COMP502) (0.510 COMP1892) (0.507 COMP18) (0.476 COMP638) (0.471 COMP150/COMP151/COMP163) (0.468 COMP1431) (0.465 COMP475) (0.464 COMP133/COMP170) (0.462 COMP299) (0.454 COMP1240/COMP1247/COMP1668/COMP295/COMP523) (0.452 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.448 COMP112/COMP1192/COMP134/COMP474/COMP543/COMP905) (0.446 COMP943/COMP947/COMP952) (0.442 COMP124) (0.438 COMP2798/COMP725) (0.429 COMP697/COMP889) (0.427 COMP1119) (0.426 COMP113/COMP132/COMP142) (0.425 COMP2799) (0.419 COMP110/COMP60) (0.418 COMP1966) (0.416 COMP166) (0.413 COMP122) (0.411 COMP1254/COMP2805) (0.410 COMP302) (0.407 COMP2794/COMP683) (0.405 COMP141/COMP264/COMP271/COMP547) (0.404 COMP109/COMP136/COMP145) (0.392 COMP389/COMP390) (0.389 COMP1658) (0.385 COMP322) (0.384 COMP2793) (0.377 COMP2412) (0.375 COMP887) (0.371 COMP2795) (0.366 COMP6) (0.364 COMP4) (0.361 COMP1244) (0.354 COMP971) (0.349 COMP123/COMP161) (0.340 COMP118) (0.334 COMP1181/COMP153) (0.333 COMP2803) (0.327 COMP114/COMP131) (0.323 COMP144/COMP19/COMP2800) (0.321 COMP872) (0.320 COMP101) (0.319 COMP2789) (0.318 COMP512/COMP715/COMP810/COMP882) (0.316 COMP1934/COMP2140) (0.309 COMP2808) (0.300 COMP621) (0.299 COMP2818) (0.295 COMP774/COMP891) (0.292 COMP875/COMP974) (0.286 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.284 COMP1265/COMP312) (0.280 COMP2819) (0.277 COMP616) (0.276 COMP2792) (0.275 COMP2809) (0.274 COMP505) (0.273 COMP501) (0.267 COMP198) (0.263 COMP2801) (0.260 COMP857) (0.259 COMP158/COMP172/COMP737/COMP775/COMP776/COMP777/COMP778) (0.255 COMP2787/COMP2806) (0.252 COMP191) (0.248 COMP546) (0.246 COMP1881/COMP2171/COMP2786) (0.238 COMP2791) (0.236 COMP2790) (0.235 COMP179) (0.233 COMP338) (0.232 COMP9) (0.229 COMP2810) (0.226 COMP1577) (0.225 COMP2812) (0.224 COMP1184) (0.215 COMP1880/COMP525) (0.210 COMP49) (0.205 COMP544) (0.204 COMP155) (0.201 COMP48) (0.190 COMP1241/COMP2807) (0.187 COMP724) (0.167 COMP180) (0.161 COMP2788)
Carcinogenic	0.940	COMP46	(0.932 COMP2816/COMP2817/COMP348) (0.921 COMP781) (0.912 COMP56) (0.898 COMP305) (0.890 COMP11/COMP8) (0.881 COMP1119) (0.867 COMP302) (0.849 COMP1272/COMP310) (0.847 COMP299) (0.836 COMP296/COMP524) (0.834 COMP361) (0.828 COMP1116/COMP1261) (0.824 COMP2803) (0.816 COMP1254/COMP1431) (0.808 COMP2789) (0.792 COMP123/COMP161) (0.790 COMP724) (0.789 COMP774/COMP891) (0.788 COMP875/COMP974) (0.778 COMP1238/COMP335) (0.753 COMP48) (0.750 COMP512/COMP715/COMP810/COMP882) (0.744 COMP1240/COMP1247/COMP295) (0.743 COMP971) (0.739 COMP2788) (0.736 COMP1166/COMP502) (0.724 COMP49) (0.720 COMP857) (0.692 COMP2791) (0.678 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.675 COMP191) (0.671 COMP141/COMP264/COMP547) (0.657 COMP1668/COMP523) (0.652 COMP1184) (0.639 COMP198) (0.635 COMP2805) (0.619 COMP2818) (0.609 COMP113/COMP132/COMP142) (0.607 COMP389/COMP390) (0.605 COMP2819) (0.602 COMP18) (0.599 COMP2792) (0.597 COMP697/COMP889) (0.596 COMP1892) (0.594 COMP638) (0.589 COMP338) (0.588 COMP2800) (0.566 COMP475) (0.559 COMP1658) (0.548 COMP737/COMP775/COMP776/COMP777/COMP778) (0.540 COMP1881/COMP2171) (0.532 COMP110) (0.522 COMP683) (0.504 COMP101) (0.497 COMP124) (0.489 COMP158/COMP172) (0.486 COMP1934/COMP2140) (0.485 COMP2797/COMP2814/COMP2815) (0.471 COMP725) (0.463 COMP180) (0.462 COMP1241) (0.451 COMP4) (0.450 COMP621) (0.445 COMP60) (0.441 COMP2798) (0.433 COMP887) (0.428 COMP2799) (0.422 COMP114/COMP131/COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.421 COMP505) (0.420 COMP150/COMP151/COMP163) (0.419 COMP1880) (0.418 COMP2794) (0.407 COMP179) (0.386 COMP1577) (0.382 COMP2795) (0.380 COMP2786) (0.379 COMP1244) (0.377 COMP112/COMP134) (0.367 COMP1192/COMP474/COMP543/COMP905) (0.365 COMP322) (0.359 COMP2787) (0.353 COMP2790) (0.350 COMP118) (0.349 COMP312) (0.329 COMP1181/COMP153/COMP6) (0.323 COMP122) (0.307 COMP2808) (0.306 COMP2812) (0.298 COMP271) (0.291 COMP2793) (0.285 COMP2801) (0.283 COMP9) (0.271 COMP109/COMP136/COMP145) (0.255 COMP1265) (0.249 COMP501) (0.248 COMP144/COMP19/COMP616) (0.235 COMP2809/COMP943/COMP947/COMP952) (0.234 COMP133/COMP170) (0.232 COMP872) (0.227 COMP155) (0.221 COMP1966) (0.214 COMP544) (0.204 COMP546) (0.199 COMP525) (0.196 COMP2810) (0.194 COMP2806) (0.187 COMP166) (0.171 COMP2412) (0.162 COMP2807)
Carcinogenic. group 1	0.822	COMP2818	(0.507 COMP2791) (0.468 COMP2788) (0.465 COMP305) (0.461 COMP18) (0.432 COMP2799) (0.422 COMP1272/COMP310) (0.412 COMP2792) (0.393 COMP56) (0.389 COMP857) (0.387 COMP118) (0.383 COMP475) (0.366 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.361 COMP322) (0.357 COMP1166/COMP4/COMP502) (0.344 COMP2806) (0.331 COMP638) (0.329 COMP122) (0.321 COMP2798) (0.319 COMP2810) (0.318 COMP198) (0.317 COMP101) (0.315 COMP1184/COMP683) (0.313 COMP49) (0.304 COMP2809/COMP697/COMP889) (0.303 COMP2793) (0.300 COMP2812) (0.294 COMP2786/COMP724) (0.293 COMP312) (0.292 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.291 COMP725/COMP9) (0.289 COMP2807) (0.277 COMP1254) (0.273 COMP191) (0.268 COMP48/COMP781) (0.267 COMP2787) (0.266 COMP60) (0.256 COMP180) (0.254 COMP1658) (0.252 COMP2800) (0.251 COMP271) (0.249 COMP943/COMP947/COMP952) (0.242 COMP616) (0.239 COMP1577) (0.236 COMP389/COMP390) (0.235 COMP179/COMP505) (0.228 COMP501/COMP544) (0.227 COMP525/COMP546) (0.226 COMP302) (0.223 COMP887) (0.220 COMP2816/COMP2817/COMP348) (0.218 COMP1244) (0.216 COMP2801) (0.206 COMP1119/COMP2797/COMP2814/COMP2815) (0.205 COMP2805/COMP296/COMP524) (0.197 COMP361/COMP6) (0.195 COMP141/COMP264/COMP2794/COMP547) (0.193 COMP1241/COMP46) (0.191 COMP11/COMP8) (0.190 COMP875/COMP974) (0.188 COMP1892) (0.187 COMP2789/COMP2795) (0.178 COMP1881/COMP2171) (0.177 COMP2808) (0.176 COMP2790/COMP512/COMP715/COMP810/COMP882) (0.173 COMP1116/COMP1261) (0.171 COMP872) (0.170 COMP737/COMP775/COMP776/COMP777/COMP778) (0.169 COMP1934/COMP2140) (0.168 COMP299) (0.167 COMP110) (0.163 COMP113/COMP132/COMP142/COMP2803) (0.161 COMP123/COMP1240/COMP1247/COMP161/COMP295) (0.158 COMP114/COMP131/COMP1431/COMP338) (0.157 COMP144/COMP19) (0.154 COMP1192/COMP474/COMP543/COMP905) (0.152 COMP1265) (0.151 COMP124) (0.148 COMP158/COMP172/COMP1880) (0.146 COMP155) (0.143 COMP621) (0.139 COMP1668/COMP523) (0.137 COMP109/COMP136/COMP145) (0.129 COMP166)
Carcinogenic. group 2A	0.824	COMP2818	(0.474 COMP2788) (0.467 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.363 COMP2800) (0.330 COMP1184) (0.308 COMP2792) (0.287 COMP2791) (0.271 COMP118) (0.242 COMP4) (0.236 COMP312) (0.232 COMP1254) (0.225 COMP322) (0.203 COMP1272/COMP310) (0.198 COMP101) (0.193 COMP2809) (0.189 COMP302) (0.187 COMP9) (0.186 COMP2799) (0.185 COMP122) (0.184 COMP305) (0.183 COMP1166/COMP502) (0.177 COMP475) (0.176 COMP683) (0.174 COMP2812/COMP501) (0.172 COMP2806/COMP857) (0.171 COMP1119) (0.163 COMP2807) (0.158 COMP2786/COMP2810/COMP56) (0.151 COMP2798) (0.148 COMP11/COMP8) (0.147 COMP60) (0.146 COMP2803/COMP781) (0.144 COMP616) (0.141 COMP872) (0.138 COMP271) (0.137 COMP6) (0.136 COMP296/COMP524) (0.134 COMP2787/COMP525/COMP546) (0.132 COMP1658) (0.130 COMP725) (0.128 COMP2801) (0.127 COMP544) (0.124 COMP875/COMP974) (0.122 COMP114/COMP131/COMP18) (0.121 COMP697/COMP889) (0.119 COMP638) (0.116 COMP179/COMP505) (0.110 COMP198) (0.109 COMP2794/COMP737/COMP775/COMP776/COMP777/COMP778) (0.107 COMP2816/COMP2817/COMP348) (0.106 COMP141/COMP264/COMP547) (0.104 COMP1892) (0.102 COMP2795/COMP389/COMP390) (0.101 COMP1881/COMP2171) (0.100 COMP155/COMP2789) (0.099 COMP110) (0.096 COMP1431/COMP512/COMP715/COMP810/COMP882) (0.094 COMP1238/COMP1577/COMP335) (0.093 COMP887) (0.091 COMP113/COMP132/COMP142) (0.090 COMP1241/COMP2793) (0.088 COMP1244) (0.086 COMP191) (0.085 COMP1240/COMP1247/COMP295) (0.083 COMP46) (0.082 COMP1265) (0.081 COMP2805) (0.079 COMP338/COMP724) (0.077 COMP1192/COMP1411/COMP2212/COMP2231/COMP2253/COMP474/COMP49/COMP543/COMP568/COMP905) (0.076 COMP124/COMP180/COMP621) (0.075 COMP1116/COMP1261) (0.073 COMP123/COMP161)
Carcinogenic. group 2B	0.718	COMP113/COMP132/COMP142	(0.509 COMP389/COMP390) (0.495 COMP697/COMP889) (0.494 COMP118) (0.492 COMP101) (0.449 COMP2792) (0.408 COMP4) (0.393 COMP1934/COMP2140) (0.356 COMP1254) (0.348 COMP887) (0.344 COMP302) (0.338 COMP198) (0.328 COMP191) (0.323 COMP2818) (0.313 COMP1166/COMP502) (0.311 COMP2788) (0.304 COMP1272/COMP310) (0.296 COMP857) (0.282 COMP1240/COMP1247/COMP295) (0.275 COMP312) (0.273 COMP2816/COMP2817/COMP348) (0.264 COMP46) (0.258 COMP2812) (0.248 COMP638) (0.235 COMP725) (0.234 COMP60) (0.232 COMP49) (0.231 COMP124) (0.226 COMP48) (0.223 COMP322) (0.221 COMP1881/COMP2171) (0.215 COMP338) (0.213 COMP781) (0.211 COMP11/COMP1431/COMP8) (0.209 COMP1892) (0.207 COMP305) (0.206 COMP1119) (0.205 COMP683) (0.204 COMP2798) (0.203 COMP18/COMP2806/COMP475) (0.202 COMP56) (0.200 COMP109/COMP136/COMP145) (0.197 COMP2791/COMP501) (0.194 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.191 COMP1238/COMP335/COMP724) (0.189 COMP2803/COMP2805) (0.187 COMP2809) (0.186 COMP505) (0.184 COMP2810/COMP361) (0.183 COMP9) (0.181 COMP2786) (0.176 COMP2799) (0.175 COMP179) (0.173 COMP2793) (0.169 COMP737/COMP775/COMP776/COMP777/COMP778) (0.168 COMP271) (0.166 COMP1577) (0.162 COMP114/COMP131) (0.159 COMP2787) (0.156 COMP299) (0.155 COMP1880/COMP2794/COMP2797/COMP2801/COMP2814/COMP2815) (0.153 COMP2789) (0.151 COMP112/COMP134) (0.149 COMP1192/COMP474/COMP543/COMP905) (0.148 COMP1184) (0.146 COMP1116/COMP1261) (0.145 COMP141/COMP264/COMP2807/COMP547) (0.144 COMP1265) (0.143 COMP133/COMP170/COMP621) (0.139 COMP122) (0.138 COMP296/COMP524) (0.136 COMP774/COMP891) (0.133 COMP2790/COMP546) (0.130 COMP616) (0.129 COMP1241) (0.126 COMP1181/COMP153) (0.125 COMP155) (0.124 COMP1658) (0.121 COMP525) (0.117 COMP123/COMP161/COMP512/COMP715/COMP810/COMP882) (0.116 COMP872) (0.114 COMP1244) (0.112 COMP144/COMP19/COMP6) (0.111 COMP943/COMP947/COMP952) (0.108 COMP2800/COMP544) (0.091 COMP875/COMP974) (0.088 COMP110/COMP180) (0.087 COMP158/COMP172)
Carcinogenic. group 3	0.799	COMP49	(0.786 COMP2792) (0.772 COMP141/COMP264/COMP547) (0.751 COMP48) (0.702 COMP1892) (0.674 COMP1240/COMP1247/COMP295) (0.672 COMP724) (0.632 COMP857) (0.608 COMP198) (0.533 COMP191) (0.519 COMP697/COMP889) (0.507 COMP2798) (0.454 COMP305) (0.447 COMP2803) (0.439 COMP389/COMP390) (0.432 COMP60) (0.431 COMP18) (0.407 COMP2799) (0.403 COMP2805) (0.395 COMP56) (0.391 COMP1668/COMP523) (0.388 COMP1166/COMP502) (0.379 COMP683) (0.362 COMP725) (0.361 COMP1272/COMP310) (0.359 COMP101) (0.347 COMP475) (0.346 COMP118) (0.337 COMP322) (0.332 COMP123/COMP161) (0.325 COMP781) (0.324 COMP2816/COMP2817/COMP2818/COMP348) (0.322 COMP9) (0.315 COMP6) (0.301 COMP505) (0.300 COMP302) (0.295 COMP1241) (0.286 COMP1658/COMP46) (0.277 COMP887) (0.274 COMP11/COMP8) (0.272 COMP271/COMP501) (0.268 COMP1254) (0.257 COMP179) (0.252 COMP144/COMP155/COMP19) (0.251 COMP1431) (0.250 COMP1881/COMP2171) (0.248 COMP4/COMP872) (0.244 COMP616) (0.241 COMP122) (0.240 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.237 COMP299) (0.235 COMP544) (0.231 COMP2790) (0.229 COMP158/COMP172) (0.227 COMP774/COMP891) (0.225 COMP638) (0.215 COMP1934/COMP2140/COMP361) (0.214 COMP2786) (0.213 COMP737/COMP775/COMP776/COMP777/COMP778) (0.212 COMP2812) (0.210 COMP338) (0.208 COMP2801) (0.192 COMP1577) (0.187 COMP2787) (0.183 COMP114/COMP131) (0.182 COMP2788) (0.178 COMP112/COMP1181/COMP134/COMP153) (0.175 COMP512/COMP715/COMP810/COMP882) (0.173 COMP546) (0.166 COMP2800) (0.164 COMP1116/COMP1261) (0.163 COMP1119/COMP312) (0.161 COMP2808) (0.158 COMP2794) (0.153 COMP2793) (0.152 COMP1244) (0.149 COMP296/COMP524) (0.148 COMP113/COMP132/COMP142) (0.147 COMP525) (0.144 COMP124) (0.142 COMP621) (0.141 COMP2791/COMP875/COMP974) (0.136 COMP1184) (0.135 COMP180) (0.131 COMP1192/COMP474/COMP543/COMP905) (0.125 COMP1265) (0.120 COMP133/COMP170) (0.118 COMP2809) (0.113 COMP1880) (0.112 COMP971) (0.110 COMP2795) (0.109 COMP2797/COMP2814/COMP2815) (0.099 COMP2806) (0.098 COMP2810) (0.097 COMP109/COMP136/COMP145)
Cardiodepressant	0.804	COMP2800	(0.790 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.767 COMP312) (0.734 COMP4) (0.626 COMP101) (0.619 COMP2794) (0.568 COMP112/COMP134) (0.566 COMP109/COMP136/COMP145) (0.562 COMP2809) (0.547 COMP1192/COMP474/COMP543/COMP905) (0.545 COMP118) (0.532 COMP2799) (0.509 COMP1166/COMP502) (0.506 COMP2810) (0.496 COMP271) (0.487 COMP2795) (0.482 COMP475) (0.468 COMP2806) (0.465 COMP2807/COMP60) (0.449 COMP638) (0.446 COMP180) (0.443 COMP2798) (0.426 COMP1577) (0.412 COMP18) (0.404 COMP2788) (0.398 COMP122) (0.393 COMP683) (0.392 COMP2812/COMP725) (0.385 COMP505) (0.383 COMP2786) (0.377 COMP546) (0.373 COMP2793) (0.354 COMP2792) (0.345 COMP322) (0.342 COMP191) (0.341 COMP1658) (0.329 COMP48) (0.328 COMP198) (0.321 COMP512/COMP715/COMP810/COMP882) (0.317 COMP887) (0.314 COMP49) (0.309 COMP2790) (0.295 COMP389/COMP390) (0.292 COMP2787) (0.288 COMP179) (0.279 COMP525) (0.277 COMP9) (0.270 COMP724) (0.266 COMP1966) (0.264 COMP114/COMP131) (0.261 COMP875/COMP974) (0.257 COMP1116/COMP1261/COMP1934/COMP2140) (0.255 COMP1880) (0.250 COMP697/COMP889) (0.245 COMP2412/COMP857) (0.243 COMP11/COMP2801/COMP8) (0.239 COMP338) (0.226 COMP113/COMP132/COMP142) (0.225 COMP1881/COMP2171) (0.219 COMP124/COMP971) (0.216 COMP501) (0.214 COMP2805) (0.205 COMP2818/COMP774/COMP891) (0.202 COMP737/COMP775/COMP776/COMP777/COMP778) (0.200 COMP616) (0.180 COMP872) (0.170 COMP1431) (0.162 COMP1254) (0.146 COMP2808) (0.138 COMP2791) (0.135 COMP56) (0.132 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.131 COMP299)
Cytotoxic	0.700	COMP1238/COMP335	(0.685 COMP2789) (0.658 COMP46) (0.640 COMP2816/COMP2817/COMP348) (0.626 COMP56) (0.617 COMP1272/COMP310) (0.610 COMP305) (0.607 COMP781) (0.606 COMP2791) (0.595 COMP2788) (0.592 COMP361) (0.572 COMP2818) (0.557 COMP150/COMP151/COMP163) (0.534 COMP2819) (0.518 COMP1184) (0.513 COMP1880/COMP338) (0.502 COMP875/COMP971/COMP974) (0.500 COMP512/COMP715/COMP810/COMP882) (0.495 COMP1881/COMP2171) (0.489 COMP1265) (0.484 COMP155) (0.480 COMP774/COMP891) (0.470 COMP158/COMP172) (0.460 COMP2412) (0.457 COMP1181/COMP153) (0.456 COMP724) (0.454 COMP48) (0.446 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.428 COMP180/COMP191) (0.423 COMP49) (0.422 COMP1119) (0.416 COMP638) (0.410 COMP1166/COMP502) (0.407 COMP1577) (0.406 COMP737/COMP775/COMP776/COMP777/COMP778) (0.398 COMP198) (0.394 COMP621) (0.390 COMP1431/COMP299) (0.388 COMP2787/COMP857) (0.387 COMP144/COMP19) (0.384 COMP101) (0.371 COMP11/COMP8) (0.369 COMP1192/COMP474/COMP543/COMP905) (0.366 COMP1116/COMP1261) (0.362 COMP110) (0.361 COMP1254/COMP1892) (0.360 COMP18) (0.357 COMP1668/COMP2797/COMP2814/COMP2815/COMP523) (0.356 COMP1244) (0.354 COMP1240/COMP1247/COMP295) (0.351 COMP2786) (0.350 COMP112/COMP134) (0.349 COMP123/COMP161) (0.346 COMP2801) (0.344 COMP1966) (0.342 COMP943/COMP947/COMP952) (0.340 COMP302) (0.336 COMP179) (0.329 COMP296/COMP524/COMP544) (0.327 COMP2794) (0.322 COMP141/COMP264/COMP547) (0.319 COMP2808/COMP6) (0.317 COMP1934/COMP2140) (0.315 COMP505) (0.313 COMP2793) (0.312 COMP2805) (0.295 COMP683) (0.291 COMP887) (0.290 COMP389/COMP390) (0.288 COMP697/COMP889) (0.286 COMP133/COMP1658/COMP170) (0.285 COMP271) (0.284 COMP60) (0.283 COMP2790) (0.282 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.280 COMP2798) (0.275 COMP1241) (0.273 COMP118/COMP122) (0.263 COMP475/COMP616/COMP725) (0.259 COMP109/COMP136/COMP145) (0.257 COMP2803) (0.254 COMP166) (0.252 COMP124) (0.240 COMP2800) (0.231 COMP2799/COMP872) (0.228 COMP525) (0.227 COMP501) (0.214 COMP114/COMP131/COMP9) (0.211 COMP546) (0.210 COMP2792) (0.199 COMP322) (0.195 COMP2812) (0.190 COMP4) (0.187 COMP2806) (0.185 COMP113/COMP132/COMP142/COMP2810) (0.171 COMP2807) (0.166 COMP312) (0.137 COMP2809)
DNA damaging	0.876	COMP46	(0.861 COMP2816/COMP2817/COMP348) (0.834 COMP781) (0.824 COMP56) (0.798 COMP305) (0.758 COMP1238/COMP335) (0.717 COMP1272/COMP310) (0.703 COMP1184) (0.669 COMP2789) (0.642 COMP2818) (0.631 COMP180) (0.586 COMP737/COMP775/COMP776/COMP777/COMP778) (0.542 COMP361) (0.539 COMP1577) (0.519 COMP724) (0.506 COMP2791) (0.502 COMP2788) (0.500 COMP191) (0.479 COMP48) (0.478 COMP2786) (0.467 COMP112/COMP134) (0.463 COMP198) (0.457 COMP971) (0.445 COMP875/COMP974) (0.441 COMP49/COMP857) (0.437 COMP887) (0.430 COMP1880) (0.409 COMP512/COMP715/COMP810/COMP882) (0.403 COMP389/COMP390) (0.397 COMP697/COMP889) (0.396 COMP338) (0.395 COMP2819) (0.380 COMP1192/COMP474/COMP543/COMP905) (0.371 COMP544) (0.361 COMP2787) (0.359 COMP1881/COMP2171) (0.339 COMP1241/COMP158/COMP172/COMP4) (0.334 COMP18) (0.326 COMP2801) (0.319 COMP1244) (0.318 COMP2799/COMP475) (0.313 COMP122) (0.307 COMP774/COMP891) (0.302 COMP144/COMP19) (0.294 COMP683) (0.290 COMP616) (0.289 COMP299) (0.288 COMP101) (0.282 COMP2793) (0.279 COMP271) (0.278 COMP312) (0.276 COMP2790) (0.264 COMP638) (0.259 COMP2795) (0.248 COMP1181/COMP153) (0.246 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.243 COMP1966) (0.242 COMP60) (0.239 COMP118) (0.238 COMP179) (0.237 COMP1934/COMP2140) (0.232 COMP525) (0.230 COMP322) (0.229 COMP505/COMP9) (0.228 COMP2798) (0.227 COMP123/COMP161) (0.223 COMP546) (0.217 COMP296/COMP524) (0.208 COMP2806) (0.207 COMP1116/COMP1261/COMP1658) (0.200 COMP109/COMP136/COMP145/COMP2807) (0.199 COMP2810) (0.194 COMP6) (0.187 COMP155) (0.184 COMP725) (0.182 COMP1166/COMP502) (0.181 COMP2412) (0.180 COMP2792/COMP621) (0.178 COMP150/COMP151/COMP163) (0.175 COMP2808/COMP2812) (0.174 COMP166) (0.170 COMP2809) (0.160 COMP113/COMP132/COMP142) (0.159 COMP1431)
Embryotoxic	0.839	COMP2789	(0.834 COMP2818) (0.806 COMP774/COMP891) (0.804 COMP1166/COMP502) (0.797 COMP46) (0.794 COMP299) (0.784 COMP2816/COMP2817/COMP348) (0.768 COMP56) (0.764 COMP2788) (0.761 COMP1272/COMP310) (0.756 COMP305) (0.755 COMP2791) (0.754 COMP781) (0.744 COMP112/COMP134) (0.742 COMP296/COMP524) (0.737 COMP1238/COMP335) (0.736 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.731 COMP1116/COMP1261) (0.714 COMP2800) (0.711 COMP1119) (0.702 COMP1892) (0.692 COMP361) (0.689 COMP302) (0.686 COMP2794) (0.685 COMP1192/COMP474/COMP543/COMP905) (0.684 COMP1184) (0.682 COMP1668/COMP523) (0.681 COMP1240/COMP1247/COMP295) (0.675 COMP475) (0.671 COMP18) (0.668 COMP1254) (0.667 COMP1658) (0.662 COMP1431/COMP875/COMP974) (0.650 COMP141/COMP264/COMP547) (0.633 COMP11/COMP8) (0.631 COMP512/COMP715/COMP810/COMP882) (0.630 COMP971) (0.626 COMP857) (0.623 COMP2799) (0.596 COMP2803) (0.594 COMP2795) (0.593 COMP638) (0.568 COMP725) (0.567 COMP2792) (0.516 COMP683) (0.514 COMP2805) (0.513 COMP697/COMP889) (0.503 COMP2819) (0.502 COMP389/COMP390) (0.500 COMP724) (0.484 COMP737/COMP775/COMP776/COMP777/COMP778) (0.474 COMP2798) (0.471 COMP60) (0.461 COMP48) (0.438 COMP49) (0.435 COMP338) (0.426 COMP109/COMP136/COMP145/COMP621) (0.409 COMP2793) (0.408 COMP1881/COMP2171) (0.400 COMP2812) (0.397 COMP123/COMP161) (0.396 COMP2809) (0.391 COMP191) (0.388 COMP1934/COMP2140) (0.384 COMP101) (0.381 COMP505) (0.377 COMP887) (0.376 COMP122) (0.365 COMP198) (0.351 COMP2790) (0.346 COMP271) (0.343 COMP6) (0.331 COMP1966) (0.320 COMP2806) (0.314 COMP2787) (0.313 COMP179/COMP1880) (0.312 COMP2810) (0.308 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.307 COMP155) (0.297 COMP544) (0.290 COMP158/COMP172) (0.285 COMP118) (0.284 COMP872) (0.277 COMP2808) (0.276 COMP2786/COMP322) (0.268 COMP144/COMP19) (0.266 COMP2797/COMP2814/COMP2815) (0.261 COMP1577) (0.257 COMP133/COMP170) (0.249 COMP2801/COMP9) (0.245 COMP1181/COMP153/COMP616) (0.240 COMP1244) (0.238 COMP1241) (0.234 COMP150/COMP151/COMP163/COMP2807) (0.232 COMP124/COMP943/COMP947/COMP952) (0.231 COMP180) (0.215 COMP113/COMP132/COMP142) (0.214 COMP4) (0.207 COMP546) (0.202 COMP1265) (0.199 COMP501) (0.188 COMP110) (0.185 COMP166) (0.170 COMP114/COMP131) (0.166 COMP312) (0.165 COMP525) (0.137 COMP2412)
