Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake inhibitor	0.503	COMP2795	(0.140 COMP2800) (0.059 COMP2812) (0.055 COMP2806)
5 Hydroxytryptamine uptake stimulant	0.723	COMP2810	(0.716 COMP2806) (0.692 COMP2812) (0.678 COMP2807) (0.607 COMP18) (0.605 COMP2809) (0.601 COMP60) (0.591 COMP271) (0.566 COMP683) (0.561 COMP2798) (0.546 COMP338) (0.545 COMP2793) (0.538 COMP122) (0.536 COMP1880/COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.535 COMP2786) (0.533 COMP725) (0.528 COMP1881/COMP2171/COMP322) (0.525 COMP857) (0.519 COMP1892) (0.518 COMP101) (0.516 COMP2794) (0.507 COMP141/COMP264/COMP547) (0.484 COMP512/COMP715/COMP810/COMP882) (0.482 COMP1577) (0.478 COMP1240/COMP1247/COMP295) (0.472 COMP1658) (0.470 COMP737/COMP775/COMP776/COMP777/COMP778) (0.465 COMP191) (0.460 COMP48) (0.454 COMP118) (0.451 COMP875/COMP974) (0.450 COMP180) (0.445 COMP198) (0.444 COMP475) (0.441 COMP49/COMP971) (0.440 COMP638) (0.439 COMP2799) (0.426 COMP724) (0.424 COMP179/COMP505) (0.416 COMP1166/COMP502) (0.415 COMP2797/COMP2814/COMP2815) (0.414 COMP2792) (0.413 COMP389/COMP390) (0.408 COMP2787) (0.401 COMP887) (0.395 COMP2800) (0.384 COMP6) (0.382 COMP9) (0.379 COMP501) (0.365 COMP616) (0.358 COMP697/COMP889) (0.355 COMP1254) (0.354 COMP114/COMP131) (0.352 COMP2805) (0.351 COMP2801/COMP943/COMP947/COMP952) (0.345 COMP109/COMP136/COMP145) (0.343 COMP110/COMP525/COMP546) (0.341 COMP2808) (0.340 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.334 COMP1192/COMP474/COMP543/COMP905) (0.329 COMP544) (0.327 COMP1244) (0.324 COMP872) (0.319 COMP113/COMP132/COMP142) (0.308 COMP1241) (0.307 COMP144/COMP19) (0.306 COMP2819) (0.305 COMP1934/COMP2140) (0.297 COMP302) (0.295 COMP112/COMP134/COMP4) (0.291 COMP124) (0.281 COMP2790) (0.280 COMP155/COMP312) (0.272 COMP11/COMP1119/COMP8) (0.270 COMP158/COMP172) (0.261 COMP1181/COMP153) (0.260 COMP166/COMP1668/COMP523) (0.259 COMP123/COMP161) (0.255 COMP2795) (0.239 COMP1431) (0.238 COMP621) (0.229 COMP1966/COMP296/COMP524) (0.217 COMP774/COMP891) (0.216 COMP1265) (0.214 COMP361) (0.209 COMP2818) (0.203 COMP1116/COMP1261) (0.202 COMP299) (0.195 COMP133/COMP170) (0.191 COMP150/COMP151/COMP163)
Adenosine uptake inhibitor	0.095	COMP141/COMP264/COMP547	(0.079 COMP1658) (0.052 COMP2812) (0.048 COMP6) (0.047 COMP475) (0.046 COMP1240/COMP1247/COMP295) (0.045 COMP1892/COMP616) (0.044 COMP2808) (0.043 COMP2799) (0.041 COMP2788) (0.040 COMP2809/COMP2810/COMP9) (0.039 COMP1184/COMP1668/COMP2806/COMP523) (0.038 COMP2797/COMP2814/COMP2815/COMP2818/COMP525) (0.037 COMP18) (0.036 COMP118/COMP2807/COMP544) (0.035 COMP144/COMP19) (0.034 COMP1241/COMP872) (0.033 COMP101/COMP1244/COMP158/COMP172/COMP179/COMP501/COMP546)
Adrenaline uptake inhibitor	0.491	COMP2795	(0.158 COMP2800) (0.116 COMP2812) (0.090 COMP1892) (0.086 COMP2806) (0.080 COMP2807/COMP2810) (0.078 COMP2809)
Antiviral (CMV)	0.245	COMP109/COMP136/COMP145	(0.236 COMP1192/COMP474/COMP543/COMP905) (0.217 COMP2799) (0.215 COMP112/COMP134) (0.186 COMP2791) (0.162 COMP475) (0.132 COMP638) (0.131 COMP18/COMP2818) (0.130 COMP1240/COMP1247/COMP295) (0.127 COMP1892) (0.122 COMP141/COMP264/COMP547) (0.119 COMP110) (0.116 COMP113/COMP132/COMP142) (0.115 COMP2789) (0.106 COMP124/COMP296/COMP524)
Apical sodium codependent bile acid transporter inhibitor	0.111	COMP2819	(0.035 COMP18) (0.032 COMP475) (0.030 COMP2799) (0.029 COMP1192/COMP1658/COMP474/COMP543/COMP905) (0.027 COMP2818) (0.024 COMP2800) (0.023 COMP638) (0.017 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813)
Dopamine transporter inhibitor	0.111	COMP2795	(0.093 COMP2812) (0.073 COMP2806) (0.067 COMP2810) (0.061 COMP2807) (0.058 COMP2809) (0.056 COMP113/COMP132/COMP142) (0.047 COMP2800)
Dopamine uptake inhibitor	0.171	COMP2795	(0.141 COMP2800) (0.076 COMP2812) (0.068 COMP2806) (0.067 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.065 COMP2799) (0.064 COMP2810) (0.063 COMP118/COMP1892) (0.062 COMP2809) (0.057 COMP322) (0.056 COMP9) (0.054 COMP2807)
Electron transport complex I inhibitor	0.573	COMP638	(0.571 COMP1658) (0.520 COMP1119) (0.475 COMP1166/COMP502) (0.419 COMP296/COMP524) (0.371 COMP2786) (0.317 COMP475) (0.305 COMP1265) (0.301 COMP1116/COMP1261) (0.295 COMP1254) (0.291 COMP11/COMP8) (0.270 COMP1577) (0.260 COMP302) (0.255 COMP299) (0.215 COMP1880) (0.207 COMP180) (0.205 COMP49) (0.195 COMP48) (0.193 COMP101) (0.189 COMP546) (0.183 COMP2799/COMP724) (0.181 COMP1881/COMP198/COMP2171) (0.179 COMP1431) (0.176 COMP338) (0.175 COMP118/COMP191) (0.169 COMP18) (0.165 COMP2805) (0.163 COMP525) (0.159 COMP271) (0.158 COMP2803) (0.157 COMP1668/COMP523) (0.154 COMP2793/COMP737/COMP775/COMP776/COMP777/COMP778) (0.151 COMP122) (0.147 COMP1238/COMP335/COMP512/COMP715/COMP810/COMP882) (0.144 COMP505) (0.139 COMP1240/COMP1247/COMP295) (0.138 COMP2801/COMP875/COMP974) (0.135 COMP1892) (0.133 COMP2800) (0.130 COMP312) (0.129 COMP971) (0.128 COMP857/COMP887) (0.127 COMP2807) (0.126 COMP2794/COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.125 COMP2819) (0.124 COMP781) (0.123 COMP179/COMP2788) (0.122 COMP141/COMP264/COMP547/COMP9) (0.120 COMP2787) (0.117 COMP4) (0.115 COMP2810) (0.111 COMP1934/COMP2140/COMP60) (0.110 COMP361) (0.108 COMP2808) (0.107 COMP2816/COMP2817/COMP348/COMP46) (0.105 COMP1272/COMP2789/COMP310) (0.103 COMP2806) (0.099 COMP322) (0.098 COMP2798) (0.096 COMP110)
Endocannabinoid uptake inhibitor	0.216	COMP1166/COMP502	(0.192 COMP2799) (0.185 COMP475) (0.155 COMP638) (0.148 COMP18) (0.146 COMP4) (0.141 COMP101) (0.136 COMP697/COMP889) (0.135 COMP389/COMP390/COMP887) (0.120 COMP1934/COMP2140) (0.117 COMP118) (0.115 COMP2793) (0.113 COMP1658/COMP2800) (0.106 COMP2798) (0.105 COMP271) (0.104 COMP60) (0.098 COMP312) (0.097 COMP2809/COMP322/COMP725) (0.095 COMP1254) (0.094 COMP2810) (0.093 COMP2806) (0.092 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.091 COMP296/COMP524/COMP683) (0.088 COMP122) (0.086 COMP1119) (0.084 COMP2805/COMP2812) (0.078 COMP302) (0.075 COMP179) (0.072 COMP2807/COMP501) (0.070 COMP299/COMP9) (0.069 COMP2786) (0.068 COMP1116/COMP1261/COMP857) (0.067 COMP11/COMP2792/COMP505/COMP8) (0.065 COMP525) (0.064 COMP2787)
Equilibrative nucleoside transport protein inhibitor	0.104	COMP2818	(0.076 COMP2791) (0.070 COMP1184) (0.065 COMP1272/COMP310) (0.063 COMP2788/COMP305) (0.062 COMP56) (0.061 COMP475) (0.060 COMP2789) (0.046 COMP2816/COMP2817/COMP348)
Excitatory amino acid transporter 1 inhibitor	0.028	COMP2796/COMP2802/COMP2804/COMP2811/COMP2813	(0.027 COMP2812) (0.026 COMP18) (0.024 COMP2794) (0.020 COMP1934/COMP2140/COMP2806) (0.018 COMP2809/COMP2810/COMP943/COMP947/COMP952) (0.017 COMP2807)
Excitatory amino acid transporter 2 inhibitor	0.066	COMP18	(0.054 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.051 COMP2794) (0.050 COMP2812) (0.036 COMP1934/COMP2140) (0.031 COMP2792) (0.028 COMP2806/COMP2809) (0.025 COMP2810) (0.023 COMP2807)
Excitatory amino acid transporter 3 inhibitor	0.040	COMP18	(0.030 COMP501) (0.029 COMP2812) (0.028 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.026 COMP9) (0.025 COMP2794) (0.024 COMP2805) (0.023 COMP2792/COMP638) (0.022 COMP475) (0.021 COMP322/COMP616) (0.020 COMP144/COMP19)
Excitatory amino acid transporter EAAC1 inhibitor	0.549	COMP2792	(0.457 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.423 COMP322) (0.403 COMP18) (0.393 COMP2812) (0.373 COMP2798) (0.361 COMP60/COMP683) (0.329 COMP725) (0.328 COMP2794) (0.312 COMP2805) (0.295 COMP638) (0.279 COMP697/COMP889) (0.266 COMP2806) (0.264 COMP2809) (0.253 COMP475) (0.252 COMP1934/COMP2140) (0.249 COMP389/COMP390) (0.248 COMP2810) (0.244 COMP2793) (0.237 COMP122) (0.229 COMP501) (0.227 COMP2799) (0.217 COMP2800) (0.209 COMP271) (0.206 COMP2807) (0.205 COMP9) (0.191 COMP616) (0.187 COMP1166/COMP502) (0.185 COMP1658/COMP857) (0.168 COMP544/COMP6) (0.161 COMP2818/COMP296/COMP524) (0.155 COMP2787) (0.147 COMP872) (0.146 COMP2795) (0.144 COMP1254) (0.136 COMP110) (0.135 COMP1116/COMP118/COMP1261/COMP198) (0.131 COMP887) (0.129 COMP114/COMP1241/COMP131) (0.127 COMP144/COMP19/COMP2801) (0.124 COMP179/COMP505/COMP621) (0.121 COMP299) (0.118 COMP2790) (0.112 COMP1244/COMP155) (0.110 COMP302) (0.109 COMP11/COMP8) (0.107 COMP113/COMP132/COMP142) (0.104 COMP1881/COMP191/COMP2171/COMP49) (0.101 COMP123/COMP161) (0.100 COMP1192/COMP1411/COMP2212/COMP2231/COMP2253/COMP474/COMP543/COMP568/COMP905) (0.098 COMP2797/COMP2814/COMP2815) (0.096 COMP1119/COMP1265) (0.095 COMP109/COMP136/COMP145/COMP943/COMP947/COMP952) (0.094 COMP124) (0.092 COMP101) (0.090 COMP2808)
Folate transporter 1 inhibitor	0.022	COMP18	(0.012 COMP2792) (0.011 COMP322)
