Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.075	COMP189	(0.051 COMP631) (0.050 COMP640) (0.046 COMP864/COMP878) (0.045 COMP1506/COMP994) (0.041 COMP322) (0.040 COMP683/COMP815/COMP838) (0.039 COMP829/COMP830) (0.037 COMP389/COMP390/COMP879) (0.036 COMP55) (0.034 COMP643) (0.032 COMP1945)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.020	COMP189/COMP879	(0.019 COMP322) (0.018 COMP1506/COMP994) (0.016 COMP643) (0.015 COMP631) (0.014 COMP683) (0.013 COMP389/COMP390) (0.012 COMP55/COMP640)
1.3-Beta-glucan synthase inhibitor	0.035	COMP77	(0.034 COMP1940/COMP807) (0.033 COMP824/COMP879) (0.032 COMP301/COMP305/COMP56) (0.031 COMP185/COMP1943/COMP1946) (0.030 COMP774) (0.028 COMP46/COMP821/COMP835) (0.027 COMP643)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.042	COMP77	(0.041 COMP170)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.102	COMP77	(0.034 COMP631) (0.029 COMP189) (0.028 COMP322)
12-Lipoxygenase inhibitor	0.869	COMP48	(0.824 COMP49) (0.507 COMP187) (0.450 COMP683) (0.446 COMP466/COMP887) (0.430 COMP1214) (0.416 COMP728) (0.399 COMP389/COMP390) (0.382 COMP1945) (0.303 COMP643) (0.289 COMP322) (0.257 COMP631) (0.249 COMP189) (0.248 COMP640) (0.204 COMP1506/COMP994) (0.194 COMP301/COMP56)
15-Lipoxygenase inhibitor	0.869	COMP48	(0.828 COMP49) (0.588 COMP187) (0.552 COMP1214) (0.516 COMP683) (0.511 COMP466/COMP887) (0.495 COMP728) (0.486 COMP389/COMP390) (0.478 COMP1945) (0.410 COMP640) (0.397 COMP643) (0.383 COMP322) (0.312 COMP631) (0.279 COMP189) (0.257 COMP1506/COMP994)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.203	COMP77	(0.125 COMP643) (0.039 COMP879) (0.036 COMP640) (0.035 COMP170)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.021	COMP77	
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.129	COMP683	(0.110 COMP322) (0.106 COMP631) (0.079 COMP1945) (0.075 COMP189) (0.070 COMP49) (0.069 COMP1506/COMP77/COMP994) (0.067 COMP48) (0.060 COMP55) (0.058 COMP864/COMP878) (0.055 COMP389/COMP390) (0.052 COMP643) (0.049 COMP187)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.212	COMP683	(0.153 COMP631) (0.119 COMP322) (0.080 COMP1506/COMP189/COMP994) (0.078 COMP804/COMP813/COMP833) (0.072 COMP829/COMP830) (0.069 COMP815/COMP838) (0.065 COMP389/COMP390) (0.060 COMP821/COMP835) (0.059 COMP1945) (0.057 COMP55) (0.056 COMP822) (0.054 COMP728) (0.053 COMP864/COMP878) (0.052 COMP817/COMP842) (0.051 COMP1938/COMP356/COMP466/COMP805/COMP824/COMP827/COMP887) (0.050 COMP1214) (0.049 COMP640) (0.047 COMP187) (0.046 COMP643/COMP879) (0.044 COMP49) (0.042 COMP1084)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.603	COMP48	(0.524 COMP49) (0.471 COMP301/COMP56) (0.387 COMP305) (0.289 COMP187) (0.258 COMP683) (0.240 COMP1945) (0.228 COMP389/COMP390) (0.210 COMP1214) (0.195 COMP46) (0.190 COMP466/COMP887) (0.181 COMP728) (0.150 COMP631) (0.124 COMP189/COMP322) (0.112 COMP774) (0.096 COMP643) (0.095 COMP1506/COMP994) (0.091 COMP185/COMP1943/COMP1946) (0.078 COMP55) (0.077 COMP1104) (0.075 COMP864/COMP878) (0.065 COMP879) (0.055 COMP1940) (0.054 COMP640/COMP822)
3C-like protease (Human coronavirus) inhibitor	0.310	COMP322	(0.277 COMP631) (0.246 COMP683) (0.245 COMP1506/COMP994) (0.197 COMP187) (0.183 COMP817/COMP842) (0.180 COMP821/COMP835) (0.170 COMP189/COMP640) (0.169 COMP822) (0.164 COMP49) (0.155 COMP1945) (0.152 COMP1214) (0.146 COMP356/COMP805/COMP827) (0.144 COMP804/COMP813/COMP833) (0.142 COMP48)
5 Hydroxytryptamine 1E antagonist	0.317	COMP643	(0.271 COMP322) (0.247 COMP1214) (0.240 COMP356/COMP805/COMP827) (0.218 COMP389/COMP390) (0.216 COMP466/COMP631/COMP887) (0.212 COMP640) (0.210 COMP48) (0.198 COMP1506/COMP994) (0.196 COMP49) (0.186 COMP189) (0.181 COMP728) (0.177 COMP683)
5 Hydroxytryptamine 2A agonist	0.085	COMP804/COMP813/COMP833	(0.067 COMP643) (0.057 COMP356/COMP805/COMP827)
5 Hydroxytryptamine 2B agonist	0.041	COMP643	(0.039 COMP804/COMP813/COMP833)
5 Hydroxytryptamine 2C agonist	0.049	COMP356/COMP805/COMP827	
5 Hydroxytryptamine 3 agonist	0.075	COMP643	(0.070 COMP1938) (0.065 COMP322) (0.062 COMP1084) (0.060 COMP356/COMP805/COMP827) (0.056 COMP631)
5 Hydroxytryptamine 3A agonist	0.157	COMP322	(0.131 COMP1938) (0.126 COMP189) (0.113 COMP631) (0.107 COMP1506/COMP994) (0.096 COMP356/COMP805/COMP827)
5 Hydroxytryptamine 3A antagonist	0.061	COMP1084	
5 Hydroxytryptamine 3E antagonist	0.314	COMP1084	(0.256 COMP322) (0.217 COMP1506/COMP994) (0.215 COMP631) (0.213 COMP804/COMP813/COMP833) (0.208 COMP643) (0.204 COMP189) (0.203 COMP640) (0.198 COMP356/COMP805/COMP827) (0.181 COMP815/COMP838) (0.180 COMP389/COMP390) (0.179 COMP187) (0.178 COMP55) (0.177 COMP1938) (0.175 COMP1945) (0.173 COMP821/COMP835) (0.172 COMP683/COMP829/COMP830) (0.164 COMP1214)
5 Hydroxytryptamine 4 agonist	0.025	COMP640	(0.024 COMP356/COMP805/COMP827)
5 Hydroxytryptamine 4 antagonist	0.092	COMP640	(0.047 COMP322)
5 Hydroxytryptamine 6 agonist	0.031	COMP356/COMP805/COMP827	
5 Hydroxytryptamine 7 agonist	0.053	COMP322	
5 Hydroxytryptamine release inhibitor	0.779	COMP631	(0.654 COMP640) (0.622 COMP879) (0.617 COMP804/COMP813/COMP833) (0.615 COMP683) (0.606 COMP49) (0.605 COMP824) (0.602 COMP322) (0.595 COMP822) (0.583 COMP189/COMP817/COMP842) (0.574 COMP305) (0.573 COMP48) (0.562 COMP821/COMP835) (0.547 COMP1506/COMP994) (0.541 COMP301/COMP56) (0.539 COMP864/COMP878) (0.517 COMP815/COMP838) (0.507 COMP356/COMP805/COMP827) (0.489 COMP807) (0.482 COMP829/COMP830) (0.480 COMP46) (0.478 COMP187) (0.471 COMP55) (0.439 COMP643) (0.406 COMP1945) (0.397 COMP389/COMP390) (0.378 COMP466/COMP887) (0.374 COMP728) (0.355 COMP1938) (0.348 COMP1214) (0.338 COMP1084) (0.334 COMP1940)
5 Hydroxytryptamine release stimulant	0.765	COMP824	(0.747 COMP822) (0.728 COMP643/COMP804/COMP813/COMP833) (0.691 COMP879) (0.689 COMP821/COMP835) (0.677 COMP817/COMP842) (0.666 COMP1940) (0.630 COMP829/COMP830) (0.621 COMP807) (0.600 COMP815/COMP838) (0.582 COMP305) (0.575 COMP356/COMP805/COMP827) (0.550 COMP301/COMP56) (0.547 COMP189) (0.532 COMP864/COMP878) (0.526 COMP322) (0.504 COMP640) (0.499 COMP1506/COMP994) (0.483 COMP631) (0.426 COMP187) (0.338 COMP49) (0.322 COMP46) (0.302 COMP55) (0.298 COMP48) (0.293 COMP683) (0.286 COMP728) (0.279 COMP1945) (0.276 COMP77) (0.272 COMP466/COMP887) (0.252 COMP389/COMP390) (0.204 COMP1214) (0.198 COMP567) (0.197 COMP1936) (0.170 COMP1938)
5 Hydroxytryptamine uptake stimulant	0.594	COMP804/COMP813/COMP833	(0.575 COMP829/COMP830) (0.566 COMP683) (0.561 COMP189) (0.555 COMP815/COMP838) (0.528 COMP322) (0.522 COMP631) (0.502 COMP643) (0.495 COMP821/COMP835) (0.492 COMP824) (0.481 COMP817/COMP842) (0.472 COMP822) (0.460 COMP48) (0.441 COMP49/COMP55) (0.437 COMP1506/COMP994) (0.414 COMP879) (0.413 COMP389/COMP390) (0.409 COMP864/COMP878) (0.403 COMP640) (0.401 COMP356/COMP466/COMP805/COMP827/COMP887) (0.378 COMP1945) (0.352 COMP1214/COMP807) (0.338 COMP728) (0.297 COMP187) (0.254 COMP1938) (0.217 COMP185/COMP1943/COMP1946/COMP774) (0.195 COMP170)
5-Alpha-reductase 1 inhibitor	0.560	COMP77	(0.083 COMP189) (0.079 COMP631) (0.033 COMP879) (0.028 COMP322) (0.026 COMP683) (0.025 COMP640) (0.016 COMP1506/COMP994)
5-Alpha-reductase 2 inhibitor	0.588	COMP77	(0.101 COMP189) (0.080 COMP631) (0.044 COMP879) (0.037 COMP683) (0.034 COMP1506/COMP994) (0.031 COMP322) (0.022 COMP640) (0.020 COMP389/COMP390) (0.019 COMP55) (0.017 COMP1945)
5-Alpha-reductase inhibitor	0.554	COMP77	(0.142 COMP170) (0.128 COMP189) (0.106 COMP631) (0.091 COMP879) (0.082 COMP683) (0.062 COMP322) (0.060 COMP1506/COMP994) (0.054 COMP640) (0.044 COMP643) (0.042 COMP389/COMP390/COMP817/COMP842) (0.040 COMP55) (0.037 COMP774) (0.035 COMP1945/COMP804/COMP813/COMP833) (0.034 COMP821/COMP829/COMP830/COMP835/COMP864/COMP878) (0.033 COMP185/COMP1943/COMP1946) (0.032 COMP824)
5-Lipoxygenase inhibitor	0.454	COMP48	(0.448 COMP1214) (0.441 COMP389/COMP390) (0.439 COMP187) (0.412 COMP1945) (0.409 COMP49) (0.367 COMP466/COMP887) (0.353 COMP728) (0.334 COMP683) (0.183 COMP1506/COMP994) (0.172 COMP189) (0.171 COMP643) (0.161 COMP322) (0.154 COMP640) (0.147 COMP631) (0.093 COMP774) (0.092 COMP879) (0.089 COMP185/COMP1943/COMP1946)
ABCA1 expression enhancer	0.509	COMP1506/COMP994	(0.362 COMP77) (0.324 COMP389/COMP390) (0.268 COMP1945) (0.246 COMP728) (0.231 COMP55) (0.225 COMP466/COMP887) (0.185 COMP189) (0.182 COMP683) (0.153 COMP631) (0.151 COMP864/COMP878) (0.145 COMP49) (0.141 COMP48) (0.123 COMP187) (0.119 COMP322/COMP879) (0.110 COMP1214) (0.099 COMP640) (0.086 COMP185/COMP1943/COMP1946/COMP774)
ADAM10 endopeptidase inhibitor	0.038	COMP356/COMP805/COMP827	
AICAR transformylase inhibitor	0.257	COMP1104	(0.144 COMP829/COMP830) (0.139 COMP1084) (0.132 COMP189) (0.106 COMP815/COMP838) (0.104 COMP1525) (0.083 COMP804/COMP813/COMP833) (0.078 COMP817/COMP842) (0.077 COMP55/COMP821/COMP835) (0.076 COMP1506/COMP994) (0.075 COMP864/COMP878) (0.073 COMP631) (0.066 COMP322/COMP822) (0.064 COMP824) (0.062 COMP683) (0.053 COMP879) (0.047 COMP356/COMP805/COMP827) (0.041 COMP389/COMP390) (0.040 COMP1945)
