Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.520	COMP1506/COMP994	(0.411 COMP879) (0.391 COMP643) (0.332 COMP77) (0.322 COMP189) (0.306 COMP389/COMP390) (0.302 COMP864/COMP878) (0.282 COMP1945) (0.254 COMP466/COMP887) (0.252 COMP640) (0.245 COMP728) (0.244 COMP822) (0.228 COMP187) (0.183 COMP55) (0.175 COMP1214) (0.157 COMP824/COMP829/COMP830) (0.156 COMP1936) (0.155 COMP804/COMP813/COMP833) (0.154 COMP817/COMP842) (0.146 COMP821/COMP835) (0.144 COMP815/COMP838) (0.143 COMP683) (0.137 COMP185/COMP1943/COMP1946/COMP631/COMP774) (0.131 COMP170) (0.125 COMP567) (0.117 COMP322) (0.115 COMP1940) (0.104 COMP807)
Aldehyde dehydrogenase substrate	0.299	COMP879	(0.283 COMP189) (0.263 COMP643) (0.219 COMP389/COMP390) (0.218 COMP640) (0.217 COMP829/COMP830) (0.215 COMP864/COMP878) (0.210 COMP1506/COMP994) (0.206 COMP466/COMP683/COMP887) (0.204 COMP1945) (0.203 COMP187) (0.197 COMP1104) (0.190 COMP1214) (0.189 COMP55) (0.188 COMP728) (0.180 COMP804/COMP813/COMP833) (0.179 COMP631/COMP815/COMP838) (0.160 COMP824) (0.149 COMP1525/COMP1938/COMP322) (0.145 COMP822) (0.144 COMP817/COMP842) (0.141 COMP821/COMP835) (0.118 COMP185/COMP1943/COMP1946/COMP774) (0.099 COMP567)
Aldehyde oxidase substrate	0.531	COMP1084	(0.334 COMP189) (0.295 COMP683/COMP804/COMP813/COMP833) (0.291 COMP631) (0.289 COMP864/COMP878) (0.279 COMP322) (0.270 COMP829/COMP830) (0.258 COMP1506/COMP994) (0.254 COMP822) (0.244 COMP815/COMP838) (0.223 COMP55) (0.219 COMP389/COMP390) (0.212 COMP821/COMP835) (0.205 COMP466/COMP887) (0.186 COMP817/COMP842) (0.177 COMP824) (0.176 COMP640) (0.173 COMP643/COMP728) (0.165 COMP1104/COMP187) (0.162 COMP356/COMP805/COMP827) (0.161 COMP1938) (0.160 COMP1945) (0.159 COMP1214) (0.143 COMP879) (0.139 COMP48)
Aldose reductase substrate	0.792	COMP1940	(0.599 COMP567) (0.482 COMP305) (0.442 COMP301/COMP56) (0.379 COMP46) (0.377 COMP879) (0.358 COMP189/COMP864/COMP878) (0.354 COMP1525) (0.353 COMP1938) (0.323 COMP1506/COMP994) (0.287 COMP817/COMP842) (0.267 COMP774) (0.258 COMP55) (0.252 COMP822) (0.250 COMP821/COMP835) (0.226 COMP185/COMP1943/COMP1946) (0.220 COMP824) (0.217 COMP1104) (0.206 COMP804/COMP813/COMP833) (0.201 COMP631) (0.196 COMP815/COMP838) (0.190 COMP389/COMP390) (0.182 COMP728) (0.181 COMP829/COMP830) (0.180 COMP466/COMP887) (0.178 COMP1945) (0.161 COMP322) (0.152 COMP683) (0.139 COMP807) (0.126 COMP187)
Arylamine N-Acetyltransferase substrate	0.790	COMP829/COMP830	(0.623 COMP815/COMP838) (0.466 COMP804/COMP813/COMP833) (0.453 COMP822) (0.373 COMP189) (0.356 COMP817/COMP842) (0.345 COMP821/COMP835) (0.332 COMP683) (0.299 COMP631) (0.296 COMP1506/COMP994) (0.267 COMP824) (0.263 COMP864/COMP878) (0.247 COMP1084) (0.234 COMP322) (0.232 COMP1945) (0.202 COMP643) (0.185 COMP389/COMP390) (0.172 COMP55) (0.139 COMP1938) (0.123 COMP49) (0.115 COMP466/COMP887) (0.114 COMP48) (0.099 COMP728) (0.098 COMP879) (0.083 COMP1214)
CYP1A2 inhibitor	0.945	COMP48	(0.914 COMP49) (0.430 COMP466/COMP887) (0.400 COMP728) (0.397 COMP1945/COMP301/COMP56) (0.381 COMP1214) (0.362 COMP389/COMP390) (0.355 COMP305) (0.337 COMP187) (0.280 COMP46) (0.233 COMP643) (0.205 COMP683) (0.178 COMP322) (0.175 COMP631)
CYP1A2 substrate	0.912	COMP48	(0.905 COMP49) (0.585 COMP728) (0.572 COMP301/COMP56) (0.569 COMP389/COMP390) (0.564 COMP466/COMP887) (0.559 COMP305) (0.557 COMP46) (0.487 COMP1506/COMP994) (0.446 COMP643) (0.441 COMP1945) (0.430 COMP864/COMP878) (0.421 COMP189) (0.397 COMP683) (0.354 COMP185/COMP1943/COMP1946) (0.340 COMP1214) (0.338 COMP1084) (0.336 COMP804/COMP813/COMP833) (0.335 COMP187) (0.300 COMP879) (0.298 COMP631) (0.288 COMP640) (0.281 COMP1938) (0.279 COMP829/COMP830) (0.275 COMP322) (0.272 COMP822) (0.269 COMP77) (0.264 COMP774) (0.256 COMP815/COMP838) (0.252 COMP821/COMP835) (0.237 COMP55) (0.230 COMP356/COMP805/COMP827) (0.225 COMP817/COMP842) (0.218 COMP824) (0.187 COMP1525)
CYP24 inhibitor	0.060	COMP77	(0.033 COMP170)
CYP2A6 inhibitor	0.155	COMP643	(0.127 COMP49) (0.122 COMP322) (0.093 COMP48) (0.091 COMP189) (0.089 COMP631) (0.083 COMP1506/COMP994) (0.075 COMP804/COMP813/COMP833) (0.072 COMP1084)
CYP2B6 inhibitor	0.380	COMP643	(0.374 COMP48) (0.356 COMP49) (0.320 COMP466/COMP887) (0.315 COMP1945/COMP389/COMP390) (0.298 COMP189) (0.287 COMP1506/COMP994) (0.286 COMP728) (0.273 COMP1214) (0.255 COMP187) (0.253 COMP829/COMP830) (0.252 COMP804/COMP813/COMP833) (0.239 COMP322/COMP640) (0.237 COMP879) (0.215 COMP821/COMP835) (0.214 COMP815/COMP838) (0.210 COMP631/COMP683/COMP864/COMP878) (0.192 COMP817/COMP842) (0.188 COMP824) (0.185 COMP55) (0.183 COMP822) (0.164 COMP170) (0.152 COMP77)
