Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.401	COMP69	(0.332 COMP77) (0.269 COMP62) (0.152 COMP60) (0.125 COMP2842) (0.124 COMP2841/COMP2846/COMP2853/COMP2858) (0.123 COMP2851) (0.122 COMP2847) (0.121 COMP886) (0.120 COMP1358) (0.119 COMP1361/COMP2849) (0.118 COMP2843/COMP2844) (0.117 COMP2855/COMP2857) (0.114 COMP2852) (0.112 COMP2410) (0.107 COMP2856)
Aldehyde dehydrogenase substrate	0.234	COMP69	(0.217 COMP60) (0.175 COMP2841/COMP2846) (0.172 COMP2853/COMP2858) (0.168 COMP2847) (0.161 COMP2844) (0.159 COMP1361) (0.157 COMP2843) (0.128 COMP2848) (0.124 COMP2852) (0.117 COMP2856) (0.114 COMP2842) (0.109 COMP2851) (0.103 COMP2854/COMP2855/COMP2857) (0.102 COMP2849) (0.101 COMP1358)
Aldehyde oxidase substrate	0.322	COMP60	(0.291 COMP2853/COMP2858) (0.283 COMP2847) (0.272 COMP2843) (0.265 COMP2848) (0.253 COMP2841/COMP2846) (0.235 COMP2844) (0.229 COMP1361) (0.225 COMP2856) (0.219 COMP2852) (0.209 COMP2842) (0.202 COMP2855/COMP2857) (0.196 COMP2851) (0.194 COMP1358) (0.187 COMP2849) (0.174 COMP2854) (0.173 COMP886) (0.161 COMP2845)
Aldose reductase substrate	0.442	COMP2410	(0.356 COMP62) (0.239 COMP2850) (0.177 COMP1358) (0.171 COMP2854) (0.170 COMP2856) (0.165 COMP60) (0.149 COMP2843) (0.148 COMP2845) (0.147 COMP2852) (0.144 COMP2842/COMP2849/COMP2855/COMP2857) (0.141 COMP1361) (0.138 COMP2853/COMP2858) (0.131 COMP2847) (0.128 COMP2844)
Arylamine N-Acetyltransferase substrate	0.350	COMP60	(0.162 COMP2856) (0.155 COMP2857) (0.146 COMP1358/COMP2850) (0.130 COMP2842) (0.127 COMP2854) (0.124 COMP2845) (0.120 COMP2855) (0.119 COMP2852) (0.117 COMP2849) (0.100 COMP1361) (0.095 COMP2841/COMP2846) (0.093 COMP2853/COMP2858) (0.092 COMP2844) (0.090 COMP2843) (0.076 COMP2847) (0.067 COMP2851)
CYP1A2 inhibitor	0.741	COMP2845	(0.673 COMP2850) (0.582 COMP2849) (0.569 COMP2854) (0.544 COMP1358) (0.534 COMP2856) (0.532 COMP2852) (0.518 COMP2857) (0.511 COMP2842) (0.479 COMP2855) (0.476 COMP2851) (0.392 COMP2841/COMP2846) (0.378 COMP1361) (0.373 COMP2844) (0.329 COMP2847) (0.320 COMP2858) (0.304 COMP2853) (0.290 COMP2848) (0.287 COMP2843) (0.260 COMP886) (0.217 COMP60)
CYP1A2 substrate	0.577	COMP2849	(0.572 COMP2850) (0.564 COMP2856) (0.558 COMP2855) (0.556 COMP2852) (0.549 COMP1358/COMP2851) (0.534 COMP1361) (0.532 COMP2847) (0.529 COMP2841/COMP2846) (0.509 COMP2844) (0.504 COMP2853) (0.484 COMP2843) (0.478 COMP2845) (0.473 COMP2857) (0.470 COMP2842) (0.452 COMP2854) (0.388 COMP2858) (0.359 COMP60) (0.358 COMP886) (0.311 COMP2848) (0.269 COMP77) (0.258 COMP69) (0.191 COMP62) (0.185 COMP2410)
CYP24 inhibitor	0.060	COMP77	(0.036 COMP1361) (0.035 COMP2844) (0.031 COMP2841/COMP2846) (0.030 COMP2848) (0.025 COMP2843/COMP2849) (0.024 COMP1358/COMP2858/COMP62) (0.023 COMP2847) (0.022 COMP2853) (0.020 COMP2845/COMP2850/COMP2857)
CYP2A6 inhibitor	0.385	COMP69	(0.089 COMP2848) (0.068 COMP2845)
CYP2B6 inhibitor	0.391	COMP2849	(0.390 COMP2856) (0.381 COMP2852) (0.380 COMP1358) (0.356 COMP2854) (0.347 COMP2845) (0.343 COMP2842) (0.332 COMP2855/COMP2857) (0.326 COMP2851) (0.322 COMP2841/COMP2846) (0.318 COMP1361) (0.313 COMP2844) (0.311 COMP2847) (0.309 COMP2850) (0.306 COMP2853/COMP2858) (0.297 COMP2843) (0.284 COMP2848) (0.238 COMP60) (0.180 COMP69) (0.169 COMP886) (0.152 COMP77)
