Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.601	COMP60	(0.566 COMP69) (0.543 COMP2853/COMP2858) (0.525 COMP2843) (0.520 COMP2847) (0.514 COMP2848) (0.490 COMP2841/COMP2846) (0.471 COMP1361/COMP2844) (0.419 COMP2852) (0.410 COMP886) (0.402 COMP2851) (0.368 COMP2856) (0.367 COMP2842) (0.354 COMP2854) (0.351 COMP2855/COMP2857) (0.346 COMP1358) (0.317 COMP2849) (0.303 COMP2850) (0.300 COMP2845)
Adenosine uptake inhibitor	0.045	COMP2848	(0.036 COMP2843/COMP2858) (0.034 COMP69) (0.033 COMP2853)
Antiviral (CMV)	0.128	COMP69	
Apical sodium codependent bile acid transporter inhibitor	0.037	COMP77	(0.028 COMP62)
Dopamine uptake inhibitor	0.053	COMP2848	
Electron transport complex I inhibitor	0.328	COMP2848	(0.270 COMP2845) (0.235 COMP2858) (0.187 COMP2844) (0.186 COMP2843) (0.181 COMP2841/COMP2846) (0.179 COMP2853) (0.171 COMP2847) (0.162 COMP1361) (0.159 COMP2850) (0.154 COMP2854) (0.149 COMP2857) (0.135 COMP886) (0.132 COMP2842) (0.131 COMP2849) (0.128 COMP1358) (0.124 COMP2855) (0.122 COMP2856) (0.121 COMP2851) (0.119 COMP2852) (0.111 COMP60) (0.108 COMP69)
Endocannabinoid uptake inhibitor	0.138	COMP2841/COMP2846	(0.133 COMP2844) (0.127 COMP1361/COMP2853/COMP2858) (0.126 COMP2847) (0.122 COMP2843) (0.109 COMP2848) (0.105 COMP2856) (0.104 COMP60) (0.088 COMP2852) (0.084 COMP2842) (0.083 COMP2855/COMP2857) (0.082 COMP2849) (0.081 COMP1358) (0.074 COMP2854) (0.069 COMP2851) (0.066 COMP2845) (0.065 COMP2850)
Equilibrative nucleoside transport protein inhibitor	0.062	COMP2410	
Excitatory amino acid transporter EAAC1 inhibitor	0.361	COMP60	(0.201 COMP2848) (0.180 COMP2843) (0.175 COMP1358) (0.166 COMP1361) (0.158 COMP2853/COMP2858) (0.154 COMP2842/COMP2849/COMP2855/COMP2857) (0.145 COMP2847) (0.143 COMP2851) (0.138 COMP2844) (0.129 COMP2856) (0.121 COMP2841/COMP2846) (0.120 COMP2852)
GABA transporter 1 inhibitor	0.018	COMP60	
GABA transporter 2 inhibitor	0.050	COMP60	
GABA transporter 3 inhibitor	0.072	COMP60	(0.054 COMP1361/COMP2841/COMP2846/COMP2847) (0.051 COMP2844/COMP2853/COMP2858) (0.048 COMP2843) (0.042 COMP2848) (0.035 COMP1358) (0.034 COMP2856) (0.032 COMP2842/COMP2852) (0.031 COMP2849) (0.029 COMP2855/COMP2857)
GABA transporter inhibitor	0.035	COMP60	
GABA uptake inhibitor	0.088	COMP60	(0.042 COMP1358) (0.040 COMP1361) (0.036 COMP2843)
Glycine transporter 2 inhibitor	0.054	COMP2848	(0.053 COMP1361/COMP2844/COMP2857) (0.048 COMP2858) (0.042 COMP2849) (0.041 COMP2843) (0.040 COMP2841/COMP2846)
Ileal bile acid transport inhibitor	0.071	COMP77	(0.068 COMP62) (0.033 COMP2856) (0.028 COMP2410) (0.027 COMP2852) (0.023 COMP2842) (0.022 COMP2855) (0.021 COMP2854) (0.019 COMP2858) (0.018 COMP1361/COMP2843/COMP2844/COMP2847/COMP2851/COMP2853) (0.017 COMP2841/COMP2846) (0.016 COMP2857) (0.015 COMP2848/COMP60)
Multidrug resistance-associated protein 1 inhibitor	0.248	COMP2845	(0.208 COMP2848) (0.194 COMP2858) (0.193 COMP2853) (0.190 COMP2847) (0.186 COMP2852) (0.185 COMP2843/COMP2851) (0.184 COMP2850) (0.183 COMP2841/COMP2846) (0.180 COMP2854) (0.174 COMP2844) (0.163 COMP2855) (0.161 COMP2856) (0.157 COMP2842) (0.155 COMP1361) (0.152 COMP2849) (0.147 COMP2857) (0.136 COMP1358) (0.123 COMP60) (0.118 COMP886)
Nucleoside transporters inhibitor	0.129	COMP2845	(0.067 COMP2844) (0.064 COMP1361/COMP2850) (0.062 COMP2854) (0.058 COMP2841/COMP2846) (0.057 COMP2843/COMP2856) (0.055 COMP2847) (0.054 COMP2852) (0.051 COMP1358) (0.050 COMP2848/COMP2853/COMP2858) (0.044 COMP2849) (0.039 COMP886) (0.038 COMP60) (0.036 COMP2410/COMP2855/COMP2857) (0.034 COMP2851) (0.029 COMP2842)
