Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.874	COMP685	(0.509 COMP994) (0.469 COMP1061) (0.324 COMP389/COMP390) (0.231 COMP55) (0.225 COMP887) (0.185 COMP189) (0.151 COMP864) (0.145 COMP49) (0.141 COMP48) (0.113 COMP520) (0.089 COMP1458) (0.086 COMP463/COMP774)
AR expression inhibitor	0.968	COMP685	(0.958 COMP1061) (0.937 COMP48/COMP49) (0.894 COMP463/COMP774) (0.659 COMP389/COMP390) (0.587 COMP887) (0.577 COMP1461) (0.559 COMP994) (0.555 COMP218) (0.516 COMP189) (0.454 COMP1458) (0.449 COMP212) (0.420 COMP1143) (0.417 COMP1462) (0.411 COMP55) (0.356 COMP841) (0.342 COMP626) (0.338 COMP864) (0.328 COMP520) (0.218 COMP456)
CTGF expression inhibitor	0.928	COMP48	(0.919 COMP49) (0.865 COMP212) (0.862 COMP1143) (0.821 COMP389/COMP390) (0.802 COMP887) (0.752 COMP1461) (0.731 COMP218) (0.691 COMP189) (0.614 COMP994) (0.592 COMP1458) (0.552 COMP1462) (0.551 COMP463/COMP774) (0.521 COMP55) (0.490 COMP841) (0.476 COMP520) (0.456 COMP1061) (0.450 COMP864) (0.429 COMP626) (0.406 COMP1460) (0.240 COMP456) (0.207 COMP685)
GRP78 expression inhibitor	0.075	COMP1459	(0.052 COMP456) (0.048 COMP189) (0.041 COMP994) (0.038 COMP55) (0.035 COMP1458) (0.032 COMP864) (0.031 COMP520) (0.030 COMP1460) (0.025 COMP1462) (0.024 COMP841) (0.022 COMP626) (0.020 COMP212)
ICAM1 expression inhibitor	0.564	COMP49	(0.560 COMP48) (0.484 COMP218) (0.480 COMP389/COMP390) (0.470 COMP463/COMP774) (0.459 COMP189) (0.457 COMP685) (0.452 COMP887) (0.443 COMP1458) (0.428 COMP1462) (0.416 COMP1461) (0.403 COMP994) (0.392 COMP1061) (0.368 COMP626) (0.336 COMP841) (0.333 COMP1143) (0.331 COMP212) (0.326 COMP864) (0.290 COMP55) (0.289 COMP520)
LDLR expression enhancer	0.431	COMP685	(0.349 COMP48) (0.314 COMP49) (0.312 COMP887) (0.291 COMP218) (0.281 COMP1461) (0.266 COMP389/COMP390) (0.265 COMP1462) (0.221 COMP1458) (0.214 COMP1143) (0.210 COMP994) (0.206 COMP520) (0.202 COMP841) (0.190 COMP626) (0.189 COMP189) (0.176 COMP864) (0.162 COMP1061) (0.153 COMP212) (0.137 COMP463/COMP774)
NOS2 expression inhibitor	0.903	COMP48	(0.871 COMP49) (0.774 COMP218) (0.720 COMP1461) (0.649 COMP887) (0.585 COMP389/COMP390) (0.551 COMP1458) (0.549 COMP1462) (0.477 COMP1143) (0.466 COMP463/COMP774) (0.448 COMP520) (0.431 COMP685) (0.427 COMP1061) (0.426 COMP189) (0.405 COMP212) (0.374 COMP994) (0.366 COMP841) (0.364 COMP864) (0.357 COMP626) (0.321 COMP55) (0.315 COMP456) (0.168 COMP1460)
NOS3 expression enhancer	0.767	COMP463/COMP774	(0.703 COMP48) (0.697 COMP49) (0.673 COMP389/COMP390) (0.550 COMP887) (0.487 COMP994) (0.393 COMP1461) (0.242 COMP1458) (0.193 COMP218) (0.191 COMP1061) (0.186 COMP189) (0.174 COMP1462) (0.162 COMP212) (0.139 COMP864) (0.138 COMP841) (0.137 COMP1143) (0.131 COMP520)
NOS3 expression inhibitor	0.834	COMP49	(0.827 COMP48) (0.708 COMP189) (0.590 COMP218) (0.568 COMP864) (0.564 COMP463/COMP774) (0.557 COMP55) (0.507 COMP520) (0.506 COMP389/COMP390) (0.499 COMP994) (0.493 COMP1458) (0.454 COMP887) (0.436 COMP1461) (0.400 COMP1462) (0.389 COMP212) (0.372 COMP841) (0.349 COMP626) (0.328 COMP1143) (0.325 COMP1061) (0.205 COMP456)
TNF expression inhibitor	0.905	COMP685	(0.877 COMP48) (0.847 COMP49) (0.833 COMP887) (0.811 COMP1461) (0.801 COMP389/COMP390) (0.773 COMP218) (0.733 COMP864) (0.678 COMP189) (0.639 COMP520) (0.636 COMP463/COMP774) (0.621 COMP994) (0.611 COMP1061) (0.592 COMP1462) (0.580 COMP1458) (0.572 COMP55) (0.526 COMP1143) (0.485 COMP626) (0.469 COMP212) (0.450 COMP841) (0.376 COMP456) (0.224 COMP1460)
VCAM1 expression inhibitor	0.578	COMP887	(0.530 COMP463/COMP774) (0.529 COMP1462) (0.523 COMP1461) (0.503 COMP389/COMP390) (0.492 COMP218) (0.409 COMP1458) (0.407 COMP189) (0.388 COMP864) (0.374 COMP520) (0.332 COMP994) (0.331 COMP55) (0.318 COMP1143) (0.308 COMP49) (0.307 COMP626) (0.306 COMP48) (0.288 COMP685) (0.284 COMP1061) (0.271 COMP212) (0.239 COMP841)
VEGF expression inhibitor	0.433	COMP48	(0.402 COMP49) (0.369 COMP218) (0.323 COMP1462) (0.256 COMP626) (0.249 COMP1458) (0.247 COMP456) (0.245 COMP1461) (0.240 COMP887) (0.239 COMP1143) (0.231 COMP389/COMP390) (0.228 COMP189) (0.227 COMP212) (0.224 COMP841) (0.222 COMP520) (0.214 COMP994) (0.201 COMP864) (0.194 COMP55) (0.181 COMP1460) (0.171 COMP1459) (0.156 COMP463/COMP774)
