Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.830	COMP1061	(0.788 COMP685) (0.727 COMP212) (0.525 COMP1143) (0.520 COMP994) (0.499 COMP520) (0.455 COMP1461) (0.373 COMP1458) (0.345 COMP1460) (0.322 COMP189) (0.306 COMP389/COMP390) (0.302 COMP864) (0.254 COMP887) (0.183 COMP55) (0.179 COMP1462) (0.137 COMP463/COMP774)
Aldehyde dehydrogenase substrate	0.698	COMP1061	(0.576 COMP212) (0.491 COMP1143) (0.422 COMP685) (0.386 COMP1460) (0.283 COMP189) (0.230 COMP1458) (0.227 COMP520) (0.219 COMP389/COMP390) (0.218 COMP1461) (0.215 COMP864) (0.210 COMP994) (0.206 COMP887) (0.189 COMP55) (0.169 COMP456) (0.131 COMP1462) (0.124 COMP841) (0.118 COMP463/COMP774) (0.111 COMP218)
Aldehyde oxidase substrate	0.648	COMP1143	(0.553 COMP212) (0.518 COMP1460) (0.334 COMP189) (0.289 COMP864) (0.267 COMP1459) (0.258 COMP994) (0.251 COMP520) (0.228 COMP626) (0.223 COMP55) (0.219 COMP389/COMP390) (0.209 COMP1461/COMP841) (0.206 COMP1462) (0.205 COMP887) (0.201 COMP1458) (0.197 COMP456) (0.182 COMP218) (0.181 COMP1061) (0.139 COMP48)
Aldose reductase substrate	0.949	COMP1061	(0.358 COMP189/COMP864) (0.323 COMP994) (0.304 COMP520) (0.267 COMP463/COMP774) (0.258 COMP55) (0.249 COMP1458) (0.208 COMP626) (0.197 COMP212) (0.190 COMP389/COMP390) (0.180 COMP887) (0.170 COMP1143/COMP1462) (0.158 COMP1461) (0.137 COMP218)
Arylamine N-Acetyltransferase substrate	0.428	COMP456	(0.373 COMP189) (0.307 COMP841) (0.296 COMP994) (0.263 COMP864) (0.191 COMP1459) (0.185 COMP389/COMP390) (0.182 COMP520) (0.178 COMP1458) (0.172 COMP55) (0.157 COMP212) (0.123 COMP49) (0.115 COMP887) (0.114 COMP1460/COMP48/COMP626) (0.092 COMP218)
CYP1A2 inhibitor	0.945	COMP48	(0.914 COMP49) (0.699 COMP218) (0.430 COMP887) (0.405 COMP456) (0.368 COMP841) (0.366 COMP685) (0.362 COMP389/COMP390) (0.360 COMP1461) (0.342 COMP1143) (0.286 COMP1459) (0.268 COMP212) (0.259 COMP626) (0.256 COMP1458) (0.233 COMP1460)
CYP1A2 substrate	0.935	COMP685	(0.912 COMP48) (0.905 COMP49) (0.795 COMP218) (0.767 COMP1461) (0.744 COMP212) (0.733 COMP1143) (0.569 COMP389/COMP390) (0.564 COMP887) (0.519 COMP1460) (0.487 COMP994) (0.483 COMP1458) (0.430 COMP864) (0.421 COMP189) (0.414 COMP520) (0.406 COMP456/COMP841) (0.374 COMP626) (0.352 COMP1462) (0.264 COMP463/COMP774) (0.250 COMP1061) (0.237 COMP55)
CYP24 inhibitor	0.021	COMP1461	
CYP2A6 inhibitor	0.414	COMP1460	(0.277 COMP212) (0.247 COMP841) (0.236 COMP1459) (0.226 COMP626) (0.216 COMP456) (0.186 COMP218) (0.171 COMP1143) (0.127 COMP49) (0.093 COMP48) (0.091 COMP189) (0.086 COMP520) (0.083 COMP994) (0.077 COMP1458) (0.067 COMP1061)
CYP2B6 inhibitor	0.646	COMP685	(0.448 COMP218) (0.414 COMP841) (0.374 COMP48) (0.371 COMP1461) (0.356 COMP49) (0.325 COMP520) (0.320 COMP887) (0.315 COMP389/COMP390) (0.298 COMP189) (0.288 COMP1459) (0.287 COMP994) (0.268 COMP456) (0.264 COMP1458) (0.261 COMP1143) (0.258 COMP212) (0.254 COMP1061) (0.225 COMP626) (0.210 COMP864) (0.185 COMP55) (0.174 COMP1462) (0.167 COMP1460)
CYP2C19 inhibitor	0.651	COMP48	(0.640 COMP49) (0.567 COMP1459) (0.512 COMP456) (0.501 COMP218) (0.480 COMP887) (0.461 COMP389/COMP390) (0.459 COMP841) (0.447 COMP1462) (0.430 COMP685) (0.425 COMP1143) (0.416 COMP212) (0.390 COMP1461) (0.356 COMP1460) (0.342 COMP1458) (0.335 COMP994) (0.329 COMP626) (0.315 COMP189) (0.232 COMP520) (0.221 COMP55)
CYP2C19 substrate	0.904	COMP685	(0.708 COMP1143) (0.697 COMP212) (0.696 COMP218) (0.609 COMP1061) (0.557 COMP1461) (0.555 COMP994) (0.548 COMP48) (0.537 COMP887) (0.528 COMP389/COMP390) (0.519 COMP49) (0.488 COMP189) (0.406 COMP1460) (0.403 COMP1458/COMP626) (0.393 COMP1462) (0.392 COMP864) (0.367 COMP520) (0.340 COMP463/COMP774) (0.327 COMP456) (0.270 COMP841) (0.269 COMP55)
CYP2C9 inhibitor	0.657	COMP48	(0.637 COMP49) (0.412 COMP456) (0.408 COMP218) (0.398 COMP1459) (0.389 COMP841) (0.371 COMP685) (0.350 COMP389/COMP390) (0.341 COMP887) (0.288 COMP1458) (0.281 COMP626) (0.270 COMP1461) (0.246 COMP520) (0.233 COMP1143/COMP189/COMP463/COMP774) (0.230 COMP212) (0.227 COMP1460) (0.214 COMP994)
CYP2C9 substrate	0.864	COMP685	(0.784 COMP218) (0.743 COMP212) (0.721 COMP1143) (0.717 COMP48) (0.708 COMP49) (0.680 COMP463/COMP774) (0.658 COMP389/COMP390) (0.651 COMP887) (0.614 COMP994) (0.605 COMP1461) (0.594 COMP864) (0.584 COMP189) (0.558 COMP1458) (0.536 COMP520) (0.465 COMP1460) (0.422 COMP626) (0.412 COMP456) (0.387 COMP1462) (0.372 COMP1061) (0.370 COMP55) (0.354 COMP841)
CYP2D6 inhibitor	0.513	COMP1459	(0.341 COMP456) (0.284 COMP841) (0.276 COMP520) (0.241 COMP626)
CYP2D6 substrate	0.812	COMP685	(0.642 COMP456) (0.635 COMP1461) (0.585 COMP218) (0.526 COMP212) (0.521 COMP1143) (0.500 COMP1061) (0.470 COMP887) (0.467 COMP520) (0.452 COMP389/COMP390) (0.434 COMP864) (0.431 COMP841) (0.426 COMP49) (0.415 COMP463/COMP774) (0.414 COMP48/COMP626) (0.407 COMP994) (0.379 COMP189) (0.378 COMP1458) (0.343 COMP1460) (0.324 COMP1462) (0.215 COMP55)
CYP3A4 inhibitor	0.441	COMP1459	(0.359 COMP48) (0.357 COMP49) (0.325 COMP218) (0.270 COMP841) (0.255 COMP456) (0.196 COMP520) (0.193 COMP626) (0.192 COMP1458)
CYP3A4 substrate	0.752	COMP685	(0.638 COMP212) (0.630 COMP520) (0.601 COMP1461) (0.600 COMP49) (0.599 COMP48) (0.589 COMP1143) (0.547 COMP864) (0.529 COMP218) (0.478 COMP1458/COMP463/COMP774) (0.473 COMP189) (0.455 COMP994) (0.429 COMP55) (0.401 COMP389/COMP390) (0.386 COMP887) (0.360 COMP1061) (0.345 COMP626) (0.336 COMP1462) (0.331 COMP841) (0.330 COMP1460) (0.295 COMP456)
FMO1 substrate	0.633	COMP994	(0.632 COMP189) (0.631 COMP1143) (0.624 COMP212) (0.610 COMP520) (0.597 COMP389/COMP390) (0.574 COMP626) (0.573 COMP841) (0.555 COMP1458) (0.552 COMP887) (0.540 COMP55) (0.539 COMP864) (0.533 COMP1461) (0.477 COMP218) (0.446 COMP1460) (0.424 COMP49) (0.413 COMP48) (0.333 COMP685) (0.317 COMP463/COMP774) (0.312 COMP1061) (0.311 COMP1462) (0.257 COMP456) (0.250 COMP1459)
FMO3 substrate	0.773	COMP456	(0.535 COMP189) (0.511 COMP841) (0.506 COMP994) (0.460 COMP389/COMP390) (0.427 COMP1458) (0.425 COMP520) (0.424 COMP55) (0.421 COMP864) (0.409 COMP1459) (0.402 COMP212) (0.386 COMP626) (0.383 COMP887) (0.358 COMP218) (0.357 COMP1460) (0.328 COMP1143) (0.312 COMP1461) (0.286 COMP48) (0.266 COMP49) (0.206 COMP463/COMP774) (0.192 COMP1462)
Flavin-containing monooxygenase substrate	0.717	COMP456	(0.523 COMP189) (0.480 COMP994) (0.468 COMP212) (0.463 COMP841) (0.420 COMP626) (0.412 COMP389/COMP390) (0.393 COMP520) (0.390 COMP1459) (0.389 COMP1460) (0.378 COMP1458) (0.370 COMP55) (0.358 COMP864) (0.346 COMP1143) (0.291 COMP887) (0.290 COMP218) (0.265 COMP48) (0.248 COMP49) (0.230 COMP1461) (0.186 COMP463/COMP774)
GST A substrate	0.890	COMP189	(0.875 COMP520) (0.872 COMP389/COMP390) (0.865 COMP994) (0.850 COMP864) (0.845 COMP55) (0.769 COMP887) (0.746 COMP626) (0.724 COMP212) (0.721 COMP1458) (0.696 COMP1461) (0.685 COMP1061) (0.676 COMP841) (0.591 COMP463/COMP774) (0.524 COMP1143) (0.490 COMP1462) (0.459 COMP218) (0.449 COMP49) (0.370 COMP48) (0.357 COMP1460) (0.339 COMP685) (0.314 COMP456) (0.278 COMP1459)
GST M1-1 substrate	0.535	COMP189	(0.521 COMP218) (0.517 COMP994) (0.474 COMP520) (0.471 COMP55) (0.444 COMP626) (0.437 COMP1462) (0.406 COMP1458/COMP864) (0.403 COMP212) (0.401 COMP49) (0.390 COMP389/COMP390) (0.366 COMP887) (0.360 COMP48) (0.359 COMP1143) (0.355 COMP841) (0.336 COMP1461) (0.310 COMP1061) (0.293 COMP1460) (0.272 COMP463/COMP774) (0.248 COMP685) (0.219 COMP1459) (0.213 COMP456)
GST P1-1 substrate	0.668	COMP389/COMP390	(0.661 COMP887) (0.656 COMP189) (0.598 COMP864) (0.588 COMP520) (0.580 COMP1461) (0.562 COMP994) (0.557 COMP55) (0.447 COMP1143) (0.404 COMP1462) (0.397 COMP626) (0.379 COMP212) (0.371 COMP1458) (0.337 COMP1061/COMP463/COMP774) (0.327 COMP841) (0.257 COMP218) (0.120 COMP49) (0.115 COMP48) (0.085 COMP1460)
GST T1-1 substrate	0.365	COMP520	(0.351 COMP189) (0.300 COMP994) (0.249 COMP864) (0.248 COMP626) (0.234 COMP55) (0.202 COMP1458) (0.158 COMP841) (0.155 COMP212) (0.139 COMP389/COMP390) (0.130 COMP1462) (0.129 COMP685) (0.124 COMP1061) (0.112 COMP1143) (0.109 COMP1460) (0.108 COMP1459/COMP887) (0.107 COMP49) (0.100 COMP1461/COMP218) (0.094 COMP48)
