Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.256	COMP1364	(0.136 COMP238)
AR expression inhibitor	0.666	COMP238	(0.548 COMP1364)
CTGF expression inhibitor	0.509	COMP1364	(0.191 COMP238)
ICAM1 expression inhibitor	0.688	COMP238	(0.375 COMP1364)
LDLR expression enhancer	0.373	COMP1364	(0.158 COMP238)
NOS2 expression inhibitor	0.714	COMP1364	(0.596 COMP238)
NOS3 expression enhancer	0.168	COMP1364	
NOS3 expression inhibitor	0.871	COMP1364	(0.470 COMP238)
TNF expression inhibitor	0.944	COMP1364	(0.809 COMP238)
VCAM1 expression inhibitor	0.186	COMP1364	
VEGF expression inhibitor	0.214	COMP1364	
