Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.951	COMP506	(0.934 COMP15) (0.933 COMP22/COMP487/COMP509) (0.928 COMP478/COMP499/COMP511/COMP513/COMP518/COMP57) (0.825 COMP32) (0.790 COMP502) (0.750 COMP517) (0.725 COMP2) (0.662 COMP519) (0.654 COMP486) (0.639 COMP476) (0.638 COMP473/COMP475/COMP488) (0.618 COMP229) (0.580 COMP141) (0.551 COMP500) (0.499 COMP520) (0.422 COMP480) (0.399 COMP494) (0.371 COMP302) (0.363 COMP52) (0.354 COMP479) (0.335 COMP498) (0.285 COMP192) (0.267 COMP496) (0.254 COMP466) (0.216 COMP490) (0.213 COMP474) (0.208 COMP491) (0.201 COMP493) (0.197 COMP136) (0.190 COMP503) (0.152 COMP489) (0.151 COMP521) (0.149 COMP470) (0.145 COMP33/COMP481) (0.137 COMP507) (0.136 COMP468) (0.132 COMP179/COMP505) (0.131 COMP501) (0.130 COMP131) (0.128 COMP230/COMP516) (0.124 COMP492) (0.114 COMP178) (0.108 COMP512) (0.107 COMP510) (0.106 COMP300)
Aldehyde dehydrogenase substrate	0.934	COMP478/COMP499/COMP511/COMP513/COMP518/COMP57	(0.837 COMP506) (0.809 COMP22/COMP487/COMP509) (0.804 COMP15) (0.700 COMP32) (0.549 COMP229) (0.354 COMP2) (0.351 COMP141) (0.349 COMP517) (0.327 COMP473/COMP475/COMP488) (0.325 COMP519) (0.321 COMP502) (0.274 COMP479) (0.265 COMP52) (0.255 COMP500) (0.241 COMP490) (0.237 COMP496) (0.234 COMP480) (0.227 COMP520) (0.215 COMP491) (0.208 COMP503) (0.207 COMP192) (0.206 COMP466) (0.204 COMP33) (0.198 COMP486) (0.165 COMP498) (0.156 COMP489) (0.148 COMP507) (0.146 COMP470) (0.145 COMP493) (0.142 COMP476) (0.134 COMP468) (0.132 COMP521) (0.129 COMP302) (0.128 COMP516) (0.111 COMP179/COMP505) (0.109 COMP481) (0.099 COMP510)
Aldehyde oxidase substrate	0.666	COMP32	(0.515 COMP229) (0.332 COMP478/COMP499/COMP511/COMP513/COMP518/COMP521/COMP57) (0.318 COMP33) (0.313 COMP192) (0.304 COMP503) (0.302 COMP491) (0.287 COMP493) (0.282 COMP516) (0.251 COMP520) (0.248 COMP481) (0.241 COMP480) (0.239 COMP9) (0.236 COMP494/COMP519) (0.222 COMP506) (0.216 COMP505) (0.213 COMP500) (0.212 COMP473/COMP475/COMP488) (0.210 COMP498) (0.205 COMP466) (0.201 COMP468/COMP489) (0.198 COMP22/COMP487/COMP509/COMP52) (0.192 COMP2) (0.184 COMP179) (0.180 COMP501) (0.178 COMP15) (0.174 COMP496) (0.164 COMP490) (0.158 COMP486) (0.156 COMP479/COMP502) (0.139 COMP48/COMP512)
Aldose reductase substrate	0.992	COMP478/COMP499/COMP511/COMP513/COMP518/COMP57	(0.826 COMP506) (0.797 COMP22/COMP487/COMP509) (0.760 COMP15) (0.658 COMP507) (0.450 COMP470) (0.443 COMP471) (0.442 COMP301/COMP485) (0.407 COMP510) (0.398 COMP500/COMP508) (0.312 COMP52) (0.304 COMP520) (0.291 COMP480) (0.256 COMP483/COMP484) (0.249 COMP192) (0.243 COMP516) (0.236 COMP519) (0.218 COMP468/COMP491) (0.216 COMP503) (0.214 COMP473/COMP475/COMP488) (0.201 COMP33) (0.198 COMP498) (0.194 COMP2) (0.182 COMP32) (0.180 COMP466) (0.166 COMP481) (0.165 COMP502) (0.163 COMP229) (0.151 COMP493) (0.136 COMP501) (0.133 COMP472/COMP477)
Arylamine N-Acetyltransferase substrate	0.348	COMP491	(0.345 COMP503) (0.333 COMP33) (0.319 COMP516) (0.182 COMP520) (0.179 COMP502) (0.166 COMP468) (0.143 COMP480) (0.142 COMP494) (0.141 COMP2) (0.137 COMP192/COMP521) (0.133 COMP179) (0.132 COMP519/COMP52) (0.131 COMP473/COMP475/COMP488) (0.123 COMP49/COMP505) (0.118 COMP489) (0.117 COMP490) (0.115 COMP466) (0.114 COMP48) (0.103 COMP32) (0.098 COMP22/COMP487/COMP509) (0.097 COMP501) (0.096 COMP493) (0.095 COMP508) (0.094 COMP9) (0.077 COMP486) (0.070 COMP500) (0.067 COMP15) (0.066 COMP302)
CYP1A2 inhibitor	0.945	COMP48	(0.914 COMP49) (0.500 COMP483/COMP484) (0.430 COMP466) (0.425 COMP508) (0.421 COMP510) (0.397 COMP301/COMP485) (0.396 COMP516) (0.325 COMP503) (0.318 COMP491) (0.307 COMP229) (0.299 COMP512) (0.292 COMP468) (0.264 COMP476) (0.247 COMP244/COMP247/COMP467/COMP486) (0.239 COMP521) (0.235 COMP471) (0.233 COMP32) (0.232 COMP192) (0.219 COMP179/COMP494) (0.215 COMP480/COMP505) (0.213 COMP519) (0.198 COMP472/COMP477) (0.197 COMP473/COMP475/COMP488) (0.173 COMP9)
CYP1A2 substrate	0.912	COMP48	(0.905 COMP49) (0.766 COMP508) (0.764 COMP502) (0.706 COMP512) (0.671 COMP521) (0.669 COMP504) (0.657 COMP510) (0.654 COMP15) (0.647 COMP229) (0.644 COMP32) (0.635 COMP471) (0.616 COMP244/COMP247/COMP467) (0.614 COMP483/COMP484) (0.590 COMP22/COMP487/COMP509) (0.589 COMP516) (0.572 COMP301/COMP485) (0.565 COMP192) (0.564 COMP466) (0.557 COMP506) (0.515 COMP503) (0.510 COMP519) (0.497 COMP491) (0.488 COMP473/COMP475/COMP488) (0.473 COMP179) (0.460 COMP468) (0.447 COMP505) (0.436 COMP482/COMP495) (0.430 COMP472/COMP477/COMP486) (0.423 COMP480) (0.421 COMP498) (0.414 COMP520) (0.410 COMP2) (0.389 COMP9) (0.375 COMP494) (0.374 COMP476) (0.360 COMP469/COMP514/COMP515) (0.342 COMP478/COMP499/COMP511/COMP513/COMP518/COMP57) (0.337 COMP500) (0.328 COMP501) (0.315 COMP474) (0.313 COMP33) (0.306 COMP52) (0.297 COMP489) (0.288 COMP496) (0.271 COMP507) (0.252 COMP490) (0.241 COMP493) (0.239 COMP479) (0.235 COMP141) (0.221 COMP136) (0.220 COMP300) (0.218 COMP481) (0.208 COMP302) (0.204 COMP517)
CYP24 inhibitor	0.068	COMP492	(0.053 COMP521) (0.049 COMP142) (0.027 COMP300) (0.025 COMP141) (0.024 COMP9) (0.022 COMP179/COMP503) (0.021 COMP474/COMP491)
CYP2A6 inhibitor	0.390	COMP32	(0.274 COMP229) (0.252 COMP141) (0.205 COMP476) (0.203 COMP494) (0.182 COMP302) (0.164 COMP9) (0.162 COMP516) (0.158 COMP300) (0.156 COMP468) (0.150 COMP521) (0.149 COMP491/COMP503) (0.140 COMP486) (0.127 COMP49) (0.111 COMP480) (0.103 COMP517) (0.098 COMP501) (0.093 COMP179/COMP48) (0.091 COMP478/COMP499/COMP511/COMP513/COMP518/COMP57) (0.089 COMP33/COMP505) (0.087 COMP481) (0.086 COMP520) (0.085 COMP192) (0.080 COMP22/COMP487/COMP509) (0.075 COMP489) (0.073 COMP493) (0.067 COMP15/COMP490)
CYP2B6 inhibitor	0.409	COMP502	(0.374 COMP48) (0.369 COMP476) (0.367 COMP473/COMP475/COMP488) (0.364 COMP503) (0.360 COMP491) (0.359 COMP516/COMP519) (0.356 COMP49) (0.349 COMP141/COMP302) (0.333 COMP2) (0.325 COMP520) (0.321 COMP486) (0.320 COMP466) (0.315 COMP15) (0.298 COMP490) (0.295 COMP22/COMP487/COMP509) (0.290 COMP500) (0.288 COMP300) (0.285 COMP505) (0.281 COMP192) (0.278 COMP521) (0.274 COMP494) (0.267 COMP179) (0.260 COMP506/COMP9) (0.254 COMP468) (0.250 COMP478/COMP499/COMP511/COMP513/COMP518/COMP57) (0.249 COMP517) (0.245 COMP496) (0.244 COMP492) (0.241 COMP229) (0.235 COMP480) (0.226 COMP142) (0.225 COMP32) (0.222 COMP501) (0.218 COMP52) (0.213 COMP493) (0.212 COMP479) (0.210 COMP33) (0.202 COMP498) (0.196 COMP489/COMP512) (0.180 COMP497) (0.172 COMP136) (0.166 COMP481) (0.161 COMP131/COMP483/COMP484) (0.157 COMP474) (0.155 COMP244/COMP247/COMP467)
