Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.134	COMP113/COMP142	(0.116 COMP537) (0.102 COMP77) (0.093 COMP543) (0.063 COMP167) (0.057 COMP153) (0.056 COMP548) (0.044 COMP165) (0.038 COMP114) (0.035 COMP19) (0.034 COMP544) (0.027 COMP564/COMP9) (0.026 COMP557)
5 Hydroxytryptamine 2A agonist	0.083	COMP546	(0.081 COMP525) (0.060 COMP58)
5 Hydroxytryptamine 2B agonist	0.049	COMP9	(0.048 COMP546) (0.043 COMP525) (0.036 COMP544)
5 Hydroxytryptamine 3 agonist	0.060	COMP9	
5 Hydroxytryptamine 3A agonist	0.151	COMP541	(0.149 COMP58) (0.143 COMP9) (0.113 COMP544) (0.108 COMP6) (0.107 COMP557) (0.103 COMP110) (0.102 COMP556) (0.101 COMP114)
5 Hydroxytryptamine 4 agonist	0.025	COMP538	(0.024 COMP555)
ATPase inhibitor	0.327	COMP544	(0.302 COMP546) (0.292 COMP9) (0.291 COMP19) (0.280 COMP525) (0.275 COMP123) (0.261 COMP529/COMP6) (0.260 COMP561) (0.256 COMP466) (0.252 COMP389/COMP390) (0.244 COMP527) (0.239 COMP547) (0.235 COMP538) (0.231 COMP563) (0.225 COMP303) (0.219 COMP526) (0.218 COMP557) (0.217 COMP540) (0.215 COMP542) (0.214 COMP539) (0.207 COMP523) (0.199 COMP153) (0.190 COMP58) (0.188 COMP555) (0.182 COMP133) (0.180 COMP302) (0.179 COMP556) (0.174 COMP528) (0.168 COMP8) (0.166 COMP110) (0.165 COMP300) (0.163 COMP114) (0.161 COMP545) (0.156 COMP543) (0.154 COMP165/COMP550)
Acetylcholine M1 receptor agonist	0.059	COMP544	(0.051 COMP113/COMP142) (0.048 COMP538)
Acetylcholine M1 receptor antagonist	0.213	COMP538	(0.194 COMP547) (0.168 COMP6) (0.157 COMP539) (0.150 COMP523) (0.149 COMP557) (0.142 COMP548) (0.141 COMP19) (0.132 COMP113/COMP142) (0.121 COMP544) (0.118 COMP9)
Acetylcholine M2 receptor agonist	0.061	COMP167	
Acetylcholine M2 receptor antagonist	0.063	COMP538	
Acetylcholine M3 receptor agonist	0.147	COMP167	(0.081 COMP547) (0.073 COMP114)
Acetylcholine M3 receptor antagonist	0.060	COMP538	
Acetylcholinesterase inhibitor	0.708	COMP565	(0.703 COMP552) (0.639 COMP553/COMP554) (0.538 COMP556) (0.266 COMP550) (0.238 COMP558) (0.211 COMP300) (0.207 COMP58) (0.201 COMP564) (0.196 COMP544) (0.184 COMP563) (0.181 COMP153) (0.171 COMP110) (0.168 COMP114) (0.137 COMP466) (0.112 COMP555) (0.109 COMP526)
Aconitate hydratase inhibitor	0.784	COMP557	(0.524 COMP542) (0.478 COMP539) (0.189 COMP389/COMP390) (0.149 COMP538) (0.111 COMP19) (0.101 COMP466) (0.097 COMP530) (0.091 COMP8) (0.086 COMP9) (0.083 COMP541) (0.081 COMP6) (0.079 COMP58) (0.078 COMP555) (0.068 COMP544) (0.066 COMP123) (0.065 COMP547) (0.062 COMP302) (0.060 COMP110) (0.057 COMP549) (0.053 COMP114/COMP300) (0.050 COMP525/COMP546) (0.049 COMP523) (0.048 COMP537) (0.047 COMP561) (0.046 COMP113/COMP142)
Acyl-CoA dehydrogenase inhibitor	0.258	COMP539	(0.245 COMP557) (0.243 COMP538) (0.199 COMP542) (0.124 COMP302) (0.113 COMP8) (0.100 COMP389/COMP390) (0.094 COMP113/COMP142) (0.092 COMP9) (0.085 COMP543) (0.074 COMP58) (0.070 COMP6) (0.062 COMP544) (0.053 COMP110) (0.052 COMP541/COMP555) (0.048 COMP114/COMP466)
Adenosine A1 receptor agonist	0.086	COMP528	(0.028 COMP526) (0.025 COMP527) (0.024 COMP563) (0.022 COMP540)
Adenosine deaminase inhibitor	0.111	COMP538	(0.092 COMP539) (0.085 COMP557) (0.081 COMP563) (0.060 COMP542) (0.059 COMP555)
Adenylate cyclase inhibitor	0.266	COMP543	(0.248 COMP389/COMP390) (0.235 COMP557) (0.209 COMP542) (0.201 COMP539) (0.194 COMP110) (0.189 COMP538) (0.156 COMP466) (0.151 COMP559) (0.138 COMP537) (0.136 COMP9) (0.131 COMP551) (0.115 COMP563/COMP564)
Adenylate kinase inhibitor	0.440	COMP539	(0.432 COMP557) (0.358 COMP538) (0.337 COMP542) (0.194 COMP389/COMP390) (0.181 COMP302) (0.176 COMP8) (0.153 COMP58) (0.148 COMP9) (0.146 COMP543) (0.137 COMP555) (0.128 COMP541) (0.120 COMP466/COMP6) (0.113 COMP544) (0.108 COMP110) (0.106 COMP113/COMP142) (0.103 COMP537) (0.099 COMP549) (0.097 COMP114/COMP547/COMP561) (0.093 COMP19) (0.092 COMP123)
Adrenaline uptake inhibitor	0.094	COMP167	
Alcohol dehydrogenase inhibitor	0.408	COMP539	(0.405 COMP563) (0.372 COMP557) (0.345 COMP538) (0.227 COMP542) (0.195 COMP389/COMP390) (0.129 COMP561) (0.124 COMP466) (0.111 COMP556) (0.109 COMP550) (0.095 COMP541) (0.089 COMP9) (0.087 COMP58)
Aldosterone antagonist	0.176	COMP537	(0.149 COMP77) (0.126 COMP543) (0.107 COMP548) (0.094 COMP165) (0.085 COMP167) (0.075 COMP114) (0.069 COMP547) (0.068 COMP110) (0.066 COMP58) (0.065 COMP113/COMP142) (0.064 COMP538) (0.058 COMP153) (0.057 COMP557) (0.055 COMP9) (0.053 COMP542) (0.051 COMP541) (0.050 COMP565) (0.049 COMP539) (0.048 COMP302) (0.044 COMP123/COMP133)
Alkaline phosphatase inhibitor	0.313	COMP563	(0.280 COMP556) (0.274 COMP553/COMP554) (0.243 COMP552) (0.235 COMP565) (0.192 COMP550) (0.187 COMP466) (0.179 COMP389/COMP390) (0.156 COMP546/COMP58) (0.152 COMP525) (0.141 COMP9) (0.129 COMP538) (0.123 COMP561) (0.113 COMP557/COMP558)
Alpha 2a adrenoreceptor agonist	0.016	COMP541/COMP9	
Alpha 2b adrenoreceptor agonist	0.051	COMP547	(0.028 COMP541) (0.024 COMP9) (0.022 COMP6) (0.021 COMP525/COMP544) (0.019 COMP546) (0.018 COMP523)
Alpha-mannosidase inhibitor	0.370	COMP526	(0.260 COMP527) (0.223 COMP538) (0.218 COMP529) (0.206 COMP540) (0.142 COMP539) (0.137 COMP557) (0.108 COMP563) (0.101 COMP542) (0.084 COMP543) (0.082 COMP528) (0.069 COMP555) (0.059 COMP58) (0.056 COMP123/COMP389/COMP390/COMP537) (0.053 COMP110/COMP114/COMP19/COMP549) (0.052 COMP9) (0.051 COMP544/COMP6)
Aminopeptidase A inhibitor	0.059	COMP542	(0.047 COMP557) (0.041 COMP539) (0.015 COMP538)
