Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.492	COMP167	(0.362 COMP77) (0.324 COMP389/COMP390) (0.252 COMP542) (0.225 COMP466) (0.189 COMP537) (0.182 COMP548) (0.176 COMP549) (0.175 COMP560/COMP561) (0.174 COMP9) (0.167 COMP557) (0.163 COMP539) (0.157 COMP525) (0.154 COMP543) (0.146 COMP114) (0.142 COMP546) (0.140 COMP538) (0.139 COMP19) (0.123 COMP113/COMP142) (0.122 COMP562) (0.114 COMP564) (0.106 COMP530) (0.105 COMP559) (0.104 COMP8) (0.099 COMP6) (0.098 COMP153/COMP551) (0.094 COMP544) (0.090 COMP547) (0.086 COMP556)
AR expression inhibitor	0.821	COMP563	(0.731 COMP302) (0.728 COMP556) (0.659 COMP389/COMP390) (0.658 COMP8) (0.640 COMP543) (0.614 COMP548) (0.591 COMP537) (0.587 COMP466) (0.529 COMP523) (0.519 COMP530) (0.510 COMP551) (0.506 COMP560) (0.504 COMP539/COMP557) (0.488 COMP549/COMP550) (0.485 COMP77) (0.482 COMP564) (0.473 COMP559) (0.471 COMP547) (0.469 COMP562) (0.466 COMP58) (0.463 COMP133) (0.462 COMP553/COMP554) (0.445 COMP110/COMP123) (0.442 COMP527) (0.438 COMP542) (0.429 COMP303) (0.428 COMP529) (0.408 COMP165/COMP540) (0.406 COMP526) (0.384 COMP552) (0.382 COMP565) (0.375 COMP558) (0.357 COMP528) (0.347 COMP538) (0.345 COMP561) (0.338 COMP153) (0.322 COMP532/COMP533) (0.320 COMP113/COMP142) (0.289 COMP545) (0.288 COMP531) (0.283 COMP534/COMP535) (0.272 COMP536) (0.268 COMP167/COMP6) (0.261 COMP19) (0.255 COMP114) (0.235 COMP525/COMP546) (0.227 COMP300) (0.222 COMP9)
CTGF expression inhibitor	0.821	COMP389/COMP390	(0.811 COMP77) (0.802 COMP466) (0.771 COMP556) (0.766 COMP539) (0.714 COMP557) (0.713 COMP563) (0.707 COMP550) (0.686 COMP538) (0.674 COMP553/COMP554) (0.652 COMP561) (0.607 COMP542) (0.564 COMP552) (0.563 COMP123) (0.551 COMP19/COMP58) (0.523 COMP565) (0.508 COMP558) (0.467 COMP546) (0.436 COMP9) (0.413 COMP544) (0.408 COMP543) (0.407 COMP303) (0.380 COMP525) (0.353 COMP114/COMP537) (0.342 COMP6) (0.322 COMP110) (0.306 COMP560) (0.300 COMP549) (0.293 COMP530/COMP551) (0.283 COMP555) (0.275 COMP559) (0.268 COMP167) (0.267 COMP8) (0.266 COMP541) (0.264 COMP547) (0.258 COMP133/COMP300) (0.240 COMP564) (0.228 COMP153) (0.223 COMP113/COMP142) (0.213 COMP302) (0.193 COMP523) (0.192 COMP562)
GRP78 expression inhibitor	0.043	COMP557	(0.039 COMP543) (0.034 COMP542) (0.033 COMP539) (0.031 COMP549) (0.030 COMP537) (0.029 COMP526) (0.027 COMP538/COMP58) (0.025 COMP114/COMP19) (0.022 COMP9) (0.021 COMP110) (0.020 COMP544/COMP563)
ICAM1 expression inhibitor	0.648	COMP526	(0.617 COMP563) (0.553 COMP540) (0.511 COMP527) (0.501 COMP529) (0.498 COMP153) (0.493 COMP543) (0.484 COMP549) (0.480 COMP389/COMP390) (0.470 COMP165) (0.457 COMP557) (0.456 COMP558) (0.452 COMP466) (0.449 COMP123) (0.448 COMP528) (0.447 COMP550) (0.441 COMP530) (0.436 COMP539) (0.427 COMP6) (0.423 COMP548) (0.413 COMP77) (0.406 COMP532/COMP533/COMP542) (0.405 COMP544) (0.404 COMP562) (0.402 COMP564) (0.400 COMP537) (0.396 COMP58) (0.392 COMP560) (0.388 COMP531/COMP559) (0.386 COMP114) (0.383 COMP561) (0.381 COMP19) (0.377 COMP534/COMP535) (0.376 COMP523) (0.374 COMP167) (0.369 COMP546) (0.365 COMP303) (0.360 COMP9) (0.355 COMP556) (0.354 COMP538) (0.353 COMP547/COMP551) (0.340 COMP536) (0.339 COMP133/COMP545) (0.325 COMP525) (0.318 COMP300) (0.311 COMP113/COMP142) (0.310 COMP553/COMP554) (0.246 COMP552/COMP8) (0.230 COMP555) (0.223 COMP565) (0.201 COMP302)
LDLR expression enhancer	0.365	COMP77	(0.312 COMP466) (0.297 COMP556) (0.280 COMP525) (0.272 COMP546) (0.266 COMP389/COMP390) (0.240 COMP550) (0.235 COMP302) (0.231 COMP58) (0.228 COMP543) (0.227 COMP538) (0.225 COMP544/COMP561) (0.223 COMP9) (0.214 COMP8) (0.208 COMP153) (0.206 COMP548) (0.194 COMP537) (0.193 COMP557) (0.190 COMP558) (0.187 COMP123) (0.178 COMP539) (0.173 COMP523) (0.168 COMP542) (0.166 COMP6) (0.164 COMP552) (0.161 COMP553/COMP554) (0.154 COMP133/COMP555) (0.152 COMP165) (0.147 COMP113/COMP142) (0.141 COMP19) (0.140 COMP565) (0.138 COMP303) (0.137 COMP563) (0.136 COMP300)
NOS2 expression inhibitor	0.955	COMP563	(0.925 COMP540) (0.923 COMP526) (0.826 COMP550) (0.796 COMP527) (0.786 COMP558) (0.767 COMP529) (0.681 COMP548) (0.649 COMP466) (0.629 COMP556) (0.625 COMP523) (0.604 COMP547) (0.603 COMP77) (0.585 COMP389/COMP390) (0.578 COMP153) (0.563 COMP302) (0.522 COMP543) (0.509 COMP123) (0.488 COMP58/COMP8) (0.487 COMP553/COMP554) (0.462 COMP564) (0.456 COMP528) (0.445 COMP539) (0.443 COMP562) (0.442 COMP546) (0.433 COMP542) (0.432 COMP525) (0.431 COMP561) (0.422 COMP557) (0.415 COMP552) (0.412 COMP537) (0.402 COMP6) (0.391 COMP133) (0.384 COMP165) (0.380 COMP565) (0.376 COMP19/COMP538) (0.372 COMP555) (0.369 COMP544) (0.361 COMP560) (0.359 COMP551) (0.358 COMP9) (0.356 COMP559) (0.351 COMP113/COMP142) (0.324 COMP549) (0.323 COMP303) (0.305 COMP530) (0.296 COMP300) (0.277 COMP110) (0.271 COMP114) (0.237 COMP167/COMP532/COMP533) (0.236 COMP534/COMP535) (0.224 COMP531) (0.201 COMP545) (0.155 COMP541)
NOS3 expression enhancer	0.705	COMP563	(0.673 COMP389/COMP390) (0.550 COMP466) (0.518 COMP526) (0.437 COMP540) (0.386 COMP541) (0.373 COMP527) (0.349 COMP529) (0.310 COMP556) (0.294 COMP543) (0.266 COMP58) (0.263 COMP77) (0.256 COMP550) (0.225 COMP528) (0.203 COMP302) (0.171 COMP8) (0.163 COMP557) (0.158 COMP549) (0.131 COMP561) (0.129 COMP9) (0.119 COMP542)
NOS3 expression inhibitor	0.910	COMP77	(0.859 COMP563) (0.711 COMP557) (0.665 COMP540) (0.664 COMP539) (0.660 COMP526) (0.634 COMP543) (0.619 COMP527) (0.604 COMP529) (0.556 COMP8) (0.545 COMP542) (0.525 COMP528) (0.506 COMP389/COMP390/COMP556) (0.501 COMP58) (0.500 COMP537) (0.492 COMP558) (0.486 COMP538) (0.478 COMP551) (0.476 COMP560) (0.475 COMP559) (0.470 COMP550) (0.457 COMP562) (0.454 COMP466) (0.451 COMP549) (0.445 COMP531) (0.426 COMP123) (0.422 COMP564) (0.419 COMP303) (0.410 COMP561) (0.380 COMP553/COMP554) (0.358 COMP530) (0.349 COMP534/COMP535) (0.348 COMP532/COMP533) (0.344 COMP9) (0.342 COMP548) (0.337 COMP536) (0.325 COMP133) (0.321 COMP545) (0.315 COMP110) (0.314 COMP114) (0.300 COMP300) (0.293 COMP525/COMP546) (0.287 COMP544) (0.285 COMP552) (0.279 COMP565) (0.272 COMP167) (0.270 COMP19) (0.266 COMP302) (0.264 COMP523) (0.239 COMP165) (0.226 COMP113/COMP142) (0.200 COMP547)
TNF expression inhibitor	0.962	COMP563	(0.899 COMP77) (0.870 COMP8) (0.866 COMP527) (0.833 COMP466) (0.801 COMP389/COMP390) (0.792 COMP550) (0.788 COMP540) (0.768 COMP529) (0.763 COMP539) (0.743 COMP526) (0.737 COMP542) (0.700 COMP557) (0.658 COMP302) (0.657 COMP543) (0.646 COMP556) (0.634 COMP153) (0.618 COMP548/COMP553/COMP554) (0.605 COMP523) (0.590 COMP538) (0.589 COMP558) (0.588 COMP58) (0.587 COMP123) (0.585 COMP551/COMP562) (0.560 COMP528/COMP552) (0.545 COMP549) (0.541 COMP546) (0.528 COMP565) (0.526 COMP559) (0.515 COMP525) (0.513 COMP303) (0.503 COMP133) (0.499 COMP544) (0.497 COMP561) (0.496 COMP6) (0.493 COMP547) (0.475 COMP19) (0.469 COMP9) (0.468 COMP537) (0.464 COMP564) (0.455 COMP560) (0.452 COMP530) (0.426 COMP113/COMP142) (0.397 COMP555) (0.391 COMP165) (0.384 COMP300) (0.356 COMP545) (0.351 COMP534/COMP535) (0.343 COMP536) (0.342 COMP114) (0.338 COMP110) (0.336 COMP531) (0.316 COMP167) (0.307 COMP532/COMP533) (0.302 COMP541)
