Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.880	COMP110	(0.638 COMP538) (0.580 COMP547) (0.500 COMP523) (0.405 COMP548) (0.371 COMP302) (0.352 COMP539) (0.332 COMP77) (0.327 COMP557) (0.325 COMP8) (0.306 COMP389/COMP390) (0.277 COMP19) (0.263 COMP542) (0.254 COMP466) (0.213 COMP543) (0.212 COMP6) (0.186 COMP123) (0.154 COMP530) (0.151 COMP537) (0.146 COMP550) (0.142 COMP549) (0.141 COMP564) (0.132 COMP551/COMP559/COMP562) (0.131 COMP133/COMP303) (0.130 COMP114/COMP531/COMP560) (0.127 COMP153/COMP561) (0.122 COMP544) (0.121 COMP536/COMP540) (0.120 COMP532/COMP533) (0.117 COMP558) (0.113 COMP526) (0.108 COMP527) (0.107 COMP534/COMP535) (0.106 COMP300/COMP529) (0.103 COMP545)
Aldehyde dehydrogenase substrate	0.729	COMP110	(0.351 COMP547) (0.327 COMP538) (0.297 COMP523) (0.294 COMP539) (0.289 COMP557) (0.260 COMP548) (0.219 COMP389/COMP390) (0.214 COMP542) (0.211 COMP19) (0.206 COMP466) (0.185 COMP6) (0.155 COMP550) (0.146 COMP8) (0.129 COMP302) (0.123 COMP558) (0.118 COMP530) (0.116 COMP123) (0.104 COMP561)
Aldehyde oxidase substrate	0.302	COMP557	(0.255 COMP539) (0.239 COMP9) (0.229 COMP542) (0.222 COMP58) (0.219 COMP389/COMP390) (0.212 COMP538) (0.205 COMP466) (0.192 COMP541) (0.190 COMP546) (0.162 COMP525/COMP556) (0.156 COMP544) (0.144 COMP561) (0.142 COMP123)
Aldose reductase substrate	0.455	COMP526	(0.442 COMP563) (0.429 COMP542) (0.388 COMP527) (0.373 COMP540) (0.364 COMP529) (0.319 COMP557) (0.293 COMP528) (0.248 COMP539) (0.223 COMP531) (0.214 COMP538) (0.201 COMP545) (0.190 COMP389/COMP390) (0.188 COMP536) (0.180 COMP466) (0.152 COMP553/COMP554) (0.151 COMP555) (0.142 COMP549) (0.134 COMP565) (0.131 COMP534/COMP535/COMP556)
Arylamine N-Acetyltransferase substrate	0.371	COMP557	(0.318 COMP539) (0.185 COMP389/COMP390) (0.179 COMP542) (0.148 COMP58) (0.131 COMP538) (0.122 COMP561) (0.115 COMP466) (0.104 COMP556) (0.094 COMP9) (0.066 COMP302)
CYP1A2 inhibitor	0.836	COMP558	(0.818 COMP556) (0.786 COMP550) (0.500 COMP553/COMP554) (0.489 COMP563) (0.484 COMP541) (0.480 COMP552) (0.455 COMP565) (0.430 COMP466) (0.362 COMP389/COMP390) (0.338 COMP58) (0.290 COMP555) (0.265 COMP525) (0.261 COMP546) (0.233 COMP561) (0.227 COMP6) (0.197 COMP538) (0.173 COMP9)
CYP1A2 substrate	0.646	COMP556	(0.639 COMP563) (0.569 COMP389/COMP390) (0.564 COMP466) (0.488 COMP538) (0.458 COMP525) (0.431 COMP546) (0.428 COMP539) (0.427 COMP58) (0.417 COMP561) (0.410 COMP550) (0.403 COMP553/COMP554) (0.400 COMP557) (0.389 COMP9) (0.360 COMP6) (0.321 COMP531) (0.315 COMP543/COMP552) (0.314 COMP565) (0.297 COMP542) (0.288 COMP123) (0.284 COMP558) (0.269 COMP77) (0.266 COMP544) (0.261 COMP303) (0.247 COMP532/COMP533) (0.240 COMP8) (0.235 COMP547) (0.220 COMP300) (0.217 COMP19) (0.213 COMP564) (0.208 COMP302) (0.206 COMP555) (0.204 COMP526) (0.201 COMP549) (0.199 COMP537) (0.194 COMP541) (0.192 COMP540) (0.188 COMP534/COMP535) (0.183 COMP560)
CYP24 inhibitor	0.132	COMP548	(0.060 COMP77) (0.053 COMP153) (0.052 COMP165) (0.049 COMP113/COMP142) (0.033 COMP133) (0.027 COMP300/COMP550) (0.026 COMP549) (0.025 COMP547) (0.024 COMP525/COMP9) (0.023 COMP123) (0.021 COMP543/COMP546/COMP58/COMP6)
CYP2A6 inhibitor	0.252	COMP547	(0.182 COMP302/COMP523) (0.174 COMP541) (0.164 COMP9) (0.160 COMP556) (0.158 COMP300) (0.152 COMP6) (0.113 COMP544) (0.111 COMP525) (0.108 COMP561) (0.107 COMP546) (0.086 COMP58) (0.081 COMP557) (0.074 COMP8) (0.073 COMP539) (0.068 COMP548)
CYP2B6 inhibitor	0.468	COMP556	(0.386 COMP548) (0.367 COMP538) (0.349 COMP302/COMP547) (0.330 COMP539) (0.325 COMP523) (0.320 COMP466) (0.315 COMP389/COMP390) (0.303 COMP557) (0.288 COMP300) (0.279 COMP8) (0.275 COMP561) (0.272 COMP553/COMP554) (0.268 COMP546) (0.267 COMP6) (0.261 COMP123) (0.260 COMP9) (0.249 COMP525/COMP542) (0.247 COMP58) (0.246 COMP552) (0.245 COMP565) (0.243 COMP303) (0.239 COMP19) (0.236 COMP550) (0.234 COMP544) (0.226 COMP113/COMP142) (0.219 COMP530) (0.216 COMP165) (0.197 COMP153) (0.180 COMP541) (0.179 COMP558) (0.172 COMP537) (0.164 COMP133) (0.162 COMP555) (0.161 COMP114) (0.157 COMP543) (0.155 COMP564) (0.152 COMP77) (0.148 COMP110)
