Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.541 COMP8) (0.507 COMP539) (0.506 COMP548) (0.487 COMP562) (0.485 COMP557) (0.482 COMP559) (0.479 COMP542) (0.473 COMP551) (0.465 COMP538) (0.464 COMP133) (0.454 COMP523) (0.448 COMP543) (0.445 COMP530) (0.442 COMP537/COMP564) (0.426 COMP113/COMP142) (0.424 COMP549) (0.419 COMP110) (0.417 COMP303) (0.416 COMP165) (0.410 COMP302) (0.405 COMP547) (0.392 COMP389/COMP390) (0.378 COMP560) (0.375 COMP466) (0.366 COMP6) (0.349 COMP123) (0.338 COMP545) (0.337 COMP531) (0.334 COMP153) (0.327 COMP114) (0.326 COMP58) (0.323 COMP19) (0.294 COMP300) (0.284 COMP532/COMP533) (0.279 COMP550) (0.270 COMP561) (0.269 COMP167) (0.265 COMP534/COMP535) (0.264 COMP558) (0.248 COMP546) (0.232 COMP9) (0.228 COMP556) (0.225 COMP536) (0.221 COMP553/COMP554) (0.215 COMP525) (0.210 COMP555) (0.205 COMP544) (0.185 COMP565) (0.171 COMP552) (0.169 COMP541)
Carcinogenic	0.925	COMP77	(0.898 COMP563) (0.890 COMP8) (0.867 COMP302) (0.792 COMP123) (0.671 COMP547) (0.657 COMP523) (0.647 COMP548) (0.609 COMP113/COMP142) (0.607 COMP389/COMP390) (0.602 COMP539) (0.566 COMP538) (0.532 COMP110) (0.515 COMP528) (0.500 COMP557) (0.496 COMP542) (0.433 COMP466) (0.422 COMP114) (0.415 COMP527) (0.377 COMP526) (0.367 COMP543) (0.353 COMP531/COMP561) (0.329 COMP153/COMP6) (0.322 COMP529) (0.303 COMP540) (0.286 COMP556) (0.283 COMP532/COMP533/COMP9) (0.264 COMP549) (0.248 COMP19) (0.242 COMP303) (0.234 COMP133) (0.224 COMP560) (0.214 COMP544) (0.212 COMP550) (0.207 COMP534/COMP535) (0.206 COMP58) (0.204 COMP546) (0.199 COMP525) (0.187 COMP165) (0.179 COMP536) (0.178 COMP555) (0.177 COMP537/COMP551) (0.167 COMP562) (0.156 COMP545) (0.153 COMP300) (0.150 COMP564) (0.142 COMP530)
Carcinogenic. group 1	0.550	COMP557	(0.461 COMP539) (0.453 COMP526) (0.383 COMP538) (0.379 COMP542) (0.334 COMP563) (0.329 COMP58) (0.292 COMP556) (0.291 COMP9) (0.237 COMP540) (0.236 COMP389/COMP390/COMP555) (0.228 COMP544) (0.227 COMP525/COMP546) (0.226 COMP302) (0.223 COMP466) (0.197 COMP6) (0.195 COMP547) (0.191 COMP8) (0.189 COMP527) (0.187 COMP550/COMP561) (0.181 COMP553/COMP554) (0.173 COMP565) (0.167 COMP110) (0.163 COMP113/COMP142) (0.162 COMP529) (0.161 COMP123/COMP541) (0.158 COMP114) (0.157 COMP19) (0.155 COMP552) (0.154 COMP543) (0.153 COMP558) (0.148 COMP300) (0.139 COMP523) (0.137 COMP537) (0.129 COMP165)
Carcinogenic. group 2A	0.693	COMP526	(0.326 COMP527) (0.287 COMP540) (0.235 COMP529/COMP58) (0.189 COMP302) (0.187 COMP9) (0.177 COMP538) (0.167 COMP556) (0.165 COMP557) (0.160 COMP555) (0.158 COMP563) (0.148 COMP8) (0.139 COMP565) (0.137 COMP6) (0.134 COMP525/COMP546) (0.127 COMP544) (0.122 COMP114/COMP539) (0.115 COMP552) (0.111 COMP542) (0.107 COMP541) (0.106 COMP547) (0.102 COMP389/COMP390) (0.099 COMP110) (0.098 COMP553/COMP554) (0.093 COMP466) (0.092 COMP550) (0.091 COMP113/COMP142) (0.077 COMP543) (0.076 COMP558/COMP561) (0.073 COMP123)
Carcinogenic. group 2B	0.718	COMP113/COMP142	(0.509 COMP389/COMP390) (0.348 COMP466) (0.344 COMP302) (0.226 COMP556/COMP563) (0.223 COMP542) (0.216 COMP557) (0.211 COMP8) (0.203 COMP538/COMP539) (0.185 COMP58) (0.183 COMP9) (0.162 COMP114/COMP561) (0.158 COMP537) (0.152 COMP550) (0.149 COMP543) (0.145 COMP547) (0.143 COMP133) (0.133 COMP546) (0.128 COMP526) (0.126 COMP153) (0.121 COMP525) (0.117 COMP123) (0.112 COMP19/COMP6) (0.111 COMP541) (0.108 COMP544) (0.102 COMP555) (0.099 COMP527) (0.093 COMP167) (0.088 COMP110)
Carcinogenic. group 3	0.772	COMP547	(0.464 COMP563) (0.439 COMP389/COMP390) (0.431 COMP539) (0.413 COMP557) (0.391 COMP523) (0.364 COMP542) (0.348 COMP555) (0.347 COMP538) (0.332 COMP123) (0.322 COMP9) (0.315 COMP6) (0.304 COMP548) (0.300 COMP302) (0.277 COMP466) (0.276 COMP556) (0.274 COMP8) (0.262 COMP561) (0.252 COMP19) (0.241 COMP58) (0.240 COMP77) (0.235 COMP544) (0.194 COMP545) (0.183 COMP114) (0.178 COMP153) (0.173 COMP546) (0.148 COMP113/COMP142) (0.147 COMP525) (0.131 COMP543) (0.123 COMP303) (0.120 COMP133) (0.118 COMP550) (0.116 COMP537) (0.094 COMP536)
Cardiodepressant	0.547	COMP543	(0.482 COMP538) (0.412 COMP539) (0.377 COMP546) (0.375 COMP542) (0.360 COMP557) (0.357 COMP77) (0.356 COMP58) (0.338 COMP556) (0.317 COMP466) (0.306 COMP550) (0.295 COMP389/COMP390) (0.288 COMP555) (0.282 COMP537) (0.279 COMP525) (0.277 COMP9) (0.264 COMP114) (0.243 COMP8) (0.241 COMP561) (0.226 COMP113/COMP142) (0.215 COMP560) (0.206 COMP541) (0.196 COMP558) (0.195 COMP564) (0.136 COMP562) (0.134 COMP552)
Cytotoxic	0.673	COMP540	(0.660 COMP526) (0.634 COMP563) (0.607 COMP77) (0.578 COMP529) (0.566 COMP527) (0.553 COMP536) (0.549 COMP528) (0.533 COMP545) (0.457 COMP153) (0.452 COMP534/COMP535) (0.438 COMP531) (0.428 COMP549) (0.408 COMP548) (0.387 COMP19) (0.385 COMP542) (0.371 COMP8) (0.369 COMP543) (0.368 COMP532/COMP533) (0.362 COMP110) (0.360 COMP539) (0.357 COMP523) (0.349 COMP123) (0.347 COMP560) (0.340 COMP302) (0.335 COMP557) (0.329 COMP544) (0.328 COMP562) (0.322 COMP547) (0.319 COMP6) (0.302 COMP303) (0.291 COMP466/COMP530) (0.290 COMP389/COMP390) (0.286 COMP133) (0.278 COMP551) (0.263 COMP538) (0.261 COMP556) (0.258 COMP561) (0.254 COMP165) (0.238 COMP58) (0.232 COMP300) (0.230 COMP550) (0.228 COMP525) (0.227 COMP559) (0.225 COMP537) (0.214 COMP114/COMP9) (0.211 COMP546) (0.185 COMP113/COMP142) (0.176 COMP558) (0.165 COMP564) (0.144 COMP555) (0.139 COMP167) (0.133 COMP553/COMP554)
DNA damaging	0.728	COMP563	(0.571 COMP526) (0.443 COMP556) (0.437 COMP466/COMP540) (0.403 COMP389/COMP390) (0.380 COMP543) (0.371 COMP544) (0.357 COMP527) (0.354 COMP557) (0.341 COMP58) (0.337 COMP550) (0.334 COMP539) (0.320 COMP529) (0.318 COMP538) (0.306 COMP558) (0.302 COMP19) (0.295 COMP534/COMP535) (0.271 COMP531) (0.251 COMP532/COMP533) (0.248 COMP153) (0.232 COMP525) (0.229 COMP9) (0.228 COMP555) (0.227 COMP123) (0.223 COMP546) (0.214 COMP553/COMP554) (0.210 COMP552) (0.201 COMP565) (0.197 COMP537) (0.194 COMP6/COMP77) (0.191 COMP541) (0.186 COMP561) (0.185 COMP562) (0.174 COMP165) (0.166 COMP542) (0.160 COMP113/COMP142)
Embryotoxic	0.908	COMP77	(0.800 COMP563) (0.748 COMP528) (0.721 COMP527) (0.689 COMP302) (0.685 COMP543) (0.682 COMP523) (0.675 COMP538) (0.671 COMP539) (0.666 COMP548) (0.650 COMP547) (0.641 COMP526) (0.633 COMP8) (0.595 COMP529) (0.585 COMP557) (0.531 COMP542) (0.526 COMP531) (0.520 COMP549) (0.502 COMP389/COMP390) (0.476 COMP540) (0.457 COMP303) (0.397 COMP123) (0.395 COMP532/COMP533) (0.377 COMP466) (0.343 COMP6) (0.341 COMP534/COMP535) (0.328 COMP536) (0.299 COMP300) (0.297 COMP544) (0.290 COMP530) (0.277 COMP559) (0.275 COMP551) (0.268 COMP19) (0.257 COMP133) (0.249 COMP9) (0.245 COMP153) (0.242 COMP555) (0.232 COMP58) (0.229 COMP561) (0.216 COMP537) (0.215 COMP113/COMP142) (0.207 COMP546) (0.205 COMP560) (0.195 COMP564) (0.188 COMP110) (0.185 COMP165) (0.171 COMP556) (0.170 COMP114) (0.169 COMP550) (0.165 COMP525) (0.160 COMP545)
