Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.116	COMP3029	(0.115 COMP245) (0.096 COMP3031)
AR expression inhibitor	0.663	COMP245	(0.471 COMP3031) (0.431 COMP3029) (0.379 COMP3032) (0.247 COMP3030)
CTGF expression inhibitor	0.848	COMP245	(0.383 COMP3029) (0.357 COMP3031) (0.212 COMP3032)
GRP78 expression inhibitor	0.020	COMP245	
ICAM1 expression inhibitor	0.516	COMP245	(0.427 COMP3032) (0.386 COMP3029) (0.378 COMP3031) (0.335 COMP3030)
LDLR expression enhancer	0.297	COMP245	(0.146 COMP3029)
NOS2 expression inhibitor	0.668	COMP245	(0.243 COMP3032) (0.181 COMP3029) (0.173 COMP3031)
NOS3 expression enhancer	0.586	COMP245	(0.197 COMP3029) (0.158 COMP3032) (0.146 COMP3031)
NOS3 expression inhibitor	0.699	COMP245	(0.697 COMP3031) (0.685 COMP3029) (0.455 COMP3032) (0.391 COMP3030)
TNF expression inhibitor	0.730	COMP245	(0.287 COMP3029) (0.282 COMP3032) (0.254 COMP3031)
VCAM1 expression inhibitor	0.496	COMP245	
VEGF expression inhibitor	0.275	COMP245	(0.178 COMP3029) (0.169 COMP3031)
