Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.476	COMP3029	(0.458 COMP3031) (0.372 COMP245) (0.241 COMP3032)
Carcinogenic	0.965	COMP3032	(0.405 COMP245) (0.291 COMP3031) (0.221 COMP3029)
Carcinogenic. group 1	0.314	COMP245	
Carcinogenic. group 2A	0.158	COMP245	
Carcinogenic. group 2B	0.286	COMP245	
Carcinogenic. group 3	0.922	COMP3032	(0.406 COMP245)
Cardiodepressant	0.408	COMP245	
Cytotoxic	0.778	COMP3032	(0.467 COMP3029) (0.455 COMP3031) (0.311 COMP245)
DNA damaging	0.345	COMP245	
Embryotoxic	0.988	COMP3031	(0.980 COMP3029) (0.928 COMP3032) (0.311 COMP245)
Eye irritation. high	0.320	COMP245	
Genotoxic	0.521	COMP245	(0.156 COMP3032)
Hypoglycemic	0.450	COMP245	(0.278 COMP3032)
Mutagenic	0.970	COMP3032	(0.416 COMP245) (0.114 COMP3029)
Pneumotoxic	0.609	COMP245	(0.150 COMP3032)
Sensitization	0.625	COMP245	(0.613 COMP3032) (0.418 COMP3031) (0.296 COMP3029)
Skin irritative effect	0.963	COMP3032	(0.294 COMP245)
Teratogen	0.988	COMP3031	(0.979 COMP3029) (0.923 COMP3032) (0.329 COMP245)
Toxic. respiratory center	0.211	COMP3029	(0.190 COMP3031) (0.187 COMP3030) (0.156 COMP245)
Ulceration	0.529	COMP245	
