Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.566	COMP683	(0.477 COMP1448) (0.468 COMP868) (0.446 COMP732) (0.429 COMP1438) (0.424 COMP1436) (0.390 COMP1449) (0.375 COMP1441) (0.341 COMP504) (0.320 COMP1237) (0.314 COMP1453) (0.304 COMP1450) (0.262 COMP1445) (0.215 COMP1444) (0.193 COMP1435) (0.192 COMP1446)
Adenosine uptake inhibitor	0.044	COMP1442	(0.043 COMP1447/COMP1452) (0.042 COMP1439/COMP1443) (0.038 COMP1451) (0.037 COMP1454) (0.036 COMP1436) (0.035 COMP1450) (0.034 COMP1237/COMP1449)
Apical sodium codependent bile acid transporter inhibitor	0.098	COMP504	(0.019 COMP1451) (0.018 COMP1454)
Dopamine transporter inhibitor	0.053	COMP868	
Dopamine uptake inhibitor	0.054	COMP868	
Electron transport complex I inhibitor	0.345	COMP1445	(0.189 COMP1450) (0.157 COMP1438) (0.153 COMP1449) (0.152 COMP1237) (0.132 COMP1441) (0.130 COMP732) (0.127 COMP1448/COMP504) (0.125 COMP1453) (0.116 COMP868) (0.107 COMP46) (0.103 COMP1442)
Endocannabinoid uptake inhibitor	0.138	COMP1438	(0.095 COMP868) (0.091 COMP683) (0.082 COMP1441) (0.073 COMP1436) (0.071 COMP1237) (0.069 COMP1449) (0.065 COMP1450)
Equilibrative nucleoside transport protein inhibitor	0.074	COMP1444	(0.071 COMP731) (0.067 COMP1437) (0.065 COMP1439/COMP1443/COMP1446) (0.064 COMP1447/COMP1452) (0.063 COMP1440) (0.062 COMP1442) (0.061 COMP1454/COMP908) (0.059 COMP1435/COMP1451)
Excitatory amino acid transporter 1 inhibitor	0.366	COMP1436	
Excitatory amino acid transporter 2 inhibitor	0.453	COMP1436	
Excitatory amino acid transporter 3 inhibitor	0.120	COMP1436	
Excitatory amino acid transporter EAAC1 inhibitor	0.679	COMP1436	(0.361 COMP683) (0.229 COMP1448) (0.211 COMP1441) (0.197 COMP868) (0.125 COMP1449) (0.095 COMP1438)
Folate transporter 1 inhibitor	0.022	COMP1436	
GABA transporter 1 inhibitor	0.017	COMP683	
GABA transporter 2 inhibitor	0.098	COMP1436	(0.043 COMP683)
GABA transporter 3 inhibitor	0.095	COMP1436	(0.060 COMP683) (0.046 COMP1438) (0.038 COMP868) (0.032 COMP1448)
GABA transporter inhibitor	0.031	COMP683	(0.022 COMP1436)
GABA uptake inhibitor	0.081	COMP683	(0.057 COMP1448) (0.037 COMP1436)
Glycine transporter 2 inhibitor	0.329	COMP1436	
Ileal bile acid transport inhibitor	0.041	COMP1446	(0.036 COMP1437) (0.033 COMP731) (0.027 COMP1436) (0.024 COMP1444) (0.023 COMP1451) (0.021 COMP1454) (0.019 COMP1442/COMP868) (0.018 COMP1440/COMP1447/COMP1452) (0.017 COMP1439/COMP1443) (0.016 COMP1435/COMP683) (0.015 COMP908)
Monocarboxylic acid transporter 1 inhibitor	0.024	COMP1436	
Monocarboxylic acid transporter inhibitor	0.024	COMP1436	
