Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.083	COMP582/COMP584	
AR expression inhibitor	0.499	COMP582	(0.462 COMP579) (0.411 COMP583) (0.410 COMP584) (0.236 COMP578)
CTGF expression inhibitor	0.298	COMP578	(0.211 COMP577) (0.207 COMP576) (0.197 COMP582)
ICAM1 expression inhibitor	0.489	COMP582	(0.462 COMP579) (0.421 COMP584) (0.264 COMP583) (0.218 COMP580) (0.210 COMP576)
LDLR expression enhancer	0.254	COMP580	(0.210 COMP576) (0.183 COMP585) (0.159 COMP581) (0.153 COMP577/COMP578)
NOS2 expression inhibitor	0.351	COMP578	(0.335 COMP582) (0.286 COMP579) (0.267 COMP577) (0.238 COMP580) (0.206 COMP583) (0.204 COMP584) (0.195 COMP576) (0.182 COMP581) (0.159 COMP585)
NOS3 expression enhancer	0.180	COMP579	(0.157 COMP582) (0.146 COMP578)
NOS3 expression inhibitor	0.386	COMP582	(0.370 COMP579) (0.334 COMP584) (0.279 COMP583)
TNF expression inhibitor	0.531	COMP582	(0.519 COMP579) (0.465 COMP584) (0.378 COMP578) (0.262 COMP580) (0.250 COMP577) (0.221 COMP583) (0.219 COMP576)
VCAM1 expression inhibitor	0.224	COMP578	(0.200 COMP577) (0.161 COMP580)
VEGF expression inhibitor	0.194	COMP579	(0.182 COMP582) (0.181 COMP578)
