Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.138	COMP579	(0.104 COMP582) (0.045 COMP584) (0.041 COMP583)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.098	COMP584	(0.083 COMP579) (0.075 COMP582) (0.069 COMP583)
12-Lipoxygenase inhibitor	0.354	COMP577	(0.274 COMP578)
15-Lipoxygenase inhibitor	0.485	COMP577	(0.353 COMP578) (0.257 COMP580) (0.229 COMP576)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.039	COMP579	(0.035 COMP582)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.014	COMP583	
3C-Like protease (SARS coronavirus) inhibitor	0.085	COMP582	(0.078 COMP584)
3C-like protease (Human coronavirus) inhibitor	0.161	COMP578	
5 Hydroxytryptamine 1 agonist	0.059	COMP585	(0.049 COMP576)
5 Hydroxytryptamine 1 antagonist	0.386	COMP580	(0.316 COMP576) (0.314 COMP585) (0.224 COMP581) (0.068 COMP577)
5 Hydroxytryptamine 1A agonist	0.087	COMP585	(0.057 COMP576) (0.051 COMP580)
5 Hydroxytryptamine 1A antagonist	0.407	COMP580	(0.340 COMP585) (0.323 COMP576) (0.269 COMP581) (0.072 COMP577)
5 Hydroxytryptamine 1B agonist	0.058	COMP576	(0.051 COMP580)
5 Hydroxytryptamine 1B antagonist	0.083	COMP576/COMP580	(0.064 COMP581)
5 Hydroxytryptamine 1D antagonist	0.062	COMP580	
5 Hydroxytryptamine 1E antagonist	0.286	COMP580	(0.273 COMP576) (0.244 COMP577) (0.239 COMP581) (0.230 COMP585) (0.214 COMP578)
5 Hydroxytryptamine 1F antagonist	0.080	COMP576	(0.078 COMP585) (0.062 COMP580)
5 Hydroxytryptamine 2 agonist	0.088	COMP581	(0.052 COMP576) (0.051 COMP580)
5 Hydroxytryptamine 2 antagonist	0.375	COMP580	(0.360 COMP576) (0.342 COMP581) (0.301 COMP585) (0.093 COMP577)
5 Hydroxytryptamine 2A agonist	0.072	COMP581	(0.058 COMP580)
5 Hydroxytryptamine 2A antagonist	0.268	COMP580	(0.258 COMP576) (0.233 COMP581) (0.207 COMP585) (0.077 COMP577)
5 Hydroxytryptamine 2B antagonist	0.213	COMP580	(0.198 COMP576) (0.197 COMP585) (0.159 COMP581) (0.107 COMP578)
5 Hydroxytryptamine 2C agonist	0.070	COMP581	(0.044 COMP582)
5 Hydroxytryptamine 3B antagonist	0.045	COMP576	(0.036 COMP585) (0.034 COMP581)
5 Hydroxytryptamine 3E antagonist	0.241	COMP577	(0.181 COMP581) (0.173 COMP576) (0.170 COMP578)
5 Hydroxytryptamine 4 antagonist	0.066	COMP585	(0.055 COMP576) (0.051 COMP580) (0.050 COMP581)
5 Hydroxytryptamine 5 antagonist	0.063	COMP580	(0.060 COMP576) (0.058 COMP577) (0.057 COMP585) (0.054 COMP578)
5 Hydroxytryptamine 5A antagonist	0.073	COMP580	(0.072 COMP576) (0.065 COMP585) (0.061 COMP577) (0.056 COMP578)
5 Hydroxytryptamine 7 agonist	0.066	COMP578	(0.064 COMP580) (0.058 COMP577/COMP581) (0.051 COMP576)
5 Hydroxytryptamine 7 antagonist	0.509	COMP576	(0.444 COMP580) (0.422 COMP585) (0.384 COMP581) (0.071 COMP578)
5 Hydroxytryptamine agonist	0.129	COMP581	(0.103 COMP576) (0.100 COMP585) (0.082 COMP580)
5 Hydroxytryptamine antagonist	0.444	COMP580	(0.432 COMP576) (0.403 COMP585) (0.314 COMP581)
5 Hydroxytryptamine release inhibitor	0.424	COMP578	(0.289 COMP577)
5 Hydroxytryptamine release stimulant	0.809	COMP582	(0.734 COMP576) (0.729 COMP580) (0.715 COMP579) (0.637 COMP581) (0.593 COMP585) (0.472 COMP584) (0.347 COMP577) (0.327 COMP578) (0.224 COMP583)
5 Hydroxytryptamine uptake inhibitor	0.082	COMP581	(0.072 COMP585) (0.070 COMP576) (0.058 COMP580)
5 Hydroxytryptamine uptake stimulant	0.226	COMP579	(0.198 COMP582) (0.196 COMP578)
5-Alpha-reductase 1 inhibitor	0.048	COMP583	(0.017 COMP584)
5-Alpha-reductase 2 inhibitor	0.068	COMP583	(0.028 COMP584) (0.019 COMP579)
5-Alpha-reductase inhibitor	0.176	COMP583	(0.113 COMP584) (0.071 COMP579) (0.064 COMP582)
5-Lipoxygenase inhibitor	0.085	COMP578	
ABCA1 expression enhancer	0.083	COMP582/COMP584	
AMP-activated protein kinase stimulant	0.303	COMP582	(0.139 COMP579)
AMPA receptor antagonist	0.044	COMP577	
AR expression inhibitor	0.499	COMP582	(0.462 COMP579) (0.411 COMP583) (0.410 COMP584) (0.236 COMP578)
ATPase (Vacuolar H+) inhibitor	0.134	COMP581	(0.116 COMP580) (0.113 COMP576) (0.105 COMP577) (0.098 COMP585)
ATPase inhibitor	0.179	COMP576	(0.167 COMP580) (0.155 COMP577) (0.148 COMP581) (0.141 COMP582)
