Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.035	COMP285	(0.032 COMP301)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.044	COMP285	
12-Lipoxygenase inhibitor	0.194	COMP301	
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.082	COMP285	
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.018	COMP285	
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.063	COMP285	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.471	COMP301	
5 Hydroxytryptamine release inhibitor	0.541	COMP301	
5 Hydroxytryptamine release stimulant	0.550	COMP301	(0.187 COMP285)
5-Alpha-reductase 1 inhibitor	0.363	COMP285	
5-Alpha-reductase 2 inhibitor	0.372	COMP285	
5-Alpha-reductase inhibitor	0.451	COMP285	
ABCA1 expression enhancer	0.240	COMP285	
AMP-activated protein kinase stimulant	0.567	COMP301	(0.118 COMP285)
AR expression inhibitor	0.771	COMP301	(0.457 COMP285)
ATPase (Vacuolar H+) inhibitor	0.125	COMP301	(0.083 COMP285)
ATPase inhibitor	0.248	COMP301	
Abortion inducer	0.566	COMP285	
Acetylcholinesterase inhibitor	0.231	COMP301	
Actinic keratosis treatment	0.275	COMP285	(0.111 COMP301)
Acute respiratory distress syndrome (ARDS) treatment	0.298	COMP301	(0.180 COMP285)
Adenine nucleotide translocase inhibitor	0.060	COMP301	
Adenosine A1 receptor agonist	0.024	COMP301	
Adenosine deaminase inhibitor	0.074	COMP301	
Adenylate cyclase inhibitor	0.136	COMP301	
Adenylate cyclase stimulant	0.165	COMP301	(0.143 COMP285)
Alcohol dehydrogenase inhibitor	0.491	COMP301	
Alcohol dehydrogenase substrate	0.312	COMP285	
Aldehyde dehydrogenase inhibitor	0.448	COMP301	
Aldehyde oxidase inhibitor	0.173	COMP301	
Aldose reductase inhibitor	0.352	COMP301	
Aldose reductase substrate	0.442	COMP301	
Aldosterone antagonist	0.091	COMP285	
Alkaline phosphatase inhibitor	0.470	COMP301	
Alkylator	0.516	COMP301	
Alpha tubulin antagonist	0.048	COMP301	
Alpha-N-acetylglucosaminidase inhibitor	0.332	COMP301	
Alpha-glucosidase inhibitor	0.973	COMP301	
Alpha-mannosidase inhibitor	0.106	COMP301	
Alzheimer's disease treatment	0.600	COMP285	(0.526 COMP301)
Aminoacyl-tRNA synthetase inhibitor	0.087	COMP301	
Amylase inhibitor	0.928	COMP301	(0.461 COMP285)
Amyloid beta aggregation inhibitor	0.690	COMP301	
Amyotrophic lateral sclerosis treatment	0.701	COMP285	
Anabolic	0.212	COMP285	
Analeptic	0.587	COMP285	(0.531 COMP301)
Analgesic	0.234	COMP285	
Androgen agonist	0.288	COMP285	
Androgen antagonist	0.687	COMP285	
Andropause treatment	0.080	COMP285	
Anesthetic	0.715	COMP285	
