Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.073	COMP333	
5 Hydroxytryptamine 3A agonist	0.101	COMP198	(0.096 COMP336) (0.090 COMP191)
ATPase inhibitor	0.308	COMP337/COMP339	(0.230 COMP46) (0.203 COMP269) (0.200 COMP191/COMP198) (0.190 COMP335) (0.174 COMP336) (0.135 COMP48/COMP49)
Acetylcholinesterase inhibitor	0.543	COMP336	(0.495 COMP191) (0.488 COMP269) (0.484 COMP338) (0.482 COMP198) (0.457 COMP48) (0.443 COMP49) (0.224 COMP335) (0.206 COMP46) (0.190 COMP337/COMP339)
Aconitate hydratase inhibitor	0.057	COMP198	(0.046 COMP191/COMP49)
Adenosine A1 receptor agonist	0.029	COMP334	(0.028 COMP340) (0.026 COMP337/COMP339)
Adenosine deaminase inhibitor	0.068	COMP337/COMP339	(0.067 COMP49) (0.064 COMP48) (0.052 COMP198) (0.047 COMP191)
Adenylate cyclase inhibitor	0.179	COMP337/COMP339	(0.138 COMP191) (0.120 COMP198)
Adenylate kinase inhibitor	0.114	COMP198	(0.096 COMP191/COMP49) (0.092 COMP340)
Alcohol dehydrogenase inhibitor	0.530	COMP46	(0.435 COMP48) (0.425 COMP49) (0.315 COMP191) (0.304 COMP198) (0.283 COMP337/COMP339) (0.218 COMP269) (0.157 COMP338) (0.122 COMP335) (0.116 COMP336)
Alkaline phosphatase inhibitor	0.403	COMP48	(0.397 COMP269) (0.379 COMP191) (0.367 COMP49) (0.341 COMP198) (0.335 COMP338) (0.313 COMP46) (0.298 COMP337/COMP339) (0.293 COMP336) (0.217 COMP335)
Alpha 2a adrenoreceptor antagonist	0.066	COMP269	
Alpha-mannosidase inhibitor	0.268	COMP334	(0.189 COMP340) (0.144 COMP337/COMP339) (0.058 COMP46) (0.050 COMP335)
Androgen agonist	0.105	COMP333	(0.083 COMP198) (0.079 COMP191) (0.054 COMP269/COMP49) (0.053 COMP338)
Androgen antagonist	0.292	COMP338	(0.277 COMP333) (0.208 COMP191) (0.204 COMP198) (0.193 COMP48) (0.188 COMP49) (0.162 COMP269) (0.125 COMP336)
Arginase inhibitor	0.135	COMP46	(0.126 COMP337/COMP339) (0.110 COMP48) (0.103 COMP49) (0.088 COMP191) (0.082 COMP198) (0.070 COMP338) (0.056 COMP269) (0.050 COMP335) (0.041 COMP336)
Argininosuccinate synthase inhibitor	0.054	COMP198	
