Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.184 COMP572) (0.164 COMP2913) (0.159 COMP62) (0.145 COMP2915) (0.137 COMP282) (0.136 COMP238) (0.108 COMP927)
AR expression inhibitor	0.870	COMP282	(0.791 COMP572) (0.786 COMP927) (0.740 COMP2913) (0.713 COMP2914) (0.666 COMP238) (0.633 COMP2915) (0.485 COMP77) (0.479 COMP62)
CTGF expression inhibitor	0.811	COMP77	(0.536 COMP572) (0.463 COMP2913) (0.434 COMP2914) (0.284 COMP62) (0.197 COMP282) (0.191 COMP238)
ICAM1 expression inhibitor	0.688	COMP238	(0.668 COMP2915) (0.568 COMP927) (0.561 COMP282) (0.495 COMP62) (0.468 COMP2914) (0.461 COMP572) (0.448 COMP2913) (0.413 COMP77)
LDLR expression enhancer	0.365	COMP77	(0.263 COMP2913) (0.228 COMP572) (0.200 COMP2914) (0.183 COMP282) (0.158 COMP238) (0.155 COMP2915)
NOS2 expression inhibitor	0.950	COMP2913	(0.940 COMP2914/COMP572) (0.847 COMP282) (0.767 COMP62) (0.730 COMP927) (0.603 COMP77) (0.596 COMP238) (0.566 COMP2915)
NOS3 expression enhancer	0.633	COMP572	(0.548 COMP2913) (0.450 COMP2914) (0.365 COMP62) (0.263 COMP77)
NOS3 expression inhibitor	0.910	COMP77	(0.893 COMP62) (0.499 COMP282) (0.473 COMP927) (0.470 COMP238) (0.462 COMP572) (0.458 COMP2915) (0.444 COMP2914) (0.429 COMP2913)
TNF expression inhibitor	0.942	COMP62	(0.899 COMP77) (0.873 COMP2913) (0.858 COMP2915) (0.855 COMP572) (0.829 COMP2914) (0.811 COMP282) (0.809 COMP238) (0.703 COMP927)
VCAM1 expression inhibitor	0.638	COMP2913	(0.573 COMP572) (0.504 COMP2914) (0.352 COMP62) (0.204 COMP77)
VEGF expression inhibitor	0.191	COMP2914	(0.181 COMP2913) (0.173 COMP572)
