Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.332	COMP77	(0.269 COMP62) (0.260 COMP282) (0.232 COMP927) (0.125 COMP2915) (0.122 COMP238) (0.116 COMP2914/COMP572) (0.112 COMP2913)
Aldehyde dehydrogenase substrate	0.127	COMP927	(0.125 COMP282)
Aldose reductase substrate	0.356	COMP62	
CYP1A2 inhibitor	0.772	COMP2913	(0.716 COMP2914) (0.667 COMP572)
CYP1A2 substrate	0.784	COMP2914	(0.729 COMP2913/COMP572) (0.269 COMP77) (0.191 COMP62)
CYP24 inhibitor	0.060	COMP77	(0.024 COMP62)
CYP2B6 inhibitor	0.171	COMP2914	(0.162 COMP282) (0.152 COMP77) (0.148 COMP2913)
CYP2C19 inhibitor	0.726	COMP2913	(0.695 COMP572) (0.675 COMP2914) (0.261 COMP77)
CYP2C19 substrate	0.944	COMP2913	(0.935 COMP572) (0.917 COMP62) (0.897 COMP77) (0.886 COMP2914) (0.528 COMP282) (0.407 COMP927) (0.236 COMP238) (0.197 COMP2915)
CYP2C9 inhibitor	0.529	COMP2914	(0.522 COMP2913) (0.499 COMP572)
CYP2C9 substrate	0.793	COMP62	(0.717 COMP77) (0.462 COMP282) (0.431 COMP927) (0.430 COMP2914) (0.415 COMP572) (0.414 COMP2913) (0.241 COMP2915)
CYP2D6 substrate	0.522	COMP2913	(0.508 COMP2914) (0.488 COMP572) (0.437 COMP77) (0.380 COMP62)
CYP3A4 inhibitor	0.298	COMP2913	(0.270 COMP572) (0.258 COMP2914)
CYP3A4 substrate	0.899	COMP62	(0.883 COMP77) (0.639 COMP2914) (0.604 COMP572) (0.571 COMP2913) (0.324 COMP282) (0.262 COMP927) (0.230 COMP238) (0.211 COMP2915)
FMO1 substrate	0.214	COMP2914	
GST A substrate	0.363	COMP2914/COMP572	(0.223 COMP2913)
GST M1-1 substrate	0.432	COMP2914	(0.362 COMP572) (0.318 COMP2913)
GST T1-1 substrate	0.099	COMP2914/COMP572	
Glutathione S-transferase substrate	0.231	COMP2914	(0.208 COMP572) (0.154 COMP2913) (0.133 COMP77) (0.110 COMP62)
SULT1A1 substrate	0.171	COMP572/COMP77	(0.159 COMP2914) (0.131 COMP2913) (0.104 COMP282)
SULT1A2 substrate	0.122	COMP77	(0.099 COMP572) (0.092 COMP2914) (0.085 COMP2913) (0.079 COMP282) (0.071 COMP62)
SULT1A3 substrate	0.431	COMP572	(0.420 COMP2914) (0.290 COMP2913)
SULT1E1 substrate	0.165	COMP77	(0.146 COMP572) (0.132 COMP2913/COMP2914) (0.130 COMP282) (0.108 COMP927) (0.096 COMP238/COMP62)
SULT2A1 substrate	0.094	COMP77	(0.091 COMP282) (0.082 COMP238/COMP927) (0.064 COMP2915)
