Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.874	COMP685	(0.805 COMP708) (0.697 COMP739) (0.589 COMP691) (0.538 COMP478/COMP499/COMP513/COMP624) (0.389 COMP600) (0.362 COMP77) (0.346 COMP697) (0.325 COMP621) (0.282 COMP606) (0.252 COMP542) (0.246 COMP728) (0.231 COMP55) (0.210 COMP688/COMP723/COMP732) (0.185 COMP189/COMP639) (0.182 COMP683) (0.180 COMP602) (0.177 COMP718) (0.175 COMP192/COMP684) (0.174 COMP9) (0.164 COMP632) (0.163 COMP593/COMP627/COMP634/COMP675) (0.159 COMP62) (0.157 COMP636) (0.155 COMP493) (0.153 COMP631) (0.151 COMP596) (0.150 COMP519/COMP663/COMP680/COMP717) (0.148 COMP504/COMP733) (0.147 COMP690/COMP724) (0.146 COMP114/COMP619/COMP661) (0.144 COMP512/COMP715/COMP721) (0.141 COMP48) (0.140 COMP14/COMP488/COMP601) (0.139 COMP633/COMP672) (0.138 COMP598/COMP607/COMP618/COMP665/COMP725) (0.136 COMP238) (0.130 COMP611/COMP653) (0.129 COMP701/COMP711) (0.126 COMP616) (0.121 COMP591) (0.119 COMP322/COMP638) (0.118 COMP682/COMP698/COMP707) (0.117 COMP615/COMP620/COMP622/COMP664/COMP668) (0.116 COMP646/COMP662/COMP667) (0.115 COMP241/COMP245/COMP649/COMP671/COMP674) (0.112 COMP700) (0.110 COMP641) (0.109 COMP617/COMP637) (0.107 COMP261/COMP628/COMP629/COMP647/COMP648/COMP677) (0.106 COMP630/COMP645/COMP655) (0.104 COMP11/COMP592) (0.103 COMP623) (0.102 COMP500) (0.101 COMP242/COMP244/COMP247/COMP467/COMP586/COMP650/COMP678/COMP681/COMP702/COMP730/COMP737) (0.100 COMP599/COMP609) (0.099 COMP6/COMP640) (0.097 COMP658/COMP659/COMP670/COMP705) (0.094 COMP544) (0.093 COMP729) (0.092 COMP472/COMP477/COMP594/COMP713/COMP727) (0.091 COMP608/COMP654) (0.090 COMP547) (0.084 COMP689/COMP734) (0.082 COMP597)
AR expression inhibitor	0.991	COMP478/COMP499/COMP513/COMP624	(0.972 COMP691) (0.968 COMP685) (0.953 COMP724) (0.950 COMP706) (0.941 COMP708) (0.937 COMP48) (0.849 COMP739) (0.845 COMP688/COMP723/COMP732) (0.843 COMP733) (0.810 COMP681/COMP737) (0.807 COMP504) (0.805 COMP512/COMP715/COMP721) (0.802 COMP716) (0.771 COMP56) (0.758 COMP305) (0.754 COMP242/COMP244/COMP247/COMP467/COMP730) (0.752 COMP692) (0.743 COMP687) (0.716 COMP689) (0.714 COMP696) (0.709 COMP700) (0.706 COMP296/COMP524) (0.691 COMP472/COMP477/COMP727) (0.666 COMP238) (0.663 COMP241/COMP245) (0.661 COMP677) (0.658 COMP11) (0.653 COMP299) (0.652 COMP697) (0.650 COMP621) (0.649 COMP729) (0.631 COMP600/COMP683) (0.630 COMP738) (0.626 COMP633) (0.616 COMP734) (0.613 COMP728) (0.609 COMP14) (0.597 COMP694/COMP710) (0.580 COMP643) (0.578 COMP701/COMP711) (0.575 COMP714) (0.570 COMP693/COMP704/COMP719/COMP731) (0.569 COMP695) (0.567 COMP703) (0.564 COMP713) (0.563 COMP611) (0.562 COMP606) (0.560 COMP586/COMP678) (0.551 COMP736) (0.547 COMP722) (0.531 COMP702) (0.523 COMP725) (0.521 COMP682/COMP698/COMP707) (0.516 COMP189/COMP705) (0.513 COMP718) (0.509 COMP261) (0.506 COMP735) (0.505 COMP684) (0.504 COMP593/COMP627/COMP634/COMP672/COMP675) (0.498 COMP673) (0.495 COMP686/COMP690) (0.485 COMP77) (0.482 COMP641) (0.479 COMP62) (0.477 COMP726) (0.471 COMP317/COMP547) (0.446 COMP667) (0.440 COMP612) (0.439 COMP603) (0.438 COMP542) (0.431 COMP595) (0.414 COMP13) (0.411 COMP55) (0.409 COMP663) (0.401 COMP632) (0.396 COMP628) (0.374 COMP637) (0.372 COMP662) (0.371 COMP597/COMP631) (0.363 COMP322) (0.351 COMP680/COMP717) (0.350 COMP669) (0.347 COMP488/COMP601) (0.346 COMP519) (0.342 COMP626/COMP658) (0.337 COMP599/COMP609/COMP650) (0.336 COMP500) (0.334 COMP605/COMP666) (0.327 COMP592/COMP638) (0.326 COMP594) (0.325 COMP617) (0.321 COMP598/COMP607/COMP618/COMP665) (0.319 COMP661) (0.316 COMP636) (0.315 COMP615/COMP620/COMP622/COMP664/COMP668) (0.312 COMP630) (0.301 COMP649/COMP671/COMP674) (0.296 COMP655/COMP676) (0.295 COMP639) (0.294 COMP635) (0.291 COMP596) (0.289 COMP648) (0.283 COMP481/COMP625) (0.281 COMP588) (0.280 COMP493) (0.278 COMP616) (0.269 COMP192) (0.268 COMP6) (0.266 COMP591) (0.255 COMP114) (0.254 COMP602) (0.249 COMP608) (0.244 COMP647) (0.243 COMP640) (0.242 COMP629) (0.241 COMP653) (0.229 COMP614/COMP654/COMP659) (0.222 COMP9) (0.218 COMP619) (0.211 COMP646) (0.199 COMP670) (0.198 COMP587)
CTGF expression inhibitor	0.928	COMP48	(0.916 COMP724) (0.873 COMP317) (0.862 COMP700) (0.855 COMP641) (0.848 COMP241/COMP245) (0.819 COMP681/COMP737) (0.815 COMP586/COMP678) (0.812 COMP688/COMP723/COMP732) (0.811 COMP77) (0.807 COMP697) (0.783 COMP512/COMP715/COMP721) (0.766 COMP593/COMP627/COMP634/COMP675) (0.745 COMP718) (0.743 COMP729) (0.738 COMP733) (0.731 COMP728) (0.704 COMP478/COMP499/COMP513/COMP624/COMP701/COMP711) (0.700 COMP705) (0.699 COMP658) (0.693 COMP692) (0.691 COMP189) (0.688 COMP695) (0.686 COMP488/COMP601) (0.683 COMP725) (0.680 COMP611) (0.673 COMP606/COMP667) (0.667 COMP734) (0.664 COMP56) (0.662 COMP504/COMP519) (0.652 COMP683) (0.651 COMP14) (0.641 COMP655) (0.640 COMP261) (0.639 COMP682/COMP698/COMP707) (0.632 COMP703) (0.626 COMP632) (0.619 COMP242/COMP244/COMP247/COMP467/COMP730) (0.618 COMP305) (0.610 COMP322/COMP599/COMP609) (0.607 COMP542) (0.605 COMP716) (0.602 COMP663) (0.598 COMP673) (0.596 COMP649/COMP671/COMP674) (0.585 COMP605/COMP666) (0.581 COMP702) (0.573 COMP612) (0.570 COMP472/COMP477/COMP727) (0.561 COMP714) (0.554 COMP636) (0.553 COMP192) (0.543 COMP676) (0.540 COMP588) (0.533 COMP598/COMP607/COMP618/COMP647/COMP665) (0.531 COMP648/COMP669) (0.525 COMP597) (0.521 COMP55/COMP687) (0.520 COMP659) (0.516 COMP689) (0.512 COMP615/COMP620/COMP622/COMP664/COMP668) (0.507 COMP696) (0.502 COMP631) (0.501 COMP661) (0.500 COMP635) (0.493 COMP592/COMP638) (0.491 COMP640) (0.490 COMP680/COMP717) (0.488 COMP686) (0.475 COMP645/COMP694/COMP710) (0.472 COMP662) (0.471 COMP500) (0.461 COMP617) (0.457 COMP600/COMP643) (0.456 COMP637) (0.443 COMP604) (0.438 COMP684) (0.436 COMP706/COMP9) (0.432 COMP693/COMP704/COMP719/COMP731) (0.429 COMP626) (0.427 COMP594) (0.417 COMP713) (0.413 COMP544) (0.410 COMP672) (0.405 COMP590) (0.400 COMP644) (0.397 COMP608/COMP656) (0.396 COMP591) (0.395 COMP654) (0.394 COMP625) (0.386 COMP596/COMP646) (0.384 COMP629) (0.383 COMP613/COMP621) (0.381 COMP642) (0.379 COMP614) (0.377 COMP595) (0.376 COMP616) (0.370 COMP670) (0.368 COMP481) (0.366 COMP650) (0.365 COMP653) (0.364 COMP587) (0.358 COMP493) (0.353 COMP114) (0.347 COMP639) (0.342 COMP6) (0.337 COMP610) (0.333 COMP603) (0.330 COMP602/COMP630) (0.312 COMP628) (0.311 COMP13) (0.310 COMP623) (0.306 COMP690) (0.305 COMP736) (0.303 COMP619/COMP708) (0.302 COMP296/COMP524) (0.299 COMP738) (0.284 COMP62) (0.278 COMP651) (0.276 COMP660) (0.267 COMP11/COMP677) (0.265 COMP633) (0.264 COMP547/COMP657) (0.259 COMP722) (0.257 COMP691) (0.256 COMP735) (0.223 COMP299) (0.207 COMP685) (0.196 COMP652) (0.191 COMP238)
GRP78 expression inhibitor	0.053	COMP676	(0.052 COMP673) (0.050 COMP706) (0.048 COMP189) (0.043 COMP644) (0.039 COMP680/COMP717/COMP729) (0.038 COMP55/COMP631) (0.037 COMP611/COMP718) (0.034 COMP542/COMP610/COMP636/COMP693/COMP704/COMP719/COMP731) (0.033 COMP593/COMP627/COMP634/COMP662/COMP667/COMP675/COMP683) (0.032 COMP659) (0.031 COMP694/COMP710) (0.030 COMP322/COMP519/COMP600/COMP613/COMP725) (0.029 COMP192/COMP597) (0.028 COMP500/COMP590/COMP614) (0.027 COMP488/COMP493/COMP601/COMP696) (0.026 COMP606/COMP653) (0.025 COMP114/COMP305/COMP587/COMP596/COMP617/COMP646/COMP658/COMP663/COMP669) (0.023 COMP599/COMP609/COMP625/COMP629) (0.022 COMP481/COMP592/COMP619/COMP626/COMP638/COMP661/COMP9) (0.021 COMP628/COMP642/COMP655/COMP697/COMP716) (0.020 COMP241/COMP245/COMP544/COMP56/COMP591/COMP605/COMP616/COMP635/COMP650/COMP666/COMP684/COMP738)
ICAM1 expression inhibitor	0.688	COMP238	(0.654 COMP677) (0.610 COMP694/COMP710) (0.609 COMP693/COMP704/COMP719/COMP731) (0.581 COMP305) (0.578 COMP56) (0.576 COMP692/COMP716) (0.566 COMP722) (0.560 COMP48/COMP735) (0.559 COMP738) (0.556 COMP724) (0.552 COMP687) (0.535 COMP684) (0.525 COMP696) (0.524 COMP700/COMP708) (0.516 COMP241/COMP245) (0.501 COMP739) (0.499 COMP690) (0.496 COMP726) (0.495 COMP62) (0.493 COMP725) (0.480 COMP701/COMP711) (0.476 COMP697) (0.471 COMP586/COMP633/COMP678) (0.470 COMP705) (0.468 COMP729) (0.466 COMP493) (0.465 COMP691) (0.463 COMP651) (0.460 COMP703) (0.459 COMP189) (0.458 COMP734) (0.457 COMP681/COMP685/COMP737) (0.454 COMP688/COMP723/COMP732) (0.446 COMP683) (0.443 COMP655/COMP661) (0.442 COMP598/COMP607/COMP618/COMP665) (0.440 COMP649/COMP662/COMP671/COMP674) (0.437 COMP718) (0.436 COMP593/COMP627/COMP634/COMP675) (0.435 COMP606) (0.434 COMP706) (0.432 COMP615/COMP620/COMP622/COMP664/COMP668) (0.429 COMP512/COMP682/COMP698/COMP707/COMP715/COMP721/COMP728) (0.427 COMP6) (0.424 COMP641) (0.421 COMP630/COMP713) (0.419 COMP596) (0.418 COMP733) (0.417 COMP714) (0.413 COMP77) (0.412 COMP504/COMP616) (0.411 COMP612/COMP702) (0.409 COMP591) (0.408 COMP594/COMP647) (0.406 COMP542) (0.405 COMP544) (0.404 COMP602) (0.400 COMP646) (0.399 COMP599/COMP609) (0.392 COMP648) (0.388 COMP299) (0.387 COMP611) (0.386 COMP114/COMP629) (0.385 COMP631) (0.380 COMP261) (0.379 COMP673) (0.378 COMP663) (0.374 COMP242/COMP244/COMP247/COMP467/COMP730) (0.372 COMP322/COMP680/COMP717) (0.368 COMP626) (0.364 COMP481) (0.363 COMP619) (0.360 COMP9) (0.359 COMP472/COMP477/COMP597/COMP637/COMP727) (0.357 COMP192) (0.354 COMP317/COMP488/COMP601) (0.353 COMP547) (0.351 COMP603) (0.349 COMP695) (0.348 COMP519/COMP614/COMP639/COMP736) (0.346 COMP613) (0.343 COMP689) (0.340 COMP296/COMP524) (0.337 COMP650/COMP667) (0.335 COMP676) (0.333 COMP654) (0.317 COMP500) (0.312 COMP13) (0.311 COMP653) (0.304 COMP640) (0.303 COMP686) (0.301 COMP600) (0.292 COMP632) (0.290 COMP55/COMP587) (0.284 COMP636) (0.270 COMP669) (0.264 COMP642) (0.260 COMP643) (0.259 COMP592/COMP638) (0.256 COMP608) (0.246 COMP11) (0.243 COMP617) (0.242 COMP670) (0.238 COMP621/COMP628) (0.235 COMP625) (0.231 COMP652) (0.221 COMP658) (0.196 COMP590) (0.189 COMP588)
LDLR expression enhancer	0.628	COMP701/COMP711	(0.616 COMP688/COMP723/COMP732) (0.603 COMP682/COMP698/COMP707) (0.523 COMP702) (0.486 COMP705) (0.431 COMP685) (0.414 COMP733) (0.413 COMP691) (0.393 COMP504/COMP512/COMP715/COMP721) (0.369 COMP708) (0.365 COMP724/COMP77) (0.349 COMP48) (0.347 COMP734) (0.345 COMP586/COMP678) (0.316 COMP700) (0.315 COMP681/COMP737) (0.307 COMP728) (0.303 COMP655) (0.297 COMP241/COMP245) (0.296 COMP714) (0.289 COMP242/COMP244/COMP247/COMP467/COMP730) (0.277 COMP703) (0.273 COMP296/COMP524) (0.272 COMP261/COMP683) (0.268 COMP472/COMP477/COMP727) (0.264 COMP739) (0.253 COMP641) (0.252 COMP729) (0.250 COMP689) (0.249 COMP697) (0.247 COMP725) (0.246 COMP684) (0.243 COMP722) (0.240 COMP592) (0.238 COMP695) (0.237 COMP299) (0.236 COMP617) (0.229 COMP616) (0.228 COMP606) (0.227 COMP488/COMP601) (0.225 COMP544) (0.224 COMP659) (0.223 COMP519/COMP9) (0.221 COMP663) (0.219 COMP623) (0.218 COMP667) (0.215 COMP638) (0.214 COMP11) (0.211 COMP643) (0.209 COMP735) (0.208 COMP322) (0.206 COMP636) (0.203 COMP600) (0.198 COMP500) (0.196 COMP605/COMP608/COMP631/COMP666) (0.194 COMP673) (0.192 COMP645) (0.190 COMP626) (0.189 COMP189) (0.186 COMP658) (0.185 COMP612) (0.179 COMP192/COMP628) (0.178 COMP593/COMP627/COMP633/COMP634/COMP675) (0.177 COMP603) (0.175 COMP736) (0.174 COMP718) (0.173 COMP632) (0.172 COMP317/COMP614/COMP621/COMP662/COMP669) (0.171 COMP635/COMP644) (0.170 COMP599/COMP609/COMP680/COMP717) (0.168 COMP542/COMP597/COMP613) (0.166 COMP6) (0.165 COMP637/COMP657) (0.161 COMP590) (0.160 COMP625) (0.159 COMP493/COMP611/COMP690) (0.158 COMP238/COMP598/COMP607/COMP618/COMP665) (0.156 COMP639) (0.155 COMP653) (0.154 COMP610) (0.153 COMP661/COMP670) (0.151 COMP615/COMP620/COMP622/COMP646/COMP664/COMP668) (0.150 COMP647/COMP649/COMP671/COMP674) (0.149 COMP642) (0.145 COMP687) (0.144 COMP629) (0.142 COMP602) (0.141 COMP686) (0.137 COMP619/COMP640) (0.135 COMP591/COMP596)
NOS2 expression inhibitor	0.958	COMP56	(0.954 COMP738) (0.951 COMP687) (0.949 COMP305/COMP716) (0.938 COMP722) (0.935 COMP696) (0.929 COMP735) (0.926 COMP692) (0.903 COMP48) (0.900 COMP694/COMP710) (0.882 COMP693/COMP704/COMP719/COMP731) (0.869 COMP724) (0.857 COMP681/COMP737) (0.826 COMP701/COMP711) (0.822 COMP512/COMP715/COMP721) (0.801 COMP682/COMP698/COMP707) (0.790 COMP705) (0.767 COMP62/COMP733) (0.762 COMP242/COMP244/COMP247/COMP467/COMP730) (0.759 COMP689) (0.742 COMP688/COMP723/COMP732) (0.731 COMP472/COMP477/COMP727) (0.710 COMP734) (0.706 COMP702) (0.702 COMP586/COMP678) (0.699 COMP700) (0.690 COMP504) (0.668 COMP241/COMP245/COMP726) (0.650 COMP299) (0.640 COMP296/COMP524) (0.631 COMP714) (0.626 COMP261) (0.622 COMP703) (0.614 COMP691) (0.604 COMP547) (0.603 COMP77) (0.596 COMP238/COMP686) (0.561 COMP677) (0.558 COMP641/COMP697) (0.555 COMP728) (0.552 COMP736) (0.530 COMP633) (0.527 COMP725) (0.504 COMP729) (0.495 COMP695) (0.488 COMP11) (0.479 COMP603) (0.469 COMP684) (0.461 COMP708) (0.459 COMP643) (0.452 COMP13) (0.449 COMP718) (0.448 COMP612) (0.447 COMP595) (0.445 COMP593/COMP625/COMP627/COMP634/COMP675) (0.441 COMP611/COMP637) (0.440 COMP606/COMP673) (0.433 COMP542/COMP632) (0.431 COMP599/COMP609/COMP685) (0.427 COMP317) (0.426 COMP189) (0.423 COMP663) (0.422 COMP600/COMP628/COMP639) (0.420 COMP638) (0.419 COMP192/COMP690) (0.413 COMP646/COMP653) (0.411 COMP683) (0.408 COMP493/COMP630) (0.402 COMP6) (0.401 COMP481/COMP617) (0.400 COMP500) (0.399 COMP662) (0.397 COMP592/COMP615/COMP616/COMP620/COMP622/COMP664/COMP668) (0.396 COMP594/COMP614) (0.395 COMP713) (0.392 COMP605/COMP666/COMP667) (0.391 COMP672) (0.387 COMP602/COMP661) (0.385 COMP591) (0.384 COMP598/COMP607/COMP618/COMP665) (0.383 COMP597) (0.382 COMP680/COMP717) (0.381 COMP596) (0.380 COMP519/COMP619/COMP669) (0.379 COMP647) (0.376 COMP488/COMP601/COMP648/COMP706) (0.373 COMP636) (0.371 COMP659) (0.369 COMP544) (0.368 COMP635/COMP650) (0.367 COMP655) (0.361 COMP322/COMP649/COMP671/COMP674) (0.358 COMP9) (0.357 COMP626) (0.353 COMP676) (0.352 COMP590) (0.349 COMP670) (0.340 COMP629) (0.334 COMP631) (0.327 COMP644) (0.321 COMP55/COMP608) (0.317 COMP654) (0.313 COMP640) (0.311 COMP613) (0.296 COMP657) (0.290 COMP478/COMP499/COMP513/COMP624/COMP739) (0.282 COMP658) (0.281 COMP14) (0.280 COMP610) (0.271 COMP114) (0.267 COMP621) (0.243 COMP642) (0.239 COMP623) (0.232 COMP651) (0.202 COMP604) (0.198 COMP588) (0.180 COMP587)
NOS3 expression enhancer	0.838	COMP714	(0.803 COMP706) (0.794 COMP734) (0.772 COMP703) (0.771 COMP702) (0.760 COMP695) (0.753 COMP682/COMP698/COMP707) (0.746 COMP705) (0.738 COMP735) (0.735 COMP701/COMP711) (0.731 COMP722) (0.728 COMP716) (0.721 COMP56) (0.718 COMP305) (0.717 COMP724) (0.707 COMP688/COMP723/COMP732) (0.703 COMP48) (0.694 COMP692) (0.691 COMP687) (0.682 COMP733) (0.678 COMP694/COMP710) (0.674 COMP504) (0.672 COMP697) (0.668 COMP512/COMP715/COMP721) (0.667 COMP693/COMP704/COMP719/COMP731) (0.655 COMP696) (0.641 COMP681/COMP737) (0.637 COMP700) (0.628 COMP738) (0.605 COMP242/COMP244/COMP247/COMP467/COMP730) (0.586 COMP241/COMP245) (0.585 COMP600) (0.552 COMP728) (0.538 COMP689) (0.503 COMP472/COMP477/COMP727) (0.435 COMP683) (0.429 COMP729) (0.396 COMP586/COMP678) (0.380 COMP726) (0.365 COMP62) (0.314 COMP606) (0.309 COMP736) (0.302 COMP261) (0.275 COMP725) (0.263 COMP77) (0.239 COMP612) (0.211 COMP641) (0.206 COMP643) (0.203 COMP631) (0.199 COMP322) (0.191 COMP317) (0.186 COMP189) (0.182 COMP13) (0.175 COMP603/COMP658) (0.171 COMP11) (0.140 COMP633) (0.139 COMP684) (0.137 COMP645) (0.131 COMP616) (0.129 COMP608/COMP9) (0.119 COMP542/COMP655)
NOS3 expression inhibitor	0.910	COMP77	(0.893 COMP62) (0.841 COMP305) (0.839 COMP716) (0.837 COMP56) (0.831 COMP724) (0.827 COMP48) (0.821 COMP693/COMP704/COMP719/COMP731) (0.820 COMP694/COMP710) (0.801 COMP687) (0.788 COMP692) (0.772 COMP738) (0.766 COMP735) (0.743 COMP722) (0.717 COMP696) (0.708 COMP189) (0.704 COMP700) (0.699 COMP241/COMP245) (0.696 COMP672) (0.674 COMP512/COMP715/COMP721/COMP733) (0.671 COMP681/COMP737) (0.664 COMP593/COMP627/COMP634/COMP675/COMP688/COMP723/COMP732) (0.658 COMP606/COMP718) (0.644 COMP614) (0.638 COMP261) (0.636 COMP705) (0.624 COMP242/COMP244/COMP247/COMP467/COMP730) (0.623 COMP504) (0.622 COMP726) (0.594 COMP592/COMP638) (0.590 COMP706) (0.589 COMP689) (0.588 COMP701/COMP711) (0.584 COMP617) (0.582 COMP680/COMP682/COMP698/COMP707/COMP717) (0.574 COMP472/COMP477/COMP586/COMP678/COMP727) (0.557 COMP55) (0.556 COMP11) (0.545 COMP542) (0.526 COMP697) (0.525 COMP643) (0.518 COMP655) (0.517 COMP641/COMP729) (0.516 COMP703) (0.511 COMP702) (0.510 COMP667) (0.507 COMP695) (0.505 COMP734) (0.504 COMP714) (0.493 COMP673) (0.486 COMP488/COMP601) (0.482 COMP603/COMP632/COMP663) (0.478 COMP13) (0.477 COMP725) (0.470 COMP238) (0.467 COMP519/COMP611) (0.465 COMP600) (0.462 COMP615/COMP620/COMP622/COMP664/COMP668) (0.461 COMP625) (0.460 COMP599/COMP609) (0.454 COMP686) (0.453 COMP677) (0.452 COMP612) (0.448 COMP636) (0.446 COMP736) (0.444 COMP500) (0.433 COMP683/COMP713) (0.431 COMP619) (0.429 COMP728) (0.427 COMP653) (0.425 COMP597) (0.424 COMP676) (0.415 COMP649/COMP671/COMP674) (0.405 COMP605/COMP666) (0.402 COMP594) (0.395 COMP192) (0.388 COMP637) (0.384 COMP296/COMP524) (0.373 COMP684) (0.371 COMP648) (0.369 COMP598/COMP607/COMP618/COMP665) (0.368 COMP322) (0.367 COMP708) (0.366 COMP317) (0.363 COMP633) (0.362 COMP669) (0.353 COMP628) (0.351 COMP493) (0.349 COMP626) (0.347 COMP602) (0.344 COMP9) (0.342 COMP661/COMP662) (0.332 COMP630/COMP646) (0.331 COMP635) (0.329 COMP647) (0.320 COMP629) (0.315 COMP616) (0.314 COMP114/COMP596/COMP631) (0.309 COMP478/COMP499/COMP513/COMP624) (0.308 COMP659) (0.301 COMP639) (0.296 COMP657) (0.294 COMP299) (0.290 COMP591) (0.287 COMP544) (0.285 COMP739) (0.283 COMP690) (0.271 COMP654) (0.269 COMP481) (0.265 COMP623) (0.264 COMP608) (0.261 COMP640) (0.257 COMP670) (0.234 COMP587) (0.228 COMP691) (0.218 COMP650) (0.200 COMP547) (0.194 COMP613) (0.189 COMP14)
TNF expression inhibitor	0.966	COMP738	(0.951 COMP56) (0.942 COMP62/COMP692) (0.939 COMP687) (0.938 COMP708/COMP716) (0.937 COMP305) (0.933 COMP694/COMP710) (0.920 COMP693/COMP704/COMP719/COMP731) (0.905 COMP685) (0.899 COMP77) (0.887 COMP296/COMP524) (0.877 COMP48/COMP696) (0.870 COMP11) (0.862 COMP722/COMP739) (0.859 COMP691) (0.858 COMP299) (0.849 COMP724) (0.829 COMP735) (0.819 COMP688/COMP723/COMP732) (0.809 COMP238) (0.805 COMP633) (0.797 COMP681/COMP737) (0.791 COMP676) (0.785 COMP592) (0.773 COMP606) (0.772 COMP697) (0.764 COMP700) (0.763 COMP593/COMP627/COMP634/COMP672/COMP675) (0.762 COMP617) (0.760 COMP728) (0.741 COMP718) (0.737 COMP542/COMP586/COMP678) (0.733 COMP605/COMP666) (0.732 COMP726) (0.730 COMP241/COMP245) (0.707 COMP677) (0.705 COMP638) (0.695 COMP512/COMP715/COMP721) (0.678 COMP189) (0.671 COMP637) (0.669 COMP600) (0.666 COMP615/COMP620/COMP622/COMP664/COMP668) (0.663 COMP261) (0.661 COMP643) (0.660 COMP504) (0.658 COMP13) (0.651 COMP733) (0.648 COMP680/COMP717) (0.646 COMP684) (0.642 COMP602/COMP632/COMP641) (0.640 COMP701/COMP711) (0.635 COMP625) (0.632 COMP603/COMP611) (0.629 COMP686) (0.623 COMP673/COMP734) (0.616 COMP599/COMP609) (0.615 COMP598/COMP607/COMP618/COMP665) (0.613 COMP639) (0.612 COMP493) (0.611 COMP729) (0.609 COMP594) (0.607 COMP619) (0.601 COMP705) (0.600 COMP635/COMP649/COMP671/COMP674) (0.599 COMP725) (0.598 COMP661) (0.597 COMP690) (0.595 COMP614) (0.592 COMP630/COMP667) (0.590 COMP488/COMP601/COMP663) (0.584 COMP683) (0.582 COMP596) (0.578 COMP629/COMP662) (0.575 COMP612) (0.573 COMP519) (0.572 COMP55/COMP713) (0.567 COMP500/COMP646) (0.563 COMP653) (0.557 COMP242/COMP244/COMP247/COMP467/COMP636/COMP730) (0.554 COMP695) (0.540 COMP481/COMP647) (0.539 COMP658/COMP703/COMP706) (0.536 COMP648) (0.535 COMP616) (0.534 COMP714) (0.533 COMP654) (0.528 COMP682/COMP698/COMP707) (0.525 COMP628) (0.523 COMP472/COMP477/COMP727/COMP736) (0.517 COMP322/COMP642) (0.514 COMP655) (0.510 COMP597) (0.506 COMP591/COMP702) (0.505 COMP621/COMP669) (0.501 COMP659) (0.499 COMP544) (0.496 COMP6) (0.495 COMP317) (0.493 COMP547) (0.487 COMP689) (0.485 COMP626) (0.469 COMP9) (0.464 COMP631) (0.461 COMP623) (0.460 COMP192) (0.457 COMP657) (0.448 COMP478/COMP499/COMP513/COMP624) (0.431 COMP590) (0.425 COMP644) (0.398 COMP608) (0.396 COMP613) (0.391 COMP640) (0.353 COMP610) (0.349 COMP670) (0.342 COMP114) (0.341 COMP650) (0.325 COMP595) (0.307 COMP14) (0.289 COMP587) (0.259 COMP651) (0.254 COMP604) (0.247 COMP588) (0.205 COMP660)
