Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.541 COMP11) (0.534 COMP606) (0.532 COMP296/COMP524) (0.507 COMP593/COMP627/COMP634/COMP675) (0.500 COMP13) (0.497 COMP718) (0.495 COMP592/COMP599/COMP609) (0.488 COMP672) (0.484 COMP603/COMP617) (0.479 COMP542) (0.478 COMP663) (0.476 COMP632/COMP638) (0.473 COMP189) (0.472 COMP594) (0.468 COMP633) (0.465 COMP488/COMP500/COMP601) (0.462 COMP299) (0.461 COMP615/COMP620/COMP622/COMP664/COMP668) (0.455 COMP641/COMP643/COMP691) (0.454 COMP647) (0.453 COMP238/COMP519/COMP653) (0.452 COMP649/COMP671/COMP674) (0.447 COMP600) (0.442 COMP636) (0.441 COMP667) (0.440 COMP684) (0.439 COMP646) (0.438 COMP725) (0.436 COMP62) (0.435 COMP680/COMP717) (0.432 COMP55/COMP614) (0.431 COMP628/COMP629/COMP637) (0.429 COMP611/COMP697) (0.427 COMP602) (0.422 COMP706) (0.421 COMP650) (0.412 COMP619) (0.410 COMP598/COMP607/COMP618/COMP630/COMP665) (0.408 COMP625/COMP686) (0.407 COMP683/COMP708) (0.405 COMP547) (0.396 COMP639) (0.395 COMP661/COMP713) (0.391 COMP631/COMP648) (0.389 COMP605/COMP666) (0.387 COMP677) (0.386 COMP669) (0.385 COMP322) (0.384 COMP728) (0.380 COMP596) (0.379 COMP659/COMP676/COMP729) (0.372 COMP241/COMP245) (0.371 COMP662) (0.369 COMP261) (0.368 COMP586/COMP678) (0.366 COMP6) (0.365 COMP493) (0.361 COMP685) (0.358 COMP478/COMP499/COMP513/COMP624) (0.353 COMP192) (0.352 COMP695) (0.349 COMP726) (0.347 COMP597) (0.346 COMP612/COMP635/COMP688/COMP723/COMP732) (0.345 COMP700) (0.340 COMP673) (0.335 COMP644) (0.334 COMP595) (0.327 COMP114/COMP739) (0.326 COMP640) (0.324 COMP626/COMP642) (0.323 COMP608) (0.319 COMP613) (0.318 COMP512/COMP715/COMP721) (0.300 COMP621/COMP655) (0.298 COMP623) (0.293 COMP734) (0.292 COMP733) (0.277 COMP591/COMP616/COMP654) (0.265 COMP481) (0.261 COMP658) (0.259 COMP657/COMP681/COMP737) (0.254 COMP705) (0.252 COMP590) (0.248 COMP701/COMP711) (0.246 COMP504) (0.244 COMP317) (0.241 COMP610) (0.240 COMP670) (0.238 COMP587) (0.234 COMP14) (0.232 COMP9) (0.225 COMP604) (0.222 COMP242/COMP244/COMP247/COMP467/COMP730) (0.217 COMP588) (0.209 COMP703) (0.205 COMP544) (0.201 COMP48/COMP714) (0.199 COMP472/COMP477/COMP727) (0.191 COMP656) (0.187 COMP724) (0.183 COMP690) (0.181 COMP689) (0.176 COMP693/COMP704/COMP719/COMP731) (0.170 COMP651/COMP682/COMP698/COMP707) (0.160 COMP694/COMP710) (0.153 COMP652)
Carcinogenic	0.959	COMP62	(0.951 COMP645) (0.925 COMP716/COMP77) (0.912 COMP56) (0.910 COMP708) (0.898 COMP305) (0.895 COMP692) (0.890 COMP11) (0.852 COMP687) (0.847 COMP299) (0.836 COMP296/COMP524) (0.830 COMP739) (0.822 COMP633) (0.818 COMP650) (0.814 COMP685) (0.798 COMP738) (0.794 COMP691) (0.790 COMP724) (0.788 COMP733) (0.773 COMP696) (0.756 COMP600) (0.753 COMP48) (0.751 COMP694/COMP710) (0.750 COMP512/COMP715/COMP721) (0.744 COMP637) (0.739 COMP688/COMP723/COMP732) (0.731 COMP478/COMP499/COMP513/COMP624) (0.720 COMP693/COMP704/COMP719/COMP731) (0.715 COMP632) (0.713 COMP606) (0.699 COMP614) (0.693 COMP55) (0.671 COMP547/COMP619) (0.664 COMP592) (0.647 COMP595/COMP617/COMP706) (0.631 COMP689) (0.626 COMP639) (0.624 COMP655) (0.614 COMP317) (0.606 COMP680/COMP717) (0.604 COMP472/COMP477/COMP598/COMP607/COMP618/COMP665/COMP727) (0.602 COMP593/COMP627/COMP634/COMP675) (0.597 COMP697) (0.594 COMP638) (0.588 COMP242/COMP244/COMP247/COMP467/COMP730) (0.586 COMP661) (0.585 COMP672) (0.583 COMP718) (0.571 COMP594/COMP649/COMP671/COMP674) (0.570 COMP504) (0.569 COMP726) (0.566 COMP488/COMP601) (0.560 COMP647) (0.559 COMP605/COMP666) (0.558 COMP643) (0.548 COMP615/COMP620/COMP622/COMP664/COMP668/COMP681/COMP737) (0.547 COMP629) (0.543 COMP630/COMP653) (0.542 COMP519) (0.535 COMP596) (0.532 COMP628) (0.531 COMP261) (0.522 COMP683) (0.510 COMP663/COMP735) (0.507 COMP603) (0.504 COMP493) (0.503 COMP500) (0.498 COMP673) (0.496 COMP542/COMP636) (0.484 COMP646) (0.482 COMP722) (0.480 COMP189) (0.471 COMP725) (0.461 COMP728) (0.458 COMP604/COMP611) (0.450 COMP621) (0.449 COMP602) (0.447 COMP700) (0.446 COMP729) (0.443 COMP640) (0.438 COMP713) (0.436 COMP613) (0.422 COMP114) (0.419 COMP599/COMP609) (0.413 COMP658) (0.412 COMP631) (0.411 COMP648) (0.407 COMP625) (0.405 COMP241/COMP245/COMP684) (0.400 COMP641) (0.386 COMP238) (0.384 COMP677) (0.383 COMP608) (0.382 COMP591) (0.372 COMP667) (0.365 COMP322) (0.363 COMP481) (0.360 COMP662) (0.337 COMP192) (0.329 COMP6) (0.307 COMP659) (0.301 COMP635) (0.298 COMP686) (0.297 COMP588) (0.292 COMP651) (0.290 COMP695) (0.288 COMP654) (0.287 COMP734) (0.283 COMP610/COMP9) (0.282 COMP13) (0.280 COMP676) (0.279 COMP612) (0.273 COMP623) (0.270 COMP586/COMP678) (0.259 COMP690) (0.257 COMP644) (0.256 COMP14) (0.250 COMP736) (0.248 COMP616) (0.243 COMP705) (0.233 COMP590) (0.229 COMP701/COMP711) (0.225 COMP597) (0.222 COMP642) (0.218 COMP626) (0.214 COMP544) (0.210 COMP652) (0.204 COMP657/COMP669) (0.198 COMP670) (0.192 COMP703) (0.190 COMP682/COMP698/COMP707/COMP714) (0.152 COMP656) (0.150 COMP702)
Carcinogenic. group 1	0.725	COMP644	(0.633 COMP673) (0.611 COMP650) (0.608 COMP189) (0.607 COMP658) (0.517 COMP718) (0.507 COMP729) (0.493 COMP680/COMP717) (0.477 COMP600) (0.465 COMP305) (0.461 COMP593/COMP627/COMP634/COMP675) (0.444 COMP687) (0.438 COMP641) (0.436 COMP716) (0.429 COMP519) (0.428 COMP693/COMP704/COMP719/COMP731) (0.426 COMP192) (0.417 COMP590) (0.407 COMP610/COMP667) (0.406 COMP613) (0.394 COMP636) (0.393 COMP56) (0.389 COMP623/COMP695) (0.385 COMP653) (0.383 COMP488/COMP601) (0.382 COMP614) (0.381 COMP694/COMP710) (0.379 COMP542/COMP603) (0.370 COMP657) (0.369 COMP617) (0.368 COMP599/COMP609) (0.362 COMP611/COMP631) (0.361 COMP322/COMP597) (0.356 COMP14) (0.353 COMP649/COMP671/COMP674) (0.352 COMP606/COMP662) (0.350 COMP643/COMP659) (0.337 COMP628/COMP663) (0.335 COMP648) (0.333 COMP661) (0.331 COMP592/COMP638) (0.328 COMP55) (0.324 COMP670) (0.323 COMP645) (0.321 COMP626) (0.315 COMP640/COMP683) (0.314 COMP241/COMP245) (0.311 COMP500/COMP625) (0.309 COMP669) (0.307 COMP596/COMP646) (0.306 COMP261/COMP588) (0.304 COMP619/COMP697) (0.302 COMP591) (0.299 COMP493) (0.298 COMP598/COMP604/COMP607/COMP618/COMP647/COMP665) (0.296 COMP629) (0.295 COMP481) (0.294 COMP724) (0.292 COMP615/COMP620/COMP622/COMP664/COMP668) (0.291 COMP586/COMP678/COMP725/COMP9) (0.290 COMP728) (0.282 COMP700) (0.275 COMP654) (0.274 COMP317) (0.271 COMP651) (0.268 COMP48) (0.267 COMP478/COMP499/COMP513/COMP624) (0.266 COMP594) (0.262 COMP734) (0.259 COMP608) (0.254 COMP605/COMP635/COMP666) (0.251 COMP639) (0.245 COMP602/COMP630) (0.242 COMP616) (0.238 COMP632) (0.232 COMP642) (0.228 COMP544) (0.222 COMP738) (0.221 COMP692) (0.220 COMP612/COMP676) (0.205 COMP296/COMP524) (0.202 COMP656) (0.198 COMP655) (0.197 COMP6/COMP714) (0.195 COMP547/COMP684/COMP706) (0.193 COMP637) (0.192 COMP672/COMP691) (0.191 COMP11) (0.190 COMP733) (0.182 COMP703) (0.180 COMP696) (0.176 COMP512/COMP587/COMP715/COMP721) (0.173 COMP595/COMP722/COMP735) (0.170 COMP681/COMP737) (0.168 COMP299) (0.162 COMP690) (0.158 COMP114/COMP660) (0.156 COMP633) (0.143 COMP621/COMP701/COMP705/COMP711) (0.140 COMP652)
Carcinogenic. group 2A	0.470	COMP651	(0.356 COMP644) (0.335 COMP600) (0.326 COMP658) (0.314 COMP590) (0.313 COMP650) (0.279 COMP729) (0.271 COMP659) (0.270 COMP693/COMP704/COMP719/COMP731) (0.268 COMP642) (0.259 COMP643) (0.249 COMP626) (0.246 COMP613) (0.241 COMP694/COMP710) (0.238 COMP192/COMP610) (0.237 COMP629) (0.229 COMP631) (0.225 COMP322) (0.224 COMP603/COMP662) (0.220 COMP667) (0.219 COMP493) (0.217 COMP614) (0.216 COMP636) (0.214 COMP628) (0.204 COMP670) (0.200 COMP481) (0.199 COMP14) (0.198 COMP588/COMP696) (0.196 COMP519) (0.195 COMP687) (0.189 COMP669/COMP695) (0.187 COMP738/COMP9) (0.186 COMP597/COMP716) (0.185 COMP604) (0.184 COMP189/COMP305/COMP680/COMP717) (0.183 COMP261) (0.182 COMP734) (0.177 COMP488/COMP601) (0.176 COMP683) (0.174 COMP706) (0.173 COMP645/COMP653) (0.167 COMP646) (0.166 COMP500) (0.160 COMP317/COMP611) (0.158 COMP241/COMP245/COMP56) (0.157 COMP625) (0.154 COMP619) (0.151 COMP608) (0.149 COMP591/COMP599/COMP609/COMP722/COMP735) (0.148 COMP11/COMP656/COMP663) (0.147 COMP623) (0.145 COMP478/COMP499/COMP513/COMP624) (0.144 COMP616) (0.143 COMP586/COMP678) (0.140 COMP596/COMP700/COMP718/COMP728) (0.137 COMP6/COMP617) (0.136 COMP296/COMP524) (0.132 COMP605/COMP635/COMP666) (0.131 COMP640) (0.130 COMP615/COMP620/COMP622/COMP664/COMP668/COMP714/COMP725) (0.127 COMP544) (0.126 COMP612) (0.124 COMP733) (0.122 COMP114/COMP593/COMP627/COMP634/COMP661/COMP675) (0.121 COMP691/COMP697) (0.120 COMP602/COMP703) (0.119 COMP592/COMP638) (0.118 COMP55/COMP672) (0.117 COMP606) (0.114 COMP657) (0.111 COMP542/COMP632) (0.109 COMP681/COMP737) (0.106 COMP547) (0.103 COMP598/COMP607/COMP618/COMP647/COMP649/COMP665/COMP671/COMP674) (0.102 COMP654) (0.096 COMP512/COMP715/COMP721) (0.095 COMP648) (0.093 COMP630) (0.089 COMP690) (0.087 COMP684) (0.086 COMP673) (0.085 COMP641) (0.079 COMP724) (0.078 COMP639) (0.076 COMP621) (0.075 COMP676) (0.074 COMP595) (0.073 COMP660)
Carcinogenic. group 2B	0.965	COMP645	(0.732 COMP600) (0.524 COMP261) (0.517 COMP493) (0.496 COMP729) (0.495 COMP697) (0.484 COMP644) (0.474 COMP604) (0.440 COMP658) (0.426 COMP629) (0.406 COMP662) (0.393 COMP317) (0.382 COMP628) (0.373 COMP481/COMP673) (0.358 COMP680/COMP717) (0.354 COMP651) (0.352 COMP588) (0.336 COMP613) (0.334 COMP14) (0.327 COMP650) (0.316 COMP614) (0.311 COMP619) (0.308 COMP700) (0.306 COMP591) (0.288 COMP643) (0.286 COMP241/COMP245/COMP617) (0.282 COMP596) (0.279 COMP728) (0.278 COMP694/COMP710) (0.273 COMP611) (0.270 COMP696) (0.266 COMP646) (0.261 COMP661) (0.258 COMP693/COMP704/COMP719/COMP731) (0.257 COMP478/COMP499/COMP513/COMP624) (0.255 COMP192) (0.253 COMP626) (0.249 COMP667) (0.248 COMP189/COMP636/COMP638) (0.245 COMP592) (0.237 COMP602) (0.235 COMP55/COMP590/COMP725) (0.232 COMP519/COMP718) (0.230 COMP631) (0.227 COMP598/COMP607/COMP618/COMP665) (0.226 COMP48) (0.225 COMP612) (0.223 COMP322/COMP542/COMP597) (0.222 COMP606) (0.221 COMP670) (0.218 COMP586/COMP678) (0.216 COMP615/COMP620/COMP622/COMP664/COMP668) (0.211 COMP11) (0.207 COMP305) (0.205 COMP683) (0.204 COMP695) (0.203 COMP488/COMP593/COMP601/COMP610/COMP627/COMP634/COMP675) (0.202 COMP56) (0.200 COMP659) (0.198 COMP625) (0.195 COMP738) (0.191 COMP724) (0.189 COMP653) (0.188 COMP641) (0.187 COMP630) (0.185 COMP633) (0.183 COMP9) (0.180 COMP639) (0.178 COMP672) (0.177 COMP706) (0.172 COMP642/COMP716) (0.170 COMP663) (0.169 COMP637/COMP681/COMP737) (0.168 COMP500) (0.166 COMP603) (0.164 COMP669) (0.163 COMP648) (0.162 COMP114) (0.157 COMP726/COMP734) (0.156 COMP299) (0.155 COMP595/COMP655) (0.152 COMP632/COMP647/COMP649/COMP671/COMP674) (0.148 COMP684) (0.146 COMP656) (0.145 COMP547) (0.143 COMP621) (0.138 COMP296/COMP524) (0.137 COMP599/COMP609) (0.136 COMP13) (0.130 COMP616/COMP654) (0.127 COMP690) (0.124 COMP605/COMP666) (0.118 COMP635) (0.117 COMP512/COMP715/COMP721) (0.114 COMP692) (0.112 COMP6) (0.108 COMP544/COMP687) (0.107 COMP640) (0.103 COMP594) (0.101 COMP608) (0.100 COMP623) (0.094 COMP705) (0.092 COMP691) (0.091 COMP733) (0.085 COMP587) (0.084 COMP657)
Carcinogenic. group 3	0.970	COMP645	(0.803 COMP600) (0.772 COMP547) (0.751 COMP48) (0.721 COMP478/COMP499/COMP513/COMP624) (0.697 COMP604) (0.672 COMP724) (0.640 COMP637) (0.624 COMP595) (0.602 COMP650) (0.567 COMP481) (0.565 COMP613) (0.543 COMP658) (0.532 COMP603/COMP631) (0.519 COMP697) (0.501 COMP649/COMP671/COMP674) (0.494 COMP261) (0.476 COMP643) (0.475 COMP596) (0.463 COMP598/COMP607/COMP618/COMP665) (0.462 COMP640) (0.461 COMP661) (0.459 COMP729) (0.454 COMP305) (0.451 COMP655) (0.439 COMP632) (0.438 COMP493) (0.437 COMP615/COMP620/COMP622/COMP664/COMP668) (0.431 COMP593/COMP627/COMP634/COMP675) (0.429 COMP718) (0.422 COMP629) (0.418 COMP659) (0.412 COMP189) (0.411 COMP606) (0.408 COMP599/COMP609) (0.406 COMP241/COMP245) (0.405 COMP628) (0.395 COMP56) (0.389 COMP700) (0.388 COMP680/COMP717) (0.387 COMP647) (0.379 COMP683) (0.370 COMP639/COMP662) (0.369 COMP602) (0.364 COMP542) (0.362 COMP725) (0.359 COMP317) (0.355 COMP625/COMP636) (0.352 COMP667) (0.349 COMP590) (0.347 COMP488/COMP601) (0.346 COMP519) (0.342 COMP651) (0.340 COMP684) (0.337 COMP322) (0.335 COMP619) (0.334 COMP614/COMP646) (0.332 COMP14) (0.331 COMP716) (0.330 COMP608) (0.328 COMP594) (0.327 COMP641) (0.322 COMP9) (0.321 COMP673) (0.316 COMP653) (0.315 COMP6) (0.310 COMP630) (0.307 COMP663) (0.306 COMP692) (0.303 COMP706) (0.301 COMP592) (0.300 COMP617) (0.298 COMP648) (0.296 COMP588) (0.291 COMP672) (0.290 COMP591) (0.286 COMP605/COMP666) (0.282 COMP612) (0.281 COMP644) (0.274 COMP11) (0.268 COMP586/COMP678) (0.262 COMP611) (0.256 COMP192) (0.247 COMP728) (0.244 COMP616) (0.243 COMP597) (0.240 COMP693/COMP704/COMP719/COMP731/COMP77) (0.237 COMP299) (0.235 COMP544) (0.234 COMP633) (0.227 COMP635/COMP694/COMP710) (0.225 COMP638) (0.222 COMP500) (0.216 COMP669/COMP695) (0.213 COMP681/COMP737) (0.210 COMP670) (0.208 COMP610) (0.206 COMP626) (0.205 COMP55) (0.202 COMP687) (0.201 COMP690) (0.183 COMP114) (0.175 COMP512/COMP715/COMP721) (0.169 COMP734) (0.166 COMP686) (0.161 COMP642) (0.159 COMP13) (0.149 COMP296/COMP524) (0.142 COMP621) (0.141 COMP733) (0.131 COMP654) (0.130 COMP62) (0.129 COMP696/COMP738) (0.116 COMP676) (0.113 COMP688/COMP723/COMP732) (0.105 COMP705) (0.096 COMP691)
Cardiodepressant	0.609	COMP591	(0.586 COMP598/COMP607/COMP618/COMP665) (0.585 COMP596) (0.582 COMP608) (0.579 COMP648) (0.578 COMP661) (0.563 COMP684) (0.560 COMP637) (0.554 COMP641) (0.553 COMP672) (0.546 COMP610) (0.527 COMP630) (0.509 COMP649/COMP671/COMP674) (0.507 COMP592/COMP663) (0.504 COMP639) (0.503 COMP238) (0.498 COMP261) (0.496 COMP617) (0.491 COMP614) (0.482 COMP488/COMP601) (0.481 COMP636) (0.471 COMP519/COMP647) (0.468 COMP594) (0.462 COMP640) (0.455 COMP192) (0.449 COMP638) (0.448 COMP493) (0.445 COMP729) (0.438 COMP625/COMP654/COMP667) (0.432 COMP619) (0.426 COMP700) (0.423 COMP615/COMP620/COMP622/COMP664/COMP668) (0.420 COMP642) (0.418 COMP586/COMP678) (0.414 COMP632) (0.413 COMP500) (0.412 COMP593/COMP627/COMP634/COMP653/COMP675) (0.408 COMP241/COMP245) (0.405 COMP599/COMP609) (0.404 COMP718) (0.393 COMP683) (0.392 COMP725) (0.390 COMP662) (0.384 COMP602) (0.380 COMP643) (0.375 COMP542) (0.373 COMP612/COMP646) (0.371 COMP626) (0.370 COMP680/COMP717) (0.365 COMP481) (0.363 COMP677) (0.360 COMP631) (0.357 COMP77) (0.354 COMP189) (0.349 COMP644) (0.345 COMP322) (0.341 COMP605/COMP666) (0.337 COMP55) (0.336 COMP673) (0.329 COMP48) (0.321 COMP512/COMP611/COMP715/COMP721) (0.319 COMP658) (0.318 COMP597) (0.316 COMP600) (0.303 COMP603) (0.302 COMP650) (0.300 COMP676) (0.295 COMP590/COMP669) (0.286 COMP628/COMP633) (0.285 COMP635) (0.282 COMP629) (0.277 COMP9) (0.271 COMP695) (0.270 COMP724) (0.264 COMP114) (0.262 COMP659) (0.261 COMP733) (0.250 COMP697) (0.247 COMP317) (0.243 COMP11) (0.242 COMP655) (0.237 COMP728) (0.236 COMP606) (0.233 COMP706) (0.231 COMP670) (0.227 COMP688/COMP723/COMP732) (0.224 COMP478/COMP499/COMP513/COMP624) (0.213 COMP694/COMP710) (0.202 COMP681/COMP737) (0.200 COMP616) (0.197 COMP693/COMP704/COMP719/COMP731) (0.195 COMP656) (0.194 COMP705) (0.178 COMP14) (0.168 COMP623) (0.163 COMP613) (0.158 COMP472/COMP477/COMP727) (0.147 COMP734) (0.139 COMP242/COMP244/COMP247/COMP467/COMP657/COMP730) (0.135 COMP56) (0.134 COMP651) (0.131 COMP299)
Cytotoxic	0.788	COMP62	(0.669 COMP738) (0.643 COMP726) (0.628 COMP716) (0.626 COMP56) (0.617 COMP677) (0.615 COMP687) (0.613 COMP713) (0.610 COMP305) (0.607 COMP77) (0.597 COMP692/COMP739) (0.596 COMP708) (0.595 COMP238/COMP696) (0.583 COMP694/COMP710) (0.575 COMP693/COMP704/COMP719/COMP731) (0.565 COMP735) (0.547 COMP722) (0.518 COMP504) (0.517 COMP242/COMP244/COMP247/COMP467/COMP730) (0.512 COMP689) (0.504 COMP685) (0.502 COMP472/COMP477/COMP727/COMP733) (0.501 COMP655) (0.500 COMP512/COMP688/COMP715/COMP721/COMP723/COMP732) (0.499 COMP633) (0.496 COMP686) (0.470 COMP691) (0.456 COMP724) (0.454 COMP48) (0.449 COMP13) (0.446 COMP317) (0.439 COMP672) (0.416 COMP638) (0.409 COMP592) (0.408 COMP595) (0.406 COMP681/COMP737) (0.402 COMP617) (0.399 COMP703) (0.395 COMP639/COMP673) (0.394 COMP621) (0.393 COMP606/COMP706) (0.392 COMP650) (0.390 COMP299) (0.385 COMP261/COMP542) (0.378 COMP714) (0.372 COMP736) (0.371 COMP11) (0.362 COMP695/COMP734) (0.361 COMP594) (0.360 COMP593/COMP627/COMP630/COMP634/COMP675) (0.358 COMP611) (0.355 COMP637) (0.354 COMP718) (0.346 COMP603) (0.342 COMP632) (0.336 COMP643) (0.332 COMP598/COMP607/COMP618/COMP665) (0.331 COMP700) (0.330 COMP478/COMP499/COMP513/COMP624) (0.329 COMP296/COMP524/COMP544) (0.328 COMP189) (0.327 COMP613) (0.325 COMP661) (0.322 COMP547) (0.320 COMP635) (0.319 COMP6) (0.318 COMP676) (0.317 COMP602) (0.315 COMP649/COMP671/COMP674) (0.314 COMP596) (0.313 COMP653) (0.311 COMP241/COMP245/COMP619/COMP663) (0.310 COMP705) (0.308 COMP729) (0.304 COMP684) (0.298 COMP702) (0.296 COMP481) (0.295 COMP683) (0.294 COMP586/COMP678) (0.293 COMP500/COMP680/COMP717) (0.292 COMP641) (0.291 COMP599/COMP609) (0.288 COMP615/COMP620/COMP622/COMP664/COMP668/COMP697) (0.286 COMP605/COMP666) (0.285 COMP647) (0.284 COMP629) (0.281 COMP588) (0.278 COMP728) (0.276 COMP493) (0.275 COMP600/COMP614) (0.274 COMP625) (0.265 COMP612/COMP701/COMP711) (0.263 COMP488/COMP601/COMP616/COMP725) (0.260 COMP659) (0.256 COMP519/COMP667) (0.252 COMP648) (0.251 COMP662) (0.248 COMP591) (0.247 COMP636/COMP646) (0.244 COMP608) (0.238 COMP628) (0.235 COMP645) (0.233 COMP690) (0.228 COMP640) (0.223 COMP654) (0.219 COMP682/COMP698/COMP707) (0.216 COMP631) (0.214 COMP114/COMP9) (0.212 COMP55) (0.210 COMP669) (0.207 COMP626) (0.199 COMP322) (0.191 COMP651) (0.186 COMP14) (0.183 COMP610) (0.182 COMP192/COMP597) (0.176 COMP644) (0.175 COMP590) (0.165 COMP587) (0.153 COMP658) (0.149 COMP657) (0.147 COMP642) (0.143 COMP670) (0.135 COMP656) (0.134 COMP604)
DNA damaging	0.861	COMP687	(0.851 COMP716) (0.824 COMP56) (0.798 COMP305) (0.731 COMP696) (0.649 COMP692) (0.626 COMP694/COMP710) (0.622 COMP722) (0.616 COMP738) (0.607 COMP693/COMP704/COMP719/COMP731) (0.586 COMP681/COMP737) (0.566 COMP650) (0.530 COMP735) (0.519 COMP724) (0.479 COMP48) (0.474 COMP728) (0.455 COMP688/COMP723/COMP732) (0.453 COMP645) (0.445 COMP733) (0.439 COMP695) (0.429 COMP261/COMP647) (0.423 COMP649/COMP671/COMP674) (0.421 COMP655) (0.420 COMP598/COMP607/COMP618/COMP665) (0.416 COMP62) (0.409 COMP512/COMP715/COMP721) (0.406 COMP661) (0.405 COMP599/COMP609) (0.400 COMP714) (0.397 COMP697) (0.396 COMP615/COMP620/COMP622/COMP664/COMP668) (0.392 COMP481) (0.389 COMP702) (0.384 COMP646) (0.382 COMP504) (0.376 COMP603/COMP629) (0.375 COMP493) (0.371 COMP544) (0.364 COMP701/COMP711) (0.363 COMP700) (0.353 COMP586/COMP678) (0.350 COMP596) (0.347 COMP648) (0.345 COMP241/COMP245) (0.344 COMP317) (0.340 COMP591) (0.339 COMP673) (0.338 COMP189) (0.335 COMP613) (0.334 COMP593/COMP627/COMP634/COMP675) (0.333 COMP242/COMP244/COMP247/COMP467/COMP730) (0.325 COMP729) (0.318 COMP488/COMP601/COMP734) (0.317 COMP718) (0.314 COMP610) (0.313 COMP703) (0.311 COMP651) (0.309 COMP689) (0.308 COMP662) (0.305 COMP590) (0.301 COMP519) (0.297 COMP641/COMP726) (0.296 COMP667) (0.294 COMP683/COMP684) (0.292 COMP606) (0.290 COMP616) (0.289 COMP299) (0.287 COMP472/COMP477/COMP727) (0.281 COMP644) (0.280 COMP628) (0.279 COMP705) (0.272 COMP640) (0.268 COMP706) (0.264 COMP638) (0.260 COMP682/COMP698/COMP707) (0.259 COMP626) (0.257 COMP600) (0.250 COMP643) (0.248 COMP653) (0.246 COMP636/COMP659) (0.244 COMP594/COMP630) (0.242 COMP633) (0.240 COMP619/COMP637) (0.233 COMP658) (0.231 COMP676) (0.230 COMP322/COMP625) (0.229 COMP592/COMP9) (0.228 COMP663) (0.217 COMP296/COMP524) (0.216 COMP617) (0.214 COMP631) (0.213 COMP602) (0.211 COMP670) (0.210 COMP614) (0.207 COMP605/COMP666) (0.204 COMP192) (0.203 COMP588/COMP680/COMP717) (0.199 COMP597) (0.196 COMP639) (0.194 COMP6/COMP77) (0.184 COMP725) (0.180 COMP621) (0.175 COMP612) (0.173 COMP642) (0.166 COMP542) (0.163 COMP500) (0.160 COMP632)
Embryotoxic	0.965	COMP62	(0.908 COMP77) (0.850 COMP708) (0.812 COMP637) (0.804 COMP685) (0.800 COMP739) (0.795 COMP628) (0.794 COMP299) (0.792 COMP716) (0.786 COMP696) (0.782 COMP645) (0.775 COMP706) (0.772 COMP738) (0.768 COMP56) (0.762 COMP632) (0.756 COMP305/COMP619) (0.744 COMP598/COMP607/COMP618/COMP665) (0.742 COMP296/COMP524/COMP647) (0.739 COMP694/COMP710) (0.733 COMP661) (0.731 COMP693/COMP704/COMP719/COMP731) (0.730 COMP649/COMP671/COMP674) (0.724 COMP633) (0.722 COMP600) (0.717 COMP687/COMP691) (0.712 COMP478/COMP499/COMP513/COMP624) (0.711 COMP596) (0.707 COMP592) (0.705 COMP55) (0.702 COMP615/COMP620/COMP622/COMP664/COMP668) (0.698 COMP692) (0.694 COMP617) (0.689 COMP614) (0.688 COMP606) (0.685 COMP603) (0.684 COMP653) (0.681 COMP646) (0.675 COMP488/COMP601) (0.671 COMP593/COMP627/COMP634/COMP675) (0.667 COMP605/COMP666) (0.662 COMP733) (0.659 COMP643) (0.658 COMP519) (0.655 COMP718) (0.650 COMP547) (0.648 COMP493) (0.645 COMP650) (0.642 COMP640) (0.639 COMP639) (0.638 COMP673) (0.633 COMP11) (0.631 COMP512/COMP715/COMP721/COMP726) (0.629 COMP648) (0.627 COMP636) (0.622 COMP663) (0.608 COMP594/COMP599/COMP609/COMP688/COMP723/COMP732) (0.605 COMP629) (0.593 COMP638) (0.589 COMP655/COMP684) (0.579 COMP602) (0.577 COMP591) (0.568 COMP725) (0.567 COMP672) (0.566 COMP630) (0.564 COMP189) (0.557 COMP595) (0.552 COMP472/COMP477/COMP727) (0.541 COMP689) (0.531 COMP542) (0.529 COMP735) (0.516 COMP683) (0.513 COMP697) (0.500 COMP631/COMP724) (0.489 COMP676) (0.488 COMP680/COMP717) (0.485 COMP641) (0.484 COMP681/COMP737) (0.483 COMP613) (0.479 COMP192) (0.472 COMP667) (0.471 COMP608/COMP658) (0.470 COMP242/COMP244/COMP247/COMP467/COMP730) (0.461 COMP48) (0.457 COMP625) (0.453 COMP662) (0.451 COMP611) (0.450 COMP261/COMP500/COMP722) (0.445 COMP504) (0.440 COMP657/COMP729) (0.435 COMP713) (0.431 COMP612) (0.426 COMP621) (0.425 COMP635) (0.422 COMP481) (0.409 COMP728) (0.390 COMP610) (0.368 COMP642) (0.366 COMP14) (0.359 COMP651) (0.347 COMP654) (0.343 COMP6) (0.340 COMP623) (0.326 COMP700) (0.321 COMP317) (0.318 COMP626) (0.311 COMP241/COMP245) (0.301 COMP644) (0.297 COMP544) (0.296 COMP13) (0.294 COMP734) (0.291 COMP597) (0.277 COMP695) (0.276 COMP322) (0.249 COMP9) (0.245 COMP616) (0.239 COMP659) (0.237 COMP669) (0.234 COMP690) (0.221 COMP586/COMP678/COMP736) (0.199 COMP590/COMP703) (0.192 COMP686) (0.175 COMP670) (0.170 COMP114) (0.163 COMP238) (0.159 COMP714) (0.158 COMP705) (0.148 COMP587) (0.139 COMP588)
