Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.805	COMP708	(0.509 COMP1506) (0.252 COMP542) (0.169 COMP126) (0.146 COMP114/COMP131) (0.143 COMP498) (0.140 COMP1425/COMP1428/COMP1508) (0.139 COMP179/COMP633) (0.133 COMP109/COMP136/COMP145) (0.129 COMP324) (0.128 COMP271) (0.127 COMP505) (0.124 COMP297) (0.118 COMP780) (0.117 COMP43) (0.113 COMP154) (0.112 COMP872) (0.102 COMP1417) (0.097 COMP1509)
AR expression inhibitor	0.941	COMP708	(0.891 COMP780) (0.723 COMP43) (0.706 COMP1177/COMP1179) (0.703 COMP1417/COMP991) (0.670 COMP1425/COMP1428/COMP1508) (0.668 COMP1504) (0.626 COMP633) (0.600 COMP1502) (0.587 COMP1193) (0.577 COMP1509) (0.575 COMP297) (0.559 COMP1506) (0.557 COMP101) (0.536 COMP109/COMP136/COMP145) (0.494 COMP324) (0.474 COMP271) (0.438 COMP542) (0.420 COMP1143) (0.387 COMP179/COMP505) (0.296 COMP126) (0.293 COMP967) (0.286 COMP956) (0.262 COMP498) (0.255 COMP114/COMP131) (0.248 COMP1401) (0.243 COMP872) (0.236 COMP154) (0.219 COMP1505) (0.198 COMP587)
CTGF expression inhibitor	0.921	COMP780	(0.862 COMP1143) (0.766 COMP43) (0.757 COMP1504) (0.710 COMP505) (0.677 COMP271) (0.638 COMP991) (0.635 COMP179) (0.614 COMP1506) (0.607 COMP542) (0.561 COMP101) (0.518 COMP324) (0.410 COMP1193) (0.403 COMP1417) (0.393 COMP872) (0.376 COMP154) (0.364 COMP587) (0.363 COMP1425/COMP1428/COMP1508) (0.361 COMP498) (0.353 COMP109/COMP114/COMP131/COMP136/COMP145) (0.303 COMP708) (0.302 COMP1177/COMP1179) (0.294 COMP297) (0.267 COMP956) (0.265 COMP633) (0.256 COMP1507/COMP1510) (0.254 COMP1509) (0.251 COMP1503) (0.250 COMP1505) (0.246 COMP1502) (0.231 COMP126) (0.224 COMP1501) (0.198 COMP967)
GRP78 expression inhibitor	0.058	COMP455	(0.055 COMP991) (0.041 COMP1506) (0.034 COMP542) (0.030 COMP109/COMP136/COMP145) (0.026 COMP498) (0.025 COMP114/COMP131/COMP271/COMP587) (0.024 COMP1505) (0.023 COMP872) (0.021 COMP1509) (0.020 COMP1193/COMP179/COMP505)
ICAM1 expression inhibitor	0.589	COMP991	(0.588 COMP967) (0.559 COMP956) (0.529 COMP780) (0.524 COMP708) (0.512 COMP1509) (0.506 COMP1502) (0.481 COMP872) (0.471 COMP633) (0.464 COMP1193) (0.448 COMP154) (0.437 COMP1504) (0.433 COMP1425/COMP1428/COMP1508) (0.432 COMP271) (0.431 COMP1417) (0.426 COMP505) (0.421 COMP324) (0.406 COMP542) (0.403 COMP1506) (0.395 COMP179) (0.386 COMP114/COMP131) (0.379 COMP498) (0.376 COMP101) (0.371 COMP109/COMP136/COMP145) (0.370 COMP297) (0.360 COMP126) (0.340 COMP1177/COMP1179) (0.333 COMP1143) (0.328 COMP43) (0.298 COMP1505) (0.290 COMP587)
LDLR expression enhancer	0.420	COMP780	(0.369 COMP708) (0.306 COMP271) (0.301 COMP101) (0.273 COMP1177/COMP1179) (0.262 COMP179) (0.255 COMP505) (0.245 COMP1425/COMP1428/COMP1508) (0.226 COMP1417) (0.214 COMP1143) (0.211 COMP126/COMP991) (0.210 COMP1506) (0.209 COMP1504) (0.208 COMP498) (0.178 COMP633) (0.173 COMP967) (0.172 COMP154) (0.168 COMP542) (0.160 COMP956) (0.158 COMP109/COMP136/COMP145) (0.147 COMP43) (0.138 COMP872)
NOS2 expression inhibitor	0.929	COMP1502	(0.921 COMP780) (0.907 COMP1504) (0.694 COMP101) (0.668 COMP956) (0.640 COMP1177/COMP1179) (0.553 COMP1417) (0.544 COMP297) (0.530 COMP633) (0.522 COMP1425/COMP1428/COMP1508) (0.508 COMP271) (0.503 COMP1509) (0.495 COMP505) (0.486 COMP991) (0.485 COMP179) (0.481 COMP967) (0.477 COMP1143) (0.461 COMP708) (0.433 COMP542) (0.428 COMP154) (0.413 COMP872) (0.405 COMP498) (0.374 COMP1506) (0.371 COMP126) (0.358 COMP109/COMP136/COMP145/COMP43) (0.315 COMP1193) (0.303 COMP324) (0.271 COMP114/COMP131) (0.235 COMP1505) (0.194 COMP1503) (0.188 COMP455) (0.180 COMP587)
NOS3 expression enhancer	0.640	COMP780	(0.584 COMP991) (0.519 COMP1502) (0.487 COMP1506) (0.424 COMP1504) (0.409 COMP101) (0.300 COMP1417) (0.283 COMP271) (0.218 COMP1425/COMP1428/COMP1508) (0.164 COMP1501) (0.160 COMP179) (0.140 COMP297/COMP633) (0.137 COMP1143) (0.132 COMP505) (0.123 COMP1505) (0.120 COMP324) (0.119 COMP542)
NOS3 expression inhibitor	0.803	COMP991	(0.763 COMP780) (0.695 COMP1502) (0.595 COMP1504) (0.576 COMP1509) (0.545 COMP542) (0.541 COMP43) (0.523 COMP324) (0.510 COMP297) (0.499 COMP1506) (0.460 COMP179/COMP505) (0.440 COMP1425/COMP1428/COMP1508) (0.437 COMP109/COMP136/COMP145) (0.423 COMP1193/COMP498) (0.400 COMP271) (0.390 COMP126) (0.384 COMP1177/COMP1179) (0.376 COMP101) (0.367 COMP708) (0.363 COMP633) (0.344 COMP872) (0.328 COMP1143) (0.314 COMP114/COMP131) (0.256 COMP1417) (0.234 COMP587) (0.225 COMP1505/COMP967) (0.224 COMP956)
TNF expression inhibitor	0.938	COMP708	(0.896 COMP780) (0.887 COMP1177/COMP1179) (0.873 COMP1502) (0.805 COMP633) (0.786 COMP1504) (0.774 COMP1425/COMP1428/COMP1508) (0.737 COMP542) (0.714 COMP324) (0.691 COMP1417) (0.651 COMP271) (0.635 COMP991) (0.633 COMP101) (0.621 COMP1506) (0.615 COMP1509) (0.607 COMP505) (0.583 COMP179) (0.562 COMP297) (0.535 COMP126) (0.527 COMP109/COMP136/COMP145) (0.526 COMP1143) (0.523 COMP43) (0.514 COMP154) (0.512 COMP956) (0.490 COMP498) (0.444 COMP1193) (0.441 COMP872) (0.371 COMP967) (0.342 COMP114/COMP131) (0.289 COMP587) (0.284 COMP1401) (0.265 COMP1505) (0.247 COMP1503) (0.231 COMP455) (0.207 COMP1501)
