Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.939	COMP43	(0.792 COMP1177/COMP1179) (0.669 COMP708) (0.569 COMP1425/COMP1428/COMP1508) (0.525 COMP1143) (0.520 COMP1506) (0.474 COMP297) (0.379 COMP1509) (0.378 COMP633) (0.335 COMP498) (0.263 COMP542) (0.222 COMP991) (0.210 COMP1505) (0.199 COMP1417) (0.197 COMP109/COMP136/COMP145) (0.186 COMP154) (0.161 COMP101) (0.142 COMP324) (0.140 COMP126/COMP872) (0.135 COMP271) (0.132 COMP179/COMP505) (0.130 COMP114/COMP131) (0.119 COMP1401) (0.115 COMP1193) (0.113 COMP956)
Aldehyde dehydrogenase substrate	0.821	COMP43	(0.491 COMP1143) (0.362 COMP708) (0.309 COMP297) (0.268 COMP1425/COMP1428/COMP1508) (0.257 COMP1509) (0.214 COMP542) (0.210 COMP1506) (0.203 COMP1177/COMP1179) (0.202 COMP271/COMP633) (0.172 COMP101) (0.166 COMP154) (0.165 COMP498) (0.147 COMP991) (0.140 COMP455) (0.122 COMP324) (0.117 COMP1503) (0.111 COMP1417/COMP179/COMP505) (0.101 COMP1505) (0.098 COMP587)
Aldehyde oxidase substrate	0.648	COMP1143	(0.339 COMP991) (0.303 COMP271) (0.258 COMP1506) (0.250 COMP101) (0.234 COMP455) (0.229 COMP542) (0.222 COMP43) (0.216 COMP505) (0.210 COMP498) (0.196 COMP587) (0.184 COMP179) (0.182 COMP1401) (0.174 COMP1501) (0.162 COMP1503) (0.153 COMP1505) (0.149 COMP1507/COMP1510) (0.135 COMP633)
Aldose reductase substrate	0.826	COMP43	(0.759 COMP991) (0.429 COMP542) (0.419 COMP1502) (0.323 COMP1506) (0.300 COMP1425/COMP1428/COMP1508) (0.275 COMP1507/COMP1510) (0.249 COMP587) (0.244 COMP324) (0.241 COMP1504) (0.224 COMP1417/COMP633) (0.198 COMP498) (0.170 COMP1143) (0.159 COMP271) (0.152 COMP1177/COMP1179) (0.130 COMP1505)
Arylamine N-Acetyltransferase substrate	0.357	COMP455	(0.302 COMP991) (0.296 COMP1506) (0.238 COMP271) (0.179 COMP542) (0.173 COMP587) (0.133 COMP179) (0.123 COMP505) (0.121 COMP101) (0.099 COMP43) (0.086 COMP1501) (0.079 COMP1507/COMP1510)
CYP1A2 inhibitor	0.983	COMP780	(0.413 COMP101) (0.342 COMP1143) (0.339 COMP455) (0.280 COMP1504) (0.274 COMP1503) (0.270 COMP1501) (0.260 COMP271) (0.219 COMP179) (0.215 COMP505) (0.213 COMP708) (0.208 COMP154) (0.196 COMP1177/COMP1179) (0.182 COMP43) (0.175 COMP1505) (0.173 COMP991)
CYP1A2 substrate	0.910	COMP780	(0.903 COMP708) (0.733 COMP1143) (0.715 COMP1503) (0.707 COMP101) (0.682 COMP1504) (0.615 COMP43) (0.487 COMP1506) (0.473 COMP179) (0.447 COMP505) (0.421 COMP498) (0.382 COMP991) (0.359 COMP154) (0.354 COMP271) (0.343 COMP297) (0.342 COMP455) (0.340 COMP1177/COMP1179) (0.327 COMP1502) (0.297 COMP542) (0.292 COMP1509) (0.280 COMP1425/COMP1428/COMP1508) (0.260 COMP872) (0.248 COMP587) (0.221 COMP109/COMP136/COMP145) (0.215 COMP1417) (0.192 COMP1505) (0.182 COMP1401)
CYP24 inhibitor	0.285	COMP126	(0.048 COMP297) (0.043 COMP708) (0.036 COMP956/COMP967) (0.024 COMP991) (0.022 COMP179)
CYP2A6 inhibitor	0.356	COMP455	(0.171 COMP1143) (0.167 COMP1177/COMP1179) (0.133 COMP1509) (0.131 COMP154) (0.129 COMP297) (0.109 COMP991) (0.100 COMP1417) (0.093 COMP101/COMP179) (0.091 COMP43) (0.089 COMP505) (0.083 COMP1506) (0.082 COMP872)
CYP2B6 inhibitor	0.556	COMP1177/COMP1179	(0.543 COMP708) (0.378 COMP780) (0.348 COMP1425/COMP1428/COMP1508) (0.330 COMP101) (0.289 COMP43) (0.287 COMP1506) (0.285 COMP505) (0.282 COMP1503) (0.274 COMP126) (0.267 COMP179) (0.263 COMP991) (0.261 COMP1143) (0.249 COMP542) (0.246 COMP633) (0.243 COMP271) (0.242 COMP154) (0.237 COMP455) (0.225 COMP1417) (0.206 COMP297) (0.204 COMP872) (0.202 COMP498) (0.172 COMP109/COMP136/COMP145) (0.170 COMP1504) (0.164 COMP1505) (0.161 COMP114/COMP1193/COMP131/COMP1509)
CYP2C19 inhibitor	0.667	COMP780	(0.621 COMP1504) (0.486 COMP455) (0.483 COMP1177/COMP1179) (0.472 COMP101) (0.441 COMP708) (0.425 COMP1143) (0.411 COMP109/COMP136/COMP145) (0.387 COMP1501) (0.380 COMP505) (0.378 COMP179) (0.375 COMP1502) (0.364 COMP872) (0.360 COMP1505) (0.344 COMP271) (0.335 COMP1506) (0.327 COMP1417) (0.323 COMP991) (0.319 COMP1509) (0.311 COMP1401) (0.302 COMP297) (0.284 COMP498) (0.276 COMP154) (0.244 COMP43) (0.230 COMP1503) (0.227 COMP1425/COMP1428/COMP1508) (0.223 COMP126) (0.220 COMP956) (0.218 COMP114/COMP131)
CYP2C19 substrate	0.931	COMP708	(0.893 COMP297) (0.750 COMP1509) (0.708 COMP1143) (0.678 COMP43) (0.643 COMP1425/COMP1428/COMP1508) (0.588 COMP101) (0.585 COMP179) (0.583 COMP1177/COMP1179) (0.573 COMP154) (0.565 COMP1417) (0.560 COMP633) (0.558 COMP780) (0.555 COMP1506/COMP505) (0.528 COMP1504) (0.519 COMP1502) (0.498 COMP991) (0.493 COMP872) (0.485 COMP126) (0.473 COMP271) (0.458 COMP542) (0.377 COMP498) (0.370 COMP956) (0.343 COMP587) (0.262 COMP324) (0.258 COMP1193) (0.255 COMP114/COMP131) (0.253 COMP967) (0.249 COMP455) (0.241 COMP109/COMP136/COMP145)
CYP2C9 inhibitor	0.650	COMP780	(0.389 COMP1177/COMP1179) (0.373 COMP455) (0.363 COMP101) (0.357 COMP271) (0.347 COMP179) (0.344 COMP505) (0.334 COMP1501) (0.310 COMP154) (0.309 COMP1504) (0.306 COMP708) (0.244 COMP498) (0.233 COMP1143/COMP991) (0.218 COMP1417/COMP1503/COMP872) (0.214 COMP1506)
CYP2C9 substrate	0.903	COMP297	(0.861 COMP708) (0.853 COMP1509) (0.721 COMP1143) (0.714 COMP780) (0.680 COMP101) (0.640 COMP1502) (0.636 COMP1504) (0.614 COMP1506) (0.609 COMP505) (0.599 COMP179) (0.587 COMP498) (0.572 COMP43) (0.567 COMP271) (0.544 COMP991) (0.476 COMP126) (0.469 COMP542) (0.428 COMP154) (0.427 COMP872) (0.424 COMP956) (0.394 COMP109/COMP136/COMP145) (0.377 COMP1425/COMP1428/COMP1508) (0.345 COMP587) (0.321 COMP455) (0.307 COMP1417) (0.303 COMP967) (0.292 COMP1193) (0.277 COMP633) (0.261 COMP324) (0.260 COMP1177/COMP1179) (0.240 COMP114/COMP131) (0.234 COMP1505) (0.227 COMP1503)
