Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.691	COMP179	(0.631 COMP505) (0.551 COMP872) (0.522 COMP498) (0.494 COMP271) (0.441 COMP991) (0.415 COMP154) (0.411 COMP297) (0.399 COMP114/COMP131) (0.378 COMP1506) (0.341 COMP43) (0.318 COMP542) (0.296 COMP956) (0.247 COMP1509) (0.230 COMP1503) (0.229 COMP109/COMP136/COMP145) (0.228 COMP633) (0.200 COMP1177/COMP1179) (0.194 COMP1143) (0.189 COMP1193) (0.173 COMP1425/COMP1428/COMP1508) (0.155 COMP967) (0.151 COMP126) (0.146 COMP101) (0.144 COMP1505) (0.126 COMP708) (0.118 COMP324) (0.111 COMP1417)
Acetylcholine release stimulant	0.171	COMP1505	(0.150 COMP991) (0.144 COMP455) (0.142 COMP1506) (0.136 COMP1501) (0.125 COMP114/COMP131) (0.123 COMP498) (0.119 COMP101) (0.118 COMP271) (0.117 COMP872) (0.113 COMP505) (0.105 COMP43) (0.103 COMP109/COMP136/COMP145/COMP179) (0.101 COMP1143/COMP633) (0.099 COMP542) (0.097 COMP126)
Actinic keratosis treatment	0.539	COMP708	(0.393 COMP297) (0.289 COMP872) (0.274 COMP1509) (0.254 COMP179) (0.243 COMP498) (0.231 COMP114/COMP131) (0.227 COMP1506) (0.216 COMP126) (0.215 COMP1193) (0.212 COMP505) (0.199 COMP542) (0.194 COMP991) (0.181 COMP271) (0.177 COMP633) (0.155 COMP109/COMP136/COMP145) (0.147 COMP1143) (0.140 COMP154) (0.122 COMP1505) (0.113 COMP587) (0.111 COMP956) (0.110 COMP1425/COMP1428/COMP1508) (0.102 COMP324) (0.095 COMP43) (0.091 COMP780) (0.090 COMP1504/COMP967) (0.087 COMP1177/COMP1179)
Acute neurologic disorders treatment	0.474	COMP587	(0.443 COMP324) (0.428 COMP1505) (0.419 COMP43) (0.372 COMP1177/COMP1179) (0.361 COMP1417) (0.346 COMP542) (0.319 COMP1425/COMP1428/COMP1508) (0.297 COMP633) (0.267 COMP154) (0.262 COMP114/COMP131) (0.247 COMP455) (0.240 COMP1506) (0.199 COMP1503) (0.174 COMP109/COMP136/COMP145)
Acute respiratory distress syndrome (ARDS) treatment	0.409	COMP991	(0.279 COMP1502) (0.206 COMP498) (0.188 COMP542) (0.156 COMP1506) (0.145 COMP633) (0.131 COMP505)
Age-related macular degeneration treatment	0.405	COMP708	(0.227 COMP271) (0.223 COMP587) (0.219 COMP455) (0.218 COMP498) (0.214 COMP542) (0.211 COMP179) (0.207 COMP505) (0.179 COMP1506)
Allergic rhinitis treatment	0.305	COMP587	(0.281 COMP542) (0.122 COMP1506)
Alzheimer's disease treatment	0.582	COMP1501	(0.568 COMP1504) (0.552 COMP126) (0.530 COMP1417) (0.511 COMP1502) (0.476 COMP872) (0.470 COMP1505) (0.449 COMP780) (0.420 COMP1177/COMP1179) (0.376 COMP1503) (0.357 COMP1425/COMP1428/COMP1508) (0.348 COMP154) (0.313 COMP991) (0.240 COMP324)
Amyotrophic lateral sclerosis treatment	0.666	COMP324	(0.383 COMP1417) (0.322 COMP109/COMP136/COMP145) (0.302 COMP872) (0.256 COMP1506) (0.251 COMP1503) (0.243 COMP633) (0.229 COMP1425/COMP1428/COMP1508) (0.208 COMP991) (0.180 COMP455) (0.175 COMP587)
Anabolic	0.201	COMP1193	(0.198 COMP109/COMP136/COMP145) (0.190 COMP126) (0.181 COMP1509) (0.179 COMP991) (0.177 COMP872) (0.170 COMP297) (0.168 COMP956) (0.162 COMP967) (0.160 COMP1506) (0.157 COMP43) (0.156 COMP114/COMP131/COMP154/COMP505) (0.155 COMP542) (0.153 COMP708) (0.152 COMP1177/COMP1179) (0.147 COMP179/COMP324) (0.146 COMP633) (0.143 COMP1425/COMP1428/COMP1508) (0.141 COMP101) (0.140 COMP1143) (0.139 COMP498) (0.138 COMP271) (0.113 COMP1505) (0.101 COMP780) (0.096 COMP1504) (0.090 COMP587) (0.086 COMP1417)
